* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 2, 2025 9:31:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Kiwi X HBB Punch Origin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.233	-8.7997
20.600000	108.213	-9.2926
20.900000	108.186	-9.8296
21.200001	108.158	-10.3746
21.400000	108.140	-10.7415
21.799999	108.107	-11.4780
22.000000	108.092	-11.8415
22.400000	108.062	-12.5385
22.700001	108.041	-13.0219
23.000000	108.020	-13.4675
23.299999	108.000	-13.8818
23.600000	107.981	-14.2781
24.000000	107.955	-14.8050
24.299999	107.934	-15.2126
24.700001	107.902	-15.7773
25.000000	107.876	-16.2108
25.400000	107.839	-16.7884
25.799999	107.804	-17.3541
26.200001	107.772	-17.9045
26.500000	107.748	-18.3084
26.900000	107.717	-18.8358
27.200001	107.692	-19.2213
27.600000	107.655	-19.7179
28.000000	107.616	-20.1952
28.500000	107.568	-20.7805
29.000000	107.524	-21.3828
29.500000	107.480	-22.0134
30.000000	107.431	-22.6388
30.400000	107.388	-23.1000
30.700001	107.356	-23.4138
31.100000	107.317	-23.8009
31.500000	107.282	-24.1818
32.000000	107.242	-24.6933
32.500000	107.197	-25.2453
33.000000	107.145	-25.7900
33.500000	107.090	-26.2890
34.000000	107.039	-26.7548
34.500000	106.992	-27.2215
35.000000	106.942	-27.6964
35.500000	106.890	-28.1605
36.000000	106.838	-28.6067
36.500000	106.787	-29.0498
37.000000	106.736	-29.4951
37.500000	106.681	-29.9226
38.200001	106.607	-30.4730
38.700001	106.562	-30.8730
39.500000	106.491	-31.5950
40.000000	106.438	-32.0534
40.599998	106.369	-32.5385
41.200001	106.301	-32.9551
41.799999	106.237	-33.3551
42.500000	106.161	-33.8405
43.099998	106.096	-34.2700
43.700001	106.031	-34.7037
44.400002	105.957	-35.1993
45.000000	105.894	-35.6002
45.500000	105.843	-35.9148
46.200001	105.770	-36.3326
46.799999	105.707	-36.6805
47.500000	105.631	-37.0942
48.200001	105.552	-37.5203
48.700001	105.496	-37.8171
49.400002	105.422	-38.2064
50.000000	105.363	-38.5249
50.799999	105.286	-38.9512
51.500000	105.213	-39.3264
52.200001	105.136	-39.6969
53.000000	105.051	-40.0996
53.799999	104.974	-40.4709
54.500000	104.908	-40.7937
55.200001	104.836	-41.1337
56.000000	104.747	-41.5207
57.000000	104.645	-41.9477
58.000000	104.556	-42.3163
59.000000	104.453	-42.7016
60.000000	104.335	-43.2015
60.799999	104.242	-43.6778
61.500000	104.164	-44.0343
62.200001	104.092	-44.2447
63.000000	104.017	-44.3669
64.000000	103.924	-44.5910
65.000000	103.821	-44.9237
66.000000	103.723	-45.2394
67.000000	103.628	-45.5301
68.000000	103.526	-45.8324
69.000000	103.422	-46.1509
70.000000	103.322	-46.4599
71.000000	103.221	-46.6931
72.000000	103.127	-46.8711
73.000000	103.037	-47.1150
74.000000	102.942	-47.3889
75.000000	102.844	-47.5745
76.199997	102.730	-47.7420
77.500000	102.598	-48.0498
78.800003	102.467	-48.3263
80.000000	102.348	-48.4669
81.199997	102.236	-48.6564
82.500000	102.098	-49.1388
83.800003	101.938	-49.2091
85.000000	101.824	-49.1509
86.199997	101.726	-49.3813
87.500000	101.634	-49.7480
88.500000	101.555	-49.9034
90.000000	101.438	-49.8312
91.199997	101.342	-49.7001
92.500000	101.203	-49.6705
93.800003	101.023	-49.8225
95.000000	100.865	-50.0434
96.199997	100.749	-50.2461
97.500000	100.680	-50.0689
98.800003	100.616	-49.2784
100.000000	100.507	-48.5589
101.500000	100.361	-48.6827
103.000000	100.324	-49.2716
104.400002	100.295	-49.2201
106.000000	100.205	-48.6766
107.500000	100.113	-48.6992
109.000000	100.069	-49.0588
110.599998	99.984	-49.0699
112.000000	99.868	-49.0888
113.800003	99.730	-49.4278
115.000000	99.642	-49.5939
117.199997	99.479	-49.7759
118.000000	99.416	-49.8141
120.599998	99.212	-49.8129
122.000000	99.111	-49.7302
124.099998	98.957	-49.5603
125.000000	98.897	-49.4978
126.500000	98.799	-49.3896
128.000000	98.697	-49.2991
131.500000	98.478	-49.0534
132.000000	98.448	-49.0051
134.000000	98.328	-48.7913
136.000000	98.211	-48.5883
138.000000	98.096	-48.3966
140.000000	97.982	-48.1944
143.000000	97.811	-47.8298
145.000000	97.702	-47.5831
147.500000	97.571	-47.2522
150.000000	97.443	-46.9282
152.500000	97.316	-46.6117
155.000000	97.190	-46.2681
157.500000	97.065	-45.9351
160.000000	96.941	-45.5586
162.500000	96.817	-45.1777
165.000000	96.693	-44.7918
167.500000	96.574	-44.3796
170.000000	96.457	-43.9631
172.500000	96.343	-43.5318
175.000000	96.233	-43.0880
177.500000	96.128	-42.6450
180.000000	96.024	-42.1939
182.500000	95.922	-41.7224
185.000000	95.825	-41.2441
187.500000	95.732	-40.7635
190.000000	95.644	-40.2907
192.500000	95.560	-39.8358
195.000000	95.478	-39.3890
197.500000	95.397	-38.9448
200.000000	95.319	-38.5015
203.000000	95.229	-37.9482
206.000000	95.143	-37.3893
209.000000	95.059	-36.8338
212.000000	94.979	-36.2858
214.000000	94.928	-35.9222
218.000000	94.831	-35.1913
220.000000	94.784	-34.8258
224.000000	94.694	-34.1007
227.000000	94.630	-33.5635
230.000000	94.568	-33.0221
233.000000	94.509	-32.4818
236.000000	94.453	-31.9484
240.000000	94.383	-31.2448
243.000000	94.331	-30.7287
247.000000	94.266	-30.0529
250.000000	94.219	-29.5539
254.000000	94.159	-28.8901
258.000000	94.102	-28.2293
262.000000	94.049	-27.5830
265.000000	94.010	-27.1088
269.000000	93.960	-26.4832
272.000000	93.925	-26.0166
276.000000	93.880	-25.4048
280.000000	93.838	-24.8061
285.000000	93.789	-24.0740
290.000000	93.742	-23.3640
295.000000	93.698	-22.6641
300.000000	93.659	-21.9782
304.000000	93.628	-21.4456
307.000000	93.606	-21.0548
311.000000	93.577	-20.5410
315.000000	93.550	-20.0311
320.000000	93.518	-19.4094
325.000000	93.488	-18.8048
330.000000	93.461	-18.2115
335.000000	93.434	-17.6353
340.000000	93.409	-17.0702
345.000000	93.385	-16.5146
350.000000	93.362	-15.9650
355.000000	93.341	-15.4269
360.000000	93.321	-14.9028
365.000000	93.302	-14.3887
370.000000	93.284	-13.8846
375.000000	93.266	-13.3916
382.000000	93.243	-12.7202
387.000000	93.227	-12.2485
395.000000	93.203	-11.5116
400.000000	93.189	-11.0668
406.000000	93.172	-10.5398
412.000000	93.156	-10.0175
418.000000	93.141	-9.5086
425.000000	93.124	-8.9334
431.000000	93.109	-8.4475
437.000000	93.095	-7.9639
444.000000	93.078	-7.4018
450.000000	93.065	-6.9328
455.000000	93.054	-6.5505
462.000000	93.039	-6.0195
468.000000	93.026	-5.5700
475.000000	93.012	-5.0517
482.000000	92.998	-4.5391
487.000000	92.988	-4.1788
494.000000	92.974	-3.6810
500.000000	92.962	-3.2575
508.000000	92.947	-2.6987
515.000000	92.934	-2.2093
522.000000	92.922	-1.7227
530.000000	92.907	-1.1729
538.000000	92.893	-0.6252
545.000000	92.882	-0.1482
552.000000	92.870	0.3250
560.000000	92.858	0.8591
570.000000	92.843	1.5294
580.000000	92.829	2.2009
590.000000	92.815	2.8665
