* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 2, 2025 10:25:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Sancai L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.463	11.9534
20.600000	104.458	11.4472
20.900000	104.453	10.9141
21.200001	104.451	10.3835
21.400000	104.452	10.0266
21.799999	104.460	9.2986
22.000000	104.466	8.9284
22.400000	104.479	8.1864
22.700001	104.489	7.6383
23.000000	104.497	7.1048
23.299999	104.502	6.5891
23.600000	104.505	6.0916
24.000000	104.506	5.4531
24.299999	104.505	4.9876
24.700001	104.503	4.3749
25.000000	104.501	3.9155
25.400000	104.498	3.3014
25.799999	104.493	2.6942
26.200001	104.486	2.1107
26.500000	104.482	1.6961
26.900000	104.477	1.1703
27.200001	104.475	0.7846
27.600000	104.474	0.2596
28.000000	104.471	-0.2928
28.500000	104.459	-1.0092
29.000000	104.437	-1.7041
29.500000	104.413	-2.3371
30.000000	104.395	-2.9239
30.400000	104.385	-3.3925
30.700001	104.379	-3.7538
31.100000	104.367	-4.2428
31.500000	104.350	-4.7212
32.000000	104.327	-5.2812
32.500000	104.308	-5.8120
33.000000	104.293	-6.3565
33.500000	104.279	-6.9346
34.000000	104.258	-7.5183
34.500000	104.234	-8.0660
35.000000	104.209	-8.5677
35.500000	104.188	-9.0457
36.000000	104.169	-9.5220
36.500000	104.148	-9.9990
37.000000	104.124	-10.4711
37.500000	104.099	-10.9357
38.200001	104.061	-11.5661
38.700001	104.034	-11.9941
39.500000	103.997	-12.6607
40.000000	103.974	-13.0859
40.599998	103.942	-13.5966
41.200001	103.908	-14.0906
41.799999	103.876	-14.5889
42.500000	103.839	-15.2146
43.099998	103.801	-15.7552
43.700001	103.760	-16.2421
44.400002	103.717	-16.7406
45.000000	103.683	-17.1596
45.500000	103.655	-17.5259
46.200001	103.612	-18.0583
46.799999	103.574	-18.5072
47.500000	103.531	-18.9916
48.200001	103.493	-19.4394
48.700001	103.467	-19.7592
49.400002	103.425	-20.2218
50.000000	103.384	-20.6199
50.799999	103.327	-21.1421
51.500000	103.281	-21.6009
52.200001	103.234	-22.0444
53.000000	103.183	-22.5094
53.799999	103.135	-22.9685
54.500000	103.090	-23.3790
55.200001	103.040	-23.7615
56.000000	102.981	-24.1611
57.000000	102.904	-24.6850
58.000000	102.828	-25.2811
59.000000	102.763	-25.8890
60.000000	102.704	-26.4054
60.799999	102.644	-26.7510
61.500000	102.574	-26.9840
62.200001	102.506	-27.1501
