* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 2, 2025 10:28:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Sancai R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.916	13.8267
20.600000	103.919	13.2499
20.900000	103.912	12.6394
21.200001	103.899	12.0650
21.400000	103.889	11.7135
21.799999	103.877	11.0876
22.000000	103.878	10.8037
22.400000	103.898	10.2493
22.700001	103.924	9.8080
23.000000	103.954	9.3258
23.299999	103.979	8.8079
23.600000	103.996	8.2770
24.000000	104.003	7.5975
24.299999	104.001	7.1327
24.700001	103.994	6.5712
25.000000	103.990	6.1721
25.400000	103.989	5.6321
25.799999	103.991	5.0639
26.200001	103.991	4.4786
26.500000	103.991	4.0442
26.900000	103.991	3.4849
27.200001	103.992	3.0801
27.600000	103.993	2.5513
28.000000	103.990	2.0280
28.500000	103.980	1.3869
29.000000	103.965	0.7720
29.500000	103.949	0.1777
30.000000	103.936	-0.4161
30.400000	103.926	-0.8946
30.700001	103.917	-1.2499
31.100000	103.906	-1.7095
31.500000	103.894	-2.1492
32.000000	103.881	-2.6834
32.500000	103.870	-3.2253
33.000000	103.859	-3.7865
33.500000	103.845	-4.3502
34.000000	103.828	-4.8853
34.500000	103.811	-5.3714
35.000000	103.794	-5.8123
35.500000	103.779	-6.2343
36.000000	103.763	-6.6696
36.500000	103.746	-7.1375
37.000000	103.725	-7.6331
37.500000	103.701	-8.1324
38.200001	103.669	-8.7949
38.700001	103.651	-9.2382
39.500000	103.625	-9.9293
40.000000	103.604	-10.3555
40.599998	103.573	-10.8456
41.200001	103.538	-11.3041
41.799999	103.504	-11.7445
42.500000	103.470	-12.2621
43.099998	103.442	-12.7262
43.700001	103.414	-13.2206
44.400002	103.376	-13.8212
45.000000	103.339	-14.3057
45.500000	103.310	-14.6582
46.200001	103.279	-15.0900
46.799999	103.260	-15.4577
47.500000	103.236	-15.9176
48.200001	103.202	-16.3800
48.700001	103.175	-16.6974
49.400002	103.136	-17.1355
50.000000	103.101	-17.5162
50.799999	103.053	-18.0212
51.500000	103.011	-18.4546
52.200001	102.971	-18.8837
53.000000	102.927	-19.3599
53.799999	102.882	-19.8195
54.500000	102.839	-20.2173
55.200001	102.793	-20.6020
56.000000	102.744	-21.0165
57.000000	102.693	-21.5370
58.000000	102.636	-22.0996
59.000000	102.571	-22.6312
60.000000	102.524	-23.0487
60.799999	102.492	-23.3459
61.500000	102.446	-23.5902
62.200001	102.385	-23.8277
63.000000	102.315	-24.1738
64.000000	102.242	-24.7492
65.000000	102.186	-25.2908
66.000000	102.131	-25.8142
67.000000	102.054	-26.3232
68.000000	101.987	-26.7053
69.000000	101.938	-27.0382
70.000000	101.874	-27.3691
71.000000	101.797	-27.7055
72.000000	101.724	-28.0676
73.000000	101.659	-28.4069
74.000000	101.594	-28.7108
75.000000	101.528	-29.0282
76.199997	101.443	-29.4196
77.500000	101.352	-29.7888
78.800003	101.272	-30.1540
80.000000	101.196	-30.4876
81.199997	101.110	-30.7647
82.500000	101.022	-31.1080
83.800003	100.933	-31.4747
85.000000	100.854	-31.7225
86.199997	100.773	-31.9923
87.500000	100.681	-32.2889
88.500000	100.613	-32.4840
90.000000	100.515	-32.7483
91.199997	100.438	-32.9789
92.500000	100.350	-33.2369
93.800003	100.259	-33.4771
95.000000	100.182	-33.6965
96.199997	100.110	-33.8897
97.500000	100.022	-34.1238
98.800003	99.933	-34.5514
100.000000	99.859	-34.9031
101.500000	99.778	-34.7904
103.000000	99.678	-34.7607
104.400002	99.571	-34.9697
106.000000	99.463	-35.1262
107.500000	99.360	-35.2051
109.000000	99.262	-35.3366
110.599998	99.154	-35.4651
112.000000	99.056	-35.5203
113.800003	98.933	-35.5635
115.000000	98.854	-35.5950
117.199997	98.699	-35.6046
118.000000	98.641	-35.5831
120.599998	98.464	-35.5117
122.000000	98.372	-35.4174
124.099998	98.228	-35.1174
125.000000	98.173	-34.9183
126.500000	98.094	-34.4931
128.000000	98.029	-34.0831
131.500000	97.968	-33.4416
132.000000	97.966	-33.4004
134.000000	97.950	-33.3953
136.000000	97.903	-33.5367
138.000000	97.846	-33.8311
140.000000	97.769	-34.0447
143.000000	97.629	-34.1562
145.000000	97.533	-34.1761
147.500000	97.413	-34.1615
150.000000	97.290	-34.0515
152.500000	97.171	-33.8757
155.000000	97.059	-33.7166
157.500000	96.950	-33.5042
160.000000	96.838	-33.2233
162.500000	96.728	-32.9625
165.000000	96.625	-32.6866
167.500000	96.527	-32.4222
170.000000	96.431	-32.1468
172.500000	96.334	-31.8150
175.000000	96.241	-31.5111
177.500000	96.151	-31.2052
180.000000	96.064	-30.8757
182.500000	95.979	-30.5633
185.000000	95.896	-30.2585
187.500000	95.815	-29.9430
190.000000	95.740	-29.6070
192.500000	95.664	-29.2688
195.000000	95.589	-28.9292
197.500000	95.515	-28.5839
200.000000	95.444	-28.2400
203.000000	95.363	-27.8598
206.000000	95.287	-27.4334
209.000000	95.214	-26.9762
212.000000	95.144	-26.5295
214.000000	95.101	-26.2283
218.000000	95.017	-25.6470
220.000000	94.977	-25.3577
224.000000	94.900	-24.7730
227.000000	94.845	-24.3259
230.000000	94.795	-23.8825
233.000000	94.746	-23.4415
236.000000	94.700	-22.9910
240.000000	94.639	-22.4221
243.000000	94.595	-22.0120
247.000000	94.540	-21.4595
250.000000	94.501	-21.0517
254.000000	94.452	-20.4980
258.000000	94.404	-19.9511
262.000000	94.358	-19.4202
265.000000	94.327	-19.0238
269.000000	94.286	-18.5078
272.000000	94.256	-18.1295
276.000000	94.220	-17.6291
280.000000	94.186	-17.1329
285.000000	94.146	-16.5273
290.000000	94.108	-15.9335
295.000000	94.073	-15.3493
300.000000	94.040	-14.7874
304.000000	94.014	-14.3493
307.000000	93.997	-14.0239
