* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:22:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Stock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.033	-7.1461
20.600000	108.020	-7.6135
20.900000	108.003	-8.1307
21.200001	107.985	-8.6644
21.400000	107.972	-9.0267
21.799999	107.947	-9.7553
22.000000	107.934	-10.1144
22.400000	107.909	-10.8062
22.700001	107.890	-11.2955
23.000000	107.872	-11.7601
23.299999	107.852	-12.2059
23.600000	107.833	-12.6406
24.000000	107.805	-13.2147
24.299999	107.782	-13.6461
24.700001	107.752	-14.2247
25.000000	107.728	-14.6602
25.400000	107.697	-15.2401
25.799999	107.666	-15.8139
26.200001	107.636	-16.3745
26.500000	107.613	-16.7820
26.900000	107.582	-17.3055
27.200001	107.558	-17.6846
27.600000	107.526	-18.1785
28.000000	107.492	-18.6680
28.500000	107.449	-19.2820
29.000000	107.404	-19.8956
29.500000	107.358	-20.4977
30.000000	107.313	-21.0810
30.400000	107.278	-21.5350
30.700001	107.252	-21.8694
31.100000	107.217	-22.3083
31.500000	107.181	-22.7393
32.000000	107.134	-23.2682
32.500000	107.088	-23.7925
33.000000	107.041	-24.3197
33.500000	106.994	-24.8473
34.000000	106.947	-25.3603
34.500000	106.900	-25.8443
35.000000	106.855	-26.3017
35.500000	106.811	-26.7510
36.000000	106.766	-27.2078
36.500000	106.716	-27.6715
37.000000	106.663	-28.1306
37.500000	106.609	-28.5773
38.200001	106.538	-29.1814
38.700001	106.490	-29.5928
39.500000	106.411	-30.1991
40.000000	106.361	-30.5582
40.599998	106.301	-31.0052
41.200001	106.239	-31.4862
41.799999	106.176	-31.9803
42.500000	106.103	-32.5299
43.099998	106.044	-32.9651
43.700001	105.986	-33.3752
44.400002	105.918	-33.8416
45.000000	105.860	-34.2469
45.500000	105.811	-34.5895
46.200001	105.740	-35.0564
46.799999	105.677	-35.4300
47.500000	105.603	-35.8555
48.200001	105.528	-36.3069
48.700001	105.473	-36.6407
49.400002	105.397	-37.0847
50.000000	105.336	-37.4215
50.799999	105.262	-37.8285
51.500000	105.197	-38.1808
52.200001	105.129	-38.5360
53.000000	105.048	-38.9344
53.799999	104.970	-39.3419
54.500000	104.900	-39.7157
55.200001	104.825	-40.0759
56.000000	104.739	-40.4428
57.000000	104.641	-40.8738
