* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:25:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.387	-7.0249
20.600000	108.363	-7.4698
20.900000	108.333	-7.9218
21.200001	108.304	-8.3479
21.400000	108.288	-8.6220
21.799999	108.263	-9.1666
22.000000	108.256	-9.4467
22.400000	108.248	-10.0400
22.700001	108.245	-10.5186
23.000000	108.240	-11.0206
23.299999	108.232	-11.5328
23.600000	108.218	-12.0398
24.000000	108.194	-12.6857
24.299999	108.173	-13.1412
24.700001	108.145	-13.7165
25.000000	108.124	-14.1339
25.400000	108.096	-14.6845
25.799999	108.067	-15.2317
26.200001	108.036	-15.7702
26.500000	108.012	-16.1646
26.900000	107.981	-16.6776
27.200001	107.958	-17.0557
27.600000	107.928	-17.5559
28.000000	107.898	-18.0528
28.500000	107.857	-18.6641
29.000000	107.815	-19.2582
29.500000	107.771	-19.8365
30.000000	107.728	-20.4050
30.400000	107.693	-20.8541
30.700001	107.667	-21.1872
31.100000	107.632	-21.6258
31.500000	107.598	-22.0582
32.000000	107.555	-22.5887
32.500000	107.511	-23.1049
33.000000	107.466	-23.6048
33.500000	107.421	-24.0946
34.000000	107.376	-24.5843
34.500000	107.331	-25.0756
35.000000	107.285	-25.5578
35.500000	107.239	-26.0208
36.000000	107.196	-26.4673
36.500000	107.153	-26.9085
37.000000	107.108	-27.3480
37.500000	107.059	-27.7768
38.200001	106.988	-28.3478
38.700001	106.939	-28.7498
39.500000	106.862	-29.4143
40.000000	106.811	-29.8229
40.599998	106.748	-30.2692
41.200001	106.691	-30.6764
41.799999	106.638	-31.0945
42.500000	106.574	-31.6289
43.099998	106.513	-32.0936
43.700001	106.450	-32.5322
44.400002	106.382	-33.0207
45.000000	106.325	-33.4337
45.500000	106.275	-33.7654
46.200001	106.205	-34.2001
46.799999	106.147	-34.5658
47.500000	106.079	-35.0084
48.200001	106.009	-35.4361
48.700001	105.961	-35.7140
49.400002	105.897	-36.0895
50.000000	105.842	-36.4309
50.799999	105.758	-36.8969
51.500000	105.682	-37.2809
52.200001	105.611	-37.6594
53.000000	105.533	-38.1007
53.799999	105.453	-38.5189
54.500000	105.382	-38.8622
55.200001	105.311	-39.1983
56.000000	105.230	-39.5627
57.000000	105.134	-39.9764
58.000000	105.041	-40.4005
59.000000	104.943	-40.8523
60.000000	104.853	-41.3006
60.799999	104.784	-41.6592
61.500000	104.717	-41.9203
62.200001	104.647	-42.1126
63.000000	104.570	-42.3508
64.000000	104.464	-42.7663
65.000000	104.354	-43.1332
66.000000	104.258	-43.4457
67.000000	104.163	-43.7751
68.000000	104.067	-44.0852
69.000000	103.973	-44.3665
70.000000	103.879	-44.6363
71.000000	103.779	-44.9272
72.000000	103.675	-45.2052
73.000000	103.582	-45.4753
74.000000	103.496	-45.7573
75.000000	103.408	-45.9882
76.199997	103.299	-46.2008
77.500000	103.172	-46.4280
78.800003	103.052	-46.7159
80.000000	102.938	-46.9846
81.199997	102.822	-47.1898
82.500000	102.700	-47.4630
83.800003	102.586	-47.6814
85.000000	102.489	-47.8136
86.199997	102.384	-47.9481
87.500000	102.269	-48.1044
88.500000	102.182	-48.2381
90.000000	102.055	-48.4090
91.199997	101.949	-48.5247
92.500000	101.836	-48.6276
93.800003	101.728	-48.7666
95.000000	101.629	-48.8716
96.199997	101.535	-48.9438
97.500000	101.430	-49.0438
98.800003	101.317	-49.1559
100.000000	101.216	-49.2334
101.500000	101.100	-49.2877
103.000000	100.982	-49.3282
104.400002	100.871	-49.3621
106.000000	100.750	-49.4009
107.500000	100.634	-49.4452
109.000000	100.514	-49.4869
110.599998	100.389	-49.4907
112.000000	100.284	-49.4748
113.800003	100.146	-49.4228
115.000000	100.054	-49.3854
117.199997	99.887	-49.3257
118.000000	99.829	-49.2590
120.599998	99.636	-49.1050
122.000000	99.534	-49.0500
124.099998	99.387	-48.9358
125.000000	99.321	-48.8667
126.500000	99.212	-48.6606
128.000000	99.106	-48.4218
131.500000	98.858	-47.9123
132.000000	98.824	-47.8252
134.000000	98.699	-47.3941
136.000000	98.589	-46.9333
138.000000	98.493	-46.3510
140.000000	98.414	-45.8866
143.000000	98.336	-45.4875
145.000000	98.275	-45.4069
147.500000	98.183	-45.3851
150.000000	98.058	-45.2364
152.500000	97.926	-45.0028
155.000000	97.792	-44.8141
157.500000	97.668	-44.4691
160.000000	97.547	-44.1449
162.500000	97.428	-43.9066
165.000000	97.305	-43.5007
167.500000	97.181	-43.1603
170.000000	97.064	-42.6408
172.500000	96.948	-42.2128
175.000000	96.827	-41.8269
177.500000	96.719	-41.4114
180.000000	96.617	-40.9389
182.500000	96.517	-40.4734
185.000000	96.419	-40.0104
187.500000	96.324	-39.5244
190.000000	96.231	-39.0124
192.500000	96.150	-38.5042
195.000000	96.075	-38.0460
197.500000	95.998	-37.5531
200.000000	95.933	-37.1472
203.000000	95.828	-36.6023
206.000000	95.739	-35.9029
209.000000	95.671	-35.3475
212.000000	95.599	-34.8379
214.000000	95.552	-34.5092
218.000000	95.461	-33.8224
220.000000	95.407	-33.5761
224.000000	95.290	-32.6819
227.000000	95.251	-32.0640
230.000000	95.223	-31.5989
233.000000	95.187	-31.1227
236.000000	95.122	-30.7266
240.000000	95.021	-29.7215
243.000000	95.002	-28.9712
247.000000	94.981	-28.3646
250.000000	94.920	-28.0579
254.000000	94.807	-27.1767
258.000000	94.783	-26.3943
262.000000	94.766	-26.0730
265.000000	94.741	-25.6038
269.000000	94.706	-24.9871
272.000000	94.658	-24.6626
276.000000	94.576	-24.2209
280.000000	94.522	-23.6018
285.000000	94.486	-22.6725
290.000000	94.436	-21.8098
295.000000	94.400	-21.1522
300.000000	94.365	-20.6093
304.000000	94.342	-20.2437
307.000000	94.327	-19.8538
311.000000	94.288	-19.2590
315.000000	94.248	-18.7550
320.000000	94.211	-18.1673
325.000000	94.176	-17.6110
330.000000	94.169	-17.1467
335.000000	94.142	-16.5231
340.000000	94.115	-15.9006
345.000000	94.108	-15.4011
350.000000	94.095	-14.9292
355.000000	94.064	-14.4432
360.000000	94.036	-13.8945
365.000000	94.017	-13.3483
370.000000	94.002	-12.8265
375.000000	93.987	-12.3541
382.000000	93.969	-11.7244
387.000000	93.958	-11.2718
395.000000	93.941	-10.5258
400.000000	93.926	-10.0622
406.000000	93.908	-9.5499
412.000000	93.895	-9.0575
418.000000	93.881	-8.5481
425.000000	93.867	-7.9626
431.000000	93.854	-7.4961
437.000000	93.840	-7.0229
444.000000	93.826	-6.4848
450.000000	93.816	-6.0514
455.000000	93.806	-5.6544
462.000000	93.795	-5.0995
468.000000	93.783	-4.6670
475.000000	93.770	-4.1547
482.000000	93.762	-3.6563
487.000000	93.755	-3.3440
494.000000	93.737	-2.9045
500.000000	93.719	-2.4712
508.000000	93.704	-1.8715
515.000000	93.695	-1.3901
522.000000	93.688	-0.9529
530.000000	93.683	-0.4493
538.000000	93.680	0.0977
545.000000	93.669	0.6185
552.000000	93.652	1.0971
560.000000	93.640	1.5820
570.000000	93.628	2.2297
580.000000	93.614	2.8697
590.000000	93.601	3.5047
600.000000	93.587	4.1395
608.000000	93.577	4.6545
615.000000	93.569	5.1067
622.000000	93.560	5.5528
630.000000	93.550	6.0558
640.000000	93.538	6.6924
650.000000	93.528	7.3294
660.000000	93.520	7.9870
670.000000	93.512	8.6398
680.000000	93.504	9.2901
690.000000	93.498	9.9434
700.000000	93.492	10.5968
710.000000	93.488	11.2508
720.000000	93.484	11.9080
730.000000	93.482	12.5699
740.000000	93.481	13.2367
750.000000	93.480	13.9097
762.000000	93.482	14.7186
775.000000	93.486	15.6009
788.000000	93.493	16.4958
800.000000	93.501	17.3255
812.000000	93.507	18.1429
825.000000	93.516	19.0401
838.000000	93.527	19.9461
850.000000	93.542	20.7856
862.000000	93.561	21.6229
875.000000	93.586	22.5278
885.000000	93.608	23.2192
900.000000	93.646	24.2510
912.000000	93.681	25.0683
925.000000	93.723	25.9391
938.000000	93.771	26.7923
950.000000	93.819	27.5636
962.000000	93.870	28.3217
975.000000	93.929	29.1193
988.000000	93.993	29.8860
1000.000000	94.054	30.5680
1015.000000	94.133	31.3849
1030.000000	94.215	32.1564
1044.000000	94.294	32.8319
1060.000000	94.386	33.5618
1075.000000	94.473	34.1977
1090.000000	94.560	34.7844
1106.000000	94.651	35.3638
1120.000000	94.730	35.8333
1138.000000	94.829	36.3900
1150.000000	94.893	36.7342
1172.000000	95.005	37.3100
1180.000000	95.043	37.5051
1206.000000	95.162	38.1039
1220.000000	95.222	38.4065
1241.000000	95.308	38.8332
1250.000000	95.344	39.0125
1265.000000	95.404	39.3127
1280.000000	95.464	39.6107
1315.000000	95.593	40.3006
1320.000000	95.611	40.4002
1340.000000	95.677	40.8051
1360.000000	95.740	41.2211
1380.000000	95.800	41.6485
1400.000000	95.858	42.0891
1430.000000	95.942	42.7792
1450.000000	95.996	43.2600
1475.000000	96.063	43.8843
1500.000000	96.130	44.5296
1525.000000	96.198	45.1983
1550.000000	96.267	45.8847
1575.000000	96.338	46.5916
1600.000000	96.410	47.3131
1625.000000	96.482	48.0476
1650.000000	96.556	48.7885
1675.000000	96.635	49.5285
1700.000000	96.717	50.2625
1725.000000	96.803	50.9884
1750.000000	96.891	51.7057
1775.000000	96.981	52.4218
1800.000000	97.076	53.1374
1825.000000	97.175	53.8488
1850.000000	97.278	54.5537
1875.000000	97.386	55.2480
1900.000000	97.498	55.9260
1925.000000	97.616	56.5861
1950.000000	97.738	57.2257
1975.000000	97.865	57.8426
2000.000000	97.996	58.4346
2030.000000	98.162	59.1065
2060.000000	98.335	59.7349
2090.000000	98.514	60.3144
2120.000000	98.698	60.8389
2140.000000	98.824	61.1563
2180.000000	99.082	61.7098
2200.000000	99.214	61.9423
2240.000000	99.483	62.3120
2270.000000	99.688	62.5001
2300.000000	99.895	62.6071
2330.000000	100.104	62.6285
2360.000000	100.313	62.5609
2400.000000	100.591	62.3264
2430.000000	100.796	62.0380
2470.000000	101.064	61.5027
2500.000000	101.260	60.9872
