* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 2, 2025 9:26:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Kiwi X HBB Punch Type E
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.525	-7.1056
20.600000	108.506	-7.5741
20.900000	108.480	-8.0715
21.200001	108.454	-8.5618
21.400000	108.438	-8.8862
21.799999	108.413	-9.5367
22.000000	108.403	-9.8648
22.400000	108.387	-10.5257
22.700001	108.378	-11.0208
23.000000	108.367	-11.5092
23.299999	108.356	-11.9862
23.600000	108.343	-12.4484
24.000000	108.322	-13.0407
24.299999	108.305	-13.4683
24.700001	108.279	-14.0210
25.000000	108.258	-14.4258
25.400000	108.228	-14.9576
25.799999	108.196	-15.4846
26.200001	108.164	-16.0098
26.500000	108.139	-16.4025
26.900000	108.105	-16.9227
27.200001	108.080	-17.3085
27.600000	108.046	-17.8144
28.000000	108.013	-18.3095
28.500000	107.972	-18.9140
29.000000	107.932	-19.5047
29.500000	107.890	-20.0831
30.000000	107.847	-20.6491
30.400000	107.813	-21.0934
30.700001	107.787	-21.4222
31.100000	107.752	-21.8551
31.500000	107.719	-22.2820
32.000000	107.677	-22.8074
32.500000	107.636	-23.3231
33.000000	107.593	-23.8264
33.500000	107.547	-24.3123
34.000000	107.498	-24.7785
34.500000	107.448	-25.2307
35.000000	107.400	-25.6814
35.500000	107.355	-26.1408
36.000000	107.310	-26.6082
36.500000	107.267	-27.0724
37.000000	107.223	-27.5212
37.500000	107.177	-27.9500
38.200001	107.110	-28.5289
38.700001	107.057	-28.9386
39.500000	106.968	-29.5915
40.000000	106.917	-29.9966
40.599998	106.863	-30.4841
41.200001	106.815	-30.9635
41.799999	106.764	-31.4046
42.500000	106.696	-31.8678
43.099998	106.633	-32.2753
43.700001	106.564	-32.7154
44.400002	106.488	-33.2125
45.000000	106.436	-33.5975
45.500000	106.395	-33.9014
46.200001	106.323	-34.2830
46.799999	106.252	-34.5859
47.500000	106.186	-35.1651
48.200001	106.119	-36.1810
48.700001	106.050	-36.9434
49.400002	105.940	-37.5243
50.000000	105.883	-37.4847
50.799999	105.857	-37.3138
51.500000	105.810	-37.4538
52.200001	105.724	-37.7610
53.000000	105.631	-38.1851
53.799999	105.556	-38.6433
54.500000	105.491	-38.9794
55.200001	105.424	-39.2728
56.000000	105.344	-39.6408
57.000000	105.244	-40.1005
58.000000	105.151	-40.5098
59.000000	105.047	-40.9262
60.000000	104.941	-41.3747
60.799999	104.862	-41.6679
61.500000	104.797	-41.8289
62.200001	104.731	-41.9638
63.000000	104.646	-42.1762
64.000000	104.539	-42.5757
65.000000	104.447	-43.0642
66.000000	104.357	-43.4602
67.000000	104.265	-43.7477
68.000000	104.167	-44.0574
69.000000	104.065	-44.3700
70.000000	103.966	-44.6386
71.000000	103.865	-44.8789
72.000000	103.766	-45.1111
73.000000	103.675	-45.3507
74.000000	103.590	-45.6019
75.000000	103.502	-45.8201
76.199997	103.393	-46.0247
77.500000	103.277	-46.2610
78.800003	103.161	-46.4812
80.000000	103.051	-46.6614
81.199997	102.943	-46.8992
82.500000	102.832	-47.1762
83.800003	102.723	-47.3695
85.000000	102.622	-47.5516
86.199997	102.520	-47.7523
87.500000	102.409	-47.9454
88.500000	102.323	-48.0899
90.000000	102.186	-48.3170
91.199997	102.082	-48.4652
92.500000	101.981	-48.5394
93.800003	101.868	-48.6248
95.000000	101.765	-48.7615
96.199997	101.656	-48.6100
97.500000	101.461	-47.8985
98.800003	101.299	-47.5654
100.000000	101.247	-48.5015
101.500000	101.190	-49.2466
103.000000	101.082	-49.2577
104.400002	100.965	-49.2664
106.000000	100.844	-49.2312
107.500000	100.721	-49.1839
109.000000	100.606	-49.1048
110.599998	100.494	-48.9194
112.000000	100.392	-48.7561
113.800003	100.249	-48.5990
115.000000	100.159	-48.3620
117.199997	100.004	-47.9897
118.000000	99.951	-47.9864
120.599998	99.819	-47.8543
122.000000	99.754	-47.7239
124.099998	99.660	-47.6001
125.000000	99.618	-47.5615
126.500000	99.538	-47.5039
128.000000	99.449	-47.4512
131.500000	99.268	-47.2699
132.000000	99.241	-47.2855
134.000000	99.127	-47.3817
136.000000	99.009	-47.3875
138.000000	98.887	-47.2862
140.000000	98.774	-47.1372
143.000000	98.619	-46.8578
145.000000	98.513	-46.9187
147.500000	98.383	-47.7276
150.000000	98.222	-46.9339
152.500000	98.082	-45.8645
155.000000	97.956	-45.4031
157.500000	97.830	-45.0439
160.000000	97.704	-44.6739
162.500000	97.584	-44.3343
165.000000	97.473	-43.9798
167.500000	97.357	-43.5437
170.000000	97.237	-43.1040
172.500000	97.122	-42.6852
175.000000	97.009	-42.2526
177.500000	96.903	-41.8183
180.000000	96.802	-41.3789
182.500000	96.703	-40.9336
185.000000	96.606	-40.4937
187.500000	96.512	-40.0522
190.000000	96.423	-39.6045
192.500000	96.345	-39.1462
195.000000	96.294	-38.6975
197.500000	96.236	-38.2531
200.000000	96.126	-37.7761
203.000000	96.009	-37.1969
206.000000	95.922	-36.6447
209.000000	95.845	-36.1047
212.000000	95.769	-35.5788
214.000000	95.720	-35.2245
218.000000	95.622	-34.5074
220.000000	95.575	-34.1450
224.000000	95.484	-33.4289
227.000000	95.418	-32.8954
230.000000	95.358	-32.3647
233.000000	95.303	-31.8375
236.000000	95.248	-31.3231
240.000000	95.178	-30.6560
243.000000	95.129	-30.1769
247.000000	95.066	-29.5528
250.000000	95.020	-29.0091
254.000000	94.960	-28.3173
258.000000	94.902	-27.6694
262.000000	94.849	-27.0303
265.000000	94.812	-26.5617
269.000000	94.764	-25.9458
272.000000	94.729	-25.4876
276.000000	94.685	-24.8877
280.000000	94.644	-24.3008
285.000000	94.596	-23.5808
290.000000	94.550	-22.8792
295.000000	94.507	-22.1985
300.000000	94.467	-21.5277
304.000000	94.436	-21.0077
307.000000	94.415	-20.6215
311.000000	94.388	-20.1127
315.000000	94.362	-19.6151
320.000000	94.332	-19.0048
325.000000	94.302	-18.4036
330.000000	94.275	-17.8194
335.000000	94.250	-17.2519
340.000000	94.225	-16.6989
345.000000	94.203	-16.1536
350.000000	94.181	-15.6186
355.000000	94.160	-15.0973
360.000000	94.140	-14.5845
365.000000	94.121	-14.0803
370.000000	94.103	-13.5884
375.000000	94.086	-13.1062
382.000000	94.062	-12.4420
387.000000	94.047	-11.9790
395.000000	94.024	-11.2530
400.000000	94.010	-10.8063
406.000000	93.994	-10.2847
412.000000	93.978	-9.7763
418.000000	93.963	-9.2739
425.000000	93.947	-8.7004
431.000000	93.934	-8.2180
437.000000	93.921	-7.7427
444.000000	93.906	-7.2035
450.000000	93.892	-6.7497
455.000000	93.882	-6.3750
462.000000	93.867	-5.8561
468.000000	93.855	-5.4164
475.000000	93.840	-4.9104
482.000000	93.826	-4.4125
487.000000	93.816	-4.0610
494.000000	93.802	-3.5720
500.000000	93.790	-3.1562
508.000000	93.775	-2.6048
515.000000	93.762	-2.1267
522.000000	93.749	-1.6486
530.000000	93.734	-1.1055
538.000000	93.721	-0.5665
545.000000	93.709	-0.0975
552.000000	93.696	0.3691
560.000000	93.683	0.9037
570.000000	93.668	1.5690
580.000000	93.654	2.2280
590.000000	93.640	2.8842
600.000000	93.626	3.5384
608.000000	93.617	4.0623
615.000000	93.609	4.5202
622.000000	93.601	4.9753
630.000000	93.592	5.4923
640.000000	93.583	6.1397
650.000000	93.573	6.7886
660.000000	93.564	7.4399
670.000000	93.557	8.0917
680.000000	93.550	8.7386
690.000000	93.543	9.3908
700.000000	93.538	10.0464
710.000000	93.533	10.7046
