* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:29:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch W1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.029	-8.3656
20.600000	108.016	-8.8372
20.900000	108.003	-9.3459
21.200001	107.991	-9.8660
21.400000	107.983	-10.2233
21.799999	107.968	-10.9626
22.000000	107.958	-11.3376
22.400000	107.931	-12.0677
22.700001	107.903	-12.5742
23.000000	107.871	-13.0347
23.299999	107.840	-13.4553
23.600000	107.810	-13.8543
24.000000	107.776	-14.3900
24.299999	107.752	-14.8125
24.700001	107.721	-15.4034
25.000000	107.696	-15.8529
25.400000	107.663	-16.4364
25.799999	107.630	-16.9896
26.200001	107.601	-17.5199
26.500000	107.579	-17.9125
26.900000	107.547	-18.4368
27.200001	107.521	-18.8290
27.600000	107.482	-19.3427
28.000000	107.441	-19.8403
28.500000	107.393	-20.4454
29.000000	107.349	-21.0481
29.500000	107.307	-21.6534
30.000000	107.263	-22.2464
30.400000	107.224	-22.7000
30.700001	107.194	-23.0269
31.100000	107.155	-23.4504
31.500000	107.116	-23.8707
32.000000	107.069	-24.4065
32.500000	107.021	-24.9543
33.000000	106.971	-25.4952
33.500000	106.920	-26.0063
34.000000	106.871	-26.4834
34.500000	106.825	-26.9451
35.000000	106.779	-27.4146
35.500000	106.731	-27.8979
36.000000	106.680	-28.3812
36.500000	106.625	-28.8464
37.000000	106.570	-29.2857
37.500000	106.518	-29.7067
38.200001	106.452	-30.2956
38.700001	106.406	-30.7298
39.500000	106.325	-31.4198
40.000000	106.268	-31.8141
40.599998	106.200	-32.2399
41.200001	106.136	-32.6503
41.799999	106.075	-33.0864
42.500000	106.003	-33.6246
43.099998	105.939	-34.0752
43.700001	105.877	-34.5007
44.400002	105.808	-34.9810
45.000000	105.747	-35.3858
45.500000	105.695	-35.7124
46.200001	105.620	-36.1572
46.799999	105.555	-36.5460
47.500000	105.475	-36.9978
48.200001	105.398	-37.3918
48.700001	105.353	-37.6403
49.400002	105.299	-38.0135
50.000000	105.248	-38.3886
50.799999	105.156	-38.8819
51.500000	105.067	-39.2458
52.200001	104.989	-39.5994
53.000000	104.908	-40.0332
53.799999	104.827	-40.4380
54.500000	104.757	-40.7585
55.200001	104.683	-41.0852
56.000000	104.594	-41.4665
57.000000	104.487	-41.9204
58.000000	104.386	-42.3718
59.000000	104.286	-42.8071
60.000000	104.194	-43.1858
60.799999	104.124	-43.4260
61.500000	104.062	-43.5965
62.200001	103.997	-43.8019
63.000000	103.911	-44.1437
64.000000	103.787	-44.6211
65.000000	103.669	-45.0164
66.000000	103.561	-45.3486
67.000000	103.458	-45.6591
68.000000	103.356	-45.9927
69.000000	103.253	-46.3010
70.000000	103.155	-46.5659
71.000000	103.058	-46.8366
72.000000	102.957	-47.1014
73.000000	102.853	-47.3417
74.000000	102.749	-47.5655
75.000000	102.647	-47.7788
76.199997	102.524	-48.0143
77.500000	102.394	-48.2429
78.800003	102.271	-48.4714
80.000000	102.153	-48.6183
81.199997	102.039	-48.6870
82.500000	101.911	-48.8763
83.800003	101.771	-49.0033
85.000000	101.668	-49.0435
86.199997	101.583	-49.1094
87.500000	101.494	-49.1865
88.500000	101.418	-49.2913
90.000000	101.296	-49.4907
91.199997	101.201	-49.6919
92.500000	101.092	-49.8760
93.800003	100.990	-49.9799
95.000000	100.897	-50.0884
96.199997	100.798	-50.2170
97.500000	100.684	-50.3585
98.800003	100.562	-50.3888
100.000000	100.453	-50.3400
101.500000	100.341	-50.4272
103.000000	100.236	-50.5142
104.400002	100.133	-50.5507
106.000000	100.001	-50.6292
107.500000	99.878	-50.6814
109.000000	99.759	-50.7570
110.599998	99.628	-50.8134
112.000000	99.519	-50.7574
113.800003	99.385	-50.6538
115.000000	99.292	-50.5911
117.199997	99.121	-50.4499
118.000000	99.063	-50.3933
120.599998	98.879	-50.1943
122.000000	98.783	-50.0839
124.099998	98.642	-49.8870
125.000000	98.585	-49.7989
126.500000	98.493	-49.6596
128.000000	98.403	-49.5278
131.500000	98.194	-49.2294
132.000000	98.164	-49.1907
134.000000	98.045	-49.0535
136.000000	97.925	-48.9096
138.000000	97.804	-48.7267
140.000000	97.680	-48.4957
143.000000	97.501	-48.1299
145.000000	97.386	-47.8600
147.500000	97.237	-47.5085
150.000000	97.083	-47.1502
152.500000	96.965	-46.8039
155.000000	96.844	-46.4207
157.500000	96.718	-46.0026
160.000000	96.591	-45.5833
162.500000	96.465	-45.1543
165.000000	96.340	-44.7114
167.500000	96.219	-44.2453
170.000000	96.101	-43.7663
172.500000	95.986	-43.2844
175.000000	95.876	-42.8120
177.500000	95.770	-42.3315
180.000000	95.669	-41.8328
182.500000	95.571	-41.3263
185.000000	95.476	-40.8257
187.500000	95.384	-40.3293
190.000000	95.295	-39.8286
192.500000	95.206	-39.3418
195.000000	95.120	-38.8510
197.500000	95.039	-38.3484
200.000000	94.962	-37.8564
203.000000	94.875	-37.2647
206.000000	94.792	-36.6742
209.000000	94.710	-36.0918
212.000000	94.632	-35.5045
214.000000	94.582	-35.1123
218.000000	94.487	-34.3260
220.000000	94.442	-33.9342
224.000000	94.353	-33.1518
227.000000	94.290	-32.5702
230.000000	94.232	-31.9845
233.000000	94.176	-31.4088
236.000000	94.122	-30.8438
240.000000	94.054	-30.0969
243.000000	94.005	-29.5486
247.000000	93.943	-28.8535
250.000000	93.897	-28.3405
254.000000	93.843	-27.5825
258.000000	93.791	-26.8591
262.000000	93.742	-26.1693
265.000000	93.707	-25.6644
269.000000	93.662	-25.0010
272.000000	93.631	-24.5099
276.000000	93.592	-23.8648
280.000000	93.555	-23.2330
285.000000	93.512	-22.4625
290.000000	93.473	-21.7120
295.000000	93.437	-20.9869
300.000000	93.405	-20.2865
304.000000	93.379	-19.7207
307.000000	93.359	-19.3048
311.000000	93.335	-18.7660
315.000000	93.314	-18.2391
320.000000	93.289	-17.5941
325.000000	93.267	-16.9629
330.000000	93.245	-16.3500
335.000000	93.224	-15.7548
340.000000	93.205	-15.1772
345.000000	93.185	-14.6218
350.000000	93.166	-14.0838
355.000000	93.152	-13.5224
360.000000	93.139	-12.9724
365.000000	93.126	-12.4476
370.000000	93.113	-11.9422
375.000000	93.101	-11.4430
382.000000	93.084	-10.7592
387.000000	93.073	-10.2822
395.000000	93.057	-9.5533
400.000000	93.048	-9.1100
406.000000	93.037	-8.5535
412.000000	93.025	-8.0182
418.000000	93.014	-7.5025
425.000000	93.002	-6.9151
431.000000	92.992	-6.4214
437.000000	92.983	-5.9383
444.000000	92.974	-5.3977
450.000000	92.968	-4.9453
455.000000	92.959	-4.5426
462.000000	92.947	-3.9870
468.000000	92.939	-3.5312
475.000000	92.930	-3.0147
482.000000	92.921	-2.5059
487.000000	92.914	-2.1462
494.000000	92.905	-1.6523
500.000000	92.897	-1.2372
508.000000	92.887	-0.6686
515.000000	92.879	-0.1796
522.000000	92.871	0.3023
530.000000	92.861	0.8466
538.000000	92.851	1.3869
545.000000	92.842	1.8586
552.000000	92.833	2.3269
560.000000	92.825	2.8590
