* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:26:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi X HBB Punch W1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.226	-8.2021
20.600000	108.206	-8.7036
20.900000	108.181	-9.2541
21.200001	108.156	-9.8162
21.400000	108.141	-10.1952
21.799999	108.112	-10.9525
22.000000	108.099	-11.3231
22.400000	108.072	-12.0265
22.700001	108.053	-12.5093
23.000000	108.033	-12.9519
23.299999	108.014	-13.3627
23.600000	107.995	-13.7557
24.000000	107.969	-14.2781
24.299999	107.948	-14.6817
24.700001	107.918	-15.2405
25.000000	107.892	-15.6707
25.400000	107.857	-16.2479
25.799999	107.823	-16.8191
26.200001	107.790	-17.3775
26.500000	107.766	-17.7854
26.900000	107.734	-18.3118
27.200001	107.709	-18.6928
27.600000	107.675	-19.1847
28.000000	107.640	-19.6657
28.500000	107.594	-20.2641
29.000000	107.544	-20.8607
29.500000	107.492	-21.4392
30.000000	107.440	-21.9844
30.400000	107.401	-22.3998
30.700001	107.374	-22.7067
31.100000	107.340	-23.1193
31.500000	107.306	-23.5405
32.000000	107.265	-24.0739
32.500000	107.223	-24.6031
33.000000	107.181	-25.1240
33.500000	107.140	-25.6430
34.000000	107.094	-26.1624
34.500000	107.043	-26.6718
35.000000	106.986	-27.1566
35.500000	106.927	-27.6132
36.000000	106.869	-28.0485
36.500000	106.815	-28.4677
37.000000	106.765	-28.8694
37.500000	106.721	-29.2581
38.200001	106.667	-29.8146
38.700001	106.625	-30.2371
39.500000	106.543	-30.9082
40.000000	106.487	-31.2931
40.599998	106.422	-31.7402
41.200001	106.362	-32.2109
41.799999	106.301	-32.6963
42.500000	106.229	-33.2268
