* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2024 12:23:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwiears KE4 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.384	7.7290
20.600000	102.379	7.3319
20.900000	102.371	6.9016
21.200001	102.363	6.4735
21.400000	102.358	6.1937
21.799999	102.352	5.6547
22.000000	102.352	5.3969
22.400000	102.356	4.9000
22.700001	102.362	4.5351
23.000000	102.368	4.1687
23.299999	102.373	3.7974
23.600000	102.375	3.4230
24.000000	102.373	2.9287
24.299999	102.368	2.5690
24.700001	102.361	2.1083
25.000000	102.357	1.7746
25.400000	102.351	1.3395
25.799999	102.346	0.9119
26.200001	102.340	0.4933
26.500000	102.334	0.1869
26.900000	102.326	-0.2128
27.200001	102.319	-0.5089
27.600000	102.309	-0.9041
28.000000	102.299	-1.3014
28.500000	102.286	-1.7976
29.000000	102.273	-2.2880
29.500000	102.262	-2.7709
30.000000	102.250	-3.2428
30.400000	102.239	-3.6061
30.700001	102.230	-3.8682
31.100000	102.218	-4.2063
31.500000	102.207	-4.5379
32.000000	102.193	-4.9500
32.500000	102.176	-5.3525
33.000000	102.157	-5.7312
33.500000	102.137	-6.0891
34.000000	102.118	-6.4502
34.500000	102.100	-6.8360
35.000000	102.083	-7.2448
35.500000	102.066	-7.6568
36.000000	102.050	-8.0499
36.500000	102.033	-8.4072
37.000000	102.013	-8.7219
37.500000	101.992	-9.0057
38.200001	101.967	-9.4145
38.700001	101.955	-9.7582
39.500000	101.937	-10.3775
40.000000	101.919	-10.7397
40.599998	101.887	-11.0923
41.200001	101.850	-11.3895
41.799999	101.815	-11.7253
42.500000	101.782	-12.2065
43.099998	101.761	-12.6058
43.700001	101.747	-12.9278
44.400002	101.721	-13.2469
45.000000	101.679	-13.5235
45.500000	101.642	-13.7878
46.200001	101.608	-14.2656
46.799999	101.589	-14.6400
47.500000	101.562	-14.5257
48.200001	101.579	-13.7806
48.700001	101.624	-13.4554
49.400002	101.640	-14.0262
50.000000	101.541	-15.2142
50.799999	101.351	-16.5277
51.500000	101.294	-17.0596
52.200001	101.320	-17.4077
53.000000	101.315	-17.6931
53.799999	101.266	-17.8701
54.500000	101.225	-18.1702
55.200001	101.187	-18.5633
56.000000	101.152	-18.8905
57.000000	101.113	-19.2014
58.000000	101.057	-19.6301
59.000000	101.004	-20.0749
60.000000	100.971	-20.4825
60.799999	100.938	-20.9572
61.500000	100.873	-21.3771
62.200001	100.799	-21.5531
63.000000	100.751	-21.5520
64.000000	100.725	-21.7708
65.000000	100.665	-22.2087
66.000000	100.594	-22.6023
67.000000	100.529	-22.9428
68.000000	100.473	-23.2339
69.000000	100.421	-23.5515
70.000000	100.364	-23.8659
71.000000	100.303	-24.1554
72.000000	100.244	-24.4601
73.000000	100.185	-24.7697
74.000000	100.123	-25.0378
75.000000	100.057	-25.2662
76.199997	99.981	-25.5198
77.500000	99.907	-25.8001
78.800003	99.834	-26.1433
80.000000	99.755	-26.4357
81.199997	99.651	-26.5420
82.500000	99.549	-26.7045
83.800003	99.469	-27.0460
85.000000	99.403	-27.2802
86.199997	99.338	-27.5038
87.500000	99.236	-27.7918
88.500000	99.132	-27.9652
90.000000	98.990	-27.7051
91.199997	98.895	-27.1470
92.500000	98.842	-27.3281
93.800003	98.881	-27.6408
95.000000	98.867	-27.8786
96.199997	98.906	-30.6440
97.500000	99.270	-35.9846
98.800003	99.234	-35.2108
100.000000	98.932	-28.4450
101.500000	98.613	-26.9824
103.000000	98.464	-28.7992
104.400002	98.377	-28.9640
106.000000	98.284	-29.2354
107.500000	98.211	-29.3216
109.000000	98.090	-29.3376
110.599998	97.989	-29.3745
112.000000	97.907	-29.3474
113.800003	97.792	-29.4232
115.000000	97.725	-29.4093
117.199997	97.605	-29.4058
118.000000	97.553	-29.4288
120.599998	97.392	-29.4171
122.000000	97.315	-29.3406
124.099998	97.199	-29.2490
125.000000	97.149	-29.2158
126.500000	97.065	-29.1600
128.000000	96.983	-29.1089
131.500000	96.804	-28.8150
132.000000	96.779	-28.7546
134.000000	96.678	-28.5335
136.000000	96.581	-28.3285
138.000000	96.483	-28.0990
140.000000	96.383	-27.8485
143.000000	96.237	-27.4659
145.000000	96.133	-27.4288
147.500000	95.997	-27.6090
150.000000	95.936	-26.7083
152.500000	95.844	-26.0354
155.000000	95.745	-25.6014
157.500000	95.648	-25.1678
160.000000	95.555	-24.7193
162.500000	95.461	-24.2557
165.000000	95.366	-23.7600
167.500000	95.280	-23.3017
170.000000	95.191	-22.8166
172.500000	95.106	-22.3078
175.000000	95.030	-21.7687
177.500000	94.957	-21.2180
180.000000	94.883	-20.6980
182.500000	94.814	-20.1989
185.000000	94.753	-19.6567
187.500000	94.696	-19.1255
190.000000	94.641	-18.6137
192.500000	94.585	-18.0995
195.000000	94.529	-17.6935
197.500000	94.477	-17.2643
200.000000	94.433	-16.6330
203.000000	94.387	-15.9620
206.000000	94.346	-15.3367
209.000000	94.308	-14.7242
212.000000	94.270	-14.1381
214.000000	94.246	-13.7429
218.000000	94.207	-12.9330
220.000000	94.189	-12.5408
224.000000	94.158	-11.7777
227.000000	94.139	-11.2128
230.000000	94.121	-10.6584
233.000000	94.105	-10.1171
236.000000	94.091	-9.5896
240.000000	94.080	-8.8997
243.000000	94.080	-8.3856
247.000000	94.074	-7.7353
250.000000	94.061	-7.2814
254.000000	94.050	-6.6773
258.000000	94.045	-6.0832
262.000000	94.044	-5.5140
265.000000	94.043	-5.1023
269.000000	94.043	-4.5652
272.000000	94.043	-4.1771
276.000000	94.045	-3.6789
280.000000	94.048	-3.1954
285.000000	94.053	-2.6070
290.000000	94.051	-1.8356
295.000000	94.048	-0.9014
300.000000	94.070	-0.8305
304.000000	94.082	-0.6134
307.000000	94.088	-0.3629
311.000000	94.096	-0.0052
315.000000	94.103	0.3509
320.000000	94.111	0.7776
325.000000	94.119	1.1833
330.000000	94.127	1.5722
335.000000	94.135	1.9526
340.000000	94.142	2.3200
345.000000	94.147	2.6710
350.000000	94.152	3.0107
355.000000	94.156	3.3337
360.000000	94.160	3.6482
365.000000	94.164	3.9559
370.000000	94.166	4.2475
375.000000	94.168	4.5326
382.000000	94.167	4.9270
387.000000	94.164	5.2163
395.000000	94.158	5.6786
400.000000	94.157	5.9162
406.000000	94.152	6.2174
412.000000	94.147	6.5225
418.000000	94.142	6.8240
425.000000	94.133	7.1616
431.000000	94.124	7.4466
437.000000	94.113	7.7298
444.000000	94.099	8.0599
450.000000	94.086	8.3482
455.000000	94.076	8.5940
462.000000	94.065	8.9283
468.000000	94.056	9.1730
475.000000	94.039	9.4076
482.000000	94.012	9.6395
487.000000	93.988	9.8171
494.000000	93.947	10.0919
500.000000	93.907	10.3827
508.000000	93.859	10.8465
515.000000	93.823	11.2721
522.000000	93.791	11.6880
530.000000	93.750	12.1021
538.000000	93.686	12.5600
545.000000	93.633	13.2160
552.000000	93.615	13.9446
560.000000	93.618	14.5904
570.000000	93.616	15.1785
580.000000	93.597	15.7086
590.000000	93.568	16.2492
600.000000	93.534	16.8088
608.000000	93.506	17.2703
615.000000	93.480	17.6851
622.000000	93.454	18.1074
630.000000	93.423	18.6008
640.000000	93.384	19.2308
650.000000	93.346	19.8725
660.000000	93.307	20.5326
670.000000	93.269	21.2048
680.000000	93.232	21.8921
690.000000	93.196	22.5895
700.000000	93.160	23.2969
710.000000	93.126	24.0206
720.000000	93.092	24.7533
730.000000	93.059	25.4910
740.000000	93.027	26.2390
750.000000	92.996	26.9975
762.000000	92.960	27.9204
775.000000	92.924	28.9371
788.000000	92.889	29.9701
800.000000	92.858	30.9391
812.000000	92.827	31.9219
825.000000	92.794	33.0028
838.000000	92.764	34.0959
850.000000	92.740	35.1123
862.000000	92.720	36.1354
875.000000	92.702	37.2548
885.000000	92.691	38.1202
900.000000	92.680	39.4187
912.000000	92.677	40.4560
925.000000	92.678	41.5771
938.000000	92.683	42.6961
950.000000	92.692	43.7176
962.000000	92.705	44.7250
975.000000	92.723	45.8025
988.000000	92.745	46.8613
1000.000000	92.768	47.8211
1015.000000	92.801	48.9919
1030.000000	92.836	50.1311
1044.000000	92.871	51.1610
1060.000000	92.914	52.2971
1075.000000	92.956	53.3237
1090.000000	92.998	54.3172
1106.000000	93.042	55.3406
1120.000000	93.080	56.2064
1138.000000	93.128	57.2810
1150.000000	93.158	57.9784
1172.000000	93.210	59.2208
1180.000000	93.227	59.6630
1206.000000	93.280	61.0749
1220.000000	93.305	61.8196
1241.000000	93.342	62.9228
1250.000000	93.357	63.3924
1265.000000	93.385	64.1714
1280.000000	93.411	64.9483
1315.000000	93.465	66.7721
1320.000000	93.471	67.0363
1340.000000	93.496	68.1043
1360.000000	93.518	69.1919
1380.000000	93.539	70.2989
1400.000000	93.559	71.4238
1430.000000	93.587	73.1516
1450.000000	93.606	74.3281
1475.000000	93.631	75.8238
1500.000000	93.657	77.3490
1525.000000	93.686	78.8974
1550.000000	93.718	80.4711
1575.000000	93.752	82.0642
1600.000000	93.789	83.6776
1625.000000	93.825	85.3035
1650.000000	93.863	86.9386
1675.000000	93.906	88.5864
1700.000000	93.954	90.2443
1725.000000	94.006	91.9077
1750.000000	94.063	93.5773
1775.000000	94.124	95.2475
1800.000000	94.190	96.9173
1825.000000	94.262	98.5881
1850.000000	94.338	100.2601
1875.000000	94.419	101.9325
1900.000000	94.507	103.6033
1925.000000	94.600	105.2727
1950.000000	94.701	106.9336
1975.000000	94.810	108.5708
2000.000000	94.927	110.1748
2030.000000	95.075	112.0457
2060.000000	95.227	113.8622
2090.000000	95.381	115.6407
2120.000000	95.537	117.3946
2140.000000	95.642	118.5554
2180.000000	95.857	120.8603
2200.000000	95.967	122.0086
2240.000000	96.196	124.3005
2270.000000	96.375	126.0136
2300.000000	96.563	127.7211
2330.000000	96.762	129.4140
2360.000000	96.973	131.0788
2400.000000	97.273	133.2225
2430.000000	97.510	134.7510
2470.000000	97.838	136.6859
2500.000000	98.093	138.0853
2540.000000	98.453	139.9177
2580.000000	98.853	141.6603
2620.000000	99.297	143.1503
2650.000000	99.651	143.9842
2690.000000	100.127	144.6475
2720.000000	100.470	144.8423
2760.000000	100.897	144.8036
2800.000000	101.292	144.5381
2850.000000	101.753	143.9551
2900.000000	102.184	143.0094
2950.000000	102.566	141.6124
3000.000000	102.868	139.8280
3040.000000	103.042	138.2488
3070.000000	103.131	137.0452
3110.000000	103.199	135.4866
3150.000000	103.215	134.0467
3200.000000	103.177	132.4904
3250.000000	103.090	131.2544
3300.000000	102.972	130.3453
3350.000000	102.836	129.7454
3400.000000	102.692	129.4062
3450.000000	102.546	129.2852
3500.000000	102.401	129.3431
3550.000000	102.257	129.5497
3600.000000	102.118	129.8833
3650.000000	101.982	130.3153
3700.000000	101.849	130.8176
3750.000000	101.715	131.3660
3820.000000	101.515	132.2240
3870.000000	101.359	132.9519
3950.000000	101.087	134.4891
4000.000000	100.915	135.7720
4060.000000	100.729	137.6723
4120.000000	100.595	139.8993
4180.000000	100.537	142.2792
4250.000000	100.570	144.9323
4310.000000	100.668	146.8557
4370.000000	100.801	148.3247
4440.000000	100.962	149.4393
4500.000000	101.076	149.9619
4550.000000	101.142	150.1881
4620.000000	101.185	150.3545
4680.000000	101.184	150.4793
4750.000000	101.157	150.6642
4820.000000	101.116	150.8478
4870.000000	101.077	150.9302
4940.000000	101.001	150.9398
5000.000000	100.907	150.8668
5080.000000	100.726	150.7534
5150.000000	100.514	150.7763
5220.000000	100.262	151.0210
5300.000000	99.939	151.6521
5380.000000	99.596	152.7197
5450.000000	99.294	154.0356
5520.000000	99.008	155.7050
5600.000000	98.715	157.9985
5700.000000	98.425	161.3079
5800.000000	98.235	164.9131
5900.000000	98.152	168.6018
6000.000000	98.173	172.1807
6080.000000	98.259	174.8592
6150.000000	98.378	177.0076
6220.000000	98.536	178.9399
6300.000000	98.761	-179.1288
6400.000000	99.110	-177.1122
6500.000000	99.526	-175.5341
6600.000000	100.013	-174.4986
6700.000000	100.578	-174.2756
6800.000000	101.198	-175.3211
6900.000000	101.783	-178.0293
7000.000000	102.217	177.6655
7100.000000	102.403	172.2079
7200.000000	102.284	166.3078
7300.000000	101.853	160.7734
7400.000000	101.158	156.3860
7500.000000	100.306	153.7361
7620.000000	99.272	152.5879
7750.000000	98.198	153.0945
7880.000000	97.212	155.2409
8000.000000	96.406	158.3382
8120.000000	95.699	162.2402
8250.000000	95.103	167.0740
8380.000000	94.740	171.8820
8500.000000	94.571	175.5604
8620.000000	94.462	178.2826
8750.000000	94.330	-179.5848
8850.000000	94.198	-178.3408
9000.000000	93.921	-176.9214
9120.000000	93.605	-175.9448
9250.000000	93.154	-174.6203
9380.000000	92.620	-172.5456
9500.000000	92.119	-169.7357
