* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2024 12:26:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwiears KE4 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.553	9.3677
20.600000	102.555	9.0088
20.900000	102.559	8.6139
21.200001	102.568	8.1852
21.400000	102.575	7.8729
21.799999	102.588	7.1916
22.000000	102.592	6.8376
22.400000	102.590	6.1559
22.700001	102.582	5.7044
23.000000	102.574	5.3176
23.299999	102.567	4.9838
23.600000	102.566	4.6756
24.000000	102.569	4.2531
24.299999	102.573	3.9051
24.700001	102.576	3.4002
25.000000	102.575	3.0077
25.400000	102.570	2.4929
25.799999	102.565	2.0026
26.200001	102.562	1.5345
26.500000	102.560	1.1927
26.900000	102.556	0.7464
27.200001	102.551	0.4198
27.600000	102.542	-0.0021
28.000000	102.531	-0.4096
28.500000	102.518	-0.9055
29.000000	102.505	-1.3927
29.500000	102.491	-1.8694
30.000000	102.476	-2.3323
30.400000	102.464	-2.6958
30.700001	102.456	-2.9691
31.100000	102.447	-3.3406
31.500000	102.439	-3.7226
32.000000	102.429	-4.2033
32.500000	102.416	-4.6574
33.000000	102.401	-5.0630
33.500000	102.387	-5.4381
34.000000	102.376	-5.8301
34.500000	102.366	-6.2675
35.000000	102.353	-6.7290
35.500000	102.336	-7.1648
36.000000	102.316	-7.5406
36.500000	102.293	-7.8631
37.000000	102.265	-8.1722
37.500000	102.237	-8.5144
38.200001	102.202	-9.0713
38.700001	102.187	-9.4780
39.500000	102.176	-10.0523
40.000000	102.161	-10.3668
40.599998	102.122	-10.7164
41.200001	102.080	-11.0751
41.799999	102.062	-11.5355
42.500000	102.058	-12.1391
43.099998	102.040	-12.4224
43.700001	102.013	-12.4863
