* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 14, 2026 1:51:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kotori Vampire Jiju L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.287	15.8863
20.600000	98.304	15.6627
20.900000	98.321	15.4252
21.200001	98.338	15.1822
21.400000	98.349	15.0142
21.799999	98.373	14.6627
22.000000	98.385	14.4823
22.400000	98.410	14.1243
22.700001	98.429	13.8661
23.000000	98.448	13.6193
23.299999	98.467	13.3822
23.600000	98.485	13.1515
24.000000	98.506	12.8501
24.299999	98.519	12.6284
24.700001	98.534	12.3392
25.000000	98.543	12.1247
25.400000	98.556	11.8331
25.799999	98.570	11.5263
26.200001	98.584	11.2054
26.500000	98.594	10.9649
26.900000	98.607	10.6620
27.200001	98.617	10.4563
27.600000	98.632	10.2111
28.000000	98.648	9.9872
28.500000	98.666	9.7163
29.000000	98.679	9.4482
29.500000	98.687	9.1867
30.000000	98.696	8.9202
30.400000	98.707	8.6851
30.700001	98.717	8.4903
31.100000	98.731	8.2128
31.500000	98.744	7.9354
32.000000	98.758	7.6239
32.500000	98.772	7.3630
33.000000	98.785	7.1285
33.500000	98.793	6.8927
34.000000	98.795	6.6576
34.500000	98.793	6.4417
35.000000	98.795	6.2430
35.500000	98.805	6.0293
36.000000	98.817	5.7749
36.500000	98.825	5.4953
37.000000	98.826	5.2313
37.500000	98.825	5.0018
38.200001	98.830	4.6929
38.700001	98.837	4.4510
39.500000	98.847	4.0918
40.000000	98.854	3.9293
40.599998	98.865	3.7652
41.200001	98.873	3.5665
41.799999	98.869	3.3166
42.500000	98.856	3.0025
43.099998	98.849	2.7335
43.700001	98.849	2.4740
44.400002	98.854	2.2245
45.000000	98.861	2.0615
45.500000	98.868	1.9161
46.200001	98.872	1.6423
46.799999	98.866	1.3984
47.500000	98.866	1.2010
48.200001	98.891	1.0062
48.700001	98.910	0.7822
49.400002	98.908	0.4167
50.000000	98.883	0.2118
50.799999	98.861	0.1117
51.500000	98.864	-0.0191
52.200001	98.865	-0.2334
53.000000	98.857	-0.4405
53.799999	98.855	-0.6223
54.500000	98.855	-0.8131
55.200001	98.851	-0.9953
56.000000	98.848	-1.1972
57.000000	98.835	-1.5136
58.000000	98.812	-1.7919
59.000000	98.807	-1.9923
60.000000	98.811	-2.2157
60.799999	98.807	-2.3992
61.500000	98.800	-2.5534
62.200001	98.792	-2.7046
63.000000	98.783	-2.8766
64.000000	98.772	-3.1081
65.000000	98.760	-3.3516
66.000000	98.749	-3.5823
67.000000	98.736	-3.7908
68.000000	98.724	-3.9762
69.000000	98.717	-4.1731
70.000000	98.710	-4.3720
71.000000	98.697	-4.5229
72.000000	98.682	-4.6339
73.000000	98.670	-4.7844
74.000000	98.660	-4.9933
75.000000	98.649	-5.1832
76.199997	98.632	-5.4085
77.500000	98.607	-5.6741
78.800003	98.599	-5.8539
80.000000	98.595	-5.9653
81.199997	98.577	-6.1294
82.500000	98.551	-6.3875
83.800003	98.529	-6.6146
85.000000	98.494	-6.6984
86.199997	98.482	-6.6731
87.500000	98.489	-6.8975
88.500000	98.473	-7.0894
90.000000	98.446	-7.3029
91.199997	98.433	-7.4454
92.500000	98.422	-7.5815
93.800003	98.401	-7.7165
95.000000	98.380	-7.8453
96.199997	98.357	-7.9857
97.500000	98.332	-8.1075
98.800003	98.314	-8.2256
100.000000	98.298	-8.3727
101.500000	98.275	-8.4913
103.000000	98.254	-8.5755
104.400002	98.234	-8.6552
106.000000	98.212	-8.7519
107.500000	98.189	-8.8966
109.000000	98.164	-9.0315
110.599998	98.143	-9.1232
112.000000	98.128	-9.1969
113.800003	98.113	-9.2886
115.000000	98.103	-9.3785
117.199997	98.082	-9.5544
118.000000	98.072	-9.6087
120.599998	98.032	-9.8187
122.000000	98.008	-9.9339
124.099998	97.975	-10.0691
125.000000	97.965	-10.1158
126.500000	97.952	-10.1909
128.000000	97.939	-10.2254
131.500000	97.906	-10.4125
132.000000	97.901	-10.4531
134.000000	97.880	-10.5669
136.000000	97.858	-10.6561
138.000000	97.833	-10.7922
140.000000	97.808	-10.9080
143.000000	97.776	-11.0054
145.000000	97.748	-11.0791
147.500000	97.723	-11.2594
150.000000	97.705	-11.4946
152.500000	97.670	-11.4427
155.000000	97.633	-11.4198
157.500000	97.607	-11.4394
160.000000	97.577	-11.5201
162.500000	97.544	-11.5912
165.000000	97.510	-11.6512
167.500000	97.476	-11.7307
170.000000	97.440	-11.7878
172.500000	97.405	-11.8010
175.000000	97.372	-11.8176
177.500000	97.338	-11.8678
180.000000	97.303	-11.9130
182.500000	97.271	-11.9357
185.000000	97.241	-11.9613
187.500000	97.206	-11.9867
190.000000	97.172	-12.0004
192.500000	97.138	-12.0074
195.000000	97.106	-12.0085
197.500000	97.077	-12.0264
200.000000	97.052	-12.0365
203.000000	97.024	-12.0253
206.000000	96.989	-12.0375
209.000000	96.955	-12.0497
212.000000	96.923	-12.0504
214.000000	96.903	-12.0428
218.000000	96.862	-12.0346
220.000000	96.841	-12.0349
224.000000	96.801	-12.0101
227.000000	96.771	-11.9776
230.000000	96.746	-11.9375
233.000000	96.722	-11.9081
236.000000	96.695	-11.9015
240.000000	96.656	-11.8766
243.000000	96.628	-11.8363
247.000000	96.593	-11.7659
250.000000	96.570	-11.7151
254.000000	96.537	-11.6746
258.000000	96.504	-11.6082
262.000000	96.466	-11.5702
265.000000	96.439	-11.5422
269.000000	96.404	-11.4937
272.000000	96.379	-11.4515
276.000000	96.347	-11.3955
280.000000	96.314	-11.3377
285.000000	96.274	-11.2587
290.000000	96.234	-11.1811
295.000000	96.194	-11.0993
300.000000	96.156	-11.0265
304.000000	96.126	-10.9562
307.000000	96.103	-10.8970
