* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 14, 2026 1:57:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kotori Vampire Jiju R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.147	31.9733
20.600000	97.181	31.5236
20.900000	97.217	31.0519
21.200001	97.250	30.5974
21.400000	97.271	30.3060
21.799999	97.313	29.7512
22.000000	97.334	29.4867
22.400000	97.374	28.9756
22.700001	97.404	28.5964
23.000000	97.434	28.2089
23.299999	97.460	27.8061
23.600000	97.484	27.3890
24.000000	97.510	26.8290
24.299999	97.526	26.4264
24.700001	97.547	25.9372
25.000000	97.565	25.6079
25.400000	97.596	25.1984
25.799999	97.632	24.7853
26.200001	97.669	24.3399
26.500000	97.692	23.9846
26.900000	97.715	23.5032
27.200001	97.728	23.1542
27.600000	97.742	22.7225
28.000000	97.759	22.3290
28.500000	97.788	21.8660
29.000000	97.822	21.4039
29.500000	97.851	20.9345
30.000000	97.872	20.4710
30.400000	97.882	20.1132
30.700001	97.888	19.8530
31.100000	97.895	19.5138
31.500000	97.905	19.1779
32.000000	97.922	18.7570
32.500000	97.944	18.3357
33.000000	97.967	17.9230
33.500000	97.986	17.5319
34.000000	98.000	17.1718
34.500000	98.010	16.8390
35.000000	98.019	16.5106
35.500000	98.030	16.1567
36.000000	98.042	15.7706
36.500000	98.054	15.3841
37.000000	98.067	15.0375
37.500000	98.086	14.7294
38.200001	98.115	14.2710
38.700001	98.123	13.8948
39.500000	98.110	13.3467
40.000000	98.110	13.0851
40.599998	98.138	12.7468
41.200001	98.176	12.2897
41.799999	98.190	11.8260
42.500000	98.176	11.4984
43.099998	98.168	11.3224
43.700001	98.168	11.0456
44.400002	98.158	10.6256
45.000000	98.155	10.3655
45.500000	98.172	10.2047
46.200001	98.208	9.8581
46.799999	98.211	9.4437
47.500000	98.192	9.0676
48.200001	98.216	8.8062
48.700001	98.263	8.5350
49.400002	98.315	8.0552
50.000000	98.309	7.8015
50.799999	98.255	7.8299
51.500000	98.202	7.8318
52.200001	98.150	7.5437
53.000000	98.111	7.0568
53.799999	98.127	6.6468
54.500000	98.170	6.3374
55.200001	98.204	6.0360
56.000000	98.221	5.7032
57.000000	98.232	5.2529
58.000000	98.232	4.8374
59.000000	98.220	4.6184
60.000000	98.210	4.3885
60.799999	98.203	4.1115
61.500000	98.198	3.8694
62.200001	98.197	3.6663
63.000000	98.195	3.4756
64.000000	98.191	3.2257
65.000000	98.185	2.9126
66.000000	98.174	2.5863
67.000000	98.163	2.2665
68.000000	98.158	1.9647
69.000000	98.153	1.6956
70.000000	98.136	1.4557
71.000000	98.111	1.2319
72.000000	98.098	1.0687
73.000000	98.109	0.9032
74.000000	98.113	0.5667
75.000000	98.108	0.1589
76.199997	98.130	-0.4675
77.500000	98.106	-0.8330
78.800003	98.067	-0.7101
80.000000	98.025	-1.0173
81.199997	97.945	-1.9315
82.500000	97.786	-2.5267
83.800003	97.772	-1.8236
85.000000	97.864	-1.1489
86.199997	97.893	-0.8256
87.500000	97.900	-1.2320
88.500000	97.901	-1.9378
90.000000	97.894	-2.5526
91.199997	97.884	-2.7464
92.500000	97.873	-2.9960
93.800003	97.854	-3.2790
95.000000	97.829	-3.4623
96.199997	97.813	-3.5837
97.500000	97.796	-3.6723
98.800003	97.773	-3.7809
100.000000	97.752	-3.9790
101.500000	97.727	-4.2570
103.000000	97.702	-4.4824
104.400002	97.669	-4.6260
106.000000	97.622	-4.7711
107.500000	97.588	-4.9641
109.000000	97.574	-5.1732
110.599998	97.568	-5.2977
112.000000	97.562	-5.2384
113.800003	97.556	-5.3365
115.000000	97.564	-5.6612
117.199997	97.613	-5.8040
118.000000	97.625	-5.6450
120.599998	97.624	-5.5029
122.000000	97.592	-5.6043
124.099998	97.515	-5.8172
125.000000	97.496	-6.0659
126.500000	97.488	-6.4613
128.000000	97.483	-6.6704
131.500000	97.445	-6.7743
132.000000	97.436	-6.8177
134.000000	97.399	-7.0583
136.000000	97.368	-7.2369
138.000000	97.343	-7.3997
140.000000	97.328	-7.5326
143.000000	97.289	-7.6657
145.000000	97.264	-7.7679
147.500000	97.239	-7.8724
150.000000	97.213	-7.9833
152.500000	97.183	-8.0950
155.000000	97.152	-8.2016
157.500000	97.125	-8.2843
160.000000	97.097	-8.3807
162.500000	97.064	-8.4632
165.000000	97.037	-8.5412
167.500000	97.013	-8.6706
170.000000	96.974	-8.7259
172.500000	96.929	-8.7903
175.000000	96.895	-8.8715
177.500000	96.866	-8.9392
180.000000	96.833	-8.9882
182.500000	96.799	-9.0403
185.000000	96.767	-9.0776
187.500000	96.736	-9.1288
190.000000	96.706	-9.1885
192.500000	96.675	-9.2053
195.000000	96.645	-9.2307
197.500000	96.617	-9.2650
200.000000	96.590	-9.2977
203.000000	96.559	-9.3167
206.000000	96.529	-9.3390
209.000000	96.499	-9.3362
212.000000	96.470	-9.3606
214.000000	96.451	-9.3875
218.000000	96.414	-9.4186
