* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2026 8:01:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kotori Vampire L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.599	15.8536
20.600000	97.607	15.6181
20.900000	97.613	15.3654
21.200001	97.618	15.1150
21.400000	97.621	14.9509
21.799999	97.632	14.6280
22.000000	97.640	14.4658
22.400000	97.659	14.1271
22.700001	97.674	13.8525
23.000000	97.687	13.5615
23.299999	97.696	13.2655
23.600000	97.701	12.9804
24.000000	97.709	12.6361
24.299999	97.719	12.4038
24.700001	97.738	12.1083
25.000000	97.755	11.8876
25.400000	97.771	11.6071
25.799999	97.776	11.3820
26.200001	97.773	11.2305
26.500000	97.774	11.1293
26.900000	97.782	10.9016
27.200001	97.792	10.5852
27.600000	97.793	9.9329
28.000000	97.767	9.1199
28.500000	97.700	8.2308
29.000000	97.643	7.8530
29.500000	97.662	7.9873
30.000000	97.760	8.2410
30.400000	97.851	8.2877
30.700001	97.900	8.2113
31.100000	97.922	8.0403
31.500000	97.902	7.8928
32.000000	97.860	7.7702
32.500000	97.847	7.5264
33.000000	97.869	6.9363
33.500000	97.888	6.0585
34.000000	97.875	5.2526
34.500000	97.842	4.8823
35.000000	97.828	4.9982
35.500000	97.852	5.3078
36.000000	97.896	5.4696
36.500000	97.924	5.3765
37.000000	97.923	5.1446
37.500000	97.909	4.9150
38.200001	97.902	4.6467
38.700001	97.906	4.4517
39.500000	97.908	4.1372
40.000000	97.909	3.9387
40.599998	97.912	3.6549
41.200001	97.915	3.3307
41.799999	97.916	3.0413
42.500000	97.923	2.7863
43.099998	97.930	2.5846
43.700001	97.930	2.3635
44.400002	97.919	2.1014
