* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:53:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer Cadenza 4 Azla L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.618	-177.1254
20.600000	99.595	-177.5447
20.900000	99.571	-177.9921
21.200001	99.549	-178.4438
21.400000	99.536	-178.7477
21.799999	99.514	-179.3531
22.000000	99.504	-179.6473
22.400000	99.489	179.7932
22.700001	99.483	179.3941
23.000000	99.482	178.9960
23.299999	99.484	178.5812
23.600000	99.486	178.1407
24.000000	99.482	177.5261
24.299999	99.473	177.0712
24.700001	99.452	176.5148
25.000000	99.434	176.1473
25.400000	99.411	175.7082
25.799999	99.393	175.2830
26.200001	99.376	174.8298
26.500000	99.361	174.4651
26.900000	99.335	173.9612
27.200001	99.312	173.5869
27.600000	99.279	173.1111
28.000000	99.248	172.6670
28.500000	99.215	172.1462
29.000000	99.186	171.6478
29.500000	99.158	171.1621
30.000000	99.131	170.6819
30.400000	99.108	170.2973
30.700001	99.090	170.0080
31.100000	99.066	169.6239
31.500000	99.041	169.2458
32.000000	99.008	168.7856
32.500000	98.975	168.3365
33.000000	98.941	167.8905
33.500000	98.905	167.4415
34.000000	98.868	166.9932
34.500000	98.828	166.5629
35.000000	98.787	166.1734
35.500000	98.747	165.8307
36.000000	98.711	165.5092
36.500000	98.682	165.1644
37.000000	98.653	164.7753
37.500000	98.621	164.3698
38.200001	98.573	163.8756
38.700001	98.541	163.6008
39.500000	98.491	163.1966
40.000000	98.450	162.9072
40.599998	98.390	162.5239
41.200001	98.326	162.1351
41.799999	98.271	161.7616
42.500000	98.224	161.3468
43.099998	98.191	160.9966
43.700001	98.156	160.6393
44.400002	98.108	160.2285
45.000000	98.062	159.9095
45.500000	98.021	159.6732
46.200001	97.957	159.3736
46.799999	97.897	159.1025
47.500000	97.830	158.6425
48.200001	97.763	157.9835
48.700001	97.711	157.5377
49.400002	97.649	157.2191
50.000000	97.629	157.2182
50.799999	97.624	157.1865
51.500000	97.584	156.9591
52.200001	97.510	156.6789
53.000000	97.434	156.3502
53.799999	97.374	155.9672
54.500000	97.320	155.6755
55.200001	97.264	155.4922
56.000000	97.206	155.3296
57.000000	97.122	155.0179
58.000000	97.014	154.5883
59.000000	96.912	154.1561
60.000000	96.822	154.2056
60.799999	96.783	154.6276
61.500000	96.763	154.7136
62.200001	96.706	154.3091
63.000000	96.597	153.6376
64.000000	96.507	153.0746
65.000000	96.469	152.7005
66.000000	96.404	152.4517
67.000000	96.328	152.2744
68.000000	96.254	152.0222
69.000000	96.160	151.7776
70.000000	96.067	151.6696
71.000000	96.001	151.6295
72.000000	95.942	151.6011
73.000000	95.869	151.5481
74.000000	95.788	151.4186
75.000000	95.717	151.2967
76.199997	95.643	151.2405
77.500000	95.539	151.1622
78.800003	95.418	151.1151
80.000000	95.341	151.0809
81.199997	95.283	151.0562
82.500000	95.212	151.0704
83.800003	95.091	150.9250
85.000000	94.957	150.7512
86.199997	94.863	150.7222
87.500000	94.796	150.7900
88.500000	94.735	150.8575
90.000000	94.635	150.9722
91.199997	94.565	150.8922
92.500000	94.506	150.8355
93.800003	94.431	151.1015
95.000000	94.358	151.3143
96.199997	94.347	151.8925
97.500000	94.363	154.5399
98.800003	94.404	156.7114
100.000000	94.277	154.9371
101.500000	94.021	152.3153
103.000000	93.895	151.8206
104.400002	93.793	151.8755
106.000000	93.696	152.0667
107.500000	93.595	152.3322
109.000000	93.507	152.4750
110.599998	93.436	152.7723
112.000000	93.373	153.0399
113.800003	93.285	153.2186
115.000000	93.229	153.4047
117.199997	93.166	153.8233
118.000000	93.143	153.9482
120.599998	93.057	154.2983
122.000000	93.016	154.4250
124.099998	92.940	154.6760
125.000000	92.903	154.7619
126.500000	92.833	154.8940
128.000000	92.764	155.0736
131.500000	92.665	155.6054
132.000000	92.652	155.6857
134.000000	92.590	156.0724
136.000000	92.531	156.4102
138.000000	92.469	156.5583
140.000000	92.392	156.8135
143.000000	92.266	157.5368
145.000000	92.232	157.8513
147.500000	92.240	158.0753
150.000000	92.184	158.1742
152.500000	92.032	158.8967
155.000000	91.931	159.4772
157.500000	91.871	159.9354
160.000000	91.819	160.3771
162.500000	91.755	160.8451
165.000000	91.692	161.3349
167.500000	91.633	161.7965
170.000000	91.583	162.2123
172.500000	91.534	162.6512
175.000000	91.480	163.1787
177.500000	91.426	163.6877
180.000000	91.373	164.1696
182.500000	91.324	164.6653
185.000000	91.283	165.1512
187.500000	91.247	165.6281
190.000000	91.214	166.1226
192.500000	91.182	166.5950
195.000000	91.145	166.9796
197.500000	91.116	167.3330
200.000000	91.103	167.7828
203.000000	91.083	168.3899
206.000000	91.058	168.9537
209.000000	91.038	169.4532
212.000000	91.021	169.9081
214.000000	91.011	170.2372
218.000000	90.992	170.9239
220.000000	90.983	171.2536
224.000000	90.968	171.9204
227.000000	90.957	172.4407
230.000000	90.946	172.9112
233.000000	90.935	173.2764
236.000000	90.928	173.6490
240.000000	90.919	174.2126
243.000000	90.917	174.6274
247.000000	90.921	175.0903
250.000000	90.922	175.4810
254.000000	90.918	176.0345
258.000000	90.915	176.5325
262.000000	90.917	177.0098
265.000000	90.918	177.3729
269.000000	90.918	177.8578
272.000000	90.918	178.1976
276.000000	90.919	178.6281
280.000000	90.921	179.0428
285.000000	90.925	179.5692
290.000000	90.930	-179.9172
295.000000	90.934	-179.4236
300.000000	90.942	-178.9232
304.000000	90.949	-178.5424
307.000000	90.954	-178.2656
311.000000	90.960	-177.8899
315.000000	90.964	-177.5361
320.000000	90.972	-177.1528
325.000000	90.986	-176.7300
330.000000	90.999	-176.2633
335.000000	91.011	-175.8708
340.000000	91.020	-175.5354
345.000000	91.029	-175.1075
350.000000	91.044	-174.6809
355.000000	91.058	-174.3247
360.000000	91.068	-173.9525
365.000000	91.081	-173.5607
370.000000	91.095	-173.1989
375.000000	91.100	-172.9012
382.000000	91.107	-172.5365
387.000000	91.125	-172.2491
395.000000	91.146	-171.6296
400.000000	91.148	-171.3097
406.000000	91.161	-170.9564
412.000000	91.172	-170.5821
418.000000	91.177	-170.2002
425.000000	91.187	-169.8094
431.000000	91.199	-169.4688
437.000000	91.211	-169.1267
444.000000	91.223	-168.7041
450.000000	91.230	-168.3540
455.000000	91.240	-168.0872
462.000000	91.252	-167.7082
468.000000	91.262	-167.3755
475.000000	91.273	-166.9906
482.000000	91.283	-166.6151
487.000000	91.291	-166.3529
494.000000	91.302	-165.9855
500.000000	91.311	-165.6669
508.000000	91.322	-165.2452
515.000000	91.332	-164.8765
522.000000	91.341	-164.5098
530.000000	91.352	-164.0960
538.000000	91.362	-163.6843
545.000000	91.370	-163.3282
552.000000	91.379	-162.9675
560.000000	91.388	-162.5448
570.000000	91.400	-162.0203
580.000000	91.412	-161.5061
590.000000	91.423	-160.9907
600.000000	91.435	-160.4744
608.000000	91.444	-160.0494
615.000000	91.452	-159.6765
622.000000	91.461	-159.3061
630.000000	91.470	-158.8811
640.000000	91.483	-158.3374
650.000000	91.496	-157.7859
660.000000	91.510	-157.2540
670.000000	91.523	-156.7159
680.000000	91.538	-156.1615
690.000000	91.554	-155.6000
700.000000	91.571	-155.0382
710.000000	91.587	-154.4775
720.000000	91.605	-153.9091
730.000000	91.624	-153.3348
740.000000	91.645	-152.7620
750.000000	91.667	-152.1877
762.000000	91.695	-151.4750
775.000000	91.729	-150.7019
788.000000	91.765	-149.9346
800.000000	91.798	-149.2343
812.000000	91.830	-148.5224
825.000000	91.867	-147.7517
838.000000	91.905	-146.9831
850.000000	91.943	-146.2765
862.000000	91.987	-145.5709
875.000000	92.037	-144.8086
885.000000	92.077	-144.2262
900.000000	92.143	-143.3605
912.000000	92.200	-142.6850
925.000000	92.265	-141.9694
938.000000	92.333	-141.2679
950.000000	92.400	-140.6382
962.000000	92.469	-140.0337
975.000000	92.548	-139.4046
988.000000	92.629	-138.8000
1000.000000	92.706	-138.2677
1015.000000	92.803	-137.6416
1030.000000	92.901	-137.0572
1044.000000	92.993	-136.5466
1060.000000	93.098	-136.0121
1075.000000	93.197	-135.5547
1090.000000	93.292	-135.1320
1106.000000	93.391	-134.7152
1120.000000	93.476	-134.3674
1138.000000	93.582	-133.9244
1150.000000	93.653	-133.6293
1172.000000	93.794	-133.1404
1180.000000	93.847	-133.0010
1206.000000	94.008	-132.7168
1220.000000	94.082	-132.6216
1241.000000	94.181	-132.4877
1250.000000	94.221	-132.4287
1265.000000	94.287	-132.3305
1280.000000	94.350	-132.2262
1315.000000	94.483	-131.9440
1320.000000	94.501	-131.9018
1340.000000	94.565	-131.7257
1360.000000	94.624	-131.5366
1380.000000	94.677	-131.3378
1400.000000	94.725	-131.1235
1430.000000	94.784	-130.7576
1450.000000	94.814	-130.4833
1475.000000	94.842	-130.0976
1500.000000	94.858	-129.6519
1525.000000	94.860	-129.1197
1550.000000	94.847	-128.4717
1575.000000	94.818	-127.6651
1600.000000	94.769	-126.6081
1625.000000	94.707	-125.1389
1650.000000	94.669	-123.0675
1675.000000	94.724	-120.3894
1700.000000	94.938	-117.6010
1725.000000	95.279	-115.5201
1750.000000	95.628	-114.3756
1775.000000	95.923	-113.6320
1800.000000	96.194	-112.9120
1825.000000	96.461	-112.3349
1850.000000	96.694	-111.8983
1875.000000	96.892	-111.2300
1900.000000	97.122	-110.0891
1925.000000	97.459	-108.7698
1950.000000	97.907	-107.9376
1975.000000	98.391	-108.0605
2000.000000	98.818	-109.0326
2030.000000	99.209	-110.6799
2060.000000	99.491	-112.3363
2090.000000	99.707	-113.8337
2120.000000	99.882	-115.1574
2140.000000	99.983	-115.9476
2180.000000	100.163	-117.3318
2200.000000	100.247	-117.9417
2240.000000	100.410	-119.0429
2270.000000	100.532	-119.8063
2300.000000	100.656	-120.5548
2330.000000	100.780	-121.3233
2360.000000	100.901	-122.1320
2400.000000	101.049	-123.2682
2430.000000	101.147	-124.1503
2470.000000	101.258	-125.3353
2500.000000	101.326	-126.2036
2540.000000	101.395	-127.2718
2580.000000	101.448	-128.1474
2620.000000	101.506	-128.7438
2650.000000	101.576	-129.0280
2690.000000	101.732	-129.4377
2720.000000	101.888	-130.0274
2760.000000	102.091	-131.3853
2800.000000	102.227	-133.2063
2850.000000	102.283	-135.5568
2900.000000	102.257	-137.6056
2950.000000	102.196	-139.3300
3000.000000	102.119	-140.8356
3040.000000	102.045	-141.9144
3070.000000	101.983	-142.6427
3110.000000	101.896	-143.4970
3150.000000	101.811	-144.2290
3200.000000	101.711	-145.0241
3250.000000	101.620	-145.7436
3300.000000	101.532	-146.4292
3350.000000	101.446	-147.0953
3400.000000	101.357	-147.7366
3450.000000	101.263	-148.3375
3500.000000	101.167	-148.8830
3550.000000	101.073	-149.3741
3600.000000	100.983	-149.8385
3650.000000	100.895	-150.2990
3700.000000	100.806	-150.7561
3750.000000	100.715	-151.1994
3820.000000	100.585	-151.7879
3870.000000	100.491	-152.1894
3950.000000	100.334	-152.8223
4000.000000	100.227	-153.2094
4060.000000	100.082	-153.6317
4120.000000	99.924	-153.9673
4180.000000	99.755	-154.1834
4250.000000	99.550	-154.2372
4310.000000	99.374	-154.0711
4370.000000	99.207	-153.6829
4440.000000	99.041	-152.9633
4500.000000	98.938	-152.1796
4550.000000	98.888	-151.4768
4620.000000	98.873	-150.5455
4680.000000	98.905	-149.8945
4750.000000	98.980	-149.3829
4820.000000	99.078	-149.1611
4870.000000	99.152	-149.1687
4940.000000	99.254	-149.3785
5000.000000	99.335	-149.7070
5080.000000	99.431	-150.2953
5150.000000	99.502	-150.9011
5220.000000	99.563	-151.5549
5300.000000	99.623	-152.3286
5380.000000	99.678	-153.1091
5450.000000	99.727	-153.7920
5520.000000	99.777	-154.4784
5600.000000	99.842	-155.2747
5700.000000	99.940	-156.3129
5800.000000	100.063	-157.4493
5900.000000	100.214	-158.7626
6000.000000	100.397	-160.3580
6080.000000	100.563	-161.9202
6150.000000	100.720	-163.5573
6220.000000	100.885	-165.5005
6300.000000	101.080	-168.1682
6400.000000	101.314	-172.2882
6500.000000	101.469	-177.3533
6600.000000	101.467	176.7658
6700.000000	101.250	170.4572
6800.000000	100.797	164.2618
6900.000000	100.126	158.7174
7000.000000	99.289	154.2287
7100.000000	98.357	150.9780
7200.000000	97.395	148.9001
7300.000000	96.441	147.8205
7400.000000	95.516	147.6104
7500.000000	94.638	148.1810
7620.000000	93.679	149.7480
7750.000000	92.795	152.1391
7880.000000	92.041	154.7612
8000.000000	91.419	157.4673
8120.000000	90.866	160.3557
8250.000000	90.370	163.4483
8380.000000	89.991	166.3073
8500.000000	89.728	168.6279
8620.000000	89.530	170.5993
8750.000000	89.365	172.3404
8850.000000	89.256	173.4271
9000.000000	89.100	174.7631
9120.000000	88.968	175.7585
9250.000000	88.824	176.9580
9380.000000	88.699	178.3388
9500.000000	88.609	179.7623
9620.000000	88.549	-178.6876
9750.000000	88.524	-176.9002
9880.000000	88.545	-175.0507
10000.000000	88.609	-173.3538
10150.000000	88.754	-171.3682
10300.000000	88.960	-169.6507
10440.000000	89.195	-168.4273
10600.000000	89.495	-167.6454
10750.000000	89.782	-167.6410
10900.000000	90.040	-168.3970
11060.000000	90.255	-169.9677
11200.000000	90.386	-171.9619
11380.000000	90.433	-175.5454
