* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 10:47:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer Cadenza 4 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.891	-174.7778
20.600000	99.881	-175.3283
20.900000	99.849	-175.9131
21.200001	99.800	-176.4472
21.400000	99.764	-176.7587
21.799999	99.702	-177.2763
22.000000	99.682	-177.4991
22.400000	99.670	-177.9366
22.700001	99.683	-178.3024
23.000000	99.706	-178.7186
23.299999	99.730	-179.1769
23.600000	99.747	-179.6558
24.000000	99.754	179.7113
24.299999	99.746	179.2580
24.700001	99.717	178.6915
25.000000	99.684	178.2974
25.400000	99.634	177.8148
25.799999	99.588	177.3735
26.200001	99.558	176.9424
26.500000	99.549	176.5986
26.900000	99.548	176.0902
27.200001	99.549	175.6791
27.600000	99.543	175.1367
28.000000	99.526	174.6617
28.500000	99.497	174.2036
29.000000	99.473	173.8259
29.500000	99.456	173.3989
30.000000	99.437	172.8676
30.400000	99.416	172.4004
30.700001	99.399	172.0542
31.100000	99.377	171.6216
31.500000	99.356	171.2302
32.000000	99.333	170.7918
32.500000	99.309	170.3976
33.000000	99.282	170.0275
33.500000	99.251	169.6458
34.000000	99.217	169.2186
34.500000	99.175	168.7459
35.000000	99.127	168.2704
35.500000	99.079	167.8447
36.000000	99.038	167.4901
36.500000	99.011	167.1786
37.000000	98.996	166.8568
37.500000	98.985	166.4886
38.200001	98.962	165.9218
38.700001	98.938	165.5388
39.500000	98.897	165.0172
40.000000	98.872	164.7209
40.599998	98.835	164.3618
41.200001	98.788	163.9953
41.799999	98.730	163.6374
42.500000	98.661	163.2557
43.099998	98.610	162.9519
43.700001	98.571	162.6240
44.400002	98.526	162.1869
45.000000	98.480	161.8273
45.500000	98.441	161.5712
46.200001	98.392	161.2242
46.799999	98.351	160.8910
47.500000	98.297	160.5306
48.200001	98.259	160.2122
48.700001	98.246	159.9066
49.400002	98.216	159.3287
50.000000	98.159	158.8845
50.799999	98.070	158.6414
51.500000	98.017	158.5684
52.200001	97.973	158.3424
53.000000	97.908	157.9160
53.799999	97.844	157.4688
54.500000	97.800	157.1316
55.200001	97.761	156.8922
56.000000	97.715	156.7183
57.000000	97.642	156.5587
58.000000	97.572	156.4498
59.000000	97.510	156.3438
60.000000	97.409	156.1224
60.799999	97.288	155.7735
61.500000	97.181	155.4117
62.200001	97.122	155.0847
63.000000	97.127	154.7221
64.000000	97.131	154.3109
65.000000	97.047	154.2075
66.000000	96.945	154.2315
67.000000	96.881	154.0280
68.000000	96.837	153.7015
69.000000	96.777	153.4583
70.000000	96.701	153.3031
71.000000	96.618	153.1681
72.000000	96.537	153.0352
73.000000	96.465	152.9086
74.000000	96.400	152.7585
75.000000	96.328	152.5677
76.199997	96.230	152.3759
77.500000	96.134	152.1478
78.800003	96.043	151.9975
80.000000	95.967	151.9597
81.199997	95.868	151.9529
82.500000	95.758	151.8525
83.800003	95.675	151.5265
85.000000	95.615	151.3554
86.199997	95.554	151.3751
87.500000	95.448	151.5606
88.500000	95.353	151.7131
90.000000	95.260	151.8049
91.199997	95.200	151.8686
92.500000	95.103	151.6635
93.800003	95.039	151.3729
95.000000	95.023	151.4876
96.199997	95.103	150.8276
97.500000	95.605	148.4977
98.800003	95.933	146.1491
100.000000	95.535	147.7839
101.500000	94.866	150.9924
103.000000	94.576	151.4973
104.400002	94.514	151.5187
106.000000	94.430	151.5349
107.500000	94.360	151.7304
109.000000	94.287	152.1263
110.599998	94.187	152.5435
112.000000	94.080	152.7965
113.800003	93.957	152.8317
115.000000	93.888	152.7889
117.199997	93.797	152.8873
118.000000	93.772	153.0333
120.599998	93.664	153.5518
122.000000	93.587	153.7604
124.099998	93.481	154.0291
125.000000	93.442	154.1281
126.500000	93.382	154.2881
128.000000	93.321	154.4764
131.500000	93.184	154.9623
132.000000	93.167	155.0380
134.000000	93.098	155.3398
136.000000	93.026	155.6667
138.000000	92.952	156.0002
140.000000	92.878	156.3521
143.000000	92.787	156.8612
145.000000	92.719	157.2504
147.500000	92.597	157.5502
150.000000	92.544	157.9107
152.500000	92.504	158.4653
155.000000	92.445	158.8893
157.500000	92.381	159.3828
160.000000	92.308	159.8123
162.500000	92.234	160.3330
165.000000	92.171	160.8376
167.500000	92.112	161.3025
170.000000	92.049	161.7332
172.500000	91.991	162.2570
175.000000	91.936	162.7257
177.500000	91.883	163.1696
180.000000	91.832	163.6544
182.500000	91.788	164.1259
185.000000	91.748	164.5789
187.500000	91.707	165.0654
190.000000	91.667	165.5471
192.500000	91.629	165.9885
195.000000	91.592	166.3321
197.500000	91.559	166.6570
200.000000	91.541	167.2434
203.000000	91.513	167.9351
206.000000	91.485	168.5338
209.000000	91.456	169.0488
212.000000	91.442	169.5886
214.000000	91.434	169.9366
218.000000	91.412	170.6460
220.000000	91.408	170.9758
224.000000	91.401	171.6173
227.000000	91.406	172.1354
230.000000	91.406	172.6130
233.000000	91.394	173.0121
236.000000	91.387	173.3883
240.000000	91.391	173.8558
243.000000	91.394	174.2337
247.000000	91.394	174.7971
250.000000	91.385	175.1416
254.000000	91.371	175.5975
258.000000	91.363	176.0534
262.000000	91.363	176.5309
265.000000	91.362	176.8949
269.000000	91.360	177.3318
272.000000	91.357	177.6331
276.000000	91.355	178.0493
280.000000	91.360	178.4867
285.000000	91.362	179.0262
290.000000	91.361	179.4914
295.000000	91.374	-179.9687
300.000000	91.375	-179.4494
304.000000	91.376	-179.1271
307.000000	91.381	-178.8580
311.000000	91.386	-178.4951
315.000000	91.391	-178.1636
320.000000	91.395	-177.7414
325.000000	91.401	-177.3144
330.000000	91.412	-176.8891
335.000000	91.420	-176.4869
340.000000	91.427	-176.0967
345.000000	91.434	-175.7039
350.000000	91.446	-175.3168
355.000000	91.453	-174.9437
360.000000	91.459	-174.5798
365.000000	91.465	-174.2113
370.000000	91.473	-173.8502
375.000000	91.481	-173.4991
382.000000	91.491	-173.0069
387.000000	91.499	-172.6498
395.000000	91.513	-172.0904
400.000000	91.522	-171.7523
406.000000	91.535	-171.3703
412.000000	91.549	-171.0010
418.000000	91.562	-170.6300
425.000000	91.577	-170.2059
431.000000	91.590	-169.8525
437.000000	91.602	-169.5111
444.000000	91.618	-169.1057
450.000000	91.632	-168.7502
455.000000	91.636	-168.4940
462.000000	91.641	-168.1342
468.000000	91.647	-167.8062
475.000000	91.656	-167.4226
482.000000	91.665	-167.0380
487.000000	91.670	-166.7675
494.000000	91.678	-166.3908
500.000000	91.686	-166.0615
508.000000	91.696	-165.6263
515.000000	91.705	-165.2454
522.000000	91.714	-164.8716
530.000000	91.724	-164.4502
538.000000	91.733	-164.0201
545.000000	91.741	-163.6364
552.000000	91.749	-163.2595
560.000000	91.757	-162.8445
570.000000	91.770	-162.3206
580.000000	91.781	-161.7926
590.000000	91.792	-161.2613
600.000000	91.804	-160.7282
608.000000	91.814	-160.2972
615.000000	91.822	-159.9194
622.000000	91.830	-159.5414
630.000000	91.840	-159.1063
640.000000	91.852	-158.5544
650.000000	91.863	-157.9997
660.000000	91.877	-157.4518
670.000000	91.892	-156.8986
680.000000	91.906	-156.3370
690.000000	91.921	-155.7627
700.000000	91.937	-155.1815
710.000000	91.954	-154.6096
720.000000	91.972	-154.0288
730.000000	91.992	-153.4372
740.000000	92.015	-152.8359
750.000000	92.038	-152.2257
762.000000	92.064	-151.5077
775.000000	92.095	-150.7178
788.000000	92.131	-149.9212
800.000000	92.165	-149.1826
812.000000	92.199	-148.4357
825.000000	92.237	-147.6230
838.000000	92.279	-146.8107
850.000000	92.322	-146.0589
862.000000	92.367	-145.3148
875.000000	92.421	-144.5127
885.000000	92.465	-143.8980
900.000000	92.537	-142.9853
912.000000	92.598	-142.2643
925.000000	92.669	-141.5032
938.000000	92.744	-140.7648
950.000000	92.818	-140.1019
962.000000	92.895	-139.4482
975.000000	92.982	-138.7655
988.000000	93.072	-138.1157
1000.000000	93.157	-137.5444
1015.000000	93.267	-136.8674
1030.000000	93.379	-136.2352
1044.000000	93.485	-135.6831
1060.000000	93.609	-135.1109
1075.000000	93.725	-134.6284
1090.000000	93.840	-134.1888
1106.000000	93.962	-133.7676
1120.000000	94.067	-133.4369
1138.000000	94.199	-133.0604
1150.000000	94.285	-132.8392
1172.000000	94.437	-132.4968
1180.000000	94.490	-132.3870
1206.000000	94.655	-132.0719
1220.000000	94.739	-131.9224
1241.000000	94.860	-131.7175
1250.000000	94.911	-131.6375
1265.000000	94.997	-131.5124
1280.000000	95.082	-131.3884
1315.000000	95.269	-131.0962
1320.000000	95.295	-131.0550
1340.000000	95.396	-130.8921
1360.000000	95.493	-130.7340
1380.000000	95.586	-130.5733
1400.000000	95.676	-130.4003
1430.000000	95.807	-130.1224
1450.000000	95.892	-129.9369
1475.000000	95.994	-129.7039
1500.000000	96.093	-129.4611
1525.000000	96.191	-129.1994
1550.000000	96.287	-128.9236
1575.000000	96.381	-128.6308
1600.000000	96.474	-128.3275
1625.000000	96.565	-128.0173
1650.000000	96.655	-127.7004
1675.000000	96.745	-127.3772
1700.000000	96.837	-127.0528
1725.000000	96.930	-126.7306
1750.000000	97.025	-126.4111
1775.000000	97.122	-126.0960
1800.000000	97.221	-125.7884
1825.000000	97.322	-125.4891
1850.000000	97.425	-125.2003
1875.000000	97.529	-124.9231
1900.000000	97.634	-124.6596
1925.000000	97.741	-124.4122
1950.000000	97.849	-124.1808
1975.000000	97.958	-123.9658
2000.000000	98.068	-123.7674
2030.000000	98.202	-123.5511
2060.000000	98.335	-123.3521
2090.000000	98.468	-123.1641
2120.000000	98.599	-122.9820
2140.000000	98.685	-122.8561
2180.000000	98.854	-122.5612
2200.000000	98.937	-122.3768
2240.000000	99.108	-121.8722
2270.000000	99.254	-121.3068
2300.000000	99.443	-120.5672
2330.000000	99.706	-119.8097
2360.000000	100.051	-119.4004
2400.000000	100.561	-119.9581
2430.000000	100.898	-121.1849
2470.000000	101.224	-123.3422
2500.000000	101.386	-125.0116
2540.000000	101.527	-127.0734
2580.000000	101.613	-128.8939
2620.000000	101.662	-130.4718
2650.000000	101.685	-131.4933
2690.000000	101.712	-132.6483
2720.000000	101.738	-133.4006
2760.000000	101.791	-134.3771
2800.000000	101.852	-135.4799
2850.000000	101.902	-137.1084
2900.000000	101.886	-138.7980
2950.000000	101.807	-140.2444
3000.000000	101.699	-141.2926
3040.000000	101.611	-141.8308
3070.000000	101.556	-142.0742
3110.000000	101.510	-142.2422
3150.000000	101.505	-142.3658
3200.000000	101.546	-142.7287
3250.000000	101.597	-143.4779
3300.000000	101.614	-144.4797
3350.000000	101.593	-145.5054
3400.000000	101.548	-146.4558
3450.000000	101.489	-147.3319
3500.000000	101.422	-148.1272
3550.000000	101.352	-148.8487
3600.000000	101.287	-149.5329
3650.000000	101.225	-150.2417
3700.000000	101.157	-150.9995
3750.000000	101.079	-151.7776
3820.000000	100.950	-152.8391
3870.000000	100.846	-153.5591
3950.000000	100.663	-154.6375
4000.000000	100.536	-155.2621
4060.000000	100.367	-155.9540
4120.000000	100.181	-156.5632
4180.000000	99.980	-157.0551
4250.000000	99.729	-157.4262
4310.000000	99.506	-157.5203
4370.000000	99.284	-157.3729
4440.000000	99.043	-156.8922
4500.000000	98.866	-156.2571
4550.000000	98.746	-155.6215
4620.000000	98.628	-154.6753
4680.000000	98.571	-153.9093
4750.000000	98.548	-153.1633
4820.000000	98.558	-152.6311
4870.000000	98.577	-152.3903
4940.000000	98.608	-152.2348
5000.000000	98.635	-152.2463
5080.000000	98.663	-152.4178
5150.000000	98.676	-152.6634
5220.000000	98.680	-152.9503
5300.000000	98.674	-153.2918
5380.000000	98.661	-153.6218
5450.000000	98.646	-153.8903
5520.000000	98.631	-154.1340
5600.000000	98.613	-154.3761
5700.000000	98.597	-154.6090
5800.000000	98.593	-154.7650
5900.000000	98.607	-154.8589
6000.000000	98.645	-154.8964
6080.000000	98.699	-154.8876
6150.000000	98.771	-154.8698
6220.000000	98.872	-154.8775
6300.000000	99.035	-154.9846
6400.000000	99.320	-155.3989
6500.000000	99.671	-156.2823
6600.000000	100.065	-157.8014
6700.000000	100.478	-160.1293
6800.000000	100.872	-163.4233
6900.000000	101.194	-167.7619
7000.000000	101.379	-173.0414
7100.000000	101.373	-178.9501
7200.000000	101.147	174.9492
7300.000000	100.698	169.1356
7400.000000	100.053	164.0812
7500.000000	99.266	160.1367
7620.000000	98.234	157.0573
7750.000000	97.134	155.5606
7880.000000	96.123	155.3366
8000.000000	95.252	156.0185
8120.000000	94.441	157.3940
8250.000000	93.671	159.3438
8380.000000	93.032	161.4885
8500.000000	92.553	163.4669
8620.000000	92.168	165.3213
8750.000000	91.837	167.0944
8850.000000	91.632	168.2585
9000.000000	91.381	169.6599
9120.000000	91.208	170.5201
9250.000000	91.030	171.3298
9380.000000	90.866	172.1537
9500.000000	90.737	172.9645
9620.000000	90.635	173.8141
9750.000000	90.554	174.7682
9880.000000	90.508	175.7474
10000.000000	90.500	176.6512
10150.000000	90.539	177.7263
10300.000000	90.630	178.6514
10440.000000	90.756	179.2769
10600.000000	90.935	179.5785
10750.000000	91.119	179.3571
10900.000000	91.295	178.5782
11060.000000	91.449	177.1420
11200.000000	91.552	175.3921
11380.000000	91.624	172.2139
11500.000000	91.584	169.4998
11720.000000	91.265	164.0067
11800.000000	91.079	162.0145
12060.000000	90.294	155.9947
12200.000000	89.812	153.1023
12410.000000	89.100	149.0969
12500.000000	88.823	147.4266
12650.000000	88.421	144.5843
12800.000000	88.105	141.5524
13150.000000	87.756	132.9770
13200.000000	87.756	131.5037
13400.000000	87.878	124.7976
13600.000000	88.174	116.5692
13800.000000	88.572	106.6092
14000.000000	88.960	94.9069
14300.000000	89.231	74.6708
14500.000000	89.019	60.3871
14750.000000	88.255	43.4144
15000.000000	87.083	28.5645
15250.000000	85.680	15.7499
15500.000000	84.057	4.3921
15750.000000	82.062	-4.6616
16000.000000	79.945	-7.7815
16250.000000	79.047	-7.3051
16500.000000	79.207	-13.8112
16750.000000	79.119	-27.4637
17000.000000	78.501	-45.3376
17250.000000	77.443	-67.0200
17500.000000	76.038	-93.8277
17750.000000	74.449	-128.4543
18000.000000	73.080	-174.7703
18250.000000	72.529	127.5707
18500.000000	72.839	69.5308
18750.000000	73.321	16.3834
19000.000000	73.366	-35.1914
19250.000000	72.683	-88.5207
19500.000000	71.195	-145.8263
19750.000000	69.045	149.8396
20000.000000	67.173	85.4321
