* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 23, 2024 10:23:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer S08 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.432	-143.9424
20.600000	99.461	-144.5251
20.900000	99.493	-145.1033
21.200001	99.530	-145.6371
21.400000	99.559	-145.9810
21.799999	99.626	-146.6887
22.000000	99.661	-147.0717
22.400000	99.729	-147.9197
22.700001	99.771	-148.6198
23.000000	99.800	-149.3482
23.299999	99.819	-150.0718
23.600000	99.831	-150.7603
24.000000	99.846	-151.5959
24.299999	99.863	-152.1630
24.700001	99.897	-152.8689
25.000000	99.929	-153.3823
25.400000	99.973	-154.0622
25.799999	100.012	-154.7338
26.200001	100.046	-155.3925
26.500000	100.070	-155.8871
26.900000	100.102	-156.5756
27.200001	100.127	-157.1292
27.600000	100.155	-157.9104
28.000000	100.176	-158.6876
28.500000	100.192	-159.5352
29.000000	100.212	-160.1805
29.500000	100.245	-160.7138
30.000000	100.279	-161.3032
30.400000	100.293	-161.8729
30.700001	100.290	-162.3447
31.100000	100.272	-162.9908
31.500000	100.248	-163.6155
32.000000	100.231	-164.3434
32.500000	100.238	-165.0232
33.000000	100.267	-165.6596
33.500000	100.307	-166.2463
34.000000	100.349	-166.7997
34.500000	100.377	-167.3516
35.000000	100.382	-167.9039
35.500000	100.367	-168.4254
36.000000	100.348	-168.9122
36.500000	100.340	-169.4211
37.000000	100.343	-170.0049
37.500000	100.346	-170.6324
38.200001	100.345	-171.4238
38.700001	100.349	-171.9160
39.500000	100.353	-172.7731
40.000000	100.332	-173.3292
40.599998	100.294	-173.8408
41.200001	100.283	-174.2020
41.799999	100.304	-174.6673
42.500000	100.304	-175.4261
43.099998	100.265	-175.9770
43.700001	100.239	-176.3471
44.400002	100.265	-176.9115
45.000000	100.291	-177.6410
45.500000	100.286	-178.2167
46.200001	100.254	-178.6784
46.799999	100.230	-178.8786
47.500000	100.204	-179.2725
48.200001	100.175	179.9873
48.700001	100.158	179.2826
49.400002	100.133	178.2636
50.000000	100.103	177.6591
50.799999	100.074	177.4413
51.500000	100.074	177.3931
52.200001	100.065	177.0648
53.000000	100.023	176.4843
53.799999	99.982	175.9865
54.500000	99.961	175.6370
55.200001	99.940	175.3023
56.000000	99.916	174.8513
57.000000	99.888	174.1830
58.000000	99.859	173.5878
59.000000	99.817	173.0519
60.000000	99.780	172.3547
60.799999	99.757	171.6302
61.500000	99.724	171.1433
62.200001	99.693	170.9841
63.000000	99.679	170.9750
64.000000	99.656	170.6691
65.000000	99.599	170.1530
66.000000	99.546	169.6841
67.000000	99.505	169.2132
68.000000	99.461	168.7755
69.000000	99.416	168.4767
70.000000	99.374	168.1872
71.000000	99.331	167.7748
72.000000	99.294	167.2872
73.000000	99.260	166.8190
74.000000	99.215	166.4312
75.000000	99.167	166.0983
76.199997	99.107	165.7070
77.500000	99.019	165.1673
78.800003	98.928	164.6756
80.000000	98.907	164.3742
81.199997	98.882	164.0312
82.500000	98.808	163.7128
83.800003	98.749	163.4214
85.000000	98.691	163.1004
86.199997	98.626	162.7932
87.500000	98.584	162.4319
88.500000	98.553	162.1303
90.000000	98.489	161.7970
91.199997	98.431	161.5375
92.500000	98.354	161.2676
93.800003	98.285	160.9784
95.000000	98.232	160.6744
96.199997	98.171	160.4453
97.500000	98.091	160.2370
98.800003	98.004	160.0176
100.000000	97.938	159.8371
101.500000	97.896	159.5988
103.000000	97.875	159.4380
104.400002	97.843	159.4022
106.000000	97.758	159.2177
107.500000	97.672	158.9333
109.000000	97.601	158.6760
110.599998	97.531	158.5665
112.000000	97.488	158.5020
113.800003	97.425	158.3373
115.000000	97.361	158.2895
117.199997	97.249	158.3657
118.000000	97.221	158.4180
120.599998	97.183	158.8855
122.000000	97.187	158.8071
124.099998	97.180	158.3140
125.000000	97.170	158.1461
126.500000	97.133	157.8873
128.000000	97.078	157.6534
131.500000	96.949	157.1107
132.000000	96.931	157.0173
134.000000	96.862	156.7577
136.000000	96.791	156.6345
138.000000	96.715	156.5374
140.000000	96.643	156.4092
143.000000	96.549	156.2485
145.000000	96.477	156.1947
147.500000	96.381	156.0252
150.000000	96.291	155.9347
152.500000	96.205	156.0999
155.000000	96.115	156.1761
157.500000	96.034	156.2406
160.000000	95.974	156.3611
162.500000	95.928	156.4890
165.000000	95.884	156.5399
167.500000	95.828	156.4811
170.000000	95.751	156.3539
172.500000	95.675	156.2156
175.000000	95.612	156.1513
177.500000	95.555	156.2274
180.000000	95.482	156.3177
182.500000	95.402	156.3223
185.000000	95.322	156.3555
187.500000	95.246	156.3993
190.000000	95.178	156.4655
192.500000	95.111	156.5642
195.000000	95.049	156.6748
