* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 23, 2024 10:26:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer S08 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.339	-144.3115
20.600000	99.372	-144.9449
20.900000	99.420	-145.6415
21.200001	99.479	-146.3859
21.400000	99.521	-146.9149
21.799999	99.597	-148.0212
22.000000	99.627	-148.5669
22.400000	99.669	-149.5491
22.700001	99.690	-150.1381
23.000000	99.712	-150.5998
23.299999	99.744	-150.9818
23.600000	99.788	-151.3555
24.000000	99.856	-151.9436
24.299999	99.904	-152.4742
24.700001	99.952	-153.2486
25.000000	99.975	-153.8206
25.400000	99.996	-154.5182
25.799999	100.018	-155.1633
26.200001	100.042	-155.8299
26.500000	100.054	-156.3728
26.900000	100.056	-157.1282
27.200001	100.046	-157.6696
27.600000	100.029	-158.2907
28.000000	100.027	-158.7855
28.500000	100.062	-159.3304
29.000000	100.127	-159.9453
29.500000	100.186	-160.6647
30.000000	100.222	-161.4098
30.400000	100.234	-161.9869
30.700001	100.239	-162.4149
31.100000	100.241	-162.9973
31.500000	100.240	-163.5971
32.000000	100.237	-164.3369
32.500000	100.239	-165.0168
33.000000	100.251	-165.6330
33.500000	100.270	-166.2258
34.000000	100.286	-166.8295
34.500000	100.296	-167.4558
35.000000	100.301	-168.1094
35.500000	100.302	-168.7843
36.000000	100.298	-169.4436
36.500000	100.292	-170.0304
37.000000	100.291	-170.5187
37.500000	100.296	-170.9446
38.200001	100.308	-171.5653
38.700001	100.308	-172.0840
39.500000	100.293	-173.0519
40.000000	100.278	-173.7033
40.599998	100.259	-174.4065
41.200001	100.243	-174.8512
41.799999	100.243	-175.0234
42.500000	100.256	-175.2529
43.099998	100.240	-175.7782
43.700001	100.189	-176.5259
44.400002	100.153	-177.3584
45.000000	100.189	-177.9842
45.500000	100.231	-178.4629
46.200001	100.222	-178.9153
46.799999	100.153	-179.1380
47.500000	100.067	-179.9651
48.200001	99.972	178.0510
48.700001	99.884	176.4713
49.400002	99.796	175.3217
50.000000	99.834	175.6282
50.799999	99.982	176.6024
51.500000	100.036	176.9887
52.200001	99.993	176.8459
53.000000	99.931	176.2467
53.799999	99.906	175.5551
54.500000	99.894	175.1652
55.200001	99.872	174.8716
56.000000	99.823	174.3949
57.000000	99.773	173.6946
58.000000	99.772	173.1407
59.000000	99.742	172.7813
60.000000	99.678	172.4078
60.799999	99.623	171.8837
61.500000	99.573	171.4455
62.200001	99.540	171.1906
63.000000	99.539	170.9227
64.000000	99.532	170.2374
65.000000	99.474	169.5194
66.000000	99.426	169.1171
67.000000	99.408	168.7896
68.000000	99.383	168.4074
69.000000	99.343	168.0406
70.000000	99.290	167.6339
71.000000	99.222	167.2126
72.000000	99.163	166.8486
73.000000	99.116	166.5041
74.000000	99.067	166.1552
75.000000	99.020	165.7675
76.199997	98.982	165.2733
77.500000	98.915	165.0159
78.800003	98.824	164.9952
80.000000	98.776	164.5392
81.199997	98.751	163.9366
82.500000	98.707	163.5186
83.800003	98.619	163.1743
85.000000	98.545	162.8465
86.199997	98.497	162.4969
87.500000	98.449	162.1678
