* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 7, 2024 6:27:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop CHU 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.734	-166.9917
20.600000	100.731	-167.3024
20.900000	100.731	-167.6476
21.200001	100.735	-168.0440
21.400000	100.739	-168.3464
21.799999	100.747	-169.0292
22.000000	100.749	-169.3919
22.400000	100.751	-170.1074
22.700001	100.750	-170.6056
23.000000	100.748	-171.0609
23.299999	100.748	-171.4802
23.600000	100.749	-171.8778
24.000000	100.751	-172.3986
24.299999	100.754	-172.7934
24.700001	100.760	-173.3300
25.000000	100.765	-173.7377
25.400000	100.771	-174.2809
25.799999	100.775	-174.8150
26.200001	100.774	-175.3310
26.500000	100.768	-175.7027
26.900000	100.753	-176.1765
27.200001	100.739	-176.5176
27.600000	100.720	-176.9607
28.000000	100.705	-177.4013
28.500000	100.696	-177.9619
29.000000	100.694	-178.5306
29.500000	100.690	-179.0798
30.000000	100.679	-179.5797
30.400000	100.665	-179.9439
30.700001	100.654	179.7919
31.100000	100.642	179.4317
31.500000	100.632	179.0475
32.000000	100.626	178.5375
32.500000	100.623	178.0257
33.000000	100.621	177.5419
33.500000	100.614	177.0958
34.000000	100.598	176.6877
34.500000	100.573	176.3120
35.000000	100.548	175.9391
35.500000	100.529	175.5204
36.000000	100.509	175.0433
36.500000	100.481	174.5738
37.000000	100.447	174.2047
37.500000	100.423	173.9449
38.200001	100.418	173.5424
38.700001	100.417	173.0865
39.500000	100.373	172.2528
40.000000	100.332	171.8817
40.599998	100.305	171.5959
41.200001	100.307	171.2676
41.799999	100.305	170.7758
42.500000	100.267	170.1679
43.099998	100.216	169.8088
43.700001	100.176	169.5847
44.400002	100.156	169.2958
45.000000	100.146	168.9240
45.500000	100.131	168.5477
46.200001	100.100	167.9979
46.799999	100.062	167.5591
47.500000	100.010	167.1621
48.200001	99.962	166.9496
48.700001	99.940	166.8720
49.400002	99.930	166.7087
50.000000	99.926	166.3895
50.799999	99.899	165.7101
51.500000	99.852	165.1278
52.200001	99.815	164.8123
53.000000	99.814	164.6991
53.799999	99.808	164.5406
54.500000	99.754	164.3164
55.200001	99.670	164.0559
56.000000	99.589	163.6633
57.000000	99.546	163.0342
58.000000	99.518	162.5180
59.000000	99.457	162.4885
60.000000	99.425	162.5147
60.799999	99.406	162.0621
61.500000	99.367	161.5066
62.200001	99.321	161.0663
63.000000	99.280	160.7209
64.000000	99.229	160.3907
65.000000	99.177	160.1069
66.000000	99.132	159.7526
67.000000	99.080	159.3831
68.000000	99.027	159.1166
69.000000	98.981	158.8753
70.000000	98.926	158.6403
71.000000	98.867	158.4411
72.000000	98.811	158.1633
73.000000	98.748	157.8544
74.000000	98.687	157.6425
75.000000	98.635	157.4448
76.199997	98.575	157.0897
77.500000	98.509	156.6978
78.800003	98.447	156.4187
80.000000	98.390	156.1422
81.199997	98.329	155.8845
82.500000	98.274	155.6320
83.800003	98.216	155.3343
85.000000	98.154	155.1564
86.199997	98.081	155.0148
87.500000	97.998	154.7367
88.500000	97.949	154.4519
90.000000	97.886	154.2308
91.199997	97.819	154.2267
92.500000	97.737	154.0348
93.800003	97.675	153.7351
95.000000	97.619	153.6550
96.199997	97.543	153.5462
97.500000	97.475	153.2837
98.800003	97.448	153.2342
100.000000	97.397	153.2888
101.500000	97.288	153.0529
103.000000	97.214	152.8865
104.400002	97.152	152.9599
106.000000	97.094	152.9030
107.500000	97.051	153.0444
109.000000	96.980	153.2219
110.599998	96.932	153.1933
112.000000	96.913	153.1436
113.800003	96.859	152.9333
115.000000	96.797	152.8983
117.199997	96.673	152.9323
118.000000	96.634	152.8489
120.599998	96.546	152.6513
122.000000	96.517	152.4166
124.099998	96.449	152.0301
125.000000	96.407	151.9534
126.500000	96.326	151.9421
128.000000	96.256	151.8555
131.500000	96.163	151.7153
132.000000	96.145	151.7765
134.000000	96.059	152.0186
136.000000	96.005	151.9999
138.000000	95.960	151.9167
140.000000	95.906	151.8259
143.000000	95.810	151.5574
145.000000	95.736	151.7975
147.500000	95.648	152.0966
150.000000	95.549	152.0104
152.500000	95.481	151.9321
155.000000	95.400	151.9948
157.500000	95.311	152.1522
160.000000	95.231	152.3071
162.500000	95.159	152.4210
165.000000	95.083	152.3659
167.500000	95.026	152.3744
170.000000	94.973	152.5935
172.500000	94.897	152.7728
175.000000	94.817	152.6925
177.500000	94.724	152.5515
180.000000	94.605	152.5953
182.500000	94.555	152.8048
185.000000	94.521	152.9200
187.500000	94.459	153.0557
190.000000	94.387	153.2476
192.500000	94.321	153.3860
195.000000	94.258	153.5017
197.500000	94.196	153.6434
200.000000	94.130	153.7892
203.000000	94.049	154.0128
206.000000	93.972	154.2123
209.000000	93.895	154.3857
212.000000	93.830	154.6835
214.000000	93.793	154.9017
218.000000	93.717	155.2404
220.000000	93.679	155.3911
224.000000	93.613	155.5834
227.000000	93.566	155.7448
230.000000	93.518	155.9003
233.000000	93.468	156.0750
236.000000	93.412	156.2974
240.000000	93.327	156.5533
243.000000	93.264	156.7533
247.000000	93.192	157.0659
250.000000	93.143	157.3089
254.000000	93.080	157.6209
258.000000	93.014	157.8646
262.000000	92.950	158.1349
265.000000	92.900	158.3752
269.000000	92.829	158.6991
272.000000	92.774	158.9471
276.000000	92.705	159.2915
280.000000	92.645	159.6656
