* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 7, 2024 6:30:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop CHU 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.128	-165.9445
20.600000	100.129	-166.2996
20.900000	100.129	-166.6514
21.200001	100.132	-166.9888
21.400000	100.135	-167.2185
21.799999	100.147	-167.7236
22.000000	100.153	-168.0099
22.400000	100.164	-168.6563
22.700001	100.167	-169.1922
23.000000	100.167	-169.7477
23.299999	100.164	-170.2968
23.600000	100.161	-170.8180
24.000000	100.161	-171.4499
24.299999	100.166	-171.8769
24.700001	100.178	-172.4003
25.000000	100.188	-172.7721
25.400000	100.197	-173.2553
25.799999	100.199	-173.7321
26.200001	100.195	-174.2072
26.500000	100.189	-174.5668
26.900000	100.183	-175.0589
27.200001	100.180	-175.4415
27.600000	100.178	-175.9668
28.000000	100.175	-176.4911
28.500000	100.165	-177.0963
29.000000	100.147	-177.5955
29.500000	100.126	-177.9874
30.000000	100.112	-178.3397
30.400000	100.109	-178.6577
30.700001	100.110	-178.9425
31.100000	100.113	-179.3900
31.500000	100.114	-179.8943
32.000000	100.108	179.4664
32.500000	100.092	178.9080
33.000000	100.070	178.4823
33.500000	100.052	178.1561
34.000000	100.038	177.8351
34.500000	100.021	177.4457
35.000000	99.992	177.0011
35.500000	99.954	176.5755
36.000000	99.924	176.2141
36.500000	99.911	175.8837
37.000000	99.913	175.5261
37.500000	99.916	175.1344
38.200001	99.907	174.6102
38.700001	99.894	174.2719
39.500000	99.864	173.7143
40.000000	99.836	173.3574
40.599998	99.801	172.9700
41.200001	99.777	172.6031
41.799999	99.763	172.1816
42.500000	99.735	171.6401
43.099998	99.702	171.2369
43.700001	99.674	170.9056
44.400002	99.654	170.5105
45.000000	99.631	170.1380
45.500000	99.605	169.8455
46.200001	99.570	169.4841
46.799999	99.549	169.1538
47.500000	99.525	168.7204
48.200001	99.489	168.3603
48.700001	99.462	168.1715
49.400002	99.428	167.8787
50.000000	99.399	167.5162
50.799999	99.361	166.9554
51.500000	99.330	166.5530
52.200001	99.273	166.4809
53.000000	99.198	167.0352
53.799999	99.198	167.5665
54.500000	99.236	167.0990
55.200001	99.219	165.9274
56.000000	99.142	164.7886
57.000000	99.078	164.2643
58.000000	99.036	164.0857
59.000000	98.982	163.9359
60.000000	98.950	163.6474
60.799999	98.925	163.2957
61.500000	98.896	162.9773
62.200001	98.865	162.6711
63.000000	98.828	162.3193
64.000000	98.777	161.9163
65.000000	98.724	161.5908
66.000000	98.666	161.2961
67.000000	98.603	161.0307
68.000000	98.544	160.7563
69.000000	98.493	160.4940
70.000000	98.459	160.2677
71.000000	98.424	160.0107
72.000000	98.363	159.7206
73.000000	98.285	159.4630
74.000000	98.219	159.2708
75.000000	98.183	159.0732
76.199997	98.148	158.7303
77.500000	98.086	158.4376
78.800003	98.026	158.2491
80.000000	97.977	157.9675
81.199997	97.928	157.6689
82.500000	97.873	157.4660
83.800003	97.808	157.2843
85.000000	97.746	156.9783
86.199997	97.687	156.6486
87.500000	97.629	156.3964
88.500000	97.587	156.2390
90.000000	97.515	156.0833
91.199997	97.448	156.0412
92.500000	97.380	155.8972
93.800003	97.324	155.6516
95.000000	97.281	155.4786
96.199997	97.237	155.3737
97.500000	97.176	155.2878
98.800003	97.114	155.1598
100.000000	97.061	154.9852
101.500000	96.990	154.7849
103.000000	96.913	154.6807
104.400002	96.849	154.6709
106.000000	96.766	154.5467
107.500000	96.694	154.2767
109.000000	96.633	154.1550
110.599998	96.559	153.9729
112.000000	96.487	153.8751
113.800003	96.387	153.9229
115.000000	96.318	154.0942
117.199997	96.224	154.1221
118.000000	96.191	154.0614
120.599998	96.077	154.1074
122.000000	96.005	154.0107
124.099998	95.920	154.2340
125.000000	95.902	154.3737
126.500000	95.917	154.4202
128.000000	95.938	154.2057
131.500000	95.878	153.7565
132.000000	95.869	153.8074
134.000000	95.798	154.1524
136.000000	95.711	154.5173
138.000000	95.662	154.6189
140.000000	95.624	154.5812
143.000000	95.513	154.4359
145.000000	95.456	154.1783
147.500000	95.386	154.1403
150.000000	95.298	153.9899
152.500000	95.216	153.9510
155.000000	95.137	153.9475
157.500000	95.049	154.1515
160.000000	94.954	154.2793
162.500000	94.873	154.2608
165.000000	94.807	154.3334
167.500000	94.768	154.6623
170.000000	94.728	154.9360
172.500000	94.663	155.0521
175.000000	94.622	154.9929
177.500000	94.589	154.8742
180.000000	94.553	154.9907
182.500000	94.446	154.9807
185.000000	94.326	154.9070
187.500000	94.227	154.9881
190.000000	94.152	155.0969
192.500000	94.099	155.2430
195.000000	94.048	155.4161
197.500000	94.000	155.5799
200.000000	93.953	155.8559
203.000000	93.882	156.2843
206.000000	93.792	156.6243
209.000000	93.702	156.7687
212.000000	93.639	156.8323
214.000000	93.617	157.0125
218.000000	93.569	157.4623
220.000000	93.528	157.6320
224.000000	93.451	157.8301
227.000000	93.403	158.0342
230.000000	93.351	158.2288
233.000000	93.300	158.3391
236.000000	93.248	158.5182
240.000000	93.171	158.8264
243.000000	93.114	159.0784
247.000000	93.051	159.3204
250.000000	93.005	159.4772
254.000000	92.936	159.7832
258.000000	92.863	160.1314
262.000000	92.803	160.3548
265.000000	92.761	160.5687
269.000000	92.699	160.9247
272.000000	92.658	161.1890
276.000000	92.599	161.4926
280.000000	92.542	161.8430
285.000000	92.475	162.2850
290.000000	92.407	162.6205
295.000000	92.340	163.0324
300.000000	92.289	163.4557
304.000000	92.244	163.7851
307.000000	92.208	164.0335
311.000000	92.158	164.3747
315.000000	92.104	164.7081
320.000000	92.043	165.1055
325.000000	91.993	165.5156
330.000000	91.943	165.9391
335.000000	91.892	166.3676
340.000000	91.844	166.7635
345.000000	91.799	167.1511
350.000000	91.756	167.5843
355.000000	91.714	168.0280
360.000000	91.670	168.4539
365.000000	91.626	168.8469
370.000000	91.587	169.2352
375.000000	91.547	169.6652
382.000000	91.490	170.2556
387.000000	91.452	170.6481
395.000000	91.395	171.2843
400.000000	91.362	171.6733
406.000000	91.324	172.1603
412.000000	91.289	172.6536
