* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2025 1:07:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NICEHCK NX8 07 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.204	-178.4150
20.600000	101.197	-178.8245
20.900000	101.191	-179.2953
21.200001	101.185	-179.8126
21.400000	101.180	179.8174
21.799999	101.168	179.0436
22.000000	101.159	178.6606
22.400000	101.134	177.9567
22.700001	101.115	177.5103
23.000000	101.098	177.1342
23.299999	101.085	176.8060
23.600000	101.076	176.4937
24.000000	101.066	176.0552
24.299999	101.056	175.6973
24.700001	101.035	175.1956
25.000000	101.014	174.8203
25.400000	100.985	174.3392
25.799999	100.960	173.8755
26.200001	100.937	173.4097
26.500000	100.920	173.0520
26.900000	100.893	172.5712
27.200001	100.869	172.2189
27.600000	100.835	171.7725
28.000000	100.802	171.3506
28.500000	100.770	170.8365
29.000000	100.747	170.3227
29.500000	100.727	169.8196
30.000000	100.706	169.3380
30.400000	100.683	168.9626
30.700001	100.661	168.6834
31.100000	100.625	168.3177
31.500000	100.583	167.9675
32.000000	100.534	167.5500
32.500000	100.495	167.1194
33.000000	100.464	166.6433
33.500000	100.427	166.1587
34.000000	100.380	165.7488
34.500000	100.338	165.4335
35.000000	100.311	165.1166
35.500000	100.293	164.6934
36.000000	100.266	164.2043
36.500000	100.222	163.8375
37.000000	100.177	163.7483
37.500000	100.157	163.8866
38.200001	100.167	164.0200
38.700001	100.168	163.8240
39.500000	100.108	163.0414
40.000000	100.046	162.4090
40.599998	99.972	161.6416
41.200001	99.910	161.0117
41.799999	99.865	160.6328
42.500000	99.831	160.3810
43.099998	99.784	160.1070
43.700001	99.703	159.7531
44.400002	99.610	159.3134
45.000000	99.571	158.8408
45.500000	99.554	158.4083
46.200001	99.514	158.0776
46.799999	99.473	158.0793
47.500000	99.391	157.7651
48.200001	99.161	156.9015
48.700001	98.920	156.5635
49.400002	98.702	157.0566
50.000000	98.779	157.6461
50.799999	99.036	157.2820
51.500000	99.122	156.5158
52.200001	99.082	156.1951
53.000000	99.018	155.9863
53.799999	98.951	155.4954
54.500000	98.896	155.1179
55.200001	98.858	154.8969
56.000000	98.807	154.6908
57.000000	98.712	154.4967
58.000000	98.642	154.2382
59.000000	98.585	153.8687
60.000000	98.529	153.6795
60.799999	98.479	153.5217
61.500000	98.408	153.3406
62.200001	98.328	153.2183
63.000000	98.269	153.0676
64.000000	98.227	152.6746
65.000000	98.165	152.3828
66.000000	98.094	152.2617
67.000000	98.022	152.1001
68.000000	97.960	151.9557
69.000000	97.904	151.8178
70.000000	97.836	151.6696
71.000000	97.767	151.5392
72.000000	97.702	151.3905
73.000000	97.633	151.1754
74.000000	97.560	150.9213
75.000000	97.503	150.7537
76.199997	97.448	150.6804
77.500000	97.362	150.6221
78.800003	97.276	150.4913
80.000000	97.207	150.3824
81.199997	97.114	150.4048
82.500000	97.014	150.3449
83.800003	96.957	150.0854
85.000000	96.917	149.9704
86.199997	96.855	149.8456
87.500000	96.780	149.7863
88.500000	96.723	149.7947
90.000000	96.647	149.6344
91.199997	96.604	149.6359
92.500000	96.515	149.7048
93.800003	96.440	149.3915
95.000000	96.418	149.3680
96.199997	96.312	148.3450
97.500000	96.319	143.2630
98.800003	96.463	140.2642
100.000000	96.625	144.4431
101.500000	96.383	148.8043
103.000000	96.024	149.4442
104.400002	95.934	149.4120
106.000000	95.841	149.4539
107.500000	95.786	149.3433
109.000000	95.717	149.4269
110.599998	95.638	149.3595
112.000000	95.586	149.3055
113.800003	95.516	149.2744
115.000000	95.460	149.3104
117.199997	95.359	149.4958
118.000000	95.328	149.5621
120.599998	95.225	149.7104
122.000000	95.169	149.7619
124.099998	95.086	149.8169
125.000000	95.052	149.8498
126.500000	94.997	149.9162
128.000000	94.943	149.9923
131.500000	94.812	150.1819
132.000000	94.794	150.2047
134.000000	94.733	150.3123
136.000000	94.674	150.4630
138.000000	94.609	150.5913
140.000000	94.543	150.6894
143.000000	94.446	150.8553
145.000000	94.384	150.9537
147.500000	94.305	150.8284
150.000000	94.228	151.1938
152.500000	94.160	151.5692
155.000000	94.092	151.7848
157.500000	94.025	151.9662
160.000000	93.960	152.1488
162.500000	93.892	152.3763
165.000000	93.819	152.5871
167.500000	93.748	152.7704
170.000000	93.680	152.9554
172.500000	93.615	153.1609
175.000000	93.551	153.3711
177.500000	93.487	153.5756
180.000000	93.422	153.7853
182.500000	93.359	154.0099
185.000000	93.296	154.2355
187.500000	93.236	154.4669
190.000000	93.179	154.7040
192.500000	93.115	154.9507
195.000000	93.042	155.2515
197.500000	92.973	155.5388
200.000000	92.934	155.6708
203.000000	92.891	155.8466
206.000000	92.841	156.1095
209.000000	92.787	156.4262
212.000000	92.734	156.7187
214.000000	92.700	156.8984
218.000000	92.633	157.2571
220.000000	92.601	157.4346
224.000000	92.538	157.8159
227.000000	92.490	158.0912
230.000000	92.447	158.3694
233.000000	92.410	158.6598
236.000000	92.371	158.9268
240.000000	92.319	159.2832
243.000000	92.286	159.6009
247.000000	92.242	159.9830
250.000000	92.188	160.2162
254.000000	92.124	160.5594
258.000000	92.072	160.9089
262.000000	92.020	161.3014
265.000000	91.985	161.5813
269.000000	91.940	161.9425
272.000000	91.906	162.2289
276.000000	91.861	162.6298
280.000000	91.818	163.0226
285.000000	91.771	163.4576
290.000000	91.724	163.9220
295.000000	91.670	164.4317
300.000000	91.627	164.8378
304.000000	91.595	165.1735
307.000000	91.572	165.4334
311.000000	91.543	165.7778
315.000000	91.515	166.1285
320.000000	91.486	166.5700
325.000000	91.456	166.9861
330.000000	91.423	167.3867
335.000000	91.387	167.7695
340.000000	91.354	168.1351
345.000000	91.325	168.5158
350.000000	91.295	168.9081
355.000000	91.266	169.3023
360.000000	91.238	169.6915
365.000000	91.211	170.0655
370.000000	91.184	170.4390
375.000000	91.157	170.8223
382.000000	91.121	171.3529
387.000000	91.097	171.7278
395.000000	91.059	172.3359
400.000000	91.038	172.7081
406.000000	91.013	173.1539
412.000000	90.989	173.6009
418.000000	90.967	174.0456
425.000000	90.944	174.5596
431.000000	90.923	174.9926
437.000000	90.904	175.4202
444.000000	90.883	175.9187
450.000000	90.866	176.3383
455.000000	90.852	176.6824
462.000000	90.834	177.1683
468.000000	90.819	177.5852
475.000000	90.803	178.0648
482.000000	90.786	178.5382
487.000000	90.775	178.8752
494.000000	90.761	179.3435
500.000000	90.751	179.7469
508.000000	90.737	-179.7210
515.000000	90.725	-179.2627
522.000000	90.715	-178.8065
530.000000	90.703	-178.2848
538.000000	90.692	-177.7646
545.000000	90.683	-177.3128
552.000000	90.675	-176.8627
560.000000	90.667	-176.3528
570.000000	90.657	-175.7145
580.000000	90.650	-175.0758
590.000000	90.643	-174.4373
600.000000	90.638	-173.7949
608.000000	90.635	-173.2831
615.000000	90.634	-172.8435
622.000000	90.633	-172.4051
630.000000	90.633	-171.9052
640.000000	90.635	-171.2890
650.000000	90.638	-170.6755
660.000000	90.641	-170.0698
670.000000	90.643	-169.4733
680.000000	90.646	-168.8721
690.000000	90.650	-168.2686
700.000000	90.653	-167.6575
710.000000	90.658	-167.0420
720.000000	90.662	-166.4246
730.000000	90.667	-165.7988
740.000000	90.674	-165.1553
750.000000	90.681	-164.5005
762.000000	90.693	-163.7058
775.000000	90.709	-162.8217
788.000000	90.729	-161.9159
800.000000	90.751	-161.0758
812.000000	90.775	-160.2313
825.000000	90.805	-159.3148
838.000000	90.841	-158.3900
850.000000	90.880	-157.5443
862.000000	90.924	-156.7111
875.000000	90.978	-155.8143
885.000000	91.023	-155.1323
900.000000	91.097	-154.1300
912.000000	91.161	-153.3503
925.000000	91.237	-152.5281
938.000000	91.318	-151.7299
950.000000	91.397	-151.0180
962.000000	91.479	-150.3328
975.000000	91.572	-149.6231
988.000000	91.670	-148.9453
1000.000000	91.763	-148.3505
1015.000000	91.881	-147.6568
1030.000000	92.002	-147.0107
1044.000000	92.118	-146.4556
1060.000000	92.252	-145.8788
1075.000000	92.378	-145.3893
1090.000000	92.506	-144.9540
1106.000000	92.641	-144.5447
1120.000000	92.758	-144.2319
1138.000000	92.906	-143.8880
1150.000000	93.003	-143.6946
1172.000000	93.178	-143.3967
1180.000000	93.239	-143.3056
1206.000000	93.433	-143.0784
1220.000000	93.533	-142.9920
1241.000000	93.680	-142.9006
1250.000000	93.743	-142.8737
1265.000000	93.847	-142.8430
1280.000000	93.951	-142.8281
1315.000000	94.183	-142.8488
1320.000000	94.215	-142.8564
1340.000000	94.339	-142.8965
1360.000000	94.457	-142.9494
1380.000000	94.571	-143.0146
1400.000000	94.681	-143.0866
1430.000000	94.839	-143.2067
1450.000000	94.939	-143.2987
1475.000000	95.061	-143.4214
1500.000000	95.178	-143.5479
1525.000000	95.291	-143.6821
1550.000000	95.400	-143.8254
1575.000000	95.506	-143.9782
1600.000000	95.606	-144.1389
1625.000000	95.699	-144.3094
1650.000000	95.788	-144.4875
1675.000000	95.873	-144.6733
1700.000000	95.956	-144.8695
1725.000000	96.037	-145.0764
1750.000000	96.114	-145.2926
1775.000000	96.189	-145.5189
1800.000000	96.260	-145.7546
1825.000000	96.328	-146.0018
1850.000000	96.394	-146.2588
1875.000000	96.457	-146.5239
1900.000000	96.516	-146.7971
1925.000000	96.571	-147.0755
1950.000000	96.624	-147.3612
1975.000000	96.674	-147.6532
2000.000000	96.720	-147.9493
2030.000000	96.773	-148.3109
2060.000000	96.822	-148.6770
2090.000000	96.866	-149.0451
2120.000000	96.904	-149.4116
2140.000000	96.926	-149.6536
2180.000000	96.962	-150.1282
2200.000000	96.976	-150.3593
2240.000000	96.997	-150.8039
2270.000000	97.006	-151.1155
2300.000000	97.009	-151.4024
2330.000000	97.008	-151.6613
2360.000000	97.002	-151.8877
2400.000000	96.988	-152.1305
2430.000000	96.975	-152.2640
2470.000000	96.957	-152.3811
2500.000000	96.944	-152.4250
2540.000000	96.929	-152.4323
2580.000000	96.915	-152.3892
2620.000000	96.903	-152.2942
2650.000000	96.894	-152.1838
2690.000000	96.884	-151.9736
2720.000000	96.879	-151.7634
2760.000000	96.879	-151.4096
2800.000000	96.890	-150.9751
2850.000000	96.925	-150.3396
2900.000000	96.992	-149.6413
2950.000000	97.095	-148.9552
3000.000000	97.236	-148.3674
3040.000000	97.372	-148.0300
3070.000000	97.484	-147.8771
3110.000000	97.643	-147.8257
3150.000000	97.807	-147.9624
3200.000000	98.009	-148.3959
3250.000000	98.196	-149.0983
3300.000000	98.359	-150.0222
3350.000000	98.493	-151.1148
3400.000000	98.595	-152.3262
3450.000000	98.664	-153.6083
3500.000000	98.702	-154.9185
3550.000000	98.710	-156.2225
3600.000000	98.692	-157.4927
3650.000000	98.650	-158.7044
3700.000000	98.589	-159.8524
3750.000000	98.511	-160.9408
3820.000000	98.378	-162.3826
3870.000000	98.262	-163.3560
3950.000000	98.038	-164.7732
4000.000000	97.873	-165.5385
4060.000000	97.650	-166.3011
4120.000000	97.405	-166.8691
4180.000000	97.146	-167.2216
4250.000000	96.830	-167.3436
4310.000000	96.552	-167.1800
4370.000000	96.272	-166.7466
4440.000000	95.947	-165.8551
4500.000000	95.680	-164.7050
4550.000000	95.474	-163.4274
4620.000000	95.240	-161.0847
4680.000000	95.129	-158.5632
4750.000000	95.172	-155.2540
4820.000000	95.454	-152.2670
4870.000000	95.782	-150.9418
4940.000000	96.297	-150.8273
5000.000000	96.648	-152.2587
5080.000000	96.845	-155.2490
5150.000000	96.772	-157.7574
5220.000000	96.552	-159.5426
5300.000000	96.228	-160.5667
5380.000000	95.903	-160.6977
5450.000000	95.649	-160.2878
5520.000000	95.434	-159.5462
5600.000000	95.240	-158.4328
5700.000000	95.074	-156.8231
5800.000000	94.986	-155.1263
5900.000000	94.968	-153.4414
6000.000000	95.017	-151.8378
6080.000000	95.102	-150.6594
6150.000000	95.211	-149.7378
6220.000000	95.352	-148.9493
6300.000000	95.560	-148.2544
6400.000000	95.890	-147.7747
6500.000000	96.275	-147.8230
6600.000000	96.688	-148.5070
6700.000000	97.106	-149.9326
6800.000000	97.496	-152.1831
6900.000000	97.814	-155.2534
7000.000000	98.008	-158.9931
7100.000000	98.042	-163.0769
7200.000000	97.901	-167.0463
7300.000000	97.612	-170.4312
7400.000000	97.233	-172.8861
7500.000000	96.844	-174.3348
7620.000000	96.460	-175.0623
7750.000000	96.204	-175.3349
7880.000000	96.096	-175.8480
8000.000000	96.052	-176.9716
8120.000000	95.973	-178.8853
8250.000000	95.799	178.2160
8380.000000	95.492	174.7583
8500.000000	95.067	171.4912
8620.000000	94.514	168.5659
8750.000000	93.817	166.0806
8850.000000	93.247	164.6947
9000.000000	92.378	163.3721
9120.000000	91.688	162.8767
9250.000000	90.959	162.8426
9380.000000	90.260	163.2809
9500.000000	89.651	164.0469
9620.000000	89.086	165.1167
9750.000000	88.535	166.5363
9880.000000	88.057	168.0916
10000.000000	87.679	169.5470
10150.000000	87.290	171.2755
10300.000000	86.985	172.7735
10440.000000	86.761	173.8505
10600.000000	86.556	174.6049
10750.000000	86.392	174.8155
10900.000000	86.226	174.5644
11060.000000	86.021	173.9424
11200.000000	85.814	173.3476
11380.000000	85.551	172.7054
11500.000000	85.394	172.3316
11720.000000	85.174	171.8318
11800.000000	85.129	171.6710
12060.000000	85.135	170.9110
12200.000000	85.237	170.2650
12410.000000	85.545	169.0050
12500.000000	85.761	168.3845
12650.000000	86.303	166.9850
12800.000000	87.048	164.1373
13150.000000	88.672	150.9543
13200.000000	88.871	148.5908
13400.000000	89.555	138.1194
13600.000000	90.012	126.5556
13800.000000	90.298	114.6197
14000.000000	90.480	102.1055
14300.000000	90.432	82.6663
14500.000000	90.303	69.5894
14750.000000	90.063	52.3705
15000.000000	89.603	33.8240
15250.000000	88.725	14.9949
15500.000000	87.644	-2.5146
15750.000000	86.669	-20.1031
16000.000000	85.712	-38.5740
16250.000000	84.824	-57.7198
16500.000000	84.051	-77.8730
16750.000000	83.391	-99.7781
17000.000000	82.818	-124.1991
17250.000000	82.288	-151.7725
17500.000000	81.714	177.0549
17750.000000	80.952	142.3774
18000.000000	79.974	105.0861
18250.000000	79.331	64.9228
18500.000000	78.855	18.0867
18750.000000	77.125	-33.0101
19000.000000	74.472	-83.9910
19250.000000	72.236	-137.8619
19500.000000	70.421	160.3966
19750.000000	67.948	89.0808
20000.000000	65.447	16.7158
