* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2025 1:10:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NICEHCK NX8 07 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.884	-178.0471
20.600000	100.891	-178.4638
20.900000	100.896	-178.8851
21.200001	100.902	-179.2786
21.400000	100.906	-179.5307
21.799999	100.912	179.9631
22.000000	100.913	179.6974
22.400000	100.905	179.1246
22.700001	100.886	178.6613
23.000000	100.858	178.1840
23.299999	100.821	177.7108
23.600000	100.782	177.2565
24.000000	100.735	176.6890
24.299999	100.708	176.2859
24.700001	100.685	175.7626
25.000000	100.675	175.3743
25.400000	100.664	174.8660
25.799999	100.651	174.3804
26.200001	100.633	173.9251
26.500000	100.616	173.6006
26.900000	100.588	173.1804
27.200001	100.564	172.8695
27.600000	100.530	172.4599
28.000000	100.497	172.0603
28.500000	100.461	171.5772
29.000000	100.434	171.0999
29.500000	100.413	170.6105
30.000000	100.391	170.1078
30.400000	100.370	169.7075
30.700001	100.352	169.4147
31.100000	100.326	169.0363
31.500000	100.298	168.6669
32.000000	100.263	168.2049
32.500000	100.223	167.7381
33.000000	100.177	167.2867
33.500000	100.131	166.8800
34.000000	100.091	166.5208
34.500000	100.063	166.1745
35.000000	100.040	165.8046
35.500000	100.015	165.4170
36.000000	99.981	165.0520
36.500000	99.944	164.7325
37.000000	99.910	164.4343
37.500000	99.878	164.1148
38.200001	99.830	163.6177
38.700001	99.790	163.2646
39.500000	99.724	162.7547
40.000000	99.685	162.4631
40.599998	99.641	162.1221
41.200001	99.597	161.7751
41.799999	99.549	161.4236
42.500000	99.488	161.0516
43.099998	99.442	160.7757
43.700001	99.408	160.4836
44.400002	99.372	160.0858
45.000000	99.331	159.7704
45.500000	99.292	159.5675
46.200001	99.239	159.3123
46.799999	99.194	159.0351
47.500000	99.145	158.6483
48.200001	99.111	158.2502
48.700001	99.095	157.9636
49.400002	99.060	157.5955
50.000000	99.008	157.3862
50.799999	98.928	157.2589
51.500000	98.868	157.1165
52.200001	98.817	156.8557
53.000000	98.762	156.5373
53.799999	98.706	156.2699
54.500000	98.645	156.0155
55.200001	98.570	155.7376
56.000000	98.493	155.4699
57.000000	98.446	155.2363
58.000000	98.415	155.0543
59.000000	98.349	154.9078
60.000000	98.280	154.5466
60.799999	98.232	154.0280
61.500000	98.183	153.6726
62.200001	98.134	153.5944
63.000000	98.081	153.7106
64.000000	98.005	153.7513
65.000000	97.931	153.5759
66.000000	97.877	153.2638
67.000000	97.815	153.0054
68.000000	97.741	152.9077
69.000000	97.674	152.8005
70.000000	97.613	152.5672
71.000000	97.548	152.3124
72.000000	97.487	152.1194
73.000000	97.429	151.9684
74.000000	97.366	151.8339
75.000000	97.300	151.6920
76.199997	97.222	151.5239
77.500000	97.143	151.4083
78.800003	97.069	151.3081
80.000000	96.999	151.1860
81.199997	96.927	151.0446
82.500000	96.849	150.9311
83.800003	96.774	150.8677
85.000000	96.707	150.8317
86.199997	96.643	150.7452
87.500000	96.574	150.6152
88.500000	96.521	150.5576
90.000000	96.440	150.5026
91.199997	96.375	150.4507
92.500000	96.305	150.4128
93.800003	96.236	150.3536
95.000000	96.178	150.3190
96.199997	96.109	150.2641
97.500000	96.010	149.9950
98.800003	95.927	149.7775
100.000000	95.902	149.8760
101.500000	95.860	150.0904
103.000000	95.788	150.1615
104.400002	95.726	150.1761
106.000000	95.652	150.2119
107.500000	95.582	150.2138
109.000000	95.516	150.2367
110.599998	95.442	150.2772
