* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2025 1:14:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NICEHCK NX8 C04 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.025	179.7802
20.600000	101.036	179.5401
20.900000	101.078	179.2678
21.200001	101.147	178.8734
21.400000	101.199	178.5041
21.799999	101.279	177.5251
22.000000	101.293	176.9683
22.400000	101.257	175.9204
22.700001	101.181	175.3426
23.000000	101.086	175.0125
23.299999	100.995	174.8933
23.600000	100.929	174.8703
24.000000	100.884	174.7471
24.299999	100.873	174.4713
24.700001	100.860	173.8633
25.000000	100.843	173.3205
25.400000	100.810	172.6409
25.799999	100.780	172.1025
26.200001	100.762	171.6775
26.500000	100.756	171.3766
26.900000	100.744	170.9457
27.200001	100.727	170.5979
27.600000	100.690	170.1325
28.000000	100.644	169.6974
28.500000	100.592	169.1970
29.000000	100.551	168.7031
29.500000	100.517	168.1973
30.000000	100.483	167.7044
30.400000	100.456	167.3324
30.700001	100.435	167.0629
31.100000	100.407	166.7065
31.500000	100.379	166.3482
32.000000	100.341	165.9052
32.500000	100.302	165.4852
33.000000	100.264	165.0927
33.500000	100.226	164.7116
34.000000	100.189	164.3204
34.500000	100.151	163.9107
35.000000	100.112	163.4925
35.500000	100.073	163.0862
36.000000	100.034	162.7090
36.500000	99.993	162.3666
37.000000	99.951	162.0502
37.500000	99.909	161.7365
38.200001	99.853	161.2498
38.700001	99.813	160.8659
39.500000	99.742	160.3044
40.000000	99.697	160.0468
40.599998	99.650	159.7982
41.200001	99.606	159.5220
41.799999	99.557	159.1837
42.500000	99.496	158.7663
43.099998	99.451	158.4194
43.700001	99.412	158.0692
44.400002	99.365	157.6597
45.000000	99.319	157.3346
45.500000	99.279	157.0876
46.200001	99.221	156.7753
46.799999	99.169	156.5473
47.500000	99.109	156.3054
48.200001	99.052	155.9864
48.700001	99.008	155.6805
49.400002	98.936	155.2402
50.000000	98.876	154.9749
50.799999	98.820	154.7848
51.500000	98.785	154.6220
52.200001	98.740	154.4099
53.000000	98.676	154.1620
53.799999	98.617	153.9042
54.500000	98.571	153.6554
55.200001	98.522	153.4024
56.000000	98.460	153.1320
57.000000	98.376	152.8648
58.000000	98.299	152.6418
59.000000	98.219	152.3114
60.000000	98.122	151.9144
60.799999	98.053	151.7894
61.500000	98.023	151.8326
62.200001	98.010	151.8053
63.000000	97.966	151.5785
64.000000	97.857	151.2654
65.000000	97.766	151.0193
66.000000	97.699	150.8008
67.000000	97.635	150.6642
68.000000	97.567	150.4695
69.000000	97.499	150.2477
70.000000	97.440	150.0998
71.000000	97.375	149.9915
72.000000	97.304	149.8599
73.000000	97.236	149.6995
74.000000	97.169	149.5716
75.000000	97.099	149.4578
76.199997	97.013	149.3050
77.500000	96.930	149.1784
78.800003	96.831	149.0213
80.000000	96.741	148.8681
81.199997	96.676	148.8419
82.500000	96.610	148.9619
83.800003	96.542	148.8999
85.000000	96.474	148.6989
86.199997	96.396	148.6579
87.500000	96.309	148.6834
88.500000	96.241	148.6747
90.000000	96.139	148.8181
91.199997	96.072	148.8515
92.500000	96.012	148.6923
93.800003	95.962	148.6406
95.000000	95.908	148.6930
96.199997	95.863	148.8473
97.500000	95.817	149.0602
98.800003	95.674	149.1720
100.000000	95.538	149.2604
101.500000	95.524	148.9746
103.000000	95.518	148.9447
104.400002	95.464	148.8592
106.000000	95.385	148.6470
107.500000	95.312	148.5495
109.000000	95.242	148.5447
110.599998	95.172	148.6070
112.000000	95.101	148.6568
113.800003	95.013	148.7094
115.000000	94.955	148.7570
117.199997	94.852	148.9017
118.000000	94.816	148.9819
120.599998	94.695	149.2621
122.000000	94.635	149.3650
124.099998	94.565	149.5170
125.000000	94.538	149.6185
126.500000	94.497	149.8219
128.000000	94.462	149.9603
131.500000	94.378	150.1166
132.000000	94.364	150.1246
134.000000	94.304	150.1437
136.000000	94.245	150.2007
138.000000	94.178	150.2708
140.000000	94.107	150.3495
143.000000	94.005	150.5646
145.000000	93.943	150.6883
147.500000	93.878	150.7989
150.000000	93.811	150.9425
152.500000	93.729	151.1560
155.000000	93.652	151.3573
157.500000	93.575	151.5889
160.000000	93.505	151.8594
162.500000	93.438	152.1345
165.000000	93.373	152.3925
167.500000	93.312	152.5844
170.000000	93.253	152.7396
172.500000	93.190	152.9211
175.000000	93.123	153.0994
177.500000	93.063	153.2664
180.000000	92.999	153.4614
182.500000	92.935	153.6813
185.000000	92.867	153.8863
187.500000	92.804	154.1101
190.000000	92.743	154.3059
192.500000	92.679	154.5238
195.000000	92.622	154.7623
197.500000	92.562	154.9642
200.000000	92.500	155.2045
203.000000	92.442	155.5322
206.000000	92.381	155.7926
209.000000	92.320	156.1119
212.000000	92.268	156.4725
214.000000	92.232	156.6635
218.000000	92.157	157.1105
220.000000	92.129	157.3938
224.000000	92.084	157.8364
227.000000	92.041	158.0930
230.000000	91.997	158.3887
233.000000	91.956	158.7106
236.000000	91.924	159.0224
240.000000	91.884	159.3975
243.000000	91.846	159.6537
247.000000	91.798	159.9694
250.000000	91.762	160.2207
254.000000	91.714	160.5503
258.000000	91.664	160.8877
262.000000	91.615	161.2571
265.000000	91.580	161.5174
269.000000	91.532	161.8621
272.000000	91.497	162.1251
276.000000	91.453	162.4679
280.000000	91.410	162.8139
285.000000	91.359	163.2535
290.000000	91.310	163.6888
295.000000	91.263	164.1358
300.000000	91.217	164.5668
304.000000	91.182	164.9153
307.000000	91.156	165.1798
311.000000	91.123	165.5305
315.000000	91.091	165.8715
320.000000	91.053	166.2899
325.000000	91.016	166.7041
330.000000	90.981	167.1205
335.000000	90.948	167.5338
340.000000	90.916	167.9391
345.000000	90.884	168.3528
350.000000	90.852	168.7617
355.000000	90.822	169.1577
360.000000	90.794	169.5585
365.000000	90.767	169.9563
370.000000	90.741	170.3494
375.000000	90.715	170.7440
382.000000	90.681	171.2939
387.000000	90.658	171.6773
395.000000	90.623	172.2904
400.000000	90.602	172.6660
406.000000	90.577	173.1143
412.000000	90.554	173.5665
418.000000	90.534	174.0145
425.000000	90.511	174.5325
431.000000	90.491	174.9682
437.000000	90.473	175.3985
444.000000	90.453	175.8971
450.000000	90.436	176.3227
455.000000	90.423	176.6733
462.000000	90.405	177.1593
468.000000	90.391	177.5717
475.000000	90.376	178.0496
482.000000	90.360	178.5284
487.000000	90.350	178.8684
494.000000	90.335	179.3437
500.000000	90.323	179.7523
508.000000	90.309	-179.7128
515.000000	90.297	-179.2440
522.000000	90.288	-178.7779
530.000000	90.278	-178.2508
538.000000	90.268	-177.7274
545.000000	90.260	-177.2721
552.000000	90.254	-176.8163
560.000000	90.246	-176.2930
570.000000	90.238	-175.6478
580.000000	90.231	-175.0082
590.000000	90.227	-174.3683
600.000000	90.224	-173.7303
608.000000	90.222	-173.2258
615.000000	90.222	-172.7896
622.000000	90.223	-172.3577
630.000000	90.224	-171.8655
640.000000	90.227	-171.2524
650.000000	90.229	-170.6461
660.000000	90.233	-170.0458
670.000000	90.237	-169.4449
680.000000	90.240	-168.8443
690.000000	90.243	-168.2413
700.000000	90.246	-167.6288
710.000000	90.249	-167.0098
720.000000	90.254	-166.3839
730.000000	90.259	-165.7459
740.000000	90.266	-165.0944
750.000000	90.275	-164.4354
762.000000	90.289	-163.6251
775.000000	90.308	-162.7336
788.000000	90.332	-161.8337
800.000000	90.357	-160.9969
812.000000	90.383	-160.1544
825.000000	90.416	-159.2422
838.000000	90.455	-158.3379
850.000000	90.496	-157.5074
862.000000	90.543	-156.6828
875.000000	90.598	-155.8019
885.000000	90.644	-155.1389
900.000000	90.720	-154.1655
912.000000	90.785	-153.4052
925.000000	90.860	-152.6075
938.000000	90.941	-151.8358
950.000000	91.020	-151.1454
962.000000	91.101	-150.4798
975.000000	91.194	-149.7911
988.000000	91.290	-149.1364
1000.000000	91.381	-148.5620
1015.000000	91.497	-147.8862
1030.000000	91.615	-147.2643
1044.000000	91.729	-146.7333
1060.000000	91.860	-146.1783
