* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2025 1:25:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NICEHCK NX8 RADIUS L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.071	-179.2625
20.600000	101.058	-179.6520
20.900000	101.040	179.9026
21.200001	101.021	179.4168
21.400000	101.009	179.0699
21.799999	100.985	178.3382
22.000000	100.975	177.9684
22.400000	100.955	177.2637
22.700001	100.944	176.7903
23.000000	100.936	176.3699
23.299999	100.933	175.9910
23.600000	100.931	175.6335
24.000000	100.926	175.1580
24.299999	100.917	174.7895
24.700001	100.896	174.2823
25.000000	100.874	173.8976
25.400000	100.842	173.3892
25.799999	100.810	172.8920
26.200001	100.782	172.4105
26.500000	100.764	172.0635
26.900000	100.741	171.6246
27.200001	100.723	171.3134
27.600000	100.700	170.9136
28.000000	100.675	170.5158
28.500000	100.641	170.0021
29.000000	100.606	169.4728
29.500000	100.572	168.9510
30.000000	100.541	168.4541
30.400000	100.517	168.0747
30.700001	100.499	167.7983
31.100000	100.470	167.4377
31.500000	100.437	167.0833
32.000000	100.392	166.6403
32.500000	100.348	166.1831
33.000000	100.307	165.7052
33.500000	100.271	165.2247
34.000000	100.238	164.7802
34.500000	100.207	164.4018
35.000000	100.177	164.0813
35.500000	100.147	163.7749
36.000000	100.111	163.4431
36.500000	100.066	163.0877
37.000000	100.016	162.7408
37.500000	99.970	162.4185
38.200001	99.918	161.9646
38.700001	99.882	161.6178
39.500000	99.808	161.1113
40.000000	99.756	160.8573
40.599998	99.697	160.5531
41.200001	99.640	160.1948
41.799999	99.583	159.8291
42.500000	99.538	159.4593
43.099998	99.522	159.1319
43.700001	99.508	158.7517
44.400002	99.467	158.3312
45.000000	99.416	158.0576
45.500000	99.370	157.8602
46.200001	99.306	157.5596
46.799999	99.251	157.2881
47.500000	99.193	156.9954
48.200001	99.144	156.7106
48.700001	99.109	156.4998
49.400002	99.056	156.2088
50.000000	99.009	155.9724
50.799999	98.948	155.6591
51.500000	98.894	155.3831
52.200001	98.838	155.1220
53.000000	98.775	154.8506
53.799999	98.717	154.5924
54.500000	98.669	154.3589
55.200001	98.619	154.1167
56.000000	98.554	153.8542
57.000000	98.468	153.5918
58.000000	98.393	153.3914
59.000000	98.333	153.1529
60.000000	98.270	152.8602
60.799999	98.218	152.6532
61.500000	98.178	152.4701
62.200001	98.137	152.2526
63.000000	98.079	152.0119
64.000000	97.994	151.8142
65.000000	97.909	151.6562
66.000000	97.830	151.4990
67.000000	97.764	151.3093
68.000000	97.693	151.0869
69.000000	97.616	150.9486
70.000000	97.552	150.8210
71.000000	97.490	150.6352
72.000000	97.425	150.4400
73.000000	97.357	150.2681
74.000000	97.290	150.1535
75.000000	97.230	150.0393
76.199997	97.155	149.8702
77.500000	97.076	149.7205
78.800003	96.991	149.6193
80.000000	96.918	149.4988
81.199997	96.852	149.2256
82.500000	96.771	149.0248
83.800003	96.685	149.0784
85.000000	96.613	149.1720
86.199997	96.543	149.1468
87.500000	96.467	149.1133
88.500000	96.408	149.1112
90.000000	96.309	149.1769
91.199997	96.235	149.1599
92.500000	96.147	149.1235
93.800003	96.074	149.3134
95.000000	96.034	149.4287
96.199997	95.987	149.6023
97.500000	95.936	150.0545
98.800003	95.882	150.2857
100.000000	95.821	150.0520
101.500000	95.748	149.6057
103.000000	95.678	149.4767
104.400002	95.624	149.3838
106.000000	95.555	149.2459
107.500000	95.481	149.1924
109.000000	95.411	149.2325
110.599998	95.338	149.2778
112.000000	95.275	149.2466
113.800003	95.196	149.2818
115.000000	95.143	149.3442
117.199997	95.049	149.4778
118.000000	95.016	149.5133
120.599998	94.906	149.6076
122.000000	94.850	149.6846
124.099998	94.775	149.7594
125.000000	94.742	149.8171
126.500000	94.687	149.9381
128.000000	94.641	150.0453
131.500000	94.534	150.3168
132.000000	94.520	150.3466
134.000000	94.464	150.4692
136.000000	94.400	150.5629
138.000000	94.337	150.6418
140.000000	94.270	150.7457
143.000000	94.171	151.0012
145.000000	94.116	151.1456
147.500000	94.050	151.2911
150.000000	93.987	151.4312
152.500000	93.923	151.5564
155.000000	93.858	151.7099
157.500000	93.790	151.8666
160.000000	93.724	152.0319
162.500000	93.650	152.1996
165.000000	93.575	152.3635
167.500000	93.497	152.5281
170.000000	93.421	152.7507
172.500000	93.352	152.9791
175.000000	93.287	153.1951
177.500000	93.220	153.4186
180.000000	93.154	153.6594
182.500000	93.091	153.8999
185.000000	93.028	154.1261
187.500000	92.968	154.3557
190.000000	92.911	154.5783
192.500000	92.853	154.8018
195.000000	92.799	155.0441
197.500000	92.747	155.3221
200.000000	92.688	155.6166
203.000000	92.625	155.9209
206.000000	92.575	156.2089
209.000000	92.530	156.5100
212.000000	92.484	156.7902
214.000000	92.451	156.9595
218.000000	92.388	157.2751
220.000000	92.357	157.4453
224.000000	92.297	157.8162
227.000000	92.251	158.0901
230.000000	92.205	158.3592
233.000000	92.161	158.6364
236.000000	92.118	158.9124
240.000000	92.064	159.2845
243.000000	92.024	159.5535
247.000000	91.971	159.9180
250.000000	91.932	160.1943
254.000000	91.881	160.5537
258.000000	91.831	160.8964
262.000000	91.784	161.2522
265.000000	91.750	161.5198
269.000000	91.703	161.8858
272.000000	91.669	162.1601
276.000000	91.624	162.5293
280.000000	91.583	162.8907
285.000000	91.531	163.3185
290.000000	91.483	163.7802
