* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2025 1:28:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NICEHCK NX8 RADIUS R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.665	-179.8049
20.600000	100.641	179.8355
20.900000	100.615	179.5402
21.200001	100.598	179.3069
21.400000	100.595	179.1529
21.799999	100.602	178.7637
22.000000	100.608	178.5055
22.400000	100.613	177.8666
22.700001	100.604	177.3288
23.000000	100.585	176.7995
23.299999	100.560	176.3198
23.600000	100.536	175.9037
24.000000	100.514	175.4225
24.299999	100.505	175.0802
24.700001	100.498	174.6067
25.000000	100.490	174.2345
25.400000	100.471	173.7369
25.799999	100.442	173.2646
26.200001	100.411	172.8234
26.500000	100.389	172.5022
26.900000	100.361	172.0710
27.200001	100.341	171.7434
27.600000	100.313	171.3105
28.000000	100.286	170.8943
28.500000	100.255	170.3961
29.000000	100.226	169.8959
29.500000	100.193	169.3788
30.000000	100.154	168.8678
30.400000	100.120	168.4838
30.700001	100.097	168.2124
31.100000	100.070	167.8630
31.500000	100.046	167.5161
32.000000	100.017	167.0819
32.500000	99.983	166.6642
33.000000	99.944	166.2747
33.500000	99.902	165.8966
34.000000	99.859	165.5027
34.500000	99.814	165.0889
35.000000	99.771	164.6783
35.500000	99.735	164.2929
36.000000	99.707	163.9356
36.500000	99.682	163.5996
37.000000	99.655	163.2831
37.500000	99.620	162.9849
38.200001	99.559	162.5783
38.700001	99.511	162.2815
39.500000	99.437	161.7993
40.000000	99.401	161.4942
40.599998	99.365	161.1197
41.200001	99.328	160.7617
41.799999	99.288	160.4579
42.500000	99.243	160.1389
43.099998	99.206	159.8149
43.700001	99.161	159.4370
44.400002	99.095	159.0206
45.000000	99.037	158.7324
45.500000	98.991	158.5245
46.200001	98.933	158.2438
46.799999	98.889	157.9976
47.500000	98.840	157.7010
48.200001	98.790	157.4146
48.700001	98.753	157.2284
49.400002	98.701	156.9762
50.000000	98.657	156.7401
50.799999	98.598	156.3984
51.500000	98.547	156.1104
52.200001	98.498	155.8601
53.000000	98.442	155.6256
53.799999	98.385	155.3799
54.500000	98.327	155.1183
55.200001	98.259	154.8874
56.000000	98.193	154.7132
57.000000	98.138	154.4729
58.000000	98.078	154.2056
59.000000	98.010	154.0075
60.000000	97.935	153.7530
60.799999	97.874	153.4672
61.500000	97.826	153.1404
