* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2025 1:40:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NICEHCK NX8 VELVET L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.060	-179.3736
20.600000	101.052	-179.8415
20.900000	101.039	179.6691
21.200001	101.025	179.1956
21.400000	101.017	178.8849
21.799999	101.003	178.2600
22.000000	100.996	177.9419
22.400000	100.978	177.3000
22.700001	100.960	176.8291
23.000000	100.937	176.3829
23.299999	100.912	175.9683
23.600000	100.888	175.5815
24.000000	100.861	175.0852
24.299999	100.845	174.7076
24.700001	100.827	174.1813
25.000000	100.813	173.7739
25.400000	100.790	173.2363
25.799999	100.764	172.7316
26.200001	100.738	172.2704
26.500000	100.719	171.9459
26.900000	100.695	171.5225
27.200001	100.677	171.2009
27.600000	100.651	170.7615
28.000000	100.621	170.3184
28.500000	100.581	169.7812
29.000000	100.541	169.2735
29.500000	100.505	168.7809
30.000000	100.472	168.2865
30.400000	100.445	167.8941
30.700001	100.424	167.6097
31.100000	100.396	167.2501
31.500000	100.369	166.9080
32.000000	100.335	166.4816
32.500000	100.297	166.0386
33.000000	100.250	165.5943
33.500000	100.200	165.1790
34.000000	100.155	164.7942
34.500000	100.120	164.4081
35.000000	100.092	163.9984
35.500000	100.064	163.5808
36.000000	100.033	163.1871
36.500000	99.998	162.8309
37.000000	99.960	162.5032
37.500000	99.919	162.1892
38.200001	99.862	161.7502
38.700001	99.820	161.4265
39.500000	99.746	160.9241
40.000000	99.699	160.6523
40.599998	99.650	160.3418
41.200001	99.609	159.9699
41.799999	99.563	159.5337
42.500000	99.500	159.0868
43.099998	99.452	158.8271
43.700001	99.417	158.6105
44.400002	99.378	158.3046
45.000000	99.333	157.9995
45.500000	99.289	157.7396
46.200001	99.224	157.3784
46.799999	99.171	157.0785
47.500000	99.116	156.7623
48.200001	99.070	156.4739
48.700001	99.039	156.2695
49.400002	98.989	155.9909
50.000000	98.944	155.7724
50.799999	98.884	155.4910
51.500000	98.828	155.2374
52.200001	98.767	155.0010
53.000000	98.696	154.7429
53.799999	98.632	154.4384
54.500000	98.582	154.1552
55.200001	98.538	153.9147
56.000000	98.484	153.7126
57.000000	98.399	153.5317
58.000000	98.314	153.2557
59.000000	98.245	152.8527
60.000000	98.188	152.6194
60.799999	98.142	152.5333
61.500000	98.085	152.4123
62.200001	98.014	152.2448
63.000000	97.934	152.0615
64.000000	97.867	151.8542
65.000000	97.816	151.5670
66.000000	97.750	151.2663
67.000000	97.677	151.0945
68.000000	97.607	151.0090
69.000000	97.536	150.8871
70.000000	97.466	150.7014
71.000000	97.398	150.5504
72.000000	97.331	150.4550
73.000000	97.266	150.3094
74.000000	97.203	150.0926
75.000000	97.137	149.9274
76.199997	97.058	149.8541
77.500000	96.976	149.7451
78.800003	96.895	149.5822
80.000000	96.817	149.4416
81.199997	96.740	149.2632
82.500000	96.651	149.1190
83.800003	96.583	149.3239
85.000000	96.559	149.4825
86.199997	96.488	149.3818
87.500000	96.337	149.3150
88.500000	96.246	149.2578
90.000000	96.165	149.3435
91.199997	96.088	149.5187
92.500000	96.030	149.4431
93.800003	96.016	149.4537
95.000000	95.969	149.4823
96.199997	96.057	149.4673
97.500000	96.445	150.7705
98.800003	96.646	151.0893
100.000000	96.183	149.9219
101.500000	95.700	149.2431
103.000000	95.627	149.1970
104.400002	95.550	149.3250
106.000000	95.481	149.2470
107.500000	95.421	149.3224
109.000000	95.352	149.2758
110.599998	95.277	149.2115
112.000000	95.205	149.2711
113.800003	95.117	149.4440
115.000000	95.059	149.4668
117.199997	94.979	149.3716
118.000000	94.954	149.3753
120.599998	94.855	149.4605
122.000000	94.798	149.5022
124.099998	94.712	149.6458
125.000000	94.675	149.7022
126.500000	94.615	149.7815
128.000000	94.556	149.8868
131.500000	94.433	150.2261
