* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2025 1:42:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NICEHCK NX8 VELVET R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.714	-179.0483
20.600000	100.708	-179.4046
20.900000	100.711	-179.8261
21.200001	100.724	179.6665
21.400000	100.735	179.2680
21.799999	100.750	178.3518
22.000000	100.747	177.8697
22.400000	100.716	176.9800
22.700001	100.675	176.4658
23.000000	100.630	176.1191
23.299999	100.591	175.9134
23.600000	100.566	175.7774
24.000000	100.552	175.5583
24.299999	100.548	175.2943
24.700001	100.537	174.8017
25.000000	100.518	174.3757
25.400000	100.482	173.8232
25.799999	100.446	173.3444
26.200001	100.419	172.9300
26.500000	100.405	172.6318
26.900000	100.387	172.2216
27.200001	100.371	171.9030
27.600000	100.343	171.4788
28.000000	100.309	171.0693
28.500000	100.270	170.5695
29.000000	100.236	170.0557
29.500000	100.205	169.5292
30.000000	100.174	169.0250
30.400000	100.148	168.6541
30.700001	100.129	168.3925
31.100000	100.104	168.0550
31.500000	100.077	167.7202
32.000000	100.041	167.2992
32.500000	100.004	166.8745
33.000000	99.970	166.4418
33.500000	99.936	166.0002
34.000000	99.900	165.5656
34.500000	99.862	165.1642
35.000000	99.824	164.8060
35.500000	99.789	164.4734
36.000000	99.755	164.1411
36.500000	99.719	163.8057
37.000000	99.681	163.4830
37.500000	99.643	163.1774
38.200001	99.594	162.7386
38.700001	99.554	162.4120
39.500000	99.476	161.9836
40.000000	99.434	161.7993
40.599998	99.403	161.5460
41.200001	99.376	161.1516
41.799999	99.330	160.6941
42.500000	99.255	160.2803
43.099998	99.199	160.0104
43.700001	99.155	159.6959
44.400002	99.109	159.2608
45.000000	99.073	158.9188
45.500000	99.044	158.6912
46.200001	98.996	158.4750
46.799999	98.947	158.3319
47.500000	98.891	157.9642
48.200001	98.816	157.2408
48.700001	98.739	156.7226
49.400002	98.639	156.4080
50.000000	98.609	156.4996
50.799999	98.626	156.5543
51.500000	98.609	156.3593
52.200001	98.550	156.1458
53.000000	98.484	155.9182
53.799999	98.426	155.5844
54.500000	98.364	155.2544
55.200001	98.293	154.9745
56.000000	98.223	154.7505
57.000000	98.172	154.5519
58.000000	98.130	154.3221
59.000000	98.060	154.0542
60.000000	97.989	153.7563
60.799999	97.952	153.5428
61.500000	97.928	153.3725
62.200001	97.887	153.2030
63.000000	97.807	153.0699
64.000000	97.697	153.0301
65.000000	97.622	152.9050
66.000000	97.559	152.6189
67.000000	97.492	152.3403
68.000000	97.430	152.1139
69.000000	97.369	151.9475
70.000000	97.306	151.8693
71.000000	97.243	151.7770
72.000000	97.177	151.6195
73.000000	97.112	151.4615
74.000000	97.045	151.3445
75.000000	96.975	151.2496
76.199997	96.898	151.1104
77.500000	96.827	150.9556
78.800003	96.746	150.7966
80.000000	96.663	150.6443
81.199997	96.588	150.5279
82.500000	96.526	150.5170
83.800003	96.441	150.4752
85.000000	96.340	150.5173
86.199997	96.277	150.5160
87.500000	96.218	150.4188
88.500000	96.152	150.3171
90.000000	96.061	150.1538
91.199997	95.999	150.2085
92.500000	95.919	150.2625
93.800003	95.846	150.3474
95.000000	95.773	150.5551
96.199997	95.732	149.9202
97.500000	95.857	148.0455
98.800003	95.823	147.5622
100.000000	95.611	150.0540
101.500000	95.472	151.1252
103.000000	95.409	150.6063
104.400002	95.329	150.7183
106.000000	95.233	150.8315
107.500000	95.177	150.7372
109.000000	95.131	150.8816
110.599998	95.074	150.9806
112.000000	95.011	151.0521
113.800003	94.974	151.2081
115.000000	94.961	151.1804
117.199997	94.905	151.0602
118.000000	94.871	151.0554
120.599998	94.751	151.0003
122.000000	94.687	150.9761
124.099998	94.606	151.0303
125.000000	94.574	151.0536
126.500000	94.516	151.1015
128.000000	94.457	151.1918
131.500000	94.334	151.4599
132.000000	94.316	151.5045
134.000000	94.243	151.7013
136.000000	94.174	151.9336
138.000000	94.111	152.1929
140.000000	94.031	152.3468
143.000000	93.915	152.4782
145.000000	93.955	152.1525
147.500000	94.030	150.9240
150.000000	93.894	152.0655
152.500000	93.744	153.0449
155.000000	93.675	153.3809
157.500000	93.619	153.6298
160.000000	93.562	153.8607
162.500000	93.505	154.0350
165.000000	93.444	154.1245
167.500000	93.377	154.2341
170.000000	93.313	154.3848
172.500000	93.246	154.5479
175.000000	93.176	154.7289
177.500000	93.106	154.9497
180.000000	93.037	155.1627
182.500000	92.972	155.3943
185.000000	92.910	155.6401
187.500000	92.846	155.8622
190.000000	92.783	156.1117
192.500000	92.710	156.3396
195.000000	92.605	156.3946
197.500000	92.525	156.3296
200.000000	92.531	156.7330
203.000000	92.529	157.3415
206.000000	92.489	157.7016
209.000000	92.437	157.9656
212.000000	92.387	158.1950
214.000000	92.355	158.3526
218.000000	92.293	158.7180
220.000000	92.261	158.9041
224.000000	92.193	159.2634
227.000000	92.139	159.5459
230.000000	92.092	159.8203
233.000000	92.056	160.1053
236.000000	92.017	160.4057
240.000000	91.957	160.7589
243.000000	91.898	160.9871
247.000000	91.827	161.2864
250.000000	91.817	161.6319
254.000000	91.790	162.0646
258.000000	91.744	162.4441
262.000000	91.700	162.8455
265.000000	91.668	163.1188
269.000000	91.624	163.4780
272.000000	91.593	163.7379
276.000000	91.552	164.0758
280.000000	91.511	164.4126
285.000000	91.463	164.8457
290.000000	91.421	165.3257
295.000000	91.380	165.8710
300.000000	91.332	166.2350
304.000000	91.298	166.5317
