* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2025 1:21:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NICEHCK NX8 VELVET W L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.067	179.7951
20.600000	101.056	179.3472
20.900000	101.041	178.8496
21.200001	101.025	178.3376
21.400000	101.014	177.9939
21.799999	100.992	177.3188
22.000000	100.981	176.9963
22.400000	100.960	176.3958
22.700001	100.945	175.9849
23.000000	100.931	175.5983
23.299999	100.918	175.2222
23.600000	100.905	174.8427
24.000000	100.884	174.3175
24.299999	100.865	173.9093
24.700001	100.835	173.3591
25.000000	100.811	172.9542
25.400000	100.779	172.4386
25.799999	100.751	171.9539
26.200001	100.725	171.4922
26.500000	100.708	171.1534
26.900000	100.684	170.7042
27.200001	100.665	170.3677
27.600000	100.636	169.9220
28.000000	100.604	169.4843
28.500000	100.565	168.9543
29.000000	100.529	168.4440
29.500000	100.496	167.9494
30.000000	100.465	167.4663
30.400000	100.437	167.0867
30.700001	100.415	166.8059
31.100000	100.383	166.4366
31.500000	100.349	166.0722
32.000000	100.306	165.6216
32.500000	100.266	165.1775
33.000000	100.229	164.7480
33.500000	100.192	164.3453
34.000000	100.155	163.9734
34.500000	100.117	163.6210
35.000000	100.078	163.2671
35.500000	100.036	162.8957
36.000000	99.995	162.5062
36.500000	99.954	162.1104
37.000000	99.914	161.7239
37.500000	99.876	161.3609
38.200001	99.819	160.9101
38.700001	99.776	160.6296
39.500000	99.714	160.2006
40.000000	99.682	159.8959
40.599998	99.645	159.4678
41.200001	99.599	159.0170
41.799999	99.542	158.6292
42.500000	99.472	158.3057
43.099998	99.420	158.0717
43.700001	99.376	157.7954
44.400002	99.323	157.4236
45.000000	99.274	157.1326
45.500000	99.232	156.9265
46.200001	99.173	156.6425
46.799999	99.117	156.3635
47.500000	99.047	156.0079
48.200001	98.988	155.6305
48.700001	98.955	155.3366
49.400002	98.911	154.9239
50.000000	98.864	154.6492
50.799999	98.796	154.4480
51.500000	98.742	154.3125
52.200001	98.688	154.1081
53.000000	98.623	153.8294
53.799999	98.560	153.5791
54.500000	98.508	153.3856
55.200001	98.454	153.1943
56.000000	98.389	152.9539
57.000000	98.309	152.6337
58.000000	98.239	152.3162
59.000000	98.168	152.0164
60.000000	98.092	151.8176
60.799999	98.035	151.6244
61.500000	97.976	151.4021
62.200001	97.911	151.2234
63.000000	97.851	151.0716
64.000000	97.795	150.8153
65.000000	97.731	150.5812
66.000000	97.667	150.4106
67.000000	97.601	150.2119
68.000000	97.531	150.0164
69.000000	97.457	149.8925
70.000000	97.384	149.8156
71.000000	97.314	149.6760
72.000000	97.246	149.4839
73.000000	97.176	149.3540
74.000000	97.110	149.3150
75.000000	97.048	149.2403
76.199997	96.974	149.0580
77.500000	96.889	148.8586
78.800003	96.803	148.6924
80.000000	96.744	148.6101
81.199997	96.685	148.6007
82.500000	96.585	148.5797
83.800003	96.480	148.4151
85.000000	96.416	148.3000
86.199997	96.361	148.2173
87.500000	96.291	148.1305
88.500000	96.234	148.0300
90.000000	96.136	148.0626
91.199997	96.063	148.1046
92.500000	95.984	148.0291
93.800003	95.913	147.9213
95.000000	95.844	147.9337
96.199997	95.791	147.9644
97.500000	95.738	147.8269
98.800003	95.678	147.8838
100.000000	95.631	148.0336
101.500000	95.557	147.9624
103.000000	95.463	147.8739
104.400002	95.375	147.9311
106.000000	95.296	147.9961
107.500000	95.232	147.9336
109.000000	95.154	147.9147
110.599998	95.086	147.9771
112.000000	95.033	148.0508
113.800003	94.955	148.1135
115.000000	94.903	148.1533
117.199997	94.800	148.1971
118.000000	94.764	148.2280
120.599998	94.661	148.3365
122.000000	94.599	148.4269
124.099998	94.513	148.5867
125.000000	94.478	148.6356
126.500000	94.423	148.7122
128.000000	94.370	148.7992
131.500000	94.246	149.0063
132.000000	94.228	149.0366
134.000000	94.159	149.1729
136.000000	94.095	149.3035
138.000000	94.032	149.4478
140.000000	93.969	149.5774
143.000000	93.870	149.7661
145.000000	93.808	149.9077
147.500000	93.735	150.0905
150.000000	93.660	150.2848
152.500000	93.584	150.4810
155.000000	93.512	150.6643
157.500000	93.442	150.8609
160.000000	93.373	151.0374
162.500000	93.300	151.2305
165.000000	93.220	151.4503
167.500000	93.150	151.6803
170.000000	93.084	151.9304
172.500000	93.012	152.1643
175.000000	92.944	152.3836
177.500000	92.875	152.6504
180.000000	92.809	152.8974
182.500000	92.748	153.1364
185.000000	92.687	153.3846
187.500000	92.630	153.6481
190.000000	92.578	153.9112
192.500000	92.520	154.1818
195.000000	92.463	154.4199
197.500000	92.412	154.5920
200.000000	92.365	154.7686
203.000000	92.311	155.0460
206.000000	92.255	155.3306
209.000000	92.203	155.5909
212.000000	92.151	155.8375
214.000000	92.115	156.0293
218.000000	92.049	156.4361
220.000000	92.016	156.6241
224.000000	91.943	157.0090
227.000000	91.894	157.3074
230.000000	91.849	157.5960
233.000000	91.804	157.8755
236.000000	91.759	158.1461
240.000000	91.702	158.4971
243.000000	91.662	158.7848
247.000000	91.609	159.1858
250.000000	91.570	159.4644
254.000000	91.516	159.8318
258.000000	91.462	160.2037
262.000000	91.412	160.5670
265.000000	91.377	160.8756
269.000000	91.329	161.2706
272.000000	91.293	161.5334
276.000000	91.245	161.8964
280.000000	91.201	162.2208
285.000000	91.151	162.6857
290.000000	91.104	163.1511
295.000000	91.059	163.5879
300.000000	91.010	164.0445
304.000000	90.975	164.4017
307.000000	90.951	164.6529
311.000000	90.918	164.9955
315.000000	90.886	165.3462
320.000000	90.842	165.7679
325.000000	90.806	166.2240
330.000000	90.770	166.6604
335.000000	90.734	167.0554
340.000000	90.700	167.4714
345.000000	90.668	167.8995
350.000000	90.638	168.3162
355.000000	90.609	168.7332
360.000000	90.580	169.1455
365.000000	90.551	169.5514
370.000000	90.525	169.9498
375.000000	90.499	170.3484
382.000000	90.465	170.9005
