* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2025 1:36:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NICEHCK NX8 W1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.062	-178.9358
20.600000	101.080	-179.3550
20.900000	101.116	-179.8292
21.200001	101.166	179.6349
21.400000	101.200	179.2338
21.799999	101.249	178.3500
22.000000	101.256	177.8979
22.400000	101.227	177.0748
22.700001	101.173	176.5976
23.000000	101.104	176.2641
23.299999	101.034	176.0446
23.600000	100.977	175.8714
24.000000	100.927	175.5768
24.299999	100.907	175.2438
24.700001	100.888	174.6512
25.000000	100.873	174.1505
25.400000	100.847	173.5125
25.799999	100.819	172.9815
26.200001	100.796	172.5565
26.500000	100.781	172.2710
26.900000	100.761	171.8821
27.200001	100.743	171.5664
27.600000	100.712	171.1178
28.000000	100.676	170.6606
28.500000	100.634	170.1051
29.000000	100.602	169.5691
29.500000	100.574	169.0443
30.000000	100.544	168.5411
30.400000	100.515	168.1672
30.700001	100.492	167.9053
31.100000	100.461	167.5733
31.500000	100.431	167.2468
32.000000	100.396	166.8275
32.500000	100.361	166.3944
33.000000	100.325	165.9622
33.500000	100.288	165.5382
34.000000	100.251	165.1118
34.500000	100.213	164.6734
35.000000	100.172	164.2395
35.500000	100.129	163.8409
36.000000	100.089	163.4860
36.500000	100.055	163.1477
37.000000	100.021	162.8003
37.500000	99.984	162.4594
38.200001	99.927	162.0694
38.700001	99.889	161.8550
39.500000	99.833	161.4798
40.000000	99.787	161.1736
40.599998	99.718	160.7733
41.200001	99.652	160.3906
41.799999	99.608	160.0143
42.500000	99.576	159.5475
43.099998	99.540	159.1791
43.700001	99.488	158.9049
44.400002	99.427	158.6166
