* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 9, 2025 1:35:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NICEHCK NX8 W1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.705	-178.8539
20.600000	100.677	-179.2375
20.900000	100.650	-179.6488
21.200001	100.634	179.9136
21.400000	100.629	179.5957
21.799999	100.629	178.8955
22.000000	100.631	178.5270
22.400000	100.629	177.8125
22.700001	100.623	177.3421
23.000000	100.613	176.9491
23.299999	100.602	176.6245
23.600000	100.592	176.3390
24.000000	100.579	175.9578
24.299999	100.566	175.6404
24.700001	100.544	175.1656
25.000000	100.523	174.7834
25.400000	100.495	174.2648
25.799999	100.470	173.7544
26.200001	100.450	173.2601
26.500000	100.437	172.9031
26.900000	100.418	172.4520
27.200001	100.401	172.1359
27.600000	100.376	171.7410
28.000000	100.350	171.3602
28.500000	100.317	170.8714
29.000000	100.284	170.3521
29.500000	100.251	169.8216
30.000000	100.217	169.3148
30.400000	100.189	168.9403
30.700001	100.168	168.6771
31.100000	100.139	168.3428
31.500000	100.110	168.0167
32.000000	100.074	167.6048
32.500000	100.037	167.1823
33.000000	100.000	166.7606
33.500000	99.962	166.3592
34.000000	99.924	165.9861
34.500000	99.887	165.6322
35.000000	99.851	165.2816
35.500000	99.815	164.9260
36.000000	99.779	164.5678
36.500000	99.744	164.2136
37.000000	99.711	163.8681
37.500000	99.677	163.5317
38.200001	99.626	163.0728
38.700001	99.587	162.7568
39.500000	99.524	162.2990
40.000000	99.487	162.0552
40.599998	99.450	161.7890
41.200001	99.417	161.4966
41.799999	99.382	161.1306
42.500000	99.329	160.6541
43.099998	99.279	160.2998
43.700001	99.235	160.0155
44.400002	99.184	159.6969
45.000000	99.126	159.4169
45.500000	99.074	159.1870
46.200001	99.018	158.8026
46.799999	98.986	158.4155
47.500000	98.947	158.2214
48.200001	98.937	158.5245
48.700001	98.957	158.7552
49.400002	98.960	158.5629
50.000000	98.877	157.9592
50.799999	98.692	157.2166
51.500000	98.588	156.8271
52.200001	98.559	156.4647
53.000000	98.535	156.1132
53.799999	98.484	155.9207
54.500000	98.421	155.7508
55.200001	98.355	155.5382
56.000000	98.299	155.2991
57.000000	98.252	155.0306
58.000000	98.195	154.8060
59.000000	98.127	154.5248
60.000000	98.079	154.0930
60.799999	98.048	153.6826
61.500000	98.003	153.4577
62.200001	97.944	153.4431
63.000000	97.871	153.5053
64.000000	97.770	153.4166
65.000000	97.682	153.2507
66.000000	97.627	153.0517
67.000000	97.566	152.8312
68.000000	97.497	152.6337
69.000000	97.434	152.4181
70.000000	97.371	152.2065
71.000000	97.297	152.0570
72.000000	97.221	151.9112
73.000000	97.150	151.7010
74.000000	97.081	151.5521
75.000000	97.017	151.5199
76.199997	96.946	151.4369
77.500000	96.862	151.2759
78.800003	96.766	151.1000
80.000000	96.685	150.8094
81.199997	96.619	151.2527
82.500000	96.572	152.1904
83.800003	96.494	151.5499
85.000000	96.484	150.2030
86.199997	96.457	149.5961
87.500000	96.295	150.3914
88.500000	96.195	151.2757
90.000000	96.115	151.7618
91.199997	96.083	151.4262
92.500000	96.072	151.1246
93.800003	96.003	151.0745
95.000000	95.967	150.9751
96.199997	95.879	151.5422
97.500000	95.256	151.8267
98.800003	94.465	151.5007
100.000000	94.760	150.1754
101.500000	95.403	150.1391
103.000000	95.512	151.0594
104.400002	95.473	150.7167
106.000000	95.433	150.6717
107.500000	95.358	150.6617
109.000000	95.300	150.6892
110.599998	95.231	150.7801
112.000000	95.172	150.7459
113.800003	95.092	150.7455
115.000000	95.040	150.7772
117.199997	94.949	150.9177
118.000000	94.914	150.9877
120.599998	94.812	151.1970
122.000000	94.759	151.2924
124.099998	94.679	151.4413
125.000000	94.648	151.4927
126.500000	94.602	151.5785
128.000000	94.557	151.6733
