* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 2, 2025 11:50:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Nightjar Singularity Coreir ALU
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.236	172.8706
20.600000	106.222	172.4443
20.900000	106.202	171.9970
21.200001	106.179	171.5620
21.400000	106.166	171.2761
21.799999	106.142	170.7052
22.000000	106.132	170.4193
22.400000	106.112	169.8564
22.700001	106.097	169.4549
23.000000	106.081	169.0805
23.299999	106.065	168.7329
23.600000	106.048	168.4036
24.000000	106.024	167.9703
24.299999	106.001	167.6376
24.700001	105.964	167.1834
25.000000	105.931	166.8443
25.400000	105.884	166.4076
25.799999	105.844	165.9844
26.200001	105.817	165.5477
26.500000	105.804	165.1937
26.900000	105.792	164.6823
27.200001	105.782	164.2839
27.600000	105.763	163.7693
28.000000	105.738	163.3054
28.500000	105.705	162.7965
29.000000	105.675	162.3115
29.500000	105.642	161.8056
30.000000	105.605	161.2998
30.400000	105.573	160.9292
30.700001	105.550	160.6782
31.100000	105.522	160.3679
31.500000	105.496	160.0611
32.000000	105.462	159.6501
32.500000	105.421	159.2010
33.000000	105.376	158.7307
33.500000	105.333	158.2654
34.000000	105.292	157.8330
34.500000	105.256	157.4523
35.000000	105.219	157.1186
35.500000	105.176	156.8074
36.000000	105.126	156.4953
36.500000	105.073	156.1682
37.000000	105.025	155.8111
37.500000	104.988	155.4154
38.200001	104.945	154.8676
38.700001	104.913	154.5836
39.500000	104.865	154.3327
40.000000	104.837	154.1390
40.599998	104.790	153.7187
41.200001	104.719	153.1605
41.799999	104.639	152.6260
42.500000	104.563	152.1192
43.099998	104.513	151.7615
43.700001	104.467	151.4606
44.400002	104.415	151.1421
45.000000	104.370	150.8336
45.500000	104.330	150.5426
46.200001	104.268	150.1384
46.799999	104.215	149.8288
47.500000	104.158	149.4955
48.200001	104.102	149.1651
48.700001	104.061	148.9213
49.400002	103.999	148.5705
50.000000	103.940	148.2843
50.799999	103.861	147.9486
51.500000	103.803	147.6558
52.200001	103.751	147.3344
53.000000	103.694	146.9842
53.799999	103.636	146.6850
54.500000	103.582	146.4384
55.200001	103.523	146.1890
56.000000	103.455	145.8896
57.000000	103.375	145.4885
58.000000	103.298	145.1243
59.000000	103.220	144.8232
60.000000	103.140	144.5153
60.799999	103.073	144.2335
61.500000	103.015	143.9671
62.200001	102.959	143.7099
63.000000	102.897	143.4605
64.000000	102.821	143.2202
65.000000	102.742	143.0136
66.000000	102.666	142.7862
67.000000	102.594	142.5195
68.000000	102.520	142.2486
69.000000	102.436	141.9880
70.000000	102.348	141.7287
71.000000	102.263	141.4998
72.000000	102.184	141.3175
73.000000	102.110	141.1311
74.000000	102.040	140.9364
75.000000	101.969	140.8183
76.199997	101.876	140.6941
77.500000	101.759	140.4528
78.800003	101.680	140.2544
80.000000	101.621	140.0502
81.199997	101.554	139.9214
82.500000	101.472	139.8608
83.800003	101.359	139.8743
85.000000	101.249	139.7096
86.199997	101.160	139.3647
87.500000	101.080	139.0036
88.500000	101.019	138.7844
90.000000	100.920	138.7287
91.199997	100.831	138.8014
92.500000	100.728	138.4728
93.800003	100.647	138.0158
95.000000	100.613	138.0950
96.199997	100.598	138.3777
97.500000	100.551	138.6062
98.800003	100.440	138.9008
100.000000	100.307	138.9329
101.500000	100.200	138.2705
103.000000	100.171	137.9273
104.400002	100.123	137.9824
106.000000	100.038	137.8890
107.500000	99.938	137.8234
109.000000	99.827	137.6439
110.599998	99.743	137.4731
112.000000	99.674	137.5155
113.800003	99.565	137.5053
115.000000	99.498	137.4637
117.199997	99.371	137.4457
118.000000	99.323	137.4498
120.599998	99.192	137.5106
122.000000	99.121	137.5300
124.099998	99.004	137.6969
125.000000	98.960	137.7681
126.500000	98.898	137.8422
128.000000	98.843	137.9079
131.500000	98.716	137.9245
132.000000	98.698	137.9313
134.000000	98.622	137.9801
136.000000	98.537	138.0057
138.000000	98.468	137.9841
140.000000	98.416	137.9769
143.000000	98.297	137.8988
145.000000	98.200	137.9218
147.500000	98.086	137.9103
150.000000	98.024	137.9139
152.500000	97.938	137.9380
155.000000	97.815	138.1377
157.500000	97.702	138.5351
160.000000	97.527	139.6615
162.500000	97.435	139.5526
165.000000	97.408	138.6482
167.500000	97.344	138.4403
170.000000	97.234	138.4487
172.500000	97.114	138.5099
175.000000	97.016	138.6692
177.500000	96.947	138.8831
180.000000	96.882	138.9560
182.500000	96.793	139.0746
185.000000	96.691	139.2409
187.500000	96.590	139.3871
190.000000	96.497	139.5258
192.500000	96.409	139.6845
195.000000	96.324	139.8551
197.500000	96.238	140.0421
200.000000	96.149	140.2815
203.000000	96.060	140.5044
206.000000	95.973	140.7159
209.000000	95.884	140.9256
212.000000	95.796	141.1298
214.000000	95.741	141.2910
218.000000	95.641	141.6416
220.000000	95.589	141.8283
224.000000	95.483	142.1426
227.000000	95.407	142.3344
230.000000	95.332	142.5735
233.000000	95.256	142.8173
236.000000	95.184	143.0318
240.000000	95.088	143.3305
243.000000	95.017	143.5666
247.000000	94.922	143.8836
250.000000	94.851	144.1246
254.000000	94.760	144.4652
258.000000	94.670	144.8004
262.000000	94.582	145.1335
265.000000	94.518	145.3754
269.000000	94.433	145.7072
272.000000	94.370	145.9634
276.000000	94.286	146.2990
280.000000	94.201	146.6455
285.000000	94.097	147.0791
290.000000	93.996	147.5104
295.000000	93.898	147.9449
