* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:07:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity Coreir R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.477	176.0816
20.600000	107.461	175.6359
20.900000	107.441	175.1612
21.200001	107.420	174.6887
21.400000	107.407	174.3730
21.799999	107.385	173.7351
22.000000	107.374	173.4126
22.400000	107.354	172.7659
22.700001	107.338	172.2870
23.000000	107.321	171.8206
23.299999	107.303	171.3712
23.600000	107.284	170.9399
24.000000	107.258	170.3887
24.299999	107.240	169.9870
24.700001	107.217	169.4576
25.000000	107.199	169.0618
25.400000	107.174	168.5370
25.799999	107.146	168.0224
26.200001	107.115	167.5260
26.500000	107.092	167.1674
26.900000	107.059	166.7035
27.200001	107.036	166.3611
27.600000	107.005	165.9041
28.000000	106.976	165.4416
28.500000	106.940	164.8585
29.000000	106.904	164.2827
29.500000	106.867	163.7297
30.000000	106.828	163.2087
30.400000	106.796	162.8152
30.700001	106.772	162.5311
31.100000	106.740	162.1615
31.500000	106.708	161.7958
32.000000	106.669	161.3358
32.500000	106.629	160.8716
33.000000	106.587	160.4110
33.500000	106.544	159.9625
34.000000	106.500	159.5276
34.500000	106.457	159.1003
35.000000	106.414	158.6754
35.500000	106.371	158.2546
36.000000	106.327	157.8446
36.500000	106.283	157.4489
37.000000	106.240	157.0632
37.500000	106.197	156.6790
38.200001	106.137	156.1387
38.700001	106.094	155.7582
39.500000	106.025	155.1765
40.000000	105.982	154.8323
40.599998	105.929	154.4365
41.200001	105.876	154.0535
41.799999	105.825	153.6723
42.500000	105.768	153.2238
43.099998	105.716	152.8515
43.700001	105.662	152.5044
44.400002	105.599	152.1156
45.000000	105.546	151.7724
45.500000	105.503	151.4813
46.200001	105.444	151.0927
46.799999	105.392	150.7892
47.500000	105.324	150.4622
48.200001	105.246	150.1566
48.700001	105.191	149.9404
49.400002	105.126	149.6058
50.000000	105.083	149.2735
50.799999	105.033	148.8174
51.500000	104.985	148.4707
52.200001	104.932	148.1736
53.000000	104.864	147.8412
53.799999	104.795	147.4950
54.500000	104.735	147.2015
55.200001	104.678	146.9314
56.000000	104.612	146.6342
57.000000	104.526	146.2563
58.000000	104.442	145.8986
59.000000	104.362	145.5629
60.000000	104.282	145.2472
60.799999	104.219	145.0010
61.500000	104.164	144.7735
62.200001	104.110	144.5423
63.000000	104.048	144.2893
64.000000	103.968	143.9918
65.000000	103.886	143.7180
66.000000	103.806	143.4543
67.000000	103.728	143.1845
68.000000	103.651	142.9246
69.000000	103.574	142.6815
70.000000	103.498	142.4590
71.000000	103.421	142.2482
72.000000	103.345	142.0196
73.000000	103.273	141.7559
74.000000	103.201	141.5051
75.000000	103.126	141.3341
76.199997	103.033	141.1650
77.500000	102.937	140.9336
78.800003	102.859	140.6943
80.000000	102.778	140.4834
81.199997	102.682	140.3237
82.500000	102.586	140.1445
83.800003	102.497	139.9325
85.000000	102.419	139.7507
86.199997	102.342	139.5925
87.500000	102.252	139.4491
88.500000	102.178	139.3487
90.000000	102.071	139.1754
91.199997	101.990	139.0311
92.500000	101.908	138.8996
93.800003	101.825	138.7817
95.000000	101.749	138.6724
96.199997	101.676	138.5982
97.500000	101.599	138.5926
98.800003	101.520	138.5037
100.000000	101.437	138.3428
101.500000	101.336	138.2446
103.000000	101.246	138.1919
104.400002	101.166	138.1099
106.000000	101.064	137.9673
107.500000	100.968	137.8371
109.000000	100.884	137.7211
110.599998	100.795	137.6159
112.000000	100.705	137.6232
113.800003	100.583	137.6318
115.000000	100.501	137.6752
117.199997	100.350	137.7952
118.000000	100.307	137.8774
120.599998	100.331	137.7732
122.000000	100.511	137.3431
124.099998	100.408	138.0840
125.000000	100.251	138.8452
126.500000	100.098	139.2364
128.000000	100.033	139.2241
131.500000	99.922	139.1880
132.000000	99.907	139.1263
134.000000	99.828	138.9093
136.000000	99.719	138.8933
138.000000	99.625	138.6004
140.000000	99.555	138.3570
143.000000	99.439	138.1482
145.000000	99.324	138.1685
147.500000	99.202	138.1657
150.000000	99.103	138.1828
152.500000	98.996	138.2969
155.000000	98.896	138.4996
157.500000	98.800	138.6866
160.000000	98.692	138.7532
162.500000	98.587	138.8191
165.000000	98.480	138.9048
167.500000	98.376	139.0317
170.000000	98.282	139.1676
172.500000	98.185	139.3582
175.000000	98.088	139.6529
177.500000	98.003	139.9459
180.000000	97.926	140.1875
182.500000	97.853	140.3634
185.000000	97.784	140.4615
187.500000	97.711	140.5325
190.000000	97.630	140.6206
192.500000	97.546	140.7166
195.000000	97.462	140.8493
197.500000	97.381	140.9989
200.000000	97.302	141.1377
203.000000	97.203	141.3408
206.000000	97.106	141.5368
209.000000	97.015	141.7635
212.000000	96.936	142.0366
214.000000	96.881	142.1901
218.000000	96.773	142.4688
220.000000	96.722	142.6082
224.000000	96.619	142.9748
227.000000	96.540	143.2771
230.000000	96.462	143.5479
233.000000	96.389	143.7818
236.000000	96.321	144.0024
240.000000	96.234	144.3251
243.000000	96.164	144.5678
247.000000	96.067	144.9136
250.000000	95.997	145.1851
254.000000	95.909	145.4989
258.000000	95.819	145.8459
262.000000	95.731	146.1757
265.000000	95.666	146.3912
269.000000	95.587	146.7146
272.000000	95.523	146.9784
276.000000	95.438	147.3637
280.000000	95.362	147.7372
285.000000	95.269	148.1844
290.000000	95.172	148.6465
295.000000	95.077	149.1240
300.000000	94.985	149.5844
304.000000	94.913	149.9448
307.000000	94.861	150.2135
311.000000	94.797	150.5953
315.000000	94.740	150.9964
320.000000	94.662	151.5000
325.000000	94.574	152.0079
330.000000	94.487	152.4916
335.000000	94.408	152.9337
340.000000	94.338	153.3654
345.000000	94.270	153.8293
350.000000	94.205	154.3232
355.000000	94.135	154.8340
360.000000	94.063	155.3449
365.000000	93.995	155.8379
370.000000	93.931	156.3407
375.000000	93.869	156.8627
382.000000	93.783	157.5954
387.000000	93.725	158.1117
395.000000	93.640	158.9604
400.000000	93.589	159.4905
406.000000	93.535	160.1388
412.000000	93.481	160.7852
418.000000	93.431	161.4168
425.000000	93.377	162.1420
431.000000	93.337	162.7556
437.000000	93.299	163.3660
444.000000	93.256	164.0581
450.000000	93.221	164.6285
455.000000	93.194	165.0990
