* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:20:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity EX11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.754	170.2825
20.600000	107.736	169.9001
20.900000	107.714	169.4864
21.200001	107.692	169.0635
21.400000	107.678	168.7747
21.799999	107.652	168.1827
22.000000	107.638	167.8841
22.400000	107.611	167.2973
22.700001	107.590	166.8766
23.000000	107.569	166.4762
23.299999	107.548	166.0927
23.600000	107.527	165.7193
24.000000	107.499	165.2248
24.299999	107.477	164.8515
24.700001	107.447	164.3511
25.000000	107.423	163.9784
25.400000	107.389	163.4927
25.799999	107.355	163.0253
26.200001	107.321	162.5778
26.500000	107.296	162.2536
26.900000	107.262	161.8327
27.200001	107.236	161.5221
27.600000	107.202	161.1105
28.000000	107.166	160.6987
28.500000	107.122	160.1843
29.000000	107.077	159.6765
29.500000	107.034	159.1807
30.000000	106.991	158.6978
30.400000	106.956	158.3202
30.700001	106.929	158.0430
31.100000	106.893	157.6829
31.500000	106.855	157.3338
32.000000	106.808	156.9086
32.500000	106.762	156.4868
33.000000	106.716	156.0630
33.500000	106.669	155.6405
34.000000	106.622	155.2257
34.500000	106.576	154.8217
35.000000	106.532	154.4279
35.500000	106.487	154.0447
36.000000	106.443	153.6740
36.500000	106.396	153.3179
37.000000	106.348	152.9758
37.500000	106.299	152.6434
38.200001	106.232	152.1800
38.700001	106.187	151.8398
39.500000	106.117	151.2877
40.000000	106.072	150.9606
40.599998	106.018	150.6019
41.200001	105.962	150.2630
41.799999	105.904	149.9177
42.500000	105.833	149.5047
43.099998	105.773	149.1595
43.700001	105.718	148.8272
44.400002	105.658	148.4509
45.000000	105.606	148.1399
45.500000	105.561	147.8893
46.200001	105.497	147.5455
46.799999	105.442	147.2557
47.500000	105.380	146.9210
48.200001	105.316	146.5844
48.700001	105.266	146.3535
49.400002	105.192	146.0699
50.000000	105.133	145.8523
50.799999	105.067	145.5238
51.500000	105.013	145.1915
52.200001	104.955	144.8797
53.000000	104.886	144.5720
53.799999	104.815	144.2715
54.500000	104.752	144.0041
55.200001	104.692	143.7449
56.000000	104.627	143.4653
57.000000	104.541	143.1440
58.000000	104.452	142.8284
59.000000	104.366	142.4973
60.000000	104.283	142.1823
60.799999	104.217	141.9540
61.500000	104.157	141.7565
62.200001	104.098	141.5530
63.000000	104.032	141.3327
64.000000	103.954	141.0982
65.000000	103.876	140.8613
66.000000	103.789	140.6084
67.000000	103.703	140.3665
68.000000	103.622	140.1356
69.000000	103.545	139.9174
70.000000	103.465	139.7095
71.000000	103.386	139.5173
72.000000	103.310	139.3227
73.000000	103.233	139.1192
74.000000	103.155	138.9295
75.000000	103.079	138.7506
76.199997	102.989	138.5627
77.500000	102.892	138.3889
78.800003	102.793	138.2029
80.000000	102.706	138.0289
81.199997	102.624	137.8776
82.500000	102.532	137.7357
83.800003	102.437	137.5873
85.000000	102.355	137.4565
86.199997	102.280	137.3437
87.500000	102.193	137.1991
88.500000	102.120	137.0827
90.000000	102.018	136.9391
91.199997	101.939	136.8392
92.500000	101.853	136.7315
93.800003	101.768	136.6286
95.000000	101.693	136.5495
96.199997	101.616	136.4703
97.500000	101.535	136.3969
98.800003	101.449	136.3549
100.000000	101.369	136.3203
101.500000	101.283	136.2048
103.000000	101.196	136.0943
104.400002	101.112	135.9958
106.000000	100.997	135.9823
107.500000	100.835	135.9896
109.000000	100.716	135.9984
110.599998	100.706	135.8889
112.000000	100.671	135.7990
113.800003	100.578	135.7054
115.000000	100.508	135.7272
117.199997	100.379	135.7829
118.000000	100.333	135.8089
120.599998	100.186	135.9023
122.000000	100.113	135.9402
124.099998	100.013	136.0684
125.000000	99.976	136.1013
126.500000	99.930	136.0786
128.000000	99.908	135.9786
131.500000	99.803	135.9396
132.000000	99.764	136.0112
134.000000	99.631	136.3246
136.000000	99.535	136.4205
138.000000	99.432	136.3852
140.000000	99.335	136.1606
143.000000	99.224	136.1098
145.000000	99.134	136.2328
147.500000	99.028	136.4476
150.000000	98.928	136.4902
152.500000	98.832	136.6073
155.000000	98.752	136.7049
157.500000	98.664	136.8399
160.000000	98.571	136.9765
162.500000	98.467	137.0942
165.000000	98.361	137.1765
167.500000	98.265	137.2641
170.000000	98.167	137.3952
172.500000	98.062	137.5002
175.000000	97.966	137.6037
177.500000	97.879	137.8286
180.000000	97.791	138.0092
182.500000	97.706	138.1688
185.000000	97.620	138.3480
187.500000	97.531	138.5107
190.000000	97.442	138.6895
192.500000	97.358	138.8648
