* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:22:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity EX11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.548	178.1499
20.600000	107.537	177.7084
20.900000	107.521	177.2316
21.200001	107.506	176.7475
21.400000	107.496	176.4198
21.799999	107.477	175.7558
22.000000	107.467	175.4244
22.400000	107.448	174.7790
22.700001	107.433	174.3199
23.000000	107.419	173.8835
23.299999	107.405	173.4634
23.600000	107.390	173.0488
24.000000	107.370	172.4898
24.299999	107.352	172.0637
24.700001	107.326	171.4977
25.000000	107.304	171.0861
25.400000	107.277	170.5621
25.799999	107.256	170.0577
26.200001	107.238	169.5559
26.500000	107.223	169.1791
26.900000	107.197	168.6941
27.200001	107.170	168.3635
27.600000	107.129	167.9861
28.000000	107.090	167.6659
28.500000	107.054	167.2563
29.000000	107.031	166.7229
29.500000	107.005	166.0479
30.000000	106.968	165.3346
30.400000	106.933	164.8168
30.700001	106.907	164.4761
31.100000	106.877	164.0720
31.500000	106.852	163.6941
32.000000	106.819	163.2215
32.500000	106.781	162.7457
33.000000	106.738	162.2829
33.500000	106.696	161.8365
34.000000	106.657	161.3989
34.500000	106.621	160.9683
35.000000	106.586	160.5486
35.500000	106.550	160.1373
36.000000	106.511	159.7266
36.500000	106.469	159.3170
37.000000	106.424	158.9186
37.500000	106.380	158.5369
38.200001	106.324	158.0155
38.700001	106.285	157.6418
39.500000	106.220	157.0548
40.000000	106.178	156.7036
40.599998	106.129	156.2947
41.200001	106.081	155.9009
41.799999	106.033	155.5344
42.500000	105.979	155.1340
43.099998	105.932	154.7765
43.700001	105.883	154.3822
44.400002	105.820	153.9036
45.000000	105.766	153.5241
