* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 21, 2025 1:11:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity Epro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.742	168.8006
20.600000	107.719	168.3387
20.900000	107.687	167.8456
21.200001	107.653	167.3684
21.400000	107.631	167.0644
21.799999	107.593	166.4928
22.000000	107.579	166.2227
22.400000	107.557	165.6998
22.700001	107.544	165.3094
23.000000	107.530	164.9118
23.299999	107.512	164.5063
23.600000	107.486	164.1000
24.000000	107.439	163.5767
24.299999	107.398	163.2109
24.700001	107.344	162.7627
25.000000	107.307	162.4457
25.400000	107.268	162.0213
25.799999	107.241	161.5688
26.200001	107.221	161.0830
26.500000	107.206	160.7091
26.900000	107.182	160.2235
27.200001	107.160	159.8827
27.600000	107.126	159.4647
28.000000	107.089	159.0779
28.500000	107.037	158.6104
29.000000	106.981	158.1393
29.500000	106.924	157.6590
30.000000	106.871	157.1676
30.400000	106.832	156.7623
30.700001	106.804	156.4506
31.100000	106.768	156.0302
31.500000	106.729	155.6172
32.000000	106.675	155.1358
32.500000	106.620	154.7102
33.000000	106.567	154.3318
33.500000	106.519	153.9699
34.000000	106.476	153.5956
34.500000	106.434	153.2008
35.000000	106.391	152.7935
35.500000	106.346	152.3763
36.000000	106.298	151.9414
36.500000	106.242	151.4893
37.000000	106.178	151.0454
37.500000	106.108	150.6459
38.200001	106.016	150.1827
38.700001	105.964	149.8872
39.500000	105.898	149.4010
40.000000	105.861	149.0914
40.599998	105.814	148.7513
41.200001	105.767	148.4630
41.799999	105.719	148.1986
42.500000	105.655	147.8710
43.099998	105.591	147.5745
43.700001	105.531	147.2491
44.400002	105.478	146.7257
45.000000	105.432	146.1418
45.500000	105.379	145.6910
46.200001	105.295	145.3458
46.799999	105.236	145.2740
47.500000	105.174	145.1689
48.200001	105.092	144.9505
48.700001	105.027	144.7836
49.400002	104.950	144.5253
