* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:28:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity FusionG L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.541	168.5783
20.600000	107.521	168.1749
20.900000	107.495	167.7399
21.200001	107.469	167.3004
21.400000	107.452	167.0042
21.799999	107.420	166.4048
22.000000	107.405	166.1043
22.400000	107.375	165.5128
22.700001	107.352	165.0854
23.000000	107.330	164.6758
23.299999	107.306	164.2831
23.600000	107.282	163.9031
24.000000	107.250	163.4070
24.299999	107.225	163.0375
24.700001	107.191	162.5450
25.000000	107.164	162.1769
25.400000	107.126	161.6914
25.799999	107.089	161.2160
26.200001	107.051	160.7524
26.500000	107.023	160.4123
26.900000	106.986	159.9678
27.200001	106.957	159.6404
27.600000	106.918	159.2107
28.000000	106.880	158.7880
28.500000	106.832	158.2679
29.000000	106.784	157.7570
29.500000	106.737	157.2574
30.000000	106.689	156.7720
30.400000	106.650	156.3949
30.700001	106.621	156.1183
31.100000	106.581	155.7573
31.500000	106.541	155.4035
32.000000	106.490	154.9693
32.500000	106.441	154.5413
33.000000	106.392	154.1174
33.500000	106.342	153.6989
34.000000	106.293	153.2892
34.500000	106.243	152.8915
35.000000	106.193	152.5055
35.500000	106.143	152.1282
36.000000	106.094	151.7582
36.500000	106.044	151.3972
37.000000	105.993	151.0472
37.500000	105.942	150.7064
38.200001	105.873	150.2355
38.700001	105.823	149.9001
39.500000	105.744	149.3728
40.000000	105.694	149.0535
40.599998	105.635	148.6791
41.200001	105.575	148.3120
41.799999	105.514	147.9551
42.500000	105.444	147.5562
43.099998	105.384	147.2279
43.700001	105.326	146.9092
44.400002	105.257	146.5443
45.000000	105.199	146.2299
45.500000	105.150	145.9662
46.200001	105.080	145.6085
46.799999	105.021	145.3226
47.500000	104.955	144.9967
48.200001	104.888	144.6599
