* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:29:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity FusionG R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.306	176.0156
20.600000	107.290	175.5473
20.900000	107.269	175.0452
21.200001	107.247	174.5426
21.400000	107.234	174.2064
21.799999	107.210	173.5290
22.000000	107.200	173.1891
22.400000	107.180	172.5146
22.700001	107.165	172.0220
23.000000	107.148	171.5471
23.299999	107.129	171.0928
23.600000	107.109	170.6579
24.000000	107.081	170.1011
24.299999	107.060	169.6932
24.700001	107.032	169.1531
25.000000	107.010	168.7477
25.400000	106.981	168.2072
25.799999	106.951	167.6716
26.200001	106.922	167.1460
26.500000	106.899	166.7601
26.900000	106.868	166.2564
27.200001	106.845	165.8860
27.600000	106.811	165.4009
28.000000	106.777	164.9258
28.500000	106.732	164.3466
29.000000	106.688	163.7837
29.500000	106.646	163.2353
30.000000	106.605	162.6987
30.400000	106.573	162.2764
30.700001	106.549	161.9633
31.100000	106.516	161.5508
31.500000	106.482	161.1446
32.000000	106.438	160.6479
32.500000	106.393	160.1659
33.000000	106.347	159.6992
33.500000	106.302	159.2457
34.000000	106.256	158.8017
34.500000	106.211	158.3640
35.000000	106.166	157.9319
35.500000	106.122	157.5079
36.000000	106.077	157.0950
36.500000	106.033	156.6934
37.000000	105.989	156.2998
37.500000	105.944	155.9109
38.200001	105.880	155.3755
38.700001	105.834	155.0034
39.500000	105.761	154.4284
40.000000	105.716	154.0792
40.599998	105.662	153.6676
41.200001	105.607	153.2610
41.799999	105.551	152.8581
42.500000	105.486	152.3983
43.099998	105.431	152.0169
43.700001	105.378	151.6439
44.400002	105.314	151.2204
45.000000	105.259	150.8750
45.500000	105.214	150.5973
46.200001	105.150	150.2139
46.799999	105.094	149.9006
47.500000	105.028	149.5649
48.200001	104.967	149.2068
48.700001	104.924	148.9047
49.400002	104.855	148.4633
50.000000	104.793	148.1511
50.799999	104.723	147.8503
51.500000	104.672	147.6022
52.200001	104.615	147.3217
53.000000	104.544	146.9787
53.799999	104.473	146.6179
54.500000	104.413	146.3118
55.200001	104.356	146.0437
56.000000	104.290	145.7666
57.000000	104.201	145.4128
58.000000	104.111	145.0447
59.000000	104.026	144.6810
60.000000	103.945	144.3401
60.799999	103.878	144.0835
61.500000	103.820	143.8662
62.200001	103.762	143.6547
63.000000	103.696	143.4231
64.000000	103.616	143.1425
65.000000	103.535	142.8606
66.000000	103.453	142.5937
67.000000	103.374	142.3389
68.000000	103.294	142.0911
69.000000	103.215	141.8573
70.000000	103.137	141.6264
71.000000	103.058	141.3980
72.000000	102.981	141.1801
73.000000	102.905	140.9768
74.000000	102.829	140.7837
75.000000	102.753	140.5926
76.199997	102.665	140.3689
77.500000	102.571	140.1421
78.800003	102.477	139.9198
80.000000	102.391	139.6979
81.199997	102.302	139.5058
82.500000	102.208	139.3586
83.800003	102.118	139.1951
85.000000	102.036	139.0413
86.199997	101.954	138.8958
87.500000	101.865	138.7415
88.500000	101.797	138.6279
90.000000	101.697	138.4651
91.199997	101.618	138.3404
92.500000	101.534	138.2194
93.800003	101.451	138.1101
95.000000	101.373	138.0049
96.199997	101.297	137.9097
97.500000	101.217	137.8162
98.800003	101.137	137.7201
100.000000	101.064	137.6356
101.500000	100.974	137.5609
103.000000	100.885	137.4945
104.400002	100.803	137.4232
106.000000	100.710	137.3387
107.500000	100.624	137.2768
109.000000	100.540	137.2242
110.599998	100.450	137.1670
112.000000	100.373	137.1290
113.800003	100.273	137.0868
115.000000	100.208	137.0591
117.199997	100.091	137.0210
118.000000	100.049	137.0099
120.599998	99.914	136.9811
122.000000	99.843	136.9711
124.099998	99.737	136.9726
125.000000	99.692	136.9769
126.500000	99.619	136.9881
128.000000	99.548	137.0022
131.500000	99.386	137.0387
132.000000	99.363	137.0477
134.000000	99.273	137.0869
136.000000	99.184	137.1303
138.000000	99.096	137.1794
140.000000	99.011	137.2333
143.000000	98.885	137.3275
145.000000	98.802	137.3979
147.500000	98.699	137.4973
150.000000	98.596	137.6154
152.500000	98.500	137.6663
155.000000	98.406	137.7498
157.500000	98.310	137.8601
160.000000	98.213	137.9775
162.500000	98.114	138.1055
165.000000	98.015	138.2313
167.500000	97.917	138.3701
170.000000	97.821	138.5117
172.500000	97.728	138.6565
175.000000	97.636	138.8051
177.500000	97.545	138.9567
180.000000	97.454	139.1139
182.500000	97.367	139.2743
185.000000	97.280	139.4301
187.500000	97.194	139.5877
190.000000	97.110	139.7564
192.500000	97.028	139.9266
195.000000	96.946	140.1063
197.500000	96.864	140.2870
200.000000	96.783	140.4777
203.000000	96.689	140.7195
206.000000	96.605	140.9427
209.000000	96.523	141.1601
212.000000	96.439	141.3792
214.000000	96.381	141.5324
218.000000	96.271	141.8616
220.000000	96.219	142.0364
224.000000	96.113	142.3776
227.000000	96.036	142.6256
230.000000	95.961	142.8717
233.000000	95.889	143.1335
236.000000	95.816	143.3832
240.000000	95.721	143.7246
243.000000	95.652	143.9735
247.000000	95.557	144.3197
250.000000	95.489	144.5955
254.000000	95.404	144.9137
258.000000	95.315	145.2272
262.000000	95.227	145.5742
265.000000	95.162	145.8583
269.000000	95.078	146.2548
272.000000	95.016	146.5476
276.000000	94.938	146.9091
280.000000	94.861	147.2336
285.000000	94.765	147.6759
290.000000	94.671	148.1376
295.000000	94.579	148.5927
300.000000	94.491	149.0497
304.000000	94.421	149.4215
307.000000	94.369	149.7051
311.000000	94.301	150.0815
315.000000	94.235	150.4548
320.000000	94.153	150.9175
325.000000	94.074	151.3804
330.000000	93.998	151.8444
335.000000	93.923	152.3169
340.000000	93.850	152.8002
345.000000	93.776	153.2731
350.000000	93.705	153.7334
355.000000	93.637	154.2163
360.000000	93.571	154.7190
365.000000	93.506	155.2141
370.000000	93.442	155.6956
375.000000	93.379	156.1638
382.000000	93.292	156.8416
387.000000	93.233	157.3308
395.000000	93.147	158.1749
400.000000	93.096	158.7102
406.000000	93.031	159.2408
412.000000	92.969	159.7855
418.000000	92.917	160.5112
425.000000	92.849	161.2821
431.000000	92.787	161.8643
437.000000	92.736	162.4735
444.000000	92.684	163.2088
450.000000	92.642	163.8242
455.000000	92.611	164.3277
462.000000	92.571	165.0251
468.000000	92.538	165.6101
475.000000	92.502	166.2789
482.000000	92.467	166.9343
487.000000	92.445	167.3926
494.000000	92.415	168.0176
500.000000	92.390	168.5327
508.000000	92.358	169.2096
515.000000	92.328	169.7959
522.000000	92.296	170.3344
530.000000	92.270	170.9609
538.000000	92.237	171.6580
545.000000	92.198	172.2126
552.000000	92.163	172.7400
560.000000	92.135	173.3873
570.000000	92.100	174.2288
580.000000	92.061	175.0564
590.000000	92.024	175.8694
600.000000	91.990	176.6998
608.000000	91.963	177.3653
615.000000	91.942	177.9406
622.000000	91.921	178.5220
630.000000	91.898	179.1870
640.000000	91.870	-179.9817
650.000000	91.846	-179.1354
660.000000	91.825	-178.2818
670.000000	91.805	-177.4355
680.000000	91.787	-176.5901
690.000000	91.773	-175.7414
700.000000	91.761	-174.8853
710.000000	91.750	-174.0229
720.000000	91.742	-173.1654
730.000000	91.737	-172.3087
740.000000	91.737	-171.4520
750.000000	91.738	-170.5853
762.000000	91.741	-169.5407
775.000000	91.749	-168.4128
788.000000	91.763	-167.2804
800.000000	91.778	-166.2323
812.000000	91.793	-165.2010
825.000000	91.812	-164.0887
838.000000	91.836	-162.9613
850.000000	91.865	-161.9127
862.000000	91.898	-160.8909
875.000000	91.941	-159.7995
885.000000	91.977	-158.9643
900.000000	92.037	-157.7117
912.000000	92.091	-156.7278
925.000000	92.155	-155.6765
938.000000	92.224	-154.6372
950.000000	92.292	-153.6957
962.000000	92.366	-152.7836
975.000000	92.452	-151.8265
988.000000	92.541	-150.8858
1000.000000	92.629	-150.0421
1015.000000	92.742	-149.0137
1030.000000	92.859	-148.0347
1044.000000	92.974	-147.1770
1060.000000	93.115	-146.2279
1075.000000	93.254	-145.3898
1090.000000	93.390	-144.6257
1106.000000	93.540	-143.8353
1120.000000	93.679	-143.2095
1138.000000	93.862	-142.5289
1150.000000	93.987	-142.1442
1172.000000	94.213	-141.5181
1180.000000	94.292	-141.3305
1206.000000	94.545	-140.8686
1220.000000	94.677	-140.6776
1241.000000	94.866	-140.4874
1250.000000	94.944	-140.4421
1265.000000	95.072	-140.3930
1280.000000	95.195	-140.3641
1315.000000	95.460	-140.3079
1320.000000	95.497	-140.2937
1340.000000	95.635	-140.2771
1360.000000	95.749	-140.3309
1380.000000	95.860	-140.3764
1400.000000	95.970	-140.3771
1430.000000	96.125	-140.3268
1450.000000	96.223	-140.2648
1475.000000	96.343	-140.1826
1500.000000	96.460	-140.0892
1525.000000	96.575	-139.9811
1550.000000	96.689	-139.8570
1575.000000	96.804	-139.7193
1600.000000	96.917	-139.5859
1625.000000	97.027	-139.4565
1650.000000	97.135	-139.3320
1675.000000	97.245	-139.2101
1700.000000	97.355	-139.1007
1725.000000	97.466	-139.0064
1750.000000	97.577	-138.9268
1775.000000	97.689	-138.8665
1800.000000	97.802	-138.8263
1825.000000	97.915	-138.8054
1850.000000	98.029	-138.8046
1875.000000	98.144	-138.8275
1900.000000	98.258	-138.8781
1925.000000	98.372	-138.9554
1950.000000	98.485	-139.0607
1975.000000	98.598	-139.1913
2000.000000	98.710	-139.3502
2030.000000	98.846	-139.5809
2060.000000	98.980	-139.8539
2090.000000	99.111	-140.1675
2120.000000	99.238	-140.5212
2140.000000	99.321	-140.7788
2180.000000	99.481	-141.3460
2200.000000	99.558	-141.6553
