* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2025 10:58:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity Jijujet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.774	167.1533
20.600000	107.754	166.7185
20.900000	107.726	166.2601
21.200001	107.695	165.8164
21.400000	107.674	165.5293
21.799999	107.635	164.9673
22.000000	107.617	164.6880
22.400000	107.583	164.1225
22.700001	107.557	163.6889
23.000000	107.530	163.2497
23.299999	107.500	162.8128
23.600000	107.468	162.3897
24.000000	107.424	161.8649
24.299999	107.392	161.5054
24.700001	107.356	161.0585
25.000000	107.332	160.7288
25.400000	107.300	160.2707
25.799999	107.264	159.7865
26.200001	107.221	159.2998
26.500000	107.186	158.9513
26.900000	107.142	158.5120
27.200001	107.115	158.1856
27.600000	107.087	157.7228
28.000000	107.059	157.2276
28.500000	107.005	156.6629
29.000000	106.932	156.3286
29.500000	106.868	156.2486
30.000000	106.837	156.1726
30.400000	106.826	155.9004
30.700001	106.813	155.5297
31.100000	106.775	154.8767
31.500000	106.712	154.1842
32.000000	106.621	153.4687
32.500000	106.549	152.9732
33.000000	106.506	152.5832
33.500000	106.471	152.1900
34.000000	106.423	151.7913
34.500000	106.361	151.4197
35.000000	106.298	151.0634
35.500000	106.239	150.6896
36.000000	106.185	150.3010
36.500000	106.137	149.9259
37.000000	106.092	149.5705
37.500000	106.046	149.2146
38.200001	105.968	148.7084
38.700001	105.906	148.3681
39.500000	105.814	147.8644
40.000000	105.764	147.5512
40.599998	105.706	147.1867
41.200001	105.645	146.8609
41.799999	105.585	146.5563
42.500000	105.512	146.1764
43.099998	105.447	145.8315
43.700001	105.382	145.4969
44.400002	105.311	145.1343
45.000000	105.252	144.8404
45.500000	105.204	144.5997
46.200001	105.135	144.2609
46.799999	105.072	143.9756
47.500000	104.998	143.6572
48.200001	104.927	143.3257
48.700001	104.875	143.0733
49.400002	104.799	142.7460
50.000000	104.736	142.5224
50.799999	104.667	142.2273
51.500000	104.605	141.9091
52.200001	104.531	141.6174
53.000000	104.448	141.3884
53.799999	104.376	141.1647
54.500000	104.312	140.9325
55.200001	104.245	140.7134
56.000000	104.172	140.4753
57.000000	104.079	140.1486
58.000000	103.982	139.8311
59.000000	103.890	139.5154
60.000000	103.804	139.1747
60.799999	103.736	138.9075
61.500000	103.676	138.7075
62.200001	103.614	138.5535
63.000000	103.542	138.4108
64.000000	103.452	138.2038
65.000000	103.359	137.9493
66.000000	103.269	137.7086
67.000000	103.184	137.5003
68.000000	103.099	137.3062
69.000000	103.015	137.1284
70.000000	102.932	136.9480
71.000000	102.845	136.7665
72.000000	102.758	136.5953
73.000000	102.675	136.4184
74.000000	102.594	136.2505
75.000000	102.514	136.0950
76.199997	102.420	135.9100
