* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2025 11:03:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity Jijujet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.257	173.5766
20.600000	107.234	173.1085
20.900000	107.206	172.6206
21.200001	107.178	172.1430
21.400000	107.161	171.8249
21.799999	107.133	171.1743
22.000000	107.121	170.8394
22.400000	107.096	170.1581
22.700001	107.076	169.6533
23.000000	107.053	169.1702
23.299999	107.029	168.7176
23.600000	107.004	168.2943
24.000000	106.974	167.7546
24.299999	106.953	167.3466
24.700001	106.926	166.7762
25.000000	106.903	166.3292
25.400000	106.869	165.7299
25.799999	106.833	165.1577
26.200001	106.800	164.6261
26.500000	106.777	164.2459
26.900000	106.747	163.7463
27.200001	106.719	163.3764
27.600000	106.668	162.9159
28.000000	106.602	162.5389
28.500000	106.517	162.2157
29.000000	106.454	161.9582
29.500000	106.424	161.5624
30.000000	106.408	160.9147
30.400000	106.387	160.2724
30.700001	106.362	159.7878
31.100000	106.321	159.2114
31.500000	106.279	158.7460
32.000000	106.234	158.2716
32.500000	106.195	157.8148
33.000000	106.149	157.3268
33.500000	106.094	156.8413
34.000000	106.037	156.4028
34.500000	105.986	156.0107
35.000000	105.943	155.6324
35.500000	105.900	155.2504
36.000000	105.849	154.8769
36.500000	105.793	154.5247
37.000000	105.739	154.1748
37.500000	105.691	153.7823
38.200001	105.626	153.1300
38.700001	105.574	152.6569
39.500000	105.482	152.0692
40.000000	105.431	151.8042
40.599998	105.380	151.4823
41.200001	105.330	151.0941
41.799999	105.274	150.6780
42.500000	105.206	150.2330
43.099998	105.149	149.8880
43.700001	105.091	149.5514
44.400002	105.018	149.1532
45.000000	104.953	148.8042
45.500000	104.899	148.5132
46.200001	104.829	148.1235
46.799999	104.776	147.8104
47.500000	104.717	147.4568
48.200001	104.651	147.1246
48.700001	104.600	146.9157
49.400002	104.528	146.6497
50.000000	104.473	146.4001
50.799999	104.401	145.9924
51.500000	104.336	145.6142
52.200001	104.268	145.2834
53.000000	104.194	144.9691
53.799999	104.123	144.6762
54.500000	104.061	144.4053
55.200001	103.997	144.1145
56.000000	103.918	143.7895
57.000000	103.823	143.4325
58.000000	103.743	143.0878
59.000000	103.668	142.7667
60.000000	103.588	142.4647
60.799999	103.511	142.2199
61.500000	103.440	142.0282
62.200001	103.374	141.8475
63.000000	103.305	141.6220
64.000000	103.218	141.3439
65.000000	103.134	141.0955
66.000000	103.055	140.7943
67.000000	102.968	140.4866
68.000000	102.880	140.2822
69.000000	102.800	140.1239
70.000000	102.718	139.9363
71.000000	102.631	139.7321
72.000000	102.541	139.5240
73.000000	102.452	139.3382
74.000000	102.374	139.1738
75.000000	102.308	138.9661
76.199997	102.225	138.6809
77.500000	102.125	138.4809
78.800003	102.027	138.4038
80.000000	101.927	138.3153
81.199997	101.834	138.1972
82.500000	101.751	137.8929
83.800003	101.650	137.6442
85.000000	101.563	137.5555
86.199997	101.472	137.5033
87.500000	101.383	137.3116
88.500000	101.322	136.9926
90.000000	101.227	136.9538
91.199997	101.159	137.2214
92.500000	101.064	137.1816
93.800003	100.966	136.9753
95.000000	100.881	136.8530
96.199997	100.789	136.8077
97.500000	100.692	136.8548
98.800003	100.599	137.0871
100.000000	100.533	137.2646
101.500000	100.456	136.8272
103.000000	100.363	136.4368
104.400002	100.291	136.4066
106.000000	100.201	136.4952
107.500000	100.107	136.5463
109.000000	100.026	136.5365
110.599998	99.956	136.7132
112.000000	99.894	136.8112
113.800003	99.785	136.4834
115.000000	99.716	136.3191
117.199997	99.607	136.2209
118.000000	99.567	136.1918
120.599998	99.433	136.1107
122.000000	99.359	136.0716
124.099998	99.245	136.0686
125.000000	99.197	136.0775
126.500000	99.119	136.0902
128.000000	99.046	136.1227
131.500000	98.893	136.2129
132.000000	98.869	136.2302
134.000000	98.768	136.3001
136.000000	98.666	136.3265
138.000000	98.577	136.3301
140.000000	98.496	136.4067
143.000000	98.362	136.5353
145.000000	98.273	136.6007
147.500000	98.174	136.6971
150.000000	98.080	136.8153
152.500000	97.967	136.9565
155.000000	97.860	137.0981
157.500000	97.760	137.2366
160.000000	97.663	137.3833
162.500000	97.562	137.5419
165.000000	97.462	137.7351
167.500000	97.366	137.9141
170.000000	97.271	138.0856
172.500000	97.179	138.2841
175.000000	97.085	138.5139
177.500000	96.987	138.6578
180.000000	96.895	138.7632
