* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:11:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.500	176.3366
20.600000	107.487	175.8965
20.900000	107.469	175.4238
21.200001	107.451	174.9471
21.400000	107.439	174.6256
21.799999	107.416	173.9746
22.000000	107.405	173.6483
22.400000	107.384	173.0049
22.700001	107.369	172.5377
23.000000	107.353	172.0863
23.299999	107.338	171.6496
23.600000	107.322	171.2257
24.000000	107.298	170.6780
24.299999	107.279	170.2793
24.700001	107.253	169.7594
25.000000	107.233	169.3709
25.400000	107.206	168.8416
25.799999	107.178	168.2935
26.200001	107.146	167.7413
26.500000	107.121	167.3438
26.900000	107.090	166.8584
27.200001	107.072	166.5286
27.600000	107.057	166.1091
28.000000	107.051	165.6695
28.500000	107.038	165.0533
29.000000	107.003	164.4067
29.500000	106.943	163.8305
30.000000	106.875	163.3674
30.400000	106.826	163.0383
30.700001	106.796	162.7809
31.100000	106.762	162.3987
31.500000	106.730	161.9770
32.000000	106.688	161.4432
32.500000	106.645	160.9508
33.000000	106.605	160.5050
33.500000	106.566	160.0824
34.000000	106.525	159.6687
34.500000	106.484	159.2596
35.000000	106.443	158.8451
35.500000	106.402	158.4156
36.000000	106.359	157.9802
36.500000	106.312	157.5617
37.000000	106.265	157.1684
37.500000	106.223	156.7855
38.200001	106.165	156.2463
38.700001	106.122	155.8803
39.500000	106.054	155.3703
40.000000	106.015	155.0698
40.599998	105.968	154.6768
41.200001	105.915	154.2472
41.799999	105.857	153.8208
42.500000	105.790	153.3594
43.099998	105.737	152.9839
43.700001	105.685	152.6142
44.400002	105.624	152.1931
45.000000	105.573	151.8445
45.500000	105.532	151.5607
46.200001	105.472	151.1732
46.799999	105.418	150.8551
47.500000	105.354	150.4966
48.200001	105.293	150.1312
48.700001	105.251	149.8614
49.400002	105.192	149.4932
50.000000	105.142	149.2091
50.799999	105.077	148.8691
51.500000	105.020	148.5724
52.200001	104.961	148.2650
53.000000	104.892	147.9224
53.799999	104.824	147.5982
54.500000	104.764	147.3149
55.200001	104.705	147.0254
56.000000	104.639	146.7062
57.000000	104.563	146.3434
58.000000	104.484	145.9914
59.000000	104.397	145.6498
60.000000	104.313	145.3167
60.799999	104.249	145.0471
61.500000	104.193	144.8186
62.200001	104.137	144.6005
63.000000	104.073	144.3573
64.000000	103.994	144.0568
65.000000	103.917	143.7628
66.000000	103.838	143.4837
67.000000	103.759	143.2392
68.000000	103.679	143.0160
69.000000	103.592	142.8165
70.000000	103.510	142.6244
71.000000	103.443	142.3484
72.000000	103.374	142.0579
73.000000	103.303	141.8461
74.000000	103.229	141.6540
75.000000	103.154	141.4491
76.199997	103.065	141.2154
77.500000	102.971	140.9900
78.800003	102.881	140.7506
