* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:45:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity Type E L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.667	170.0052
20.600000	107.649	169.5974
20.900000	107.626	169.1632
21.200001	107.602	168.7316
21.400000	107.587	168.4438
21.799999	107.559	167.8657
22.000000	107.546	167.5762
22.400000	107.521	167.0034
22.700001	107.501	166.5859
23.000000	107.480	166.1830
23.299999	107.458	165.7949
23.600000	107.435	165.4194
24.000000	107.403	164.9317
24.299999	107.379	164.5708
24.700001	107.348	164.0920
25.000000	107.324	163.7335
25.400000	107.293	163.2568
25.799999	107.263	162.7851
26.200001	107.232	162.3255
26.500000	107.207	161.9942
26.900000	107.173	161.5755
27.200001	107.146	161.2780
27.600000	107.110	160.8941
28.000000	107.074	160.5076
28.500000	107.028	159.9979
29.000000	106.980	159.4586
29.500000	106.929	158.9209
30.000000	106.880	158.4195
30.400000	106.844	158.0516
30.700001	106.821	157.7903
31.100000	106.791	157.4520
31.500000	106.761	157.1170
32.000000	106.720	156.6965
32.500000	106.673	156.2718
33.000000	106.622	155.8434
33.500000	106.570	155.4193
34.000000	106.519	155.0153
34.500000	106.471	154.6423
35.000000	106.427	154.2940
35.500000	106.382	153.9545
36.000000	106.333	153.6115
36.500000	106.282	153.2529
37.000000	106.233	152.8562
37.500000	106.187	152.4008
38.200001	106.120	151.7127
38.700001	106.065	151.2908
39.500000	105.982	150.8741
40.000000	105.944	150.7050
40.599998	105.905	150.4517
41.200001	105.859	150.1025
41.799999	105.800	149.7241
42.500000	105.728	149.3245
43.099998	105.671	149.0007
43.700001	105.616	148.6620
