* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:46:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity Type E R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.511	177.1822
20.600000	107.497	176.7342
20.900000	107.479	176.2545
21.200001	107.459	175.7761
21.400000	107.446	175.4576
21.799999	107.424	174.8199
22.000000	107.414	174.5011
22.400000	107.395	173.8658
22.700001	107.382	173.3935
23.000000	107.369	172.9272
23.299999	107.354	172.4697
23.600000	107.337	172.0242
24.000000	107.313	171.4529
24.299999	107.294	171.0409
24.700001	107.269	170.5048
25.000000	107.250	170.1043
25.400000	107.222	169.5650
25.799999	107.190	169.0258
26.200001	107.155	168.5047
26.500000	107.129	168.1337
26.900000	107.100	167.6568
27.200001	107.085	167.2940
27.600000	107.071	166.7725
28.000000	107.059	166.1974
28.500000	107.030	165.4572
29.000000	106.983	164.8126
29.500000	106.927	164.3409
30.000000	106.879	163.9877
30.400000	106.848	163.7034
30.700001	106.827	163.4553
31.100000	106.796	163.0733
31.500000	106.761	162.6578
32.000000	106.714	162.1431
32.500000	106.670	161.6592
33.000000	106.633	161.1936
33.500000	106.598	160.7311
34.000000	106.560	160.2757
34.500000	106.519	159.8370
35.000000	106.476	159.4143
35.500000	106.432	159.0017
36.000000	106.387	158.5983
36.500000	106.343	158.2061
37.000000	106.300	157.8234
37.500000	106.258	157.4456
38.200001	106.198	156.9209
38.700001	106.157	156.5515
39.500000	106.091	155.9711
40.000000	106.050	155.6148
40.599998	105.999	155.1983
41.200001	105.948	154.7963
41.799999	105.896	154.4034
42.500000	105.835	153.9504
43.099998	105.782	153.5746
43.700001	105.729	153.2154
44.400002	105.670	152.8027
45.000000	105.618	152.4476
45.500000	105.574	152.1630
46.200001	105.514	151.7934
46.799999	105.463	151.4829
47.500000	105.399	151.1170
48.200001	105.333	150.7833
48.700001	105.292	150.5575
49.400002	105.246	150.1949
50.000000	105.205	149.8348
50.799999	105.133	149.4086
51.500000	105.068	149.1298
52.200001	105.007	148.8502
53.000000	104.937	148.4832
53.799999	104.869	148.1296
54.500000	104.814	147.8540
55.200001	104.758	147.5976
56.000000	104.687	147.2941
57.000000	104.591	146.8694
58.000000	104.502	146.4900
59.000000	104.436	146.1641
60.000000	104.368	145.8378
60.799999	104.304	145.5922
61.500000	104.248	145.3734
62.200001	104.192	145.1475
63.000000	104.129	144.8982
64.000000	104.050	144.6014
65.000000	103.970	144.3067
66.000000	103.891	144.0236
67.000000	103.815	143.7662
68.000000	103.738	143.5319
69.000000	103.660	143.2975
70.000000	103.583	143.0528
71.000000	103.507	142.8111
72.000000	103.432	142.5812
73.000000	103.356	142.3641
74.000000	103.281	142.1598
75.000000	103.207	141.9545
76.199997	103.122	141.6989
77.500000	103.026	141.4602
78.800003	102.928	141.2485
80.000000	102.841	141.0204
81.199997	102.754	140.8647
82.500000	102.663	140.7126
83.800003	102.572	140.5517
85.000000	102.474	140.5227
86.199997	102.354	140.6520
87.500000	102.276	140.5325
88.500000	102.235	140.1566
90.000000	102.155	139.8589
91.199997	102.080	139.7630
92.500000	102.001	139.6520
93.800003	101.925	139.5369
95.000000	101.854	139.4211
96.199997	101.782	139.3243
97.500000	101.702	139.2280
98.800003	101.621	139.1095
100.000000	101.549	138.9878
101.500000	101.457	138.8772
103.000000	101.366	138.7912
104.400002	101.281	138.7231
106.000000	101.181	138.6660
107.500000	101.091	138.6116
109.000000	101.002	138.5909
110.599998	100.906	138.5958
112.000000	100.817	138.5783
113.800003	100.722	138.6057
115.000000	100.682	138.6782
117.199997	100.576	138.8867
118.000000	100.519	138.9670
120.599998	100.397	139.1253
122.000000	100.371	139.0982
124.099998	100.308	138.9485
125.000000	100.269	138.8651
126.500000	100.195	138.7948
128.000000	100.133	138.8293
131.500000	100.007	138.5919
132.000000	99.982	138.5563
134.000000	99.881	138.5483
136.000000	99.800	138.6101
138.000000	99.728	138.6237
140.000000	99.652	138.6154
143.000000	99.519	138.5389
