* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:14:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.732	169.7639
20.600000	107.712	169.3780
20.900000	107.687	168.9613
21.200001	107.661	168.5358
21.400000	107.645	168.2450
21.799999	107.615	167.6475
22.000000	107.600	167.3458
22.400000	107.573	166.7541
22.700001	107.553	166.3325
23.000000	107.535	165.9334
23.299999	107.519	165.5514
23.600000	107.505	165.1762
24.000000	107.486	164.6707
24.299999	107.469	164.2841
24.700001	107.441	163.7682
25.000000	107.415	163.3925
25.400000	107.375	162.9194
25.799999	107.335	162.4776
26.200001	107.296	162.0534
26.500000	107.268	161.7367
26.900000	107.230	161.3091
27.200001	107.202	160.9851
27.600000	107.164	160.5532
28.000000	107.126	160.1251
28.500000	107.080	159.5970
29.000000	107.035	159.0794
29.500000	106.989	158.5836
30.000000	106.943	158.1182
30.400000	106.906	157.7625
30.700001	106.880	157.4982
31.100000	106.845	157.1419
31.500000	106.809	156.7800
32.000000	106.761	156.3316
32.500000	106.713	155.9023
33.000000	106.666	155.4908
33.500000	106.621	155.0811
34.000000	106.573	154.6690
34.500000	106.521	154.2720
35.000000	106.470	153.9065
35.500000	106.422	153.5609
36.000000	106.380	153.2076
36.500000	106.336	152.8427
37.000000	106.288	152.4969
37.500000	106.239	152.1925
38.200001	106.182	151.7760
38.700001	106.145	151.4149
39.500000	106.071	150.7600
40.000000	106.016	150.3999
40.599998	105.953	150.0532
41.200001	105.899	149.7249
41.799999	105.845	149.3502
42.500000	105.770	148.8928
43.099998	105.704	148.5562
43.700001	105.646	148.2767
44.400002	105.590	147.9494
45.000000	105.539	147.6324
45.500000	105.490	147.3613
46.200001	105.422	146.9879
46.799999	105.371	146.6472
47.500000	105.312	146.2814
48.200001	105.253	146.1266
48.700001	105.222	146.1265
49.400002	105.192	146.0118
50.000000	105.148	145.6567
50.799999	105.038	145.0434
51.500000	104.938	144.6342
52.200001	104.868	144.3124
53.000000	104.802	143.9713
53.799999	104.731	143.7023
54.500000	104.666	143.4789
55.200001	104.599	143.2248
56.000000	104.526	142.9477
57.000000	104.446	142.6260
58.000000	104.362	142.2861
59.000000	104.273	141.9728
60.000000	104.188	141.6673
60.799999	104.120	141.4025
61.500000	104.059	141.1723
62.200001	103.997	140.9720
63.000000	103.928	140.7796
64.000000	103.844	140.5438
65.000000	103.761	140.3047
66.000000	103.682	140.0760
67.000000	103.598	139.8719
68.000000	103.514	139.6742
69.000000	103.436	139.4417
70.000000	103.356	139.2371
71.000000	103.269	139.0180
72.000000	103.194	138.7451
73.000000	103.167	138.4052
74.000000	103.140	138.0589
75.000000	103.050	138.0251
76.199997	102.913	138.1892
77.500000	102.792	138.0685
78.800003	102.698	137.8717
80.000000	102.609	137.6837
81.199997	102.522	137.4791
82.500000	102.432	137.3120
83.800003	102.341	137.1802
85.000000	102.259	137.0326
86.199997	102.179	136.8918
87.500000	102.086	136.7399
88.500000	102.012	136.6350
90.000000	101.911	136.4928
91.199997	101.833	136.3798
92.500000	101.744	136.2807
93.800003	101.654	136.1823
95.000000	101.574	136.0635
96.199997	101.494	135.9890
97.500000	101.397	135.9718
98.800003	101.301	135.9490
100.000000	101.236	135.8726
101.500000	101.159	135.7852
