* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:16:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.454	176.5710
20.600000	107.440	176.1315
20.900000	107.421	175.6604
21.200001	107.402	175.1866
21.400000	107.389	174.8676
21.799999	107.368	174.2207
22.000000	107.358	173.8948
22.400000	107.338	173.2477
22.700001	107.323	172.7740
23.000000	107.307	172.3146
23.299999	107.290	171.8697
23.600000	107.272	171.4372
24.000000	107.247	170.8750
24.299999	107.228	170.4615
24.700001	107.201	169.9197
25.000000	107.181	169.5198
25.400000	107.154	168.9940
25.799999	107.127	168.4748
26.200001	107.101	167.9616
26.500000	107.080	167.5822
26.900000	107.051	167.0870
27.200001	107.029	166.7253
27.600000	106.997	166.2555
28.000000	106.966	165.7965
28.500000	106.927	165.2318
29.000000	106.887	164.6774
29.500000	106.847	164.1403
30.000000	106.806	163.6237
30.400000	106.774	163.2204
30.700001	106.751	162.9196
31.100000	106.719	162.5179
31.500000	106.686	162.1159
32.000000	106.645	161.6198
32.500000	106.603	161.1384
33.000000	106.562	160.6727
33.500000	106.522	160.2195
34.000000	106.480	159.7782
34.500000	106.438	159.3516
35.000000	106.394	158.9389
35.500000	106.351	158.5323
36.000000	106.308	158.1254
36.500000	106.264	157.7218
37.000000	106.220	157.3311
37.500000	106.177	156.9551
38.200001	106.120	156.4352
38.700001	106.078	156.0629
39.500000	106.007	155.4911
40.000000	105.964	155.1487
40.599998	105.915	154.7306
41.200001	105.864	154.3150
41.799999	105.813	153.9494
42.500000	105.761	153.5842
43.099998	105.722	153.2415
43.700001	105.674	152.8383
44.400002	105.598	152.3671
45.000000	105.531	152.0100
45.500000	105.482	151.7255
46.200001	105.424	151.3163
46.799999	105.376	150.9754
47.500000	105.317	150.6163
48.200001	105.252	150.2973
48.700001	105.203	150.0952
49.400002	105.138	149.8267
50.000000	105.090	149.5587
50.799999	105.030	149.1190
51.500000	104.972	148.7313
52.200001	104.912	148.3918
53.000000	104.844	148.0370
53.799999	104.775	147.7083
54.500000	104.716	147.4461
55.200001	104.659	147.1897
56.000000	104.595	146.8916
57.000000	104.515	146.5117
58.000000	104.435	146.1240
59.000000	104.354	145.7520
60.000000	104.270	145.4044
60.799999	104.204	145.1426
61.500000	104.148	144.9255
62.200001	104.093	144.7126
63.000000	104.031	144.4671
64.000000	103.950	144.1663
65.000000	103.870	143.8819
66.000000	103.790	143.6112
67.000000	103.711	143.3604
68.000000	103.634	143.1140
69.000000	103.557	142.8569
70.000000	103.481	142.5979
71.000000	103.405	142.3546
72.000000	103.331	142.1365
73.000000	103.256	141.9379
74.000000	103.181	141.7437
75.000000	103.106	141.5526
76.199997	103.017	141.3409
77.500000	102.921	141.1112
78.800003	102.828	140.8733
80.000000	102.744	140.6391
81.199997	102.661	140.4183
82.500000	102.572	140.2481
83.800003	102.481	140.0896
85.000000	102.407	139.8966
86.199997	102.350	139.6919
87.500000	102.264	139.4951
88.500000	102.178	139.4116
90.000000	102.060	139.2541
91.199997	101.979	139.1482
92.500000	101.896	139.0516
93.800003	101.812	138.9356
95.000000	101.735	138.8412
96.199997	101.657	138.7542
97.500000	101.572	138.6815
98.800003	101.483	138.6436
100.000000	101.403	138.5949
101.500000	101.313	138.4664
103.000000	101.227	138.3682
104.400002	101.150	138.3259
106.000000	101.075	138.2743
107.500000	101.021	138.4344
109.000000	100.940	138.5667
110.599998	100.809	138.3911
112.000000	100.714	138.2042
113.800003	100.617	138.1470
115.000000	100.556	138.2149
117.199997	100.455	138.3591
118.000000	100.424	138.3545
120.599998	100.324	138.2832
122.000000	100.257	138.2495
124.099998	100.154	138.1308
125.000000	100.113	138.0856
126.500000	100.046	138.0429
128.000000	99.995	138.1555
131.500000	99.832	138.6147
132.000000	99.792	138.5226
134.000000	99.662	138.1898
136.000000	99.576	138.1873
138.000000	99.498	138.3315
140.000000	99.424	138.5343
143.000000	99.315	138.7175
145.000000	99.238	138.7399
147.500000	99.153	138.7185
150.000000	99.068	138.8101
152.500000	98.971	138.9199
155.000000	98.883	138.8840
157.500000	98.791	138.9005
160.000000	98.693	138.8729
162.500000	98.598	138.9048
165.000000	98.497	139.0289
167.500000	98.397	139.1890
170.000000	98.297	139.3116
172.500000	98.199	139.4255
175.000000	98.102	139.5762
177.500000	98.013	139.7247
180.000000	97.924	139.8422
182.500000	97.833	139.9757
185.000000	97.746	140.1229
187.500000	97.658	140.2681
190.000000	97.568	140.4369
192.500000	97.477	140.6283
195.000000	97.386	140.8239
197.500000	97.309	140.9912
200.000000	97.237	141.1211
203.000000	97.147	141.3974
206.000000	97.060	141.7209
209.000000	96.983	141.9755
212.000000	96.911	142.2025
214.000000	96.861	142.3448
218.000000	96.757	142.6064
220.000000	96.702	142.7522
224.000000	96.603	143.1030
227.000000	96.535	143.3098
230.000000	96.458	143.5251
233.000000	96.380	143.8118
236.000000	96.309	144.1025
240.000000	96.219	144.3598
243.000000	96.150	144.5359
247.000000	96.056	144.9186
250.000000	95.984	145.2075
254.000000	95.898	145.4956
258.000000	95.811	145.7991
262.000000	95.724	146.1434
265.000000	95.659	146.4044
269.000000	95.570	146.7644
272.000000	95.509	147.0191
276.000000	95.431	147.3522
280.000000	95.353	147.6996
285.000000	95.255	148.1443
290.000000	95.159	148.5940
295.000000	95.066	149.0381
300.000000	94.975	149.4807
304.000000	94.905	149.8475
307.000000	94.852	150.1271
311.000000	94.783	150.5034
315.000000	94.717	150.8750
320.000000	94.637	151.3379
325.000000	94.558	151.8076
330.000000	94.481	152.2728
335.000000	94.405	152.7427
340.000000	94.330	153.2119
345.000000	94.256	153.6900
350.000000	94.186	154.1685
355.000000	94.116	154.6608
360.000000	94.049	155.1489
365.000000	93.983	155.6243
370.000000	93.916	156.1041
375.000000	93.853	156.5964
382.000000	93.768	157.3204
387.000000	93.707	157.8427
395.000000	93.619	158.6558
400.000000	93.567	159.1583
406.000000	93.506	159.8011
412.000000	93.449	160.4778
418.000000	93.396	161.1028
425.000000	93.339	161.8213
431.000000	93.294	162.4508
437.000000	93.252	163.0762
444.000000	93.205	163.7853
450.000000	93.169	164.3752
455.000000	93.141	164.8475
462.000000	93.103	165.5084
468.000000	93.072	166.0530
475.000000	93.038	166.6703
482.000000	93.006	167.2715
487.000000	92.982	167.6905
494.000000	92.949	168.2745
500.000000	92.920	168.7723
508.000000	92.882	169.4145
515.000000	92.849	169.9734
522.000000	92.816	170.5320
530.000000	92.778	171.1601
538.000000	92.739	171.7693
545.000000	92.708	172.3185
552.000000	92.676	172.9197
560.000000	92.641	173.5995
570.000000	92.600	174.4322
580.000000	92.560	175.2609
590.000000	92.521	176.0878
600.000000	92.483	176.9122
608.000000	92.457	177.5805
615.000000	92.435	178.1687
622.000000	92.414	178.7556
630.000000	92.390	179.4271
640.000000	92.362	-179.7310
650.000000	92.338	-178.8726
660.000000	92.319	-178.0262
670.000000	92.300	-177.1809
680.000000	92.282	-176.3326
690.000000	92.268	-175.4756
700.000000	92.256	-174.6111
710.000000	92.245	-173.7506
720.000000	92.237	-172.8881
730.000000	92.233	-172.0137
740.000000	92.233	-171.1403
750.000000	92.235	-170.2684
762.000000	92.239	-169.2206
775.000000	92.248	-168.0848
788.000000	92.262	-166.9486
800.000000	92.276	-165.8944
812.000000	92.292	-164.8330
825.000000	92.314	-163.7003
838.000000	92.342	-162.5687
850.000000	92.373	-161.5205
862.000000	92.407	-160.4781
875.000000	92.449	-159.3695
885.000000	92.486	-158.5233
900.000000	92.549	-157.2599
912.000000	92.605	-156.2612
925.000000	92.673	-155.1948
938.000000	92.745	-154.1522
950.000000	92.817	-153.2087
962.000000	92.893	-152.2794
975.000000	92.981	-151.2999
988.000000	93.074	-150.3506
1000.000000	93.164	-149.4932
1015.000000	93.282	-148.4526
1030.000000	93.406	-147.4751
1044.000000	93.526	-146.6085
1060.000000	93.671	-145.6725
1075.000000	93.819	-144.8651
1090.000000	93.968	-144.0900
1106.000000	94.124	-143.3049
1120.000000	94.265	-142.6894
1138.000000	94.451	-142.0011
1150.000000	94.577	-141.6029
1172.000000	94.807	-140.9992
