* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:24:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity VelvetW L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.611	168.6818
20.600000	107.591	168.2838
20.900000	107.566	167.8556
21.200001	107.541	167.4229
21.400000	107.523	167.1314
21.799999	107.490	166.5439
22.000000	107.473	166.2507
22.400000	107.442	165.6720
22.700001	107.420	165.2461
23.000000	107.399	164.8255
23.299999	107.378	164.4097
23.600000	107.355	164.0021
24.000000	107.323	163.4839
24.299999	107.298	163.1219
24.700001	107.264	162.6708
25.000000	107.239	162.3398
25.400000	107.205	161.8779
25.799999	107.165	161.3778
26.200001	107.118	160.8609
26.500000	107.081	160.4879
26.900000	107.038	160.0277
27.200001	107.019	159.6962
27.600000	107.011	159.2202
28.000000	107.016	158.6575
28.500000	107.007	157.8640
29.000000	106.955	157.1549
29.500000	106.869	156.7222
30.000000	106.782	156.5434
30.400000	106.729	156.4318
30.700001	106.697	156.2851
31.100000	106.658	155.9701
31.500000	106.616	155.5536
32.000000	106.557	155.0093
32.500000	106.503	154.5321
33.000000	106.460	154.1203
33.500000	106.420	153.7288
34.000000	106.374	153.3405
34.500000	106.321	152.9602
35.000000	106.265	152.5819
35.500000	106.212	152.1926
36.000000	106.162	151.7955
36.500000	106.113	151.4094
37.000000	106.066	151.0456
37.500000	106.019	150.6988
38.200001	105.950	150.2240
38.700001	105.899	149.8889
39.500000	105.818	149.3598
40.000000	105.767	149.0358
40.599998	105.707	148.6629
41.200001	105.646	148.3121
41.799999	105.585	147.9724
42.500000	105.516	147.5713
43.099998	105.456	147.2244
43.700001	105.396	146.8898
44.400002	105.329	146.5262
45.000000	105.272	146.2277
45.500000	105.225	145.9785
46.200001	105.155	145.6294
46.799999	105.094	145.3361
47.500000	105.026	144.9942
48.200001	104.962	144.6509
48.700001	104.916	144.4212
49.400002	104.852	144.1380
50.000000	104.797	143.9128
50.799999	104.719	143.5885
51.500000	104.646	143.2800
52.200001	104.575	142.9753
53.000000	104.500	142.6540
53.799999	104.429	142.3634
54.500000	104.364	142.1208
55.200001	104.296	141.8725
56.000000	104.222	141.5544
57.000000	104.137	141.0911
58.000000	104.046	140.7151
59.000000	103.956	140.5341
60.000000	103.870	140.3488
60.799999	103.798	140.1358
61.500000	103.734	139.9350
62.200001	103.673	139.7379
63.000000	103.605	139.5234
64.000000	103.519	139.2677
65.000000	103.432	139.0220
66.000000	103.346	138.7927
67.000000	103.261	138.5654
68.000000	103.176	138.3375
69.000000	103.092	138.1266
70.000000	103.008	137.9319
71.000000	102.924	137.7397
72.000000	102.841	137.5576
73.000000	102.760	137.3927
74.000000	102.679	137.2351
75.000000	102.599	137.0824
76.199997	102.509	136.9026
77.500000	102.415	136.7137
78.800003	102.314	136.5522
80.000000	102.222	136.4522
81.199997	102.134	136.3472
82.500000	102.037	136.1685
83.800003	101.942	135.9925
85.000000	101.850	135.8817
86.199997	101.752	135.8251
87.500000	101.665	135.7300
88.500000	101.607	135.5792
90.000000	101.512	135.4195
91.199997	101.430	135.3336
92.500000	101.340	135.2361
93.800003	101.255	135.1428
95.000000	101.179	135.0583
96.199997	101.103	134.9866
97.500000	101.017	134.9329
98.800003	100.933	134.8749
100.000000	100.859	134.7951
101.500000	100.764	134.6964
103.000000	100.670	134.6028
104.400002	100.585	134.5151
106.000000	100.484	134.4851
107.500000	100.389	134.4871
109.000000	100.297	134.4650
110.599998	100.200	134.4447
112.000000	100.115	134.4432
113.800003	100.001	134.4540
115.000000	99.922	134.4619
117.199997	99.796	134.5926
118.000000	99.755	134.6625
120.599998	99.628	134.9000
122.000000	99.566	135.0395
124.099998	99.488	135.1960
125.000000	99.458	135.2238
126.500000	99.404	135.2159
128.000000	99.346	135.1783
131.500000	99.205	135.1160
132.000000	99.181	135.1150
134.000000	99.084	135.0835
136.000000	98.994	135.0430
138.000000	98.915	135.0154
