* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 4, 2025 11:25:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity VelvetW R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.315	175.6997
20.600000	107.297	175.2441
20.900000	107.274	174.7543
21.200001	107.252	174.2620
21.400000	107.239	173.9315
21.799999	107.216	173.2642
22.000000	107.206	172.9293
22.400000	107.187	172.2650
22.700001	107.173	171.7780
23.000000	107.159	171.3043
23.299999	107.143	170.8446
23.600000	107.125	170.3975
24.000000	107.098	169.8171
24.299999	107.076	169.3905
24.700001	107.045	168.8298
25.000000	107.021	168.4130
25.400000	106.989	167.8605
25.799999	106.957	167.3119
26.200001	106.925	166.7719
26.500000	106.900	166.3771
26.900000	106.866	165.8700
27.200001	106.840	165.5053
27.600000	106.805	165.0369
28.000000	106.771	164.5812
28.500000	106.728	164.0169
29.000000	106.686	163.4517
29.500000	106.644	162.8883
30.000000	106.602	162.3336
30.400000	106.569	161.8999
30.700001	106.543	161.5821
31.100000	106.509	161.1698
31.500000	106.474	160.7713
32.000000	106.431	160.2908
32.500000	106.387	159.8255
33.000000	106.343	159.3696
33.500000	106.299	158.9207
34.000000	106.255	158.4795
34.500000	106.210	158.0485
35.000000	106.165	157.6303
35.500000	106.119	157.2258
36.000000	106.071	156.8321
36.500000	106.021	156.4412
37.000000	105.971	156.0435
37.500000	105.921	155.6337
38.200001	105.857	155.0452
38.700001	105.816	154.6285
39.500000	105.752	154.0096
40.000000	105.709	153.6731
40.599998	105.652	153.3165
41.200001	105.591	152.9727
41.799999	105.529	152.6010
42.500000	105.460	152.1300
43.099998	105.405	151.7274
43.700001	105.353	151.3492
44.400002	105.291	150.9473
45.000000	105.235	150.6283
45.500000	105.187	150.3624
46.200001	105.119	149.9706
46.799999	105.061	149.6364
47.500000	104.997	149.2678
48.200001	104.937	148.8650
48.700001	104.888	148.5402
49.400002	104.806	148.1190
50.000000	104.738	147.8671
50.799999	104.674	147.6134
51.500000	104.630	147.3388
52.200001	104.572	147.0371
53.000000	104.495	146.7370
53.799999	104.422	146.4385
54.500000	104.361	146.1570
55.200001	104.299	145.8912
56.000000	104.230	145.6130
57.000000	104.143	145.2772
58.000000	104.060	144.9593
59.000000	103.981	144.6518
60.000000	103.900	144.3513
60.799999	103.836	144.1118
61.500000	103.780	143.9013
62.200001	103.726	143.6971
63.000000	103.665	143.4713
64.000000	103.589	143.1829
65.000000	103.511	142.8981
66.000000	103.433	142.6286
67.000000	103.355	142.3561
68.000000	103.278	142.0868
69.000000	103.201	141.8258
70.000000	103.125	141.5732
71.000000	103.048	141.3368
72.000000	102.972	141.1078
73.000000	102.894	140.8787
74.000000	102.815	140.6588
75.000000	102.739	140.4596
76.199997	102.649	140.2421
77.500000	102.552	140.0067
78.800003	102.455	139.7673
80.000000	102.369	139.5636
81.199997	102.282	139.3815
82.500000	102.187	139.1834
83.800003	102.093	139.0061
85.000000	102.009	138.8571
86.199997	101.926	138.7068
87.500000	101.835	138.5467
88.500000	101.767	138.4319
90.000000	101.667	138.2744
91.199997	101.586	138.1613
92.500000	101.500	138.0449
93.800003	101.413	137.9234
95.000000	101.335	137.8101
96.199997	101.259	137.7110
97.500000	101.175	137.6082
98.800003	101.093	137.4819
100.000000	101.017	137.3814
101.500000	100.923	137.3224
103.000000	100.830	137.2628
104.400002	100.745	137.1984
106.000000	100.647	137.1256
107.500000	100.557	137.0644
109.000000	100.465	137.0233
110.599998	100.367	136.9876
112.000000	100.284	136.9650
113.800003	100.175	136.9638
115.000000	100.102	136.9834
117.199997	99.974	137.0908
118.000000	99.928	137.1487
120.599998	99.793	137.4047
122.000000	99.736	137.5600
124.099998	99.668	137.7479
125.000000	99.639	137.7490
126.500000	99.590	137.7250
128.000000	99.543	137.6158
131.500000	99.403	137.2999
132.000000	99.385	137.2695
134.000000	99.302	137.2676
136.000000	99.197	137.3961
138.000000	99.085	137.4229
140.000000	98.987	137.2085
143.000000	98.887	137.3071
145.000000	98.801	137.4590
147.500000	98.672	137.5558
150.000000	98.570	137.6958
152.500000	98.482	137.8130
155.000000	98.380	137.8318
157.500000	98.284	137.9087
160.000000	98.188	138.0466
162.500000	98.086	138.1759
165.000000	97.985	138.3306
167.500000	97.889	138.4996
170.000000	97.802	138.7348
172.500000	97.704	138.8381
175.000000	97.613	138.9583
177.500000	97.544	139.1940
180.000000	97.457	139.2145
182.500000	97.362	139.3682
185.000000	97.274	139.5591
187.500000	97.187	139.6944
190.000000	97.097	139.8299
192.500000	97.010	139.9646
195.000000	96.924	140.1046
197.500000	96.837	140.2688
200.000000	96.748	140.4340
203.000000	96.657	140.6454
206.000000	96.570	140.8590
209.000000	96.476	141.0860
212.000000	96.384	141.3352
214.000000	96.332	141.4962
218.000000	96.243	141.8691
220.000000	96.200	142.0836
224.000000	96.102	142.5140
227.000000	96.015	142.8247
230.000000	95.931	143.0966
233.000000	95.861	143.3055
236.000000	95.798	143.5507
240.000000	95.708	143.9396
243.000000	95.639	144.1564
247.000000	95.550	144.5124
250.000000	95.482	144.7550
254.000000	95.396	145.0630
258.000000	95.310	145.4128
262.000000	95.224	145.7491
265.000000	95.159	145.9913
269.000000	95.073	146.3554
272.000000	95.013	146.6425
276.000000	94.937	146.9865
280.000000	94.858	147.3240
285.000000	94.759	147.7756
290.000000	94.665	148.2356
295.000000	94.574	148.6801
300.000000	94.483	149.1590
304.000000	94.414	149.5035
307.000000	94.359	149.7638
311.000000	94.287	150.1577
315.000000	94.221	150.5587
320.000000	94.141	151.0388
325.000000	94.062	151.4682
330.000000	93.991	151.8573
335.000000	93.923	152.3054
340.000000	93.849	152.8203
345.000000	93.772	153.3358
350.000000	93.693	153.7904
355.000000	93.624	154.2674
360.000000	93.557	154.7684
365.000000	93.490	155.2583
370.000000	93.425	155.7583
375.000000	93.361	156.2464
382.000000	93.271	156.9368
387.000000	93.212	157.4598
395.000000	93.124	158.2545
400.000000	93.069	158.7578
406.000000	93.005	159.3800
412.000000	92.946	160.0239
418.000000	92.888	160.6673
425.000000	92.821	161.3689
431.000000	92.768	161.9636
437.000000	92.719	162.5610
444.000000	92.670	163.2788
450.000000	92.632	163.9072
455.000000	92.601	164.4282
462.000000	92.560	165.1428
468.000000	92.528	165.7432
475.000000	92.493	166.4269
482.000000	92.458	167.0786
487.000000	92.434	167.5321
494.000000	92.403	168.1512
500.000000	92.378	168.6738
508.000000	92.346	169.3533
515.000000	92.317	169.9352
522.000000	92.289	170.5063
530.000000	92.256	171.1544
538.000000	92.221	171.7958
545.000000	92.190	172.3669
552.000000	92.160	172.9380
560.000000	92.129	173.5810
570.000000	92.090	174.3868
580.000000	92.052	175.1977
590.000000	92.014	176.0189
600.000000	91.979	176.8553
608.000000	91.952	177.5248
615.000000	91.930	178.1118
622.000000	91.909	178.7003
630.000000	91.887	179.3714
640.000000	91.861	-179.7948
650.000000	91.838	-178.9559
660.000000	91.817	-178.1108
670.000000	91.798	-177.2615
680.000000	91.780	-176.4068
690.000000	91.765	-175.5541
700.000000	91.752	-174.7010
710.000000	91.743	-173.8419
720.000000	91.737	-172.9778
730.000000	91.732	-172.1091
740.000000	91.729	-171.2387
750.000000	91.730	-170.3706
762.000000	91.735	-169.3354
775.000000	91.746	-168.2086
788.000000	91.759	-167.0692
800.000000	91.774	-166.0164
812.000000	91.791	-164.9773
825.000000	91.812	-163.8584
838.000000	91.838	-162.7342
850.000000	91.866	-161.6972
862.000000	91.901	-160.6689
875.000000	91.944	-159.5681
885.000000	91.980	-158.7354
900.000000	92.039	-157.4915
912.000000	92.092	-156.4946
925.000000	92.158	-155.4293
938.000000	92.230	-154.3966
950.000000	92.299	-153.4719
962.000000	92.372	-152.5634
975.000000	92.457	-151.5992
