* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 12, 2025 3:09:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Prisma Azul R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.660	-159.9352
20.600000	93.681	-160.1103
20.900000	93.701	-160.3186
21.200001	93.716	-160.5488
21.400000	93.723	-160.7075
21.799999	93.732	-161.0098
22.000000	93.736	-161.1426
22.400000	93.751	-161.3677
22.700001	93.773	-161.5230
23.000000	93.802	-161.6974
23.299999	93.834	-161.9090
23.600000	93.862	-162.1518
24.000000	93.884	-162.4662
24.299999	93.890	-162.6418
24.700001	93.895	-162.7628
25.000000	93.906	-162.8009
25.400000	93.939	-162.9032
25.799999	93.982	-163.1911
26.200001	94.013	-163.6845
26.500000	94.019	-164.1170
26.900000	94.008	-164.6299
27.200001	93.997	-164.8938
27.600000	93.998	-165.0749
28.000000	94.026	-165.1533
28.500000	94.081	-165.2713
29.000000	94.120	-165.4353
29.500000	94.133	-165.5318
30.000000	94.142	-165.5485
30.400000	94.159	-165.6099
30.700001	94.175	-165.7373
31.100000	94.191	-166.0103
31.500000	94.194	-166.3232
32.000000	94.188	-166.6230
32.500000	94.192	-166.7810
33.000000	94.211	-166.9005
33.500000	94.230	-167.0639
34.000000	94.238	-167.2318
34.500000	94.241	-167.3434
35.000000	94.256	-167.4309
35.500000	94.280	-167.5691
36.000000	94.298	-167.7541
36.500000	94.307	-167.9041
37.000000	94.317	-167.9836
37.500000	94.340	-168.0634
38.200001	94.375	-168.3156
38.700001	94.386	-168.5425
39.500000	94.386	-168.7707
40.000000	94.391	-168.8652
40.599998	94.400	-169.0617
41.200001	94.400	-169.3495
41.799999	94.398	-169.6255
42.500000	94.415	-169.8773
43.099998	94.443	-170.0593
43.700001	94.468	-170.1910
44.400002	94.483	-170.2502
45.000000	94.488	-170.2823
45.500000	94.489	-170.3507
46.200001	94.489	-170.5175
46.799999	94.497	-170.6926
47.500000	94.516	-170.8897
48.200001	94.532	-170.9882
48.700001	94.542	-170.9608
49.400002	94.564	-170.8862
50.000000	94.587	-170.9503
50.799999	94.596	-171.2612
51.500000	94.584	-171.5390
52.200001	94.578	-171.7074
53.000000	94.588	-171.8577
53.799999	94.594	-172.0116
54.500000	94.595	-172.1186
55.200001	94.601	-172.2202
56.000000	94.611	-172.3631
57.000000	94.618	-172.5257
58.000000	94.624	-172.6508
59.000000	94.633	-172.8163
60.000000	94.645	-172.9878
60.799999	94.657	-173.1096
61.500000	94.663	-173.1956
62.200001	94.664	-173.2503
63.000000	94.669	-173.3180
64.000000	94.678	-173.4725
65.000000	94.686	-173.5975
66.000000	94.696	-173.6614
67.000000	94.702	-173.7566
68.000000	94.703	-173.8932
69.000000	94.705	-174.0183
70.000000	94.710	-174.1205
71.000000	94.712	-174.2336
72.000000	94.715	-174.3572
73.000000	94.723	-174.4717
74.000000	94.733	-174.5696
75.000000	94.741	-174.6715
76.199997	94.750	-174.8125
77.500000	94.752	-174.9521
78.800003	94.745	-175.0524
80.000000	94.747	-175.1353
81.199997	94.759	-175.2330
82.500000	94.763	-175.3305
83.800003	94.763	-175.3983
85.000000	94.767	-175.4889
86.199997	94.771	-175.5827
87.500000	94.772	-175.6914
88.500000	94.772	-175.7605
90.000000	94.777	-175.8353
91.199997	94.780	-175.9135
92.500000	94.780	-176.0221
93.800003	94.782	-176.0969
95.000000	94.786	-176.1595
96.199997	94.788	-176.2329
97.500000	94.788	-176.3211
98.800003	94.788	-176.4387
100.000000	94.785	-176.5395
101.500000	94.785	-176.5706
103.000000	94.790	-176.6170
104.400002	94.792	-176.7171
106.000000	94.792	-176.8182
107.500000	94.793	-176.8810
109.000000	94.792	-176.9464
110.599998	94.796	-177.0269
112.000000	94.801	-177.0857
113.800003	94.806	-177.1296
115.000000	94.805	-177.1550
117.199997	94.800	-177.2686
118.000000	94.799	-177.3240
120.599998	94.799	-177.4010
122.000000	94.797	-177.4377
124.099998	94.796	-177.5302
125.000000	94.796	-177.5699
