* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 12:46:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ X HBB R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.202	-155.0838
20.600000	101.219	-155.6690
20.900000	101.236	-156.3084
21.200001	101.250	-156.9548
21.400000	101.260	-157.3847
21.799999	101.280	-158.2294
22.000000	101.290	-158.6378
22.400000	101.311	-159.4167
22.700001	101.328	-159.9686
23.000000	101.345	-160.5015
23.299999	101.361	-161.0263
23.600000	101.375	-161.5525
24.000000	101.391	-162.2619
24.299999	101.401	-162.7960
24.700001	101.414	-163.5012
25.000000	101.424	-164.0215
25.400000	101.441	-164.7079
25.799999	101.460	-165.3920
26.200001	101.475	-166.0679
26.500000	101.481	-166.5546
26.900000	101.482	-167.1532
27.200001	101.482	-167.5591
27.600000	101.484	-168.0634
28.000000	101.493	-168.5763
28.500000	101.508	-169.3047
29.000000	101.514	-170.1278
29.500000	101.503	-170.9365
30.000000	101.484	-171.6223
30.400000	101.477	-172.0805
30.700001	101.478	-172.4021
31.100000	101.484	-172.8425
31.500000	101.490	-173.3156
32.000000	101.487	-173.9272
32.500000	101.474	-174.5123
33.000000	101.461	-175.0668
33.500000	101.454	-175.6353
34.000000	101.449	-176.2420
34.500000	101.443	-176.8568
35.000000	101.435	-177.4343
35.500000	101.429	-177.9662
36.000000	101.424	-178.4757
36.500000	101.413	-178.9753
37.000000	101.396	-179.4523
37.500000	101.377	-179.8994
38.200001	101.357	179.4722
38.700001	101.346	178.9768
39.500000	101.321	178.1474
40.000000	101.302	177.6752
40.599998	101.288	177.1707
41.200001	101.285	176.6731
41.799999	101.283	176.1411
42.500000	101.266	175.5283
43.099998	101.240	175.0736
43.700001	101.214	174.6714
44.400002	101.189	174.1786
45.000000	101.167	173.7030
45.500000	101.145	173.3000
46.200001	101.112	172.7836
46.799999	101.087	172.3770
47.500000	101.057	171.8887
48.200001	101.020	171.3823
48.700001	100.991	171.0364
49.400002	100.956	170.5831
50.000000	100.936	170.1956
50.799999	100.918	169.6434
51.500000	100.899	169.1481
52.200001	100.870	168.6982
53.000000	100.826	168.2746
53.799999	100.779	167.8833
54.500000	100.737	167.5109
55.200001	100.698	167.1257
56.000000	100.667	166.6733
57.000000	100.635	166.0472
58.000000	100.590	165.4727
59.000000	100.551	164.9807
60.000000	100.515	164.4732
60.799999	100.479	164.1064
61.500000	100.446	163.8023
62.200001	100.410	163.4711
63.000000	100.366	163.0678
64.000000	100.312	162.5869
65.000000	100.261	162.1453
66.000000	100.208	161.7226
67.000000	100.156	161.2914
68.000000	100.105	160.8608
69.000000	100.055	160.4610
70.000000	100.006	160.0942
71.000000	99.959	159.7188
72.000000	99.909	159.3215
73.000000	99.855	158.9374
74.000000	99.799	158.5732
75.000000	99.743	158.2237
76.199997	99.679	157.8287
77.500000	99.611	157.4196
78.800003	99.543	157.0229
80.000000	99.479	156.6453
81.199997	99.412	156.3017
82.500000	99.337	155.9365
83.800003	99.267	155.5210
85.000000	99.206	155.1210
86.199997	99.139	154.8216
87.500000	99.064	154.5508
88.500000	99.006	154.3088
90.000000	98.925	153.9446
91.199997	98.857	153.6795
92.500000	98.779	153.4215
93.800003	98.700	153.1982
95.000000	98.624	153.0054
96.199997	98.547	152.8215
97.500000	98.465	152.6430
98.800003	98.382	152.5191
100.000000	98.307	152.4559
101.500000	98.222	152.4021
103.000000	98.142	152.3549
104.400002	98.072	152.3703
106.000000	98.001	152.4557
107.500000	97.943	152.4746
109.000000	97.890	152.4579
110.599998	97.833	152.4369
112.000000	97.787	152.4311
113.800003	97.741	152.4677
115.000000	97.711	152.4745
117.199997	97.656	152.4025
118.000000	97.638	152.3889
120.599998	97.606	152.2639
122.000000	97.595	152.0392
124.099998	97.556	151.6552
125.000000	97.533	151.5034
126.500000	97.486	151.2994
128.000000	97.431	151.0915
131.500000	97.316	150.8269
132.000000	97.301	150.7919
134.000000	97.238	150.6028
136.000000	97.172	150.4098
138.000000	97.106	150.2281
140.000000	97.057	150.0891
143.000000	96.991	149.8722
145.000000	96.939	149.6922
147.500000	96.874	149.4592
150.000000	96.802	149.2323
152.500000	96.729	149.0083
155.000000	96.655	148.7889
157.500000	96.574	148.5654
160.000000	96.487	148.3625
162.500000	96.396	148.1915
165.000000	96.305	148.0432
167.500000	96.213	147.9117
170.000000	96.120	147.7990
172.500000	96.024	147.6900
175.000000	95.927	147.6122
177.500000	95.824	147.4952
180.000000	95.722	147.3497
182.500000	95.644	147.4496
185.000000	95.565	147.5425
187.500000	95.480	147.5728
190.000000	95.394	147.5958
192.500000	95.309	147.6311
195.000000	95.226	147.6749
197.500000	95.144	147.7481
200.000000	95.065	147.8173
203.000000	94.973	147.8952
206.000000	94.883	147.9951
209.000000	94.802	148.1297
212.000000	94.723	148.3027
214.000000	94.666	148.3790
218.000000	94.546	148.5106
220.000000	94.485	148.6359
224.000000	94.372	148.9212
227.000000	94.296	149.1608
230.000000	94.225	149.4162
233.000000	94.159	149.7437
236.000000	94.103	150.0673
240.000000	94.046	150.3721
243.000000	94.006	150.6553
247.000000	93.954	150.9694
250.000000	93.919	151.0851
254.000000	93.875	151.1541
258.000000	93.826	151.2470
262.000000	93.764	151.3453
265.000000	93.711	151.3638
269.000000	93.635	151.3949
272.000000	93.578	151.4734
276.000000	93.500	151.6095
280.000000	93.416	151.7408
285.000000	93.310	151.9130
290.000000	93.212	152.1436
295.000000	93.123	152.3970
300.000000	93.033	152.6157
304.000000	92.958	152.9046
307.000000	92.905	153.1259
311.000000	92.838	153.3975
315.000000	92.775	153.6625
320.000000	92.701	153.9856
325.000000	92.628	154.3135
330.000000	92.559	154.6445
335.000000	92.489	154.9827
340.000000	92.419	155.3003
345.000000	92.351	155.6118
350.000000	92.283	155.9487
355.000000	92.215	156.2867
360.000000	92.148	156.6170
365.000000	92.088	156.9417
370.000000	92.031	157.2733
375.000000	91.972	157.6187
382.000000	91.890	158.0953
387.000000	91.835	158.4277
395.000000	91.749	158.9778
400.000000	91.694	159.3253
406.000000	91.631	159.7482
412.000000	91.567	160.1603
418.000000	91.500	160.5888
425.000000	91.438	161.0877
431.000000	91.389	161.5153
437.000000	91.336	161.9286
444.000000	91.276	162.4052
450.000000	91.228	162.8343
455.000000	91.188	163.1986
462.000000	91.132	163.7007
468.000000	91.086	164.1277
475.000000	91.034	164.6222
482.000000	90.983	165.1206
487.000000	90.948	165.4935
494.000000	90.901	166.0051
500.000000	90.863	166.4421
508.000000	90.813	167.0176
515.000000	90.770	167.5151
