* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 7, 2024 7:09:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SONY IER M-9 Silicone L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.830	-168.8154
20.600000	98.843	-169.0649
20.900000	98.856	-169.3313
21.200001	98.868	-169.6020
21.400000	98.877	-169.7872
21.799999	98.897	-170.1704
22.000000	98.907	-170.3663
22.400000	98.927	-170.7579
22.700001	98.941	-171.0447
23.000000	98.955	-171.3220
23.299999	98.968	-171.5894
23.600000	98.980	-171.8483
24.000000	98.995	-172.1842
24.299999	99.005	-172.4317
24.700001	99.018	-172.7593
25.000000	99.028	-173.0052
25.400000	99.039	-173.3364
25.799999	99.049	-173.6720
26.200001	99.058	-174.0070
26.500000	99.063	-174.2523
26.900000	99.070	-174.5644
27.200001	99.075	-174.7862
27.600000	99.083	-175.0706
28.000000	99.091	-175.3520
28.500000	99.101	-175.7094
29.000000	99.107	-176.0649
29.500000	99.109	-176.4005
30.000000	99.112	-176.7168
30.400000	99.116	-176.9707
30.700001	99.120	-177.1684
31.100000	99.123	-177.4402
31.500000	99.124	-177.7104
32.000000	99.122	-178.0287
32.500000	99.121	-178.3266
33.000000	99.122	-178.6247
33.500000	99.123	-178.9332
34.000000	99.125	-179.2424
34.500000	99.128	-179.5444
35.000000	99.134	-179.8484
35.500000	99.142	179.8368
36.000000	99.149	179.5201
36.500000	99.154	179.2175
37.000000	99.158	178.9351
37.500000	99.158	178.6751
38.200001	99.148	178.3591
38.700001	99.137	178.1434
39.500000	99.116	177.6962
40.000000	99.101	177.3625
40.599998	99.100	177.0198
41.200001	99.142	176.7468
41.799999	99.216	176.3921
42.500000	99.262	175.8495
43.099998	99.228	175.5435
43.700001	99.161	175.5179
44.400002	99.112	175.5328
45.000000	99.097	175.3071
45.500000	99.087	175.0096
46.200001	99.077	174.6780
46.799999	99.083	174.4970
47.500000	99.091	174.2370
48.200001	99.078	173.8838
48.700001	99.060	173.6272
49.400002	99.040	173.2912
50.000000	99.027	173.0218
50.799999	99.009	172.7333
51.500000	98.998	172.5378
52.200001	98.991	172.2983
53.000000	98.974	171.9919
53.799999	98.958	171.7672
54.500000	98.958	171.5530
55.200001	98.954	171.2570
56.000000	98.932	170.9525
57.000000	98.905	170.6620
58.000000	98.889	170.3494
59.000000	98.905	169.9604
60.000000	98.910	169.4314
60.799999	98.876	169.1676
61.500000	98.843	169.0580
62.200001	98.816	168.9055
63.000000	98.788	168.6610
64.000000	98.767	168.3493
65.000000	98.743	168.0449
66.000000	98.713	167.7957
67.000000	98.691	167.5251
68.000000	98.666	167.2343
69.000000	98.639	166.9792
70.000000	98.614	166.7084
71.000000	98.589	166.4173
72.000000	98.560	166.1644
73.000000	98.531	165.9419
74.000000	98.504	165.7080
75.000000	98.478	165.4732
76.199997	98.446	165.2254
77.500000	98.412	164.9484
78.800003	98.377	164.6365
80.000000	98.345	164.3655
81.199997	98.309	164.0984
82.500000	98.268	163.8323
83.800003	98.230	163.5850
85.000000	98.196	163.3500
86.199997	98.164	163.1050
