* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 7, 2024 7:46:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SONY IER M-9 Silicone R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.587	-167.2765
20.600000	97.600	-167.4957
20.900000	97.613	-167.7316
21.200001	97.625	-167.9766
21.400000	97.634	-168.1478
21.799999	97.654	-168.5116
22.000000	97.665	-168.7024
22.400000	97.687	-169.0928
22.700001	97.704	-169.3857
23.000000	97.720	-169.6720
23.299999	97.734	-169.9477
23.600000	97.747	-170.2101
24.000000	97.762	-170.5383
24.299999	97.771	-170.7698
24.700001	97.782	-171.0652
25.000000	97.790	-171.2821
25.400000	97.798	-171.5716
25.799999	97.807	-171.8650
26.200001	97.816	-172.1621
26.500000	97.824	-172.3857
26.900000	97.835	-172.6827
27.200001	97.844	-172.9037
27.600000	97.857	-173.1946
28.000000	97.868	-173.4796
28.500000	97.881	-173.8249
29.000000	97.891	-174.1564
29.500000	97.900	-174.4753
30.000000	97.908	-174.7833
30.400000	97.915	-175.0234
30.700001	97.920	-175.2006
31.100000	97.926	-175.4342
31.500000	97.931	-175.6663
32.000000	97.935	-175.9570
32.500000	97.935	-176.2502
33.000000	97.934	-176.5426
33.500000	97.934	-176.8249
34.000000	97.938	-177.0917
34.500000	97.948	-177.3518
35.000000	97.961	-177.6229
35.500000	97.970	-177.9089
36.000000	97.974	-178.1930
36.500000	97.976	-178.4580
37.000000	97.980	-178.7095
37.500000	97.986	-178.9651
38.200001	97.988	-179.3284
38.700001	97.980	-179.5702
39.500000	97.960	-179.9261
40.000000	97.951	179.8619
40.599998	97.961	179.6257
41.200001	98.009	179.3655
41.799999	98.077	178.9842
42.500000	98.116	178.4273
43.099998	98.085	178.0940
43.700001	98.025	178.0137
44.400002	97.977	178.0055
45.000000	97.962	177.8300
45.500000	97.957	177.5819
46.200001	97.951	177.2598
46.799999	97.950	177.0610
47.500000	97.947	176.8461
48.200001	97.934	176.5981
48.700001	97.925	176.3926
49.400002	97.918	176.0547
50.000000	97.916	175.7361
50.799999	97.910	175.3503
51.500000	97.903	175.0930
52.200001	97.897	174.8970
53.000000	97.891	174.7122
53.799999	97.885	174.5534
54.500000	97.882	174.4073
55.200001	97.879	174.1957
56.000000	97.865	173.8632
57.000000	97.832	173.4615
58.000000	97.809	173.1546
59.000000	97.799	172.8580
60.000000	97.786	172.6063
60.799999	97.774	172.4522
61.500000	97.762	172.3080
62.200001	97.749	172.1424
63.000000	97.736	171.9463
64.000000	97.731	171.6925
65.000000	97.727	171.4381
66.000000	97.711	171.2225
67.000000	97.688	171.0099
68.000000	97.670	170.7367
69.000000	97.654	170.4348
70.000000	97.637	170.1743
71.000000	97.622	169.9055
72.000000	97.601	169.6330
73.000000	97.580	169.3970
74.000000	97.558	169.1295
75.000000	97.528	168.8561
76.199997	97.498	168.5878
77.500000	97.470	168.2860
78.800003	97.439	167.9577
80.000000	97.411	167.7090
81.199997	97.389	167.5024
82.500000	97.359	167.2323
83.800003	97.312	166.9842
85.000000	97.266	166.7695
86.199997	97.227	166.5058
87.500000	97.212	166.4189
88.500000	97.202	166.4097
90.000000	97.159	166.2121
91.199997	97.130	165.8376
92.500000	97.095	165.5768
93.800003	97.066	165.5427
95.000000	97.058	165.4482
96.199997	97.007	165.2420
97.500000	96.897	165.3131
98.800003	96.877	165.5096
100.000000	96.894	165.3882
101.500000	96.882	165.4312
103.000000	96.935	165.4566
104.400002	96.983	165.1343
106.000000	96.929	164.7267
107.500000	96.902	164.4039
109.000000	96.897	163.8158
110.599998	96.846	163.3125
112.000000	96.793	163.1684
113.800003	96.741	163.0175
115.000000	96.708	162.8104
117.199997	96.634	162.4286
118.000000	96.598	162.3648
120.599998	96.503	162.4019
122.000000	96.491	162.4182
124.099998	96.478	162.1003
125.000000	96.463	161.8594
126.500000	96.415	161.4896
128.000000	96.337	161.3863
131.500000	96.296	162.3124
132.000000	96.322	162.3917
134.000000	96.405	162.0899
136.000000	96.403	161.4273
138.000000	96.385	160.7814
140.000000	96.338	160.1583
143.000000	96.197	159.8033
145.000000	96.103	159.7650
147.500000	96.026	159.4617
150.000000	96.013	159.2335
152.500000	95.982	159.4476
155.000000	95.933	159.6092
157.500000	95.876	159.8607
160.000000	95.769	160.2183
162.500000	95.678	160.1928
165.000000	95.652	159.8282
167.500000	95.597	159.7502
170.000000	95.561	159.7633
172.500000	95.498	159.7826
175.000000	95.407	159.7616
177.500000	95.351	159.6595
180.000000	95.310	159.4777
182.500000	95.277	159.3873
185.000000	95.231	159.4771
187.500000	95.153	159.5356
190.000000	95.093	159.4264
192.500000	95.050	159.4675
195.000000	95.006	159.4667
197.500000	94.958	159.4250
200.000000	94.908	159.4146
203.000000	94.854	159.3925
206.000000	94.802	159.4326
209.000000	94.763	159.4679
212.000000	94.731	159.5102
214.000000	94.700	159.5695
218.000000	94.619	159.6187
220.000000	94.582	159.6294
224.000000	94.519	159.6650
227.000000	94.475	159.7087
230.000000	94.433	159.7274
233.000000	94.388	159.7443
236.000000	94.343	159.7639
240.000000	94.286	159.8009
243.000000	94.241	159.8761
247.000000	94.183	159.9830
250.000000	94.141	160.0505
254.000000	94.084	160.1319
258.000000	94.026	160.2408
262.000000	93.971	160.3600
265.000000	93.931	160.4463
269.000000	93.877	160.5620
272.000000	93.838	160.6517
276.000000	93.785	160.7840
280.000000	93.734	160.9194
285.000000	93.671	161.0874
290.000000	93.609	161.2471
295.000000	93.549	161.4205
300.000000	93.493	161.6348
304.000000	93.447	161.7621
307.000000	93.414	161.8490
311.000000	93.373	161.9856
315.000000	93.332	162.1427
320.000000	93.279	162.3457
325.000000	93.228	162.5333
330.000000	93.180	162.7257
335.000000	93.133	162.9217
340.000000	93.087	163.1163
345.000000	93.041	163.3178
350.000000	92.995	163.5173
355.000000	92.949	163.7103
360.000000	92.905	163.9107
365.000000	92.862	164.1368
370.000000	92.822	164.3467
375.000000	92.781	164.5466
382.000000	92.725	164.8362
387.000000	92.686	165.0434
395.000000	92.627	165.3727
400.000000	92.591	165.5770
406.000000	92.548	165.8278
412.000000	92.503	166.0818
418.000000	92.455	166.3451
425.000000	92.406	166.6492
431.000000	92.371	166.9052
437.000000	92.332	167.1703
444.000000	92.285	167.4715
450.000000	92.247	167.7435
455.000000	92.216	167.9738
462.000000	92.173	168.2879
468.000000	92.138	168.5582
475.000000	92.100	168.8804
482.000000	92.063	169.2119
487.000000	92.035	169.4427
494.000000	91.996	169.7596
500.000000	91.965	170.0340
508.000000	91.925	170.4067
515.000000	91.891	170.7254
522.000000	91.858	171.0428
530.000000	91.819	171.4098
538.000000	91.780	171.7693
545.000000	91.749	172.1017
552.000000	91.722	172.4467
560.000000	91.691	172.8291
570.000000	91.651	173.2972
580.000000	91.612	173.7763
590.000000	91.574	174.2517
600.000000	91.538	174.7318
608.000000	91.511	175.1251
615.000000	91.488	175.4689
622.000000	91.465	175.8114
630.000000	91.441	176.2020
640.000000	91.411	176.6849
650.000000	91.384	177.1760
660.000000	91.359	177.6607
670.000000	91.332	178.1637
680.000000	91.304	178.6789
690.000000	91.281	179.1866
700.000000	91.261	179.6980
710.000000	91.241	-179.7904
720.000000	91.221	-179.2863
730.000000	91.203	-178.7715
740.000000	91.187	-178.2525
750.000000	91.173	-177.7297
762.000000	91.159	-177.0993
775.000000	91.143	-176.4064
788.000000	91.132	-175.7286
800.000000	91.124	-175.1208
812.000000	91.114	-174.5005
825.000000	91.103	-173.8233
838.000000	91.095	-173.1454
850.000000	91.088	-172.5267
862.000000	91.083	-171.9064
875.000000	91.080	-171.2297
885.000000	91.080	-170.7070
900.000000	91.086	-169.9270
912.000000	91.091	-169.3103
925.000000	91.098	-168.6475
938.000000	91.111	-167.9941
950.000000	91.127	-167.4097
962.000000	91.143	-166.8575
975.000000	91.163	-166.2954
988.000000	91.180	-165.7551
1000.000000	91.192	-165.2618
1015.000000	91.201	-164.6392
1030.000000	91.204	-164.0325
1044.000000	91.202	-163.4577
1060.000000	91.193	-162.7364
1075.000000	91.179	-161.9771
1090.000000	91.165	-161.1231
1106.000000	91.158	-160.0701
1120.000000	91.168	-159.0110
1138.000000	91.221	-157.5479
1150.000000	91.281	-156.6063
1172.000000	91.431	-155.1425
1180.000000	91.492	-154.7101
1206.000000	91.676	-153.5898
1220.000000	91.760	-153.0669
1241.000000	91.873	-152.2744
1250.000000	91.919	-151.9023
1265.000000	92.002	-151.2207
1280.000000	92.103	-150.5085
1315.000000	92.398	-149.1271
1320.000000	92.442	-148.9865
1340.000000	92.604	-148.5347
1360.000000	92.735	-148.1328
1380.000000	92.847	-147.6270
1400.000000	92.961	-146.9512
1430.000000	93.158	-145.7563
1450.000000	93.317	-144.8826
1475.000000	93.567	-143.7817
1500.000000	93.882	-142.8836
1525.000000	94.239	-142.5110
1550.000000	94.587	-142.7189
1575.000000	94.889	-143.3279
1600.000000	95.145	-144.1541
1625.000000	95.351	-145.1288
1650.000000	95.507	-146.1709
1675.000000	95.615	-147.1642
1700.000000	95.686	-148.0116
1725.000000	95.735	-148.6701
1750.000000	95.776	-149.1470
1775.000000	95.819	-149.4758
1800.000000	95.872	-149.6977
1825.000000	95.936	-149.8761
1850.000000	96.012	-150.0690
1875.000000	96.092	-150.3065
1900.000000	96.172	-150.5861
1925.000000	96.248	-150.8942
1950.000000	96.322	-151.2247
1975.000000	96.392	-151.5750
2000.000000	96.459	-151.9447
2030.000000	96.533	-152.3944
2060.000000	96.602	-152.8239
2090.000000	96.671	-153.2300
2120.000000	96.745	-153.6459
2140.000000	96.796	-153.9564
2180.000000	96.895	-154.7089
2200.000000	96.938	-155.1526
2240.000000	96.999	-156.1359
2270.000000	97.020	-156.9049
2300.000000	97.023	-157.6612
2330.000000	97.007	-158.3856
2360.000000	96.975	-159.0656
2400.000000	96.908	-159.8792
2430.000000	96.840	-160.4138
2470.000000	96.729	-160.9971
2500.000000	96.631	-161.3237
2540.000000	96.482	-161.5929
2580.000000	96.314	-161.6315
2620.000000	96.129	-161.3816
2650.000000	95.984	-160.9709
2690.000000	95.788	-160.0852
2720.000000	95.649	-159.1385
2760.000000	95.488	-157.4841
2800.000000	95.373	-155.3990
2850.000000	95.328	-152.2896
2900.000000	95.423	-148.8801
2950.000000	95.670	-145.5051
3000.000000	96.057	-142.4857
3040.000000	96.451	-140.5062
3070.000000	96.785	-139.3373
3110.000000	97.267	-138.2468
3150.000000	97.775	-137.7247
3200.000000	98.419	-137.8786
3250.000000	99.043	-138.8964
3300.000000	99.619	-140.7105
3350.000000	100.121	-143.2196
3400.000000	100.530	-146.2944
3450.000000	100.827	-149.7785
3500.000000	101.002	-153.4927
3550.000000	101.051	-157.2392
3600.000000	100.976	-160.8110
3650.000000	100.792	-163.9920
3700.000000	100.521	-166.5997
3750.000000	100.194	-168.5221
3820.000000	99.707	-170.0127
3870.000000	99.378	-170.2989
3950.000000	98.945	-169.7379
4000.000000	98.750	-168.9624
4060.000000	98.596	-167.8324
4120.000000	98.529	-166.6816
4180.000000	98.539	-165.6772
4250.000000	98.626	-164.8571
4310.000000	98.744	-164.5458
4370.000000	98.881	-164.6387
4440.000000	99.039	-165.2590
4500.000000	99.153	-166.1847
4550.000000	99.221	-167.1885
4620.000000	99.265	-168.8624
4680.000000	99.247	-170.4595
4750.000000	99.155	-172.3838
4820.000000	98.986	-174.2279
4870.000000	98.821	-175.4172
4940.000000	98.540	-176.8088
5000.000000	98.265	-177.6842
5080.000000	97.870	-178.3424
5150.000000	97.518	-178.4316
5220.000000	97.177	-178.0951
5300.000000	96.819	-177.2621
5380.000000	96.510	-176.0456
5450.000000	96.288	-174.7592
5520.000000	96.112	-173.3615
5600.000000	95.965	-171.7231
5700.000000	95.849	-169.7194
5800.000000	95.790	-167.8091
5900.000000	95.781	-165.9643
6000.000000	95.827	-164.1561
6080.000000	95.911	-162.7535
6150.000000	96.025	-161.6008
6220.000000	96.183	-160.5681
6300.000000	96.426	-159.6126
6400.000000	96.829	-158.9192
6500.000000	97.316	-158.9975
6600.000000	97.851	-160.0982
6700.000000	98.388	-162.4768
6800.000000	98.850	-166.3048
6900.000000	99.137	-171.4971
7000.000000	99.152	-177.5563
7100.000000	98.851	176.3729
7200.000000	98.271	171.1484
7300.000000	97.501	167.2740
7400.000000	96.635	164.9057
7500.000000	95.753	163.9770
7620.000000	94.764	164.3715
7750.000000	93.824	165.9262
7880.000000	92.985	168.0859
8000.000000	92.235	170.6173
8120.000000	91.497	173.9125
8250.000000	90.798	178.3055
8380.000000	90.278	-176.9820
8500.000000	89.942	-172.8888
8620.000000	89.690	-169.2392
8750.000000	89.459	-165.6978
8850.000000	89.295	-163.1405
9000.000000	89.076	-159.3847
9120.000000	88.933	-156.3720
9250.000000	88.825	-153.0815
9380.000000	88.782	-149.7922
9500.000000	88.805	-146.8130
9620.000000	88.897	-143.9447
9750.000000	89.082	-141.0298
9880.000000	89.369	-138.4093
10000.000000	89.731	-136.3733
10150.000000	90.318	-134.5596
10300.000000	91.045	-133.8355
10440.000000	91.830	-134.4328
10600.000000	92.801	-136.9918
10750.000000	93.698	-141.4903
10900.000000	94.464	-148.0254
11060.000000	95.003	-156.7352
11200.000000	95.175	-165.0331
11380.000000	95.012	-175.3502
11500.000000	94.732	178.5089
11720.000000	94.058	169.0832
11800.000000	93.800	166.1696
12060.000000	93.000	158.0847
12200.000000	92.618	154.3884
12410.000000	92.134	149.4341
12500.000000	91.972	147.4941
12650.000000	91.788	144.4091
12800.000000	91.724	141.2636
13150.000000	91.966	132.1782
13200.000000	92.036	130.5715
13400.000000	92.364	123.1553
13600.000000	92.726	114.1014
13800.000000	93.101	103.4720
14000.000000	93.524	91.1906
14300.000000	94.384	68.3528
14500.000000	95.012	48.4204
14750.000000	95.221	17.3158
15000.000000	94.059	-16.7747
15250.000000	91.609	-47.5152
15500.000000	88.696	-72.3111
15750.000000	86.046	-92.5224
16000.000000	83.942	-110.4011
16250.000000	82.387	-127.5270
16500.000000	81.200	-144.7775
16750.000000	80.188	-162.6814
17000.000000	79.221	178.3827
17250.000000	78.203	158.0972
17500.000000	77.049	136.2304
17750.000000	75.678	112.5844
18000.000000	74.033	86.9642
18250.000000	72.071	59.0374
18500.000000	69.704	28.4743
18750.000000	66.746	-4.5735
19000.000000	62.964	-38.5353
19250.000000	58.262	-70.4768
19500.000000	53.355	-100.8619
19750.000000	50.403	-142.1500
20000.000000	49.587	169.3209
