* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 11:02:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony IER-M9 AZLA ASMR L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.454	-169.5331
20.600000	99.469	-169.8139
20.900000	99.484	-170.1576
21.200001	99.496	-170.5498
21.400000	99.501	-170.8287
21.799999	99.504	-171.3798
22.000000	99.503	-171.6272
22.400000	99.500	-172.0233
22.700001	99.503	-172.2324
23.000000	99.514	-172.3927
23.299999	99.533	-172.5430
23.600000	99.557	-172.7175
24.000000	99.586	-173.0140
24.299999	99.603	-173.2755
24.700001	99.618	-173.6385
25.000000	99.626	-173.8979
25.400000	99.638	-174.2137
25.799999	99.654	-174.5060
26.200001	99.673	-174.7927
26.500000	99.684	-175.0073
26.900000	99.691	-175.2855
27.200001	99.689	-175.4827
27.600000	99.680	-175.7321
28.000000	99.668	-175.9848
28.500000	99.657	-176.3452
29.000000	99.657	-176.7763
29.500000	99.670	-177.2476
30.000000	99.692	-177.6938
30.400000	99.714	-177.9933
30.700001	99.729	-178.1740
31.100000	99.744	-178.3582
31.500000	99.751	-178.4946
32.000000	99.750	-178.6496
32.500000	99.741	-178.8586
33.000000	99.729	-179.1722
33.500000	99.720	-179.5790
34.000000	99.715	179.9878
34.500000	99.719	179.6017
35.000000	99.730	179.2949
35.500000	99.742	179.0519
36.000000	99.749	178.8368
36.500000	99.747	178.6199
37.000000	99.740	178.3843
37.500000	99.731	178.1230
38.200001	99.726	177.7236
38.700001	99.727	177.4354
39.500000	99.731	177.0040
40.000000	99.731	176.7531
40.599998	99.727	176.4593
41.200001	99.719	176.1672
41.799999	99.711	175.8797
42.500000	99.704	175.5584
43.099998	99.699	175.2917
43.700001	99.693	175.0193
44.400002	99.684	174.6896
45.000000	99.673	174.4094
45.500000	99.665	174.1826
46.200001	99.655	173.8726
46.799999	99.647	173.6145
47.500000	99.639	173.3160
48.200001	99.627	172.9972
48.700001	99.613	172.7655
49.400002	99.588	172.4850
50.000000	99.571	172.2993
50.799999	99.567	172.0495
51.500000	99.570	171.7659
52.200001	99.564	171.4460
53.000000	99.540	171.1199
53.799999	99.515	170.8680
54.500000	99.511	170.6199
55.200001	99.515	170.2727
56.000000	99.505	169.8785
57.000000	99.477	169.6060
58.000000	99.454	169.3788
59.000000	99.431	169.0533
60.000000	99.417	168.7076
60.799999	99.407	168.4295
61.500000	99.394	168.2037
62.200001	99.379	168.0010
63.000000	99.360	167.7748
64.000000	99.327	167.4553
65.000000	99.281	167.1227
66.000000	99.240	166.8422
67.000000	99.212	166.6373
68.000000	99.187	166.4894
69.000000	99.163	166.3017
70.000000	99.150	166.0508
71.000000	99.152	165.8125
72.000000	99.151	165.5733
73.000000	99.129	165.2987
74.000000	99.101	164.9688
75.000000	99.076	164.6065
76.199997	99.041	164.2508
77.500000	98.994	163.9216
78.800003	98.948	163.6084
80.000000	98.911	163.3923
81.199997	98.876	163.2125
82.500000	98.832	163.0171
83.800003	98.789	162.8047
85.000000	98.748	162.5622
86.199997	98.703	162.2923
87.500000	98.647	162.0372
88.500000	98.612	161.8654
90.000000	98.565	161.4985
91.199997	98.523	161.2629
92.500000	98.487	161.1434
93.800003	98.452	161.0067
95.000000	98.405	160.7593
96.199997	98.346	160.5029
97.500000	98.292	160.3081
98.800003	98.260	160.1176
100.000000	98.239	160.0224
101.500000	98.182	159.9931
103.000000	98.093	159.8985
104.400002	98.071	159.7781
106.000000	98.083	159.7769
107.500000	98.078	160.0389
109.000000	98.068	159.7063
110.599998	98.046	158.9803
112.000000	97.994	158.8919
113.800003	97.934	158.9639
115.000000	97.929	158.8177
117.199997	97.894	158.5434
118.000000	97.867	158.3241
120.599998	97.777	157.9203
122.000000	97.729	157.8027
124.099998	97.673	157.5569
125.000000	97.645	157.4810
126.500000	97.599	157.3315
128.000000	97.561	157.1814
131.500000	97.480	156.8825
132.000000	97.467	156.8319
134.000000	97.410	156.6364
136.000000	97.352	156.5187
138.000000	97.307	156.4388
140.000000	97.265	156.3259
143.000000	97.188	156.1265
145.000000	97.127	156.0234
147.500000	97.056	155.8797
150.000000	96.995	155.7393
152.500000	96.924	155.6551
155.000000	96.854	155.5990
157.500000	96.798	155.5142
160.000000	96.746	155.4495
162.500000	96.681	155.4185
165.000000	96.609	155.3530
167.500000	96.542	155.2945
170.000000	96.475	155.2737
172.500000	96.409	155.2545
175.000000	96.344	155.2381
177.500000	96.280	155.2402
180.000000	96.220	155.2491
182.500000	96.164	155.2403
185.000000	96.109	155.2355
187.500000	96.051	155.2387
190.000000	95.991	155.2382
192.500000	95.931	155.2444
195.000000	95.873	155.2603
197.500000	95.815	155.2653
200.000000	95.760	155.2843
203.000000	95.697	155.3380
206.000000	95.634	155.3791
209.000000	95.575	155.4263
212.000000	95.519	155.5109
214.000000	95.484	155.5595
218.000000	95.413	155.6499
220.000000	95.377	155.7026
224.000000	95.305	155.8140
227.000000	95.252	155.8972
230.000000	95.199	155.9791
233.000000	95.150	156.0577
236.000000	95.101	156.1443
240.000000	95.036	156.2593
243.000000	94.989	156.3427
247.000000	94.928	156.4507
250.000000	94.883	156.5320
254.000000	94.816	156.6813
258.000000	94.749	156.8207
262.000000	94.685	156.9607
265.000000	94.639	157.0698
269.000000	94.579	157.2248
272.000000	94.535	157.3466
276.000000	94.477	157.5095
280.000000	94.420	157.6744
285.000000	94.350	157.8789
290.000000	94.282	158.0960
295.000000	94.216	158.3200
300.000000	94.152	158.5424
304.000000	94.100	158.7247
307.000000	94.062	158.8644
311.000000	94.012	159.0492
315.000000	93.964	159.2367
320.000000	93.906	159.4792
325.000000	93.848	159.7204
330.000000	93.792	159.9633
335.000000	93.737	160.2122
340.000000	93.684	160.4692
345.000000	93.630	160.7238
350.000000	93.578	160.9788
355.000000	93.531	161.2229
360.000000	93.484	161.4711
365.000000	93.437	161.7294
370.000000	93.391	161.9912
375.000000	93.346	162.2497
382.000000	93.284	162.6148
387.000000	93.241	162.8767
395.000000	93.175	163.2971
400.000000	93.135	163.5603
406.000000	93.088	163.8787
412.000000	93.042	164.2001
418.000000	92.998	164.5217
425.000000	92.948	164.8974
431.000000	92.906	165.2215
437.000000	92.864	165.5464
444.000000	92.817	165.9377
450.000000	92.778	166.2841
455.000000	92.747	166.5456
462.000000	92.704	166.9041
468.000000	92.668	167.2237
475.000000	92.627	167.6050
482.000000	92.588	167.9846
487.000000	92.561	168.2563
494.000000	92.524	168.6356
500.000000	92.492	168.9626
508.000000	92.453	169.4036
515.000000	92.420	169.7831
522.000000	92.387	170.1675
530.000000	92.352	170.6105
538.000000	92.318	171.0450
545.000000	92.289	171.4185
552.000000	92.261	171.7998
560.000000	92.228	172.2497
570.000000	92.190	172.8057
580.000000	92.155	173.3586
590.000000	92.122	173.9161
600.000000	92.090	174.4821
608.000000	92.065	174.9256
615.000000	92.044	175.3129
622.000000	92.025	175.7040
630.000000	92.004	176.1569
640.000000	91.979	176.7284
650.000000	91.957	177.2977
660.000000	91.936	177.8585
670.000000	91.916	178.4260
680.000000	91.898	178.9946
690.000000	91.882	179.5699
700.000000	91.868	-179.8488
710.000000	91.856	-179.2675
720.000000	91.846	-178.6857
730.000000	91.838	-178.1042
740.000000	91.830	-177.5212
750.000000	91.825	-176.9352
762.000000	91.824	-176.2199
775.000000	91.826	-175.4456
788.000000	91.830	-174.6724
800.000000	91.836	-173.9548
812.000000	91.842	-173.2402
825.000000	91.852	-172.4721
838.000000	91.866	-171.7099
850.000000	91.883	-171.0147
862.000000	91.902	-170.3123
875.000000	91.928	-169.5609
885.000000	91.951	-168.9969
900.000000	91.991	-168.1675
912.000000	92.028	-167.5171
925.000000	92.072	-166.8353
938.000000	92.120	-166.1790
950.000000	92.167	-165.5946
962.000000	92.217	-165.0229
975.000000	92.275	-164.4314
988.000000	92.335	-163.8739
1000.000000	92.392	-163.3856
1015.000000	92.465	-162.8136
1030.000000	92.539	-162.2872
1044.000000	92.609	-161.8334
1060.000000	92.688	-161.3553
1075.000000	92.762	-160.9456
1090.000000	92.832	-160.5695
1106.000000	92.904	-160.1989
1120.000000	92.964	-159.8861
1138.000000	93.036	-159.4736
1150.000000	93.083	-159.1732
1172.000000	93.182	-158.5383
1180.000000	93.227	-158.3007
1206.000000	93.406	-157.7613
1220.000000	93.503	-157.7008
1241.000000	93.620	-157.7874
1250.000000	93.660	-157.8363
1265.000000	93.720	-157.8953
1280.000000	93.774	-157.9216
1315.000000	93.885	-157.8954
1320.000000	93.900	-157.8848
1340.000000	93.956	-157.8282
1360.000000	94.009	-157.7580
1380.000000	94.059	-157.6796
1400.000000	94.105	-157.5890
1430.000000	94.169	-157.4407
1450.000000	94.209	-157.3264
1475.000000	94.255	-157.1709
1500.000000	94.298	-157.0102
1525.000000	94.337	-156.8491
1550.000000	94.369	-156.6806
1575.000000	94.395	-156.5027
1600.000000	94.412	-156.3053
1625.000000	94.417	-156.0897
1650.000000	94.410	-155.8567
1675.000000	94.387	-155.5908
1700.000000	94.344	-155.2523
1725.000000	94.278	-154.7881
1750.000000	94.189	-154.1257
1775.000000	94.076	-153.1642
1800.000000	93.944	-151.7474
1825.000000	93.813	-149.6668
1850.000000	93.731	-146.6931
1875.000000	93.783	-142.7273
1900.000000	94.088	-138.1318
