* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2024 11:00:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony IER-M9 AZLA ASMR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.789	-167.3793
20.600000	97.813	-167.6291
20.900000	97.845	-167.9204
21.200001	97.882	-168.2368
21.400000	97.907	-168.4600
21.799999	97.956	-168.9252
22.000000	97.976	-169.1584
22.400000	98.002	-169.5984
22.700001	98.007	-169.8857
23.000000	98.004	-170.1287
23.299999	97.997	-170.3356
23.600000	97.990	-170.5260
24.000000	97.987	-170.7946
24.299999	97.991	-171.0269
24.700001	98.003	-171.3769
25.000000	98.015	-171.6519
25.400000	98.032	-172.0031
25.799999	98.049	-172.3163
26.200001	98.066	-172.5934
26.500000	98.076	-172.7866
26.900000	98.085	-173.0341
27.200001	98.087	-173.2141
27.600000	98.090	-173.4475
28.000000	98.095	-173.6816
28.500000	98.109	-174.0004
29.000000	98.129	-174.3682
29.500000	98.143	-174.7631
30.000000	98.143	-175.1268
30.400000	98.137	-175.3630
30.700001	98.132	-175.5072
31.100000	98.129	-175.6753
31.500000	98.134	-175.8503
32.000000	98.148	-176.1245
32.500000	98.163	-176.4621
33.000000	98.171	-176.8060
33.500000	98.172	-177.0896
34.000000	98.176	-177.2994
34.500000	98.187	-177.4828
35.000000	98.202	-177.6982
35.500000	98.214	-177.9614
36.000000	98.219	-178.2433
36.500000	98.216	-178.5036
37.000000	98.212	-178.7242
37.500000	98.212	-178.9180
38.200001	98.220	-179.2042
38.700001	98.230	-179.4474
39.500000	98.238	-179.8672
40.000000	98.238	179.8909
40.599998	98.235	179.6254
41.200001	98.231	179.3615
41.799999	98.225	179.0952
42.500000	98.222	178.7988
43.099998	98.224	178.5528
43.700001	98.227	178.3152
44.400002	98.225	178.0706
45.000000	98.221	177.8681
45.500000	98.217	177.6660
46.200001	98.209	177.3276
46.799999	98.200	177.0517
47.500000	98.194	176.8046
48.200001	98.188	176.6190
48.700001	98.178	176.5206
49.400002	98.161	176.4250
50.000000	98.158	176.3050
50.799999	98.166	175.9454
51.500000	98.165	175.5258
52.200001	98.163	175.1787
53.000000	98.172	174.8480
53.799999	98.166	174.5732
54.500000	98.142	174.5505
55.200001	98.135	174.6685
56.000000	98.149	174.5554
57.000000	98.133	173.9405
58.000000	98.099	173.3810
59.000000	98.084	173.0547
60.000000	98.068	172.8320
60.799999	98.042	172.5521
61.500000	98.009	172.2359
62.200001	97.985	171.9452
63.000000	97.980	171.6535
64.000000	97.976	171.3785
65.000000	97.953	171.2995
66.000000	97.923	171.2115
67.000000	97.894	170.9598
68.000000	97.875	170.6171
69.000000	97.861	170.3866
70.000000	97.854	170.2755
71.000000	97.841	170.0669
72.000000	97.817	169.8092
73.000000	97.806	169.6061
74.000000	97.804	169.4330
75.000000	97.792	169.2759
76.199997	97.760	169.0690
77.500000	97.728	168.8034
78.800003	97.707	168.5305
80.000000	97.682	168.2729
81.199997	97.660	167.9546
82.500000	97.642	167.5245
83.800003	97.615	167.3345
85.000000	97.584	167.2459
86.199997	97.543	167.0483
87.500000	97.513	166.7782
88.500000	97.494	166.6362
