* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 31, 2026 2:03:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 CP100 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.549	-143.8638
20.600000	102.585	-144.4418
20.900000	102.625	-145.0738
21.200001	102.664	-145.7295
21.400000	102.691	-146.1822
21.799999	102.745	-147.1208
22.000000	102.774	-147.6011
22.400000	102.835	-148.5666
22.700001	102.882	-149.2830
23.000000	102.930	-149.9836
23.299999	102.974	-150.6604
23.600000	103.014	-151.3061
24.000000	103.058	-152.1110
24.299999	103.084	-152.6759
24.700001	103.113	-153.3997
25.000000	103.132	-153.9422
25.400000	103.155	-154.6920
25.799999	103.177	-155.4789
26.200001	103.201	-156.2826
26.500000	103.220	-156.8755
26.900000	103.249	-157.6297
27.200001	103.273	-158.1600
27.600000	103.302	-158.8185
28.000000	103.326	-159.4266
28.500000	103.345	-160.1341
29.000000	103.355	-160.8274
29.500000	103.365	-161.5743
30.000000	103.380	-162.4179
30.400000	103.394	-163.1464
30.700001	103.406	-163.6972
31.100000	103.422	-164.4006
31.500000	103.437	-165.0410
32.000000	103.454	-165.7478
32.500000	103.464	-166.3839
33.000000	103.467	-166.9969
33.500000	103.465	-167.6232
34.000000	103.463	-168.2786
34.500000	103.465	-168.9551
35.000000	103.469	-169.6255
35.500000	103.474	-170.2640
36.000000	103.477	-170.8665
36.500000	103.477	-171.4500
37.000000	103.473	-172.0328
37.500000	103.465	-172.6211
38.200001	103.454	-173.4463
38.700001	103.449	-174.0286
39.500000	103.439	-174.9271
40.000000	103.429	-175.4574
40.599998	103.413	-176.0691
41.200001	103.399	-176.6776
41.799999	103.388	-177.2942
42.500000	103.379	-178.0011
43.099998	103.371	-178.5742
43.700001	103.360	-179.1237
44.400002	103.339	-179.7635
45.000000	103.313	179.6838
45.500000	103.292	179.2308
46.200001	103.271	178.6193
46.799999	103.261	178.1129
47.500000	103.247	177.5550
48.200001	103.221	177.0685
48.700001	103.199	176.7578
49.400002	103.172	176.2980
50.000000	103.152	175.8182
50.799999	103.122	175.0890
51.500000	103.091	174.4812
52.200001	103.065	173.9530
53.000000	103.040	173.4089
53.799999	103.014	172.8893
54.500000	102.985	172.4454
55.200001	102.950	172.0019
56.000000	102.909	171.4698
57.000000	102.864	170.7510
58.000000	102.820	170.1135
59.000000	102.782	169.6176
60.000000	102.743	169.0762
60.799999	102.703	168.6059
61.500000	102.668	168.1856
62.200001	102.628	167.7368
63.000000	102.575	167.2411
64.000000	102.520	166.7700
65.000000	102.498	166.3337
66.000000	102.460	165.8527
67.000000	102.400	165.4069
68.000000	102.346	164.9305
69.000000	102.292	164.4672
70.000000	102.228	164.0820
71.000000	102.163	163.7061
72.000000	102.117	163.2901
73.000000	102.088	162.8310
74.000000	102.050	162.3949
75.000000	102.001	162.0348
76.199997	101.943	161.5838
77.500000	101.867	161.0717
78.800003	101.803	160.6123
80.000000	101.740	160.1890
81.199997	101.668	159.9062
82.500000	101.605	159.5258
83.800003	101.536	159.0703
85.000000	101.472	158.7676
86.199997	101.417	158.4596
87.500000	101.353	158.0335
88.500000	101.287	157.7414
90.000000	101.200	157.4744
91.199997	101.141	157.0634
92.500000	101.033	156.5575
93.800003	100.924	156.4555
95.000000	100.871	156.4549
96.199997	100.828	156.3376
97.500000	100.777	156.3614
98.800003	100.787	156.7055
100.000000	100.841	156.6000
101.500000	100.819	155.8400
103.000000	100.711	155.2729
104.400002	100.618	155.0745
106.000000	100.545	154.7989
107.500000	100.473	154.4193
109.000000	100.397	154.0795
110.599998	100.317	153.7916
112.000000	100.246	153.5996
113.800003	100.161	153.4072
115.000000	100.107	153.2988
117.199997	100.013	153.0659
118.000000	99.982	152.9694
120.599998	99.888	152.7294
122.000000	99.833	152.5435
124.099998	99.740	152.2339
125.000000	99.700	152.1510
126.500000	99.634	152.0445
128.000000	99.570	151.9235
131.500000	99.426	151.5999
132.000000	99.405	151.5525
134.000000	99.327	151.4000
136.000000	99.255	151.3329
138.000000	99.182	151.2918
140.000000	99.101	151.1515
143.000000	98.990	150.8681
145.000000	98.912	150.7893
147.500000	98.816	150.7165
150.000000	98.731	150.6959
152.500000	98.644	150.6933
155.000000	98.557	150.6059
157.500000	98.473	150.5895
160.000000	98.381	150.5941
162.500000	98.284	150.5842
165.000000	98.197	150.5480
167.500000	98.112	150.5757
170.000000	98.028	150.5756
172.500000	97.953	150.7039
175.000000	97.874	150.7863
177.500000	97.781	150.8299
180.000000	97.691	150.8741
182.500000	97.619	150.8475
185.000000	97.548	150.9273
187.500000	97.472	151.1083
190.000000	97.394	151.1790
192.500000	97.316	151.1851
195.000000	97.248	151.2707
197.500000	97.174	151.4436
200.000000	97.096	151.5715
203.000000	97.018	151.6300
206.000000	96.938	151.6910
209.000000	96.858	151.7746
212.000000	96.782	151.8981
214.000000	96.733	152.0049
218.000000	96.633	152.2327
220.000000	96.582	152.3472
224.000000	96.479	152.6039
227.000000	96.410	152.8032
230.000000	96.350	152.9978
233.000000	96.290	153.1938
236.000000	96.224	153.3772
240.000000	96.137	153.6190
243.000000	96.075	153.7955
247.000000	95.997	154.0305
250.000000	95.937	154.2334
254.000000	95.856	154.5123
258.000000	95.774	154.7896
262.000000	95.694	155.0808
265.000000	95.637	155.3049
269.000000	95.562	155.5979
272.000000	95.507	155.8168
276.000000	95.435	156.1209
280.000000	95.365	156.4421
285.000000	95.279	156.8461
290.000000	95.196	157.2493
295.000000	95.116	157.6562
300.000000	95.040	158.0657
304.000000	94.981	158.3998
307.000000	94.937	158.6496
311.000000	94.881	158.9801
315.000000	94.826	159.3127
320.000000	94.757	159.7362
325.000000	94.690	160.1668
330.000000	94.627	160.5966
335.000000	94.566	161.0303
340.000000	94.507	161.4733
345.000000	94.451	161.8979
350.000000	94.398	162.3184
355.000000	94.345	162.7404
360.000000	94.294	163.1606
365.000000	94.244	163.5958
370.000000	94.194	164.0309
375.000000	94.146	164.4689
382.000000	94.084	165.0657
387.000000	94.040	165.4910
395.000000	93.974	166.1828
400.000000	93.934	166.6173
406.000000	93.887	167.1346
412.000000	93.843	167.6429
418.000000	93.801	168.1542
