* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 4, 2026 11:21:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 CP145 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.149	-146.1610
20.600000	104.179	-146.7772
20.900000	104.209	-147.4427
21.200001	104.239	-148.1037
21.400000	104.259	-148.5391
21.799999	104.301	-149.4023
22.000000	104.323	-149.8341
22.400000	104.366	-150.7050
22.700001	104.394	-151.3627
23.000000	104.416	-152.0164
23.299999	104.435	-152.6578
23.600000	104.450	-153.2829
24.000000	104.471	-154.0976
24.299999	104.489	-154.7059
24.700001	104.517	-155.5268
25.000000	104.538	-156.1479
25.400000	104.561	-156.9624
25.799999	104.579	-157.7308
26.200001	104.592	-158.4352
26.500000	104.600	-158.9288
26.900000	104.611	-159.5700
27.200001	104.619	-160.0606
27.600000	104.628	-160.7478
28.000000	104.635	-161.4691
28.500000	104.639	-162.3757
29.000000	104.644	-163.2308
29.500000	104.657	-164.0147
30.000000	104.677	-164.7551
30.400000	104.692	-165.3386
30.700001	104.700	-165.7740
31.100000	104.704	-166.3454
31.500000	104.704	-166.8991
32.000000	104.701	-167.5715
32.500000	104.700	-168.2472
33.000000	104.700	-168.9445
33.500000	104.698	-169.6485
34.000000	104.693	-170.3269
34.500000	104.687	-170.9654
35.000000	104.685	-171.5794
35.500000	104.685	-172.1920
36.000000	104.682	-172.8106
36.500000	104.676	-173.4248
37.000000	104.665	-174.0196
37.500000	104.651	-174.5873
38.200001	104.631	-175.3465
38.700001	104.619	-175.8821
39.500000	104.601	-176.7503
40.000000	104.587	-177.2875
40.599998	104.568	-177.9035
41.200001	104.548	-178.4894
41.799999	104.528	-179.0722
42.500000	104.505	-179.7745
43.099998	104.485	179.6204
43.700001	104.465	179.0446
44.400002	104.443	178.4266
45.000000	104.421	177.9299
45.500000	104.400	177.5257
46.200001	104.369	176.9534
46.799999	104.346	176.4376
47.500000	104.320	175.8230
48.200001	104.294	175.2776
48.700001	104.278	174.9546
49.400002	104.258	174.5211
50.000000	104.237	174.0809
50.799999	104.188	173.4075
51.500000	104.140	172.8391
52.200001	104.101	172.3134
53.000000	104.065	171.7314
53.799999	104.025	171.1844
54.500000	103.991	170.7321
55.200001	103.958	170.2785
56.000000	103.920	169.7658
57.000000	103.867	169.1600
58.000000	103.808	168.5689
59.000000	103.753	167.9684
60.000000	103.709	167.3721
60.799999	103.674	166.9294
61.500000	103.641	166.5757
62.200001	103.605	166.2388
63.000000	103.561	165.8512
64.000000	103.501	165.3469
65.000000	103.440	164.8352
66.000000	103.386	164.3355
67.000000	103.342	163.8556
68.000000	103.295	163.4095
69.000000	103.237	163.0008
70.000000	103.174	162.6165
71.000000	103.119	162.2155
72.000000	103.063	161.7829
73.000000	103.002	161.3857
74.000000	102.948	161.0054
75.000000	102.893	160.6227
76.199997	102.826	160.2368
77.500000	102.759	159.7858
78.800003	102.690	159.3039
80.000000	102.625	158.9208
81.199997	102.558	158.5505
82.500000	102.479	158.1418
83.800003	102.397	157.7502
85.000000	102.341	157.4016
86.199997	102.308	157.0748
87.500000	102.249	156.7331
88.500000	102.173	156.5350
90.000000	102.059	156.2239
91.199997	101.980	155.8904
92.500000	101.899	155.5261
93.800003	101.805	155.2629
95.000000	101.699	155.1670
96.199997	101.609	155.2422
97.500000	101.611	155.4546
98.800003	101.658	155.4265
100.000000	101.648	155.2690
101.500000	101.579	154.8134
103.000000	101.482	154.2451
104.400002	101.399	153.7979
106.000000	101.317	153.3737
107.500000	101.242	153.1163
109.000000	101.168	152.8757
110.599998	101.087	152.6516
112.000000	101.011	152.4704
113.800003	100.917	152.2833
115.000000	100.858	152.2213
117.199997	100.760	152.0799
118.000000	100.728	151.9554
120.599998	100.621	151.5777
122.000000	100.564	151.4144
124.099998	100.475	151.1418
125.000000	100.433	151.0456
126.500000	100.358	150.9523
128.000000	100.282	150.8805
131.500000	100.125	150.5676
132.000000	100.106	150.5185
134.000000	100.031	150.3425
136.000000	99.948	150.2731
138.000000	99.861	150.2303
140.000000	99.779	150.0901
143.000000	99.643	150.0423
145.000000	99.566	150.0065
147.500000	99.458	149.8696
150.000000	99.340	149.7233
152.500000	99.261	149.7758
155.000000	99.179	149.7938
157.500000	99.091	149.7892
160.000000	99.002	149.8215
162.500000	98.917	149.8050
165.000000	98.825	149.7650
167.500000	98.739	149.7468
170.000000	98.652	149.7637
172.500000	98.558	149.8493
175.000000	98.477	149.9678
177.500000	98.403	149.9839
180.000000	98.328	150.0443
182.500000	98.252	150.2002
185.000000	98.174	150.2627
187.500000	98.095	150.2568
190.000000	98.021	150.3016
192.500000	97.946	150.4334
195.000000	97.871	150.5743
197.500000	97.798	150.6721
200.000000	97.729	150.7647
203.000000	97.647	150.8722
206.000000	97.564	151.0064
209.000000	97.477	151.1756
212.000000	97.394	151.3457
214.000000	97.340	151.4494
218.000000	97.238	151.6553
220.000000	97.189	151.7581
224.000000	97.091	151.9689
227.000000	97.017	152.1458
230.000000	96.945	152.3179
233.000000	96.874	152.4986
236.000000	96.805	152.7039
240.000000	96.715	152.9773
243.000000	96.647	153.1624
247.000000	96.557	153.4325
250.000000	96.491	153.6528
254.000000	96.411	153.9485
258.000000	96.332	154.2435
262.000000	96.250	154.5518
265.000000	96.190	154.7932
269.000000	96.115	155.0951
272.000000	96.061	155.3120
276.000000	95.990	155.6218
280.000000	95.918	155.9462
285.000000	95.827	156.3437
290.000000	95.744	156.7286
295.000000	95.662	157.1384
300.000000	95.585	157.5637
304.000000	95.524	157.9186
307.000000	95.479	158.1819
311.000000	95.419	158.5188
315.000000	95.359	158.8475
320.000000	95.287	159.2776
325.000000	95.219	159.7577
330.000000	95.153	160.2151
335.000000	95.094	160.6433
340.000000	95.037	161.0713
345.000000	94.979	161.4644
350.000000	94.918	161.8676
355.000000	94.855	162.2962
360.000000	94.796	162.7619
365.000000	94.744	163.2041
370.000000	94.696	163.6371
375.000000	94.652	164.0645
382.000000	94.590	164.5943
387.000000	94.547	164.9573
395.000000	94.477	165.6862
400.000000	94.432	166.1671
406.000000	94.378	166.7708
412.000000	94.330	167.3361
418.000000	94.284	167.8904
425.000000	94.231	168.4821
431.000000	94.190	168.9742
437.000000	94.148	169.5093
444.000000	94.113	170.0858
450.000000	94.076	170.6334
455.000000	94.044	171.0706
462.000000	94.010	171.6945
