* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 4, 2026 11:23:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 CP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.432	-148.0802
20.600000	104.466	-148.6909
20.900000	104.503	-149.3687
21.200001	104.537	-150.0759
21.400000	104.558	-150.5603
21.799999	104.591	-151.5375
22.000000	104.604	-152.0163
22.400000	104.628	-152.9288
22.700001	104.647	-153.5726
23.000000	104.671	-154.1976
23.299999	104.698	-154.8243
23.600000	104.726	-155.4655
24.000000	104.756	-156.3338
24.299999	104.771	-156.9689
24.700001	104.783	-157.7542
25.000000	104.790	-158.2906
25.400000	104.805	-158.9684
25.799999	104.827	-159.6627
26.200001	104.850	-160.4078
26.500000	104.862	-160.9828
26.900000	104.875	-161.7145
27.200001	104.885	-162.2058
27.600000	104.909	-162.7863
28.000000	104.948	-163.3445
28.500000	105.002	-164.1321
29.000000	105.029	-165.0462
29.500000	105.012	-165.9618
30.000000	104.967	-166.7519
30.400000	104.935	-167.3011
30.700001	104.921	-167.7056
31.100000	104.914	-168.2789
31.500000	104.913	-168.8964
32.000000	104.912	-169.6670
32.500000	104.910	-170.3618
33.000000	104.910	-170.9889
33.500000	104.911	-171.6176
34.000000	104.903	-172.2787
34.500000	104.886	-172.9374
35.000000	104.870	-173.5575
35.500000	104.862	-174.1521
36.000000	104.861	-174.7550
36.500000	104.857	-175.3676
37.000000	104.845	-175.9588
37.500000	104.828	-176.5102
38.200001	104.807	-177.2547
38.700001	104.793	-177.8019
39.500000	104.765	-178.6793
40.000000	104.745	-179.1945
40.599998	104.721	-179.7828
41.200001	104.699	179.6280
41.799999	104.676	179.0251
42.500000	104.648	178.3299
43.099998	104.624	177.7577
43.700001	104.601	177.1982
44.400002	104.573	176.5531
45.000000	104.546	176.0235
45.500000	104.523	175.6070
46.200001	104.495	175.0396
46.799999	104.469	174.5407
47.500000	104.432	173.9534
48.200001	104.393	173.3869
48.700001	104.368	172.9835
49.400002	104.337	172.4012
50.000000	104.308	171.9150
50.799999	104.266	171.3501
51.500000	104.232	170.8963
52.200001	104.197	170.4130
53.000000	104.150	169.8498
53.799999	104.106	169.3254
54.500000	104.071	168.8856
55.200001	104.037	168.4480
56.000000	103.995	167.9372
57.000000	103.930	167.2951
58.000000	103.861	166.7468
59.000000	103.812	166.2109
60.000000	103.766	165.5918
60.799999	103.723	165.1210
61.500000	103.684	164.7548
62.200001	103.645	164.4142
63.000000	103.599	164.0385
64.000000	103.541	163.5730
65.000000	103.483	163.0908
66.000000	103.423	162.5793
67.000000	103.361	162.0890
68.000000	103.304	161.6396
69.000000	103.249	161.2103
70.000000	103.193	160.8245
71.000000	103.139	160.4587
72.000000	103.085	160.0635
73.000000	103.026	159.6539
74.000000	102.967	159.2575
75.000000	102.911	158.8782
76.199997	102.842	158.4677
77.500000	102.761	158.0539
78.800003	102.681	157.5843
80.000000	102.610	157.1708
81.199997	102.542	156.8276
82.500000	102.472	156.4489
83.800003	102.402	156.0540
85.000000	102.318	155.7921
86.199997	102.201	155.4716
87.500000	102.092	155.1001
88.500000	102.068	154.8097
90.000000	102.037	154.4069
91.199997	101.979	154.1709
92.500000	101.897	153.8664
93.800003	101.813	153.5466
95.000000	101.742	153.2789
96.199997	101.678	153.0962
97.500000	101.595	152.9092
98.800003	101.493	152.7615
100.000000	101.408	152.7331
101.500000	101.327	152.7970
103.000000	101.295	152.7029
104.400002	101.280	152.5743
106.000000	101.241	152.3920
107.500000	101.186	151.9710
109.000000	101.118	151.5472
110.599998	101.043	151.2213
112.000000	100.977	150.9954
113.800003	100.879	150.7088
115.000000	100.808	150.5533
117.199997	100.691	150.3789
118.000000	100.656	150.2702
120.599998	100.534	149.9471
122.000000	100.465	149.8179
124.099998	100.361	149.6254
125.000000	100.318	149.5497
126.500000	100.251	149.4502
128.000000	100.189	149.3859
131.500000	100.038	149.1514
132.000000	100.016	149.1124
134.000000	99.930	148.9894
136.000000	99.842	148.8987
138.000000	99.744	148.7447
140.000000	99.654	148.6254
143.000000	99.533	148.5346
145.000000	99.451	148.4795
147.500000	99.344	148.3704
150.000000	99.238	148.2623
152.500000	99.150	148.2890
155.000000	99.056	148.3080
157.500000	98.964	148.2722
160.000000	98.869	148.2260
