* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:57:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Coffee L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.669	-144.4093
20.600000	102.704	-144.9976
20.900000	102.742	-145.6092
21.200001	102.780	-146.2090
21.400000	102.806	-146.6090
21.799999	102.858	-147.4311
22.000000	102.885	-147.8626
22.400000	102.937	-148.7908
22.700001	102.975	-149.5616
23.000000	103.008	-150.4028
23.299999	103.034	-151.3012
23.600000	103.049	-152.2204
24.000000	103.054	-153.3803
24.299999	103.053	-154.1276
24.700001	103.062	-154.9005
25.000000	103.085	-155.3291
25.400000	103.143	-155.7990
25.799999	103.221	-156.2885
26.200001	103.295	-156.8836
26.500000	103.335	-157.3938
26.900000	103.362	-158.1035
27.200001	103.368	-158.6222
27.600000	103.368	-159.2802
28.000000	103.373	-159.9275
28.500000	103.391	-160.7766
29.000000	103.414	-161.6610
29.500000	103.436	-162.5002
30.000000	103.457	-163.2479
30.400000	103.474	-163.8061
30.700001	103.487	-164.2260
31.100000	103.499	-164.8044
31.500000	103.504	-165.4004
32.000000	103.506	-166.1440
32.500000	103.508	-166.8655
33.000000	103.516	-167.5654
33.500000	103.525	-168.2462
34.000000	103.531	-168.9013
34.500000	103.532	-169.5291
35.000000	103.530	-170.1436
35.500000	103.528	-170.7630
36.000000	103.527	-171.3946
36.500000	103.531	-172.0338
37.000000	103.537	-172.6670
37.500000	103.539	-173.2726
38.200001	103.533	-174.0339
38.700001	103.522	-174.5218
39.500000	103.507	-175.3128
40.000000	103.499	-175.8575
40.599998	103.489	-176.5246
41.200001	103.480	-177.1440
41.799999	103.474	-177.7270
42.500000	103.459	-178.4434
43.099998	103.432	-179.0841
43.700001	103.406	-179.6936
44.400002	103.403	179.6168
45.000000	103.416	178.9832
45.500000	103.414	178.4528
46.200001	103.377	177.8392
46.799999	103.330	177.4632
47.500000	103.289	177.0558
48.200001	103.274	176.5606
48.700001	103.275	176.1753
49.400002	103.280	175.6467
50.000000	103.273	175.1993
50.799999	103.231	174.5780
51.500000	103.171	174.0313
52.200001	103.118	173.5117
53.000000	103.081	172.9465
53.799999	103.054	172.4019
54.500000	103.026	171.9332
55.200001	102.995	171.4426
56.000000	102.960	170.8643
57.000000	102.922	170.2403
58.000000	102.890	169.7184
59.000000	102.846	169.1808
60.000000	102.795	168.6050
60.799999	102.749	168.1252
61.500000	102.706	167.7365
62.200001	102.668	167.3674
63.000000	102.633	166.9261
64.000000	102.591	166.3751
65.000000	102.529	165.8389
66.000000	102.437	165.3864
67.000000	102.373	165.0157
68.000000	102.349	164.4806
69.000000	102.316	163.9473
70.000000	102.277	163.5692
71.000000	102.232	163.1683
72.000000	102.163	162.7461
73.000000	102.093	162.3742
74.000000	102.046	161.9757
75.000000	102.009	161.5877
76.199997	101.964	161.2019
77.500000	101.893	160.6943
78.800003	101.813	160.1400
80.000000	101.743	159.6899
81.199997	101.691	159.3142
82.500000	101.637	158.7934
83.800003	101.571	158.4030
85.000000	101.513	158.2399
86.199997	101.454	158.1326
87.500000	101.385	157.7563
88.500000	101.307	157.3685
90.000000	101.178	156.9619
91.199997	101.106	156.5753
92.500000	101.077	156.1674
93.800003	101.055	155.8831
95.000000	100.999	155.7021
96.199997	100.928	155.4331
97.500000	100.862	155.1178
98.800003	100.789	155.1591
100.000000	100.730	155.3534
101.500000	100.651	154.8047
103.000000	100.555	154.0960
104.400002	100.470	153.9048
106.000000	100.355	153.7147
107.500000	100.263	153.1971
109.000000	100.198	152.9510
110.599998	100.132	153.1199
112.000000	100.026	153.3188
113.800003	99.840	154.0493
115.000000	99.738	154.6856
117.199997	99.748	155.1024
118.000000	99.787	154.9421
120.599998	99.865	153.5862
122.000000	99.850	153.0871
124.099998	99.796	152.6200
125.000000	99.759	152.3956
126.500000	99.674	152.0990
128.000000	99.583	151.8425
131.500000	99.381	151.3503
132.000000	99.354	151.3522
134.000000	99.284	151.5356
136.000000	99.392	152.1655
138.000000	99.371	152.6461
140.000000	99.125	152.2796
143.000000	98.987	152.1081
145.000000	98.949	151.9434
147.500000	98.868	151.7036
150.000000	98.726	151.5414
152.500000	98.648	151.3605
155.000000	98.616	151.3041
157.500000	98.567	151.1283
160.000000	98.511	150.9224
162.500000	98.430	150.7487
165.000000	98.329	150.6073
167.500000	98.232	150.5318
170.000000	98.144	150.5027
172.500000	98.057	150.4736
175.000000	97.964	150.4761
177.500000	97.867	150.4833
180.000000	97.775	150.5006
182.500000	97.696	150.5812
185.000000	97.616	150.6225
187.500000	97.532	150.6595
190.000000	97.449	150.7242
192.500000	97.372	150.8145
195.000000	97.299	150.9105
197.500000	97.228	150.9882
200.000000	97.153	151.0741
203.000000	97.067	151.1901
206.000000	96.993	151.3087
209.000000	96.909	151.4252
212.000000	96.821	151.5359
214.000000	96.768	151.6285
218.000000	96.668	151.8721
220.000000	96.620	151.9825
224.000000	96.529	152.1289
227.000000	96.458	152.2927
230.000000	96.384	152.5124
233.000000	96.308	152.7178
236.000000	96.238	152.9349
240.000000	96.149	153.2217
243.000000	96.081	153.4449
247.000000	95.993	153.7362
250.000000	95.928	153.9343
254.000000	95.856	154.2269
258.000000	95.800	154.5115
262.000000	95.739	154.7087
265.000000	95.682	154.8359
269.000000	95.600	155.2228
272.000000	95.542	155.6095
276.000000	95.469	155.9839
280.000000	95.404	156.2176
285.000000	95.326	156.5611
290.000000	95.245	156.9309
295.000000	95.163	157.2411
300.000000	95.090	157.5802
304.000000	95.032	157.9949
307.000000	94.987	158.3044
311.000000	94.929	158.5724
315.000000	94.879	158.8220
320.000000	94.817	159.2156
325.000000	94.751	159.6597
330.000000	94.684	160.0734
335.000000	94.619	160.4817
340.000000	94.562	160.8942
345.000000	94.509	161.3362
350.000000	94.456	161.7637
355.000000	94.401	162.1345
360.000000	94.346	162.5205
365.000000	94.290	162.9488
370.000000	94.235	163.3605
375.000000	94.188	163.7690
382.000000	94.124	164.3802
387.000000	94.080	164.8060
395.000000	94.014	165.4746
400.000000	93.975	165.8890
406.000000	93.929	166.3996
412.000000	93.883	166.8981
418.000000	93.840	167.4036
425.000000	93.794	167.9885
431.000000	93.753	168.5010
437.000000	93.715	168.9995
444.000000	93.675	169.5530
450.000000	93.639	170.0195
455.000000	93.612	170.4426
462.000000	93.577	171.0354
468.000000	93.547	171.5248
475.000000	93.515	172.0930
482.000000	93.485	172.6508
487.000000	93.464	173.0453
494.000000	93.437	173.6031
500.000000	93.415	174.0850
508.000000	93.385	174.7147
515.000000	93.361	175.2595
522.000000	93.339	175.8040
530.000000	93.318	176.4322
538.000000	93.298	177.0588
545.000000	93.282	177.5937
552.000000	93.266	178.1340
560.000000	93.250	178.7531
570.000000	93.233	179.5094
580.000000	93.218	-179.7550
590.000000	93.206	-179.0061
600.000000	93.197	-178.2603
608.000000	93.190	-177.6774
615.000000	93.185	-177.1635
622.000000	93.181	-176.6492
630.000000	93.178	-176.0650
640.000000	93.178	-175.3427
650.000000	93.178	-174.6297
660.000000	93.182	-173.9055
670.000000	93.188	-173.1908
680.000000	93.196	-172.4800
690.000000	93.206	-171.7617
700.000000	93.218	-171.0567
710.000000	93.231	-170.3548
720.000000	93.248	-169.6593
730.000000	93.265	-168.9707
740.000000	93.284	-168.2883
750.000000	93.305	-167.6090
762.000000	93.338	-166.7708
775.000000	93.377	-165.8755
788.000000	93.418	-165.0009
800.000000	93.457	-164.2042
812.000000	93.496	-163.4165
825.000000	93.542	-162.5692
838.000000	93.591	-161.7305
850.000000	93.640	-160.9648
862.000000	93.693	-160.2362
875.000000	93.755	-159.4557
885.000000	93.806	-158.8644
900.000000	93.887	-158.0009
912.000000	93.954	-157.3331
925.000000	94.031	-156.6324
938.000000	94.112	-155.9403
950.000000	94.188	-155.3176
962.000000	94.269	-154.7302
975.000000	94.363	-154.1125
988.000000	94.462	-153.5174
1000.000000	94.558	-152.9984
1015.000000	94.685	-152.4182
1030.000000	94.816	-151.9408
1044.000000	94.937	-151.5734
1060.000000	95.071	-151.2415
1075.000000	95.193	-150.9871
1090.000000	95.311	-150.7748
1106.000000	95.432	-150.5938
1120.000000	95.537	-150.4754
1138.000000	95.667	-150.3684
1150.000000	95.752	-150.3264
1172.000000	95.903	-150.3193
1180.000000	95.955	-150.3381
1206.000000	96.118	-150.4770
1220.000000	96.200	-150.5979
1241.000000	96.316	-150.8288
1250.000000	96.364	-150.9458
1265.000000	96.441	-151.1618
1280.000000	96.514	-151.4013
1315.000000	96.658	-152.0441
1320.000000	96.675	-152.1435
1340.000000	96.733	-152.5567
1360.000000	96.773	-152.9874
1380.000000	96.793	-153.4107
1400.000000	96.790	-153.7926
1430.000000	96.742	-154.1901
1450.000000	96.685	-154.2498
1475.000000	96.600	-153.9892
1500.000000	96.526	-153.3133
1525.000000	96.494	-152.2837
1550.000000	96.523	-151.0784
1575.000000	96.614	-149.9179
1600.000000	96.749	-148.9587
1625.000000	96.907	-148.2566
1650.000000	97.072	-147.8018
1675.000000	97.235	-147.5558
1700.000000	97.390	-147.4727
1725.000000	97.533	-147.5091
1750.000000	97.666	-147.6317
1775.000000	97.787	-147.8157
1800.000000	97.898	-148.0455
1825.000000	98.000	-148.3089
1850.000000	98.094	-148.5991
1875.000000	98.181	-148.9106
1900.000000	98.261	-149.2406
1925.000000	98.336	-149.5909
1950.000000	98.404	-149.9591
1975.000000	98.467	-150.3429
2000.000000	98.525	-150.7407
2030.000000	98.588	-151.2340
2060.000000	98.644	-151.7433
2090.000000	98.691	-152.2632
2120.000000	98.728	-152.7869
2140.000000	98.749	-153.1380
2180.000000	98.779	-153.8309
2200.000000	98.789	-154.1760
2240.000000	98.799	-154.8734
2270.000000	98.795	-155.3920
2300.000000	98.782	-155.8990
2330.000000	98.760	-156.3872
2360.000000	98.730	-156.8508
2400.000000	98.674	-157.4170
