* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 21, 2026 11:10:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Coreir L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.210	-145.9787
20.600000	103.247	-146.6211
20.900000	103.285	-147.3132
21.200001	103.323	-148.0074
21.400000	103.349	-148.4705
21.799999	103.400	-149.3954
22.000000	103.425	-149.8541
22.400000	103.473	-150.7543
22.700001	103.507	-151.4084
23.000000	103.539	-152.0427
23.299999	103.568	-152.6596
23.600000	103.596	-153.2634
24.000000	103.630	-154.0567
24.299999	103.655	-154.6477
24.700001	103.686	-155.4346
25.000000	103.710	-156.0241
25.400000	103.739	-156.8063
25.799999	103.767	-157.5769
26.200001	103.792	-158.3264
26.500000	103.808	-158.8703
26.900000	103.828	-159.5702
27.200001	103.842	-160.0795
27.600000	103.859	-160.7460
28.000000	103.875	-161.4070
28.500000	103.893	-162.2311
29.000000	103.910	-163.0468
29.500000	103.926	-163.8436
30.000000	103.940	-164.6137
30.400000	103.949	-165.2090
30.700001	103.954	-165.6444
31.100000	103.960	-166.2151
31.500000	103.965	-166.7817
32.000000	103.970	-167.4933
32.500000	103.974	-168.2057
33.000000	103.977	-168.9038
33.500000	103.980	-169.5789
34.000000	103.984	-170.2373
34.500000	103.985	-170.8847
35.000000	103.983	-171.5138
35.500000	103.980	-172.1186
36.000000	103.978	-172.7137
36.500000	103.978	-173.3202
37.000000	103.973	-173.9306
37.500000	103.963	-174.5112
38.200001	103.951	-175.2671
38.700001	103.948	-175.8354
39.500000	103.935	-176.8559
40.000000	103.913	-177.4615
40.599998	103.884	-178.0406
41.200001	103.871	-178.5110
41.799999	103.867	-179.0083
42.500000	103.852	-179.6721
43.099998	103.830	179.7491
43.700001	103.811	179.1810
44.400002	103.801	178.5017
45.000000	103.793	177.9146
45.500000	103.782	177.4465
46.200001	103.756	176.8403
46.799999	103.725	176.3639
47.500000	103.687	175.8411
48.200001	103.658	175.3049
48.700001	103.643	174.8920
49.400002	103.619	174.3016
50.000000	103.593	173.8365
50.799999	103.557	173.2936
51.500000	103.528	172.8341
52.200001	103.499	172.3482
53.000000	103.464	171.7791
53.799999	103.428	171.2362
54.500000	103.395	170.7860
55.200001	103.362	170.3336
56.000000	103.321	169.8085
57.000000	103.268	169.1921
58.000000	103.224	168.6270
59.000000	103.185	168.0696
60.000000	103.139	167.5238
60.799999	103.098	167.1090
61.500000	103.064	166.7531
62.200001	103.030	166.3892
63.000000	102.992	165.9728
64.000000	102.942	165.4828
65.000000	102.893	165.0077
66.000000	102.842	164.5267
67.000000	102.793	164.0389
68.000000	102.745	163.5671
69.000000	102.698	163.1199
70.000000	102.650	162.6928
71.000000	102.601	162.2924
72.000000	102.541	161.9335
73.000000	102.476	161.6227
74.000000	102.426	161.2422
75.000000	102.382	160.7736
76.199997	102.326	160.2886
77.500000	102.260	159.7789
78.800003	102.199	159.2777
80.000000	102.140	158.8654
81.199997	102.054	158.6248
82.500000	101.982	158.2911
83.800003	101.922	157.8171
85.000000	101.865	157.4763
86.199997	101.801	157.1772
87.500000	101.734	156.8493
88.500000	101.683	156.5696
90.000000	101.613	156.1007
91.199997	101.572	155.6984
92.500000	101.508	155.3594
93.800003	101.422	155.1951
95.000000	101.347	154.9940
96.199997	101.280	154.7873
97.500000	101.217	154.5917
98.800003	101.160	154.3287
100.000000	101.103	154.0622
101.500000	101.025	153.7830
103.000000	100.949	153.5297
104.400002	100.879	153.3076
106.000000	100.795	153.0479
107.500000	100.723	152.7839
109.000000	100.659	152.5662
110.599998	100.588	152.3582
112.000000	100.513	152.2382
113.800003	100.415	152.1069
115.000000	100.364	151.9802
117.199997	100.276	151.7668
118.000000	100.238	151.7607
120.599998	100.158	151.5420
122.000000	100.106	151.1808
124.099998	99.968	151.1314
125.000000	99.912	151.1300
126.500000	99.833	151.0846
128.000000	99.761	151.0501
131.500000	99.665	151.0616
132.000000	99.654	151.1090
134.000000	99.596	151.1891
136.000000	99.520	151.0982
138.000000	99.444	150.9467
140.000000	99.377	150.4337
143.000000	99.296	149.8962
145.000000	99.228	149.8515
147.500000	99.121	149.8743
150.000000	99.019	149.8850
152.500000	98.933	149.7823
155.000000	98.844	149.7131
157.500000	98.759	149.6753
160.000000	98.677	149.6254
162.500000	98.575	149.6110
165.000000	98.474	149.7115
167.500000	98.397	149.7335
170.000000	98.315	149.6481
172.500000	98.223	149.6959
175.000000	98.154	149.8607
177.500000	98.069	149.9939
180.000000	97.976	150.0046
182.500000	97.891	150.0391
185.000000	97.808	150.1013
187.500000	97.736	150.1675
190.000000	97.669	150.2904
192.500000	97.596	150.4250
195.000000	97.522	150.5605
197.500000	97.452	150.6061
