* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 15, 2026 11:49:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Epro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.918	-145.5035
20.600000	103.943	-146.1790
20.900000	103.973	-146.8881
21.200001	104.009	-147.5790
21.400000	104.037	-148.0343
21.799999	104.097	-148.9487
22.000000	104.126	-149.4092
22.400000	104.171	-150.3165
22.700001	104.191	-150.9572
23.000000	104.201	-151.5479
23.299999	104.209	-152.1013
23.600000	104.222	-152.6612
24.000000	104.254	-153.5232
24.299999	104.285	-154.3124
24.700001	104.321	-155.5400
25.000000	104.334	-156.5061
25.400000	104.329	-157.6663
25.799999	104.314	-158.5088
26.200001	104.314	-158.9977
26.500000	104.332	-159.2158
26.900000	104.380	-159.4883
27.200001	104.422	-159.7788
27.600000	104.466	-160.3338
28.000000	104.486	-161.0337
28.500000	104.484	-161.9669
29.000000	104.478	-162.8496
29.500000	104.482	-163.6635
30.000000	104.493	-164.4209
30.400000	104.500	-164.9811
30.700001	104.502	-165.3743
31.100000	104.502	-165.8784
31.500000	104.501	-166.3905
32.000000	104.501	-167.0834
32.500000	104.500	-167.8318
33.000000	104.497	-168.5845
33.500000	104.497	-169.2908
34.000000	104.498	-169.9407
34.500000	104.498	-170.5592
35.000000	104.495	-171.1765
35.500000	104.486	-171.8047
36.000000	104.474	-172.4360
36.500000	104.461	-173.0559
37.000000	104.452	-173.6570
37.500000	104.445	-174.2396
38.200001	104.434	-175.0243
38.700001	104.424	-175.5634
39.500000	104.403	-176.4121
40.000000	104.387	-176.9448
40.599998	104.367	-177.5764
41.200001	104.347	-178.1862
41.799999	104.329	-178.7752
42.500000	104.309	-179.4390
43.099998	104.289	-179.9885
43.700001	104.268	179.4598
44.400002	104.242	178.7903
45.000000	104.217	178.2161
45.500000	104.199	177.7602
46.200001	104.173	177.1619
46.799999	104.147	176.6772
47.500000	104.108	176.1260
48.200001	104.066	175.5349
48.700001	104.035	175.0730
49.400002	103.992	174.4474
50.000000	103.965	174.0145
50.799999	103.952	173.5305
51.500000	103.944	173.0486
52.200001	103.914	172.5253
53.000000	103.865	171.9896
53.799999	103.829	171.4627
54.500000	103.801	170.9607
55.200001	103.766	170.4926
56.000000	103.720	170.0323
57.000000	103.653	169.4818
58.000000	103.589	168.9544
59.000000	103.554	168.3582
60.000000	103.518	167.6545
60.799999	103.477	167.1429
61.500000	103.438	166.7560
62.200001	103.396	166.4054
63.000000	103.345	166.0287
64.000000	103.292	165.5137
65.000000	103.249	164.9789
66.000000	103.200	164.5418
67.000000	103.131	164.0823
68.000000	103.064	163.5358
69.000000	103.020	163.1049
70.000000	102.962	162.8470
71.000000	102.889	162.5449
72.000000	102.868	161.9633
73.000000	102.828	161.4703
74.000000	102.719	161.0607
75.000000	102.601	159.5379
76.199997	102.673	157.6479
77.500000	102.943	157.4047
78.800003	102.702	158.9546
80.000000	102.461	159.7213
81.199997	102.379	158.8560
82.500000	102.287	158.2208
83.800003	102.141	157.5992
85.000000	102.071	157.0916
86.199997	101.985	156.8282
87.500000	101.867	156.8028
88.500000	101.843	156.8048
90.000000	101.845	156.5723
91.199997	101.814	156.3740
92.500000	101.756	156.1586
93.800003	101.676	155.7489
95.000000	101.612	155.3408
96.199997	101.562	155.0001
97.500000	101.581	154.6005
98.800003	101.762	154.4197
100.000000	101.856	154.1005
101.500000	101.553	153.8784
103.000000	101.269	153.6678
104.400002	101.162	153.4073
106.000000	101.062	153.2028
107.500000	100.981	152.9071
109.000000	100.909	152.7054
110.599998	100.828	152.4957
112.000000	100.759	152.3171
113.800003	100.666	152.1108
115.000000	100.606	151.9728
117.199997	100.498	151.7292
118.000000	100.461	151.6550
120.599998	100.337	151.4525
122.000000	100.264	151.3687
124.099998	100.155	151.2299
125.000000	100.107	151.1719
126.500000	100.029	151.0619
128.000000	99.956	150.9653
131.500000	99.785	151.0393
132.000000	99.760	151.0982
134.000000	99.670	151.4543
136.000000	99.609	151.7235
138.000000	99.596	151.6209
140.000000	99.602	151.2843
143.000000	99.534	150.9298
145.000000	99.445	150.4669
147.500000	99.363	150.0965
150.000000	99.262	150.1268
152.500000	99.137	150.0638
155.000000	99.035	149.9062
157.500000	98.954	149.8910
160.000000	98.852	149.8731
162.500000	98.754	149.8492
165.000000	98.657	149.8654
167.500000	98.561	149.8714
170.000000	98.475	149.8808
172.500000	98.398	149.8480
175.000000	98.314	149.8783
177.500000	98.231	149.9860
180.000000	98.154	150.0513
182.500000	98.079	150.0709
185.000000	98.000	150.1079
187.500000	97.919	150.1760
