* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 15, 2026 11:51:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Epro R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.279	-147.3239
20.600000	104.307	-147.9662
20.900000	104.335	-148.6633
21.200001	104.361	-149.3666
21.400000	104.379	-149.8370
21.799999	104.413	-150.7758
22.000000	104.430	-151.2404
22.400000	104.464	-152.1494
22.700001	104.488	-152.8087
23.000000	104.512	-153.4481
23.299999	104.535	-154.0703
23.600000	104.555	-154.6794
24.000000	104.581	-155.4773
24.299999	104.597	-156.0677
24.700001	104.617	-156.8457
25.000000	104.631	-157.4225
25.400000	104.649	-158.1830
25.799999	104.666	-158.9334
26.200001	104.681	-159.6721
26.500000	104.692	-160.2172
26.900000	104.705	-160.9315
27.200001	104.714	-161.4589
27.600000	104.726	-162.1533
28.000000	104.736	-162.8390
28.500000	104.747	-163.6800
29.000000	104.754	-164.4931
29.500000	104.759	-165.2729
30.000000	104.763	-166.0262
30.400000	104.766	-166.6183
30.700001	104.767	-167.0591
31.100000	104.768	-167.6430
31.500000	104.768	-168.2208
32.000000	104.767	-168.9317
32.500000	104.765	-169.6292
33.000000	104.762	-170.3133
33.500000	104.757	-170.9838
34.000000	104.750	-171.6410
34.500000	104.742	-172.2876
35.000000	104.732	-172.9264
35.500000	104.723	-173.5561
36.000000	104.712	-174.1719
36.500000	104.702	-174.7697
37.000000	104.690	-175.3494
37.500000	104.678	-175.9144
38.200001	104.659	-176.6897
38.700001	104.645	-177.2371
39.500000	104.623	-178.1043
40.000000	104.609	-178.6378
40.599998	104.590	-179.2630
41.200001	104.569	-179.8666
41.799999	104.546	179.5510
42.500000	104.519	178.8870
43.099998	104.495	178.3217
43.700001	104.471	177.7611
44.400002	104.444	177.1223
45.000000	104.420	176.5871
45.500000	104.400	176.1459
46.200001	104.368	175.5386
46.799999	104.340	175.0338
47.500000	104.309	174.4558
48.200001	104.278	173.8785
48.700001	104.255	173.4760
49.400002	104.219	172.9448
