* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:31:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Foam L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.767	-144.0675
20.600000	102.806	-144.7328
20.900000	102.848	-145.4336
21.200001	102.891	-146.1100
21.400000	102.921	-146.5460
21.799999	102.984	-147.3953
22.000000	103.015	-147.8173
22.400000	103.072	-148.6756
22.700001	103.104	-149.3347
23.000000	103.121	-149.9937
23.299999	103.124	-150.6278
23.600000	103.118	-151.2119
24.000000	103.111	-151.8958
24.299999	103.119	-152.3588
24.700001	103.159	-152.9875
25.000000	103.209	-153.5247
25.400000	103.289	-154.3693
25.799999	103.363	-155.3235
26.200001	103.415	-156.2812
26.500000	103.438	-156.9351
26.900000	103.455	-157.6768
27.200001	103.464	-158.1466
27.600000	103.480	-158.7209
28.000000	103.502	-159.3180
28.500000	103.533	-160.1691
29.000000	103.555	-161.0982
29.500000	103.567	-161.9824
30.000000	103.578	-162.7343
30.400000	103.592	-163.2533
30.700001	103.607	-163.6280
31.100000	103.627	-164.1512
31.500000	103.642	-164.7251
32.000000	103.647	-165.4923
32.500000	103.642	-166.2491
33.000000	103.639	-166.9504
33.500000	103.646	-167.6054
34.000000	103.658	-168.2413
34.500000	103.666	-168.8659
35.000000	103.665	-169.4710
35.500000	103.658	-170.0572
36.000000	103.655	-170.6404
36.500000	103.662	-171.2415
37.000000	103.680	-171.8669
37.500000	103.696	-172.4867
38.200001	103.691	-173.2305
38.700001	103.664	-173.6398
39.500000	103.608	-174.2757
40.000000	103.581	-174.7879
40.599998	103.572	-175.5092
41.200001	103.597	-176.2722
41.799999	103.625	-177.0202
42.500000	103.596	-177.6963
43.099998	103.535	-178.0488
43.700001	103.508	-178.6038
44.400002	103.517	179.8706
45.000000	103.485	178.2313
45.500000	103.427	177.3691
46.200001	103.393	177.3985
46.799999	103.438	177.8629
47.500000	103.465	177.8981
