* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:33:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Foam R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.224	-141.9682
20.600000	102.271	-142.5797
20.900000	102.324	-143.2013
21.200001	102.376	-143.8134
21.400000	102.408	-144.2289
21.799999	102.462	-145.0891
22.000000	102.483	-145.5285
22.400000	102.516	-146.4043
22.700001	102.542	-147.0554
23.000000	102.577	-147.7206
23.299999	102.624	-148.4295
23.600000	102.680	-149.2029
24.000000	102.755	-150.3145
24.299999	102.802	-151.1461
24.700001	102.844	-152.1232
25.000000	102.862	-152.6896
25.400000	102.883	-153.2130
25.799999	102.913	-153.5818
26.200001	102.954	-153.9779
26.500000	102.985	-154.3764
26.900000	103.016	-155.0648
27.200001	103.029	-155.6624
27.600000	103.036	-156.4846
28.000000	103.046	-157.2671
28.500000	103.073	-158.1605
29.000000	103.114	-158.9885
29.500000	103.150	-159.7655
30.000000	103.173	-160.4833
30.400000	103.185	-161.0305
30.700001	103.193	-161.4464
31.100000	103.203	-162.0311
31.500000	103.213	-162.6530
32.000000	103.224	-163.4427
32.500000	103.235	-164.1893
33.000000	103.250	-164.8790
33.500000	103.266	-165.5446
34.000000	103.278	-166.2119
34.500000	103.282	-166.8730
35.000000	103.282	-167.5127
35.500000	103.284	-168.1373
36.000000	103.287	-168.7610
36.500000	103.286	-169.3754
37.000000	103.280	-169.9536
37.500000	103.273	-170.4853
38.200001	103.273	-171.2070
38.700001	103.279	-171.7538
39.500000	103.285	-172.6714
40.000000	103.285	-173.2338
40.599998	103.282	-173.8931
41.200001	103.277	-174.5569
41.799999	103.267	-175.2144
42.500000	103.251	-175.9225
43.099998	103.244	-176.4803
43.700001	103.240	-177.0434
44.400002	103.229	-177.7475
45.000000	103.207	-178.3648
45.500000	103.181	-178.8577
46.200001	103.143	-179.4911
46.799999	103.123	-179.9946
47.500000	103.123	179.4072
48.200001	103.137	178.7470
48.700001	103.140	178.2664
49.400002	103.119	177.6896
50.000000	103.085	177.3278
50.799999	103.039	176.8931
51.500000	103.004	176.3977
52.200001	102.971	175.8080
53.000000	102.940	175.1527
53.799999	102.915	174.5809
54.500000	102.893	174.1374
55.200001	102.869	173.7099
56.000000	102.840	173.1968
57.000000	102.804	172.5204
58.000000	102.768	171.8628
59.000000	102.735	171.2536
60.000000	102.703	170.6405
60.799999	102.662	170.1785
61.500000	102.620	169.8362
62.200001	102.582	169.4941
63.000000	102.544	169.0364
64.000000	102.500	168.4564
65.000000	102.458	167.9885
66.000000	102.412	167.6087
67.000000	102.370	167.1594
68.000000	102.326	166.5720
69.000000	102.272	166.0495
70.000000	102.219	165.5993
71.000000	102.173	165.1281
72.000000	102.154	164.6646
73.000000	102.126	164.2336
74.000000	102.050	163.9568
75.000000	101.969	163.7114
