* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 18, 2026 11:42:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Foamax L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.744	-141.9110
20.600000	102.781	-142.5705
20.900000	102.820	-143.2754
21.200001	102.856	-143.9719
21.400000	102.879	-144.4299
21.799999	102.925	-145.3323
22.000000	102.948	-145.7773
22.400000	102.993	-146.6560
22.700001	103.025	-147.3054
23.000000	103.056	-147.9462
23.299999	103.085	-148.5781
23.600000	103.112	-149.2009
24.000000	103.146	-150.0176
24.299999	103.171	-150.6212
24.700001	103.203	-151.4161
25.000000	103.226	-152.0058
25.400000	103.256	-152.7830
25.799999	103.284	-153.5479
26.200001	103.311	-154.2981
26.500000	103.329	-154.8508
26.900000	103.352	-155.5753
27.200001	103.368	-156.1106
27.600000	103.388	-156.8145
28.000000	103.406	-157.5071
28.500000	103.428	-158.3530
29.000000	103.447	-159.1715
29.500000	103.464	-159.9601
30.000000	103.479	-160.7240
30.400000	103.489	-161.3247
30.700001	103.496	-161.7726
31.100000	103.503	-162.3682
31.500000	103.509	-162.9610
32.000000	103.515	-163.6929
32.500000	103.520	-164.4098
33.000000	103.526	-165.1116
33.500000	103.532	-165.8013
34.000000	103.536	-166.4806
34.500000	103.538	-167.1486
35.000000	103.538	-167.8025
35.500000	103.536	-168.4385
36.000000	103.533	-169.0539
36.500000	103.530	-169.6510
37.000000	103.527	-170.2392
37.500000	103.523	-170.8291
38.200001	103.513	-171.6571
38.700001	103.503	-172.2336
39.500000	103.490	-173.1094
40.000000	103.484	-173.6366
40.599998	103.476	-174.2617
41.200001	103.465	-174.8756
41.799999	103.450	-175.4737
42.500000	103.431	-176.1646
43.099998	103.413	-176.7626
43.700001	103.396	-177.3566
44.400002	103.376	-178.0213
45.000000	103.360	-178.5638
45.500000	103.347	-179.0047
46.200001	103.324	-179.6135
46.799999	103.301	179.8703
47.500000	103.274	179.2682
48.200001	103.249	178.6584
48.700001	103.233	178.2235
49.400002	103.210	177.6368
50.000000	103.189	177.1693
50.799999	103.157	176.5916
51.500000	103.126	176.1065
52.200001	103.095	175.6205
53.000000	103.059	175.0542
53.799999	103.025	174.4854
54.500000	102.995	173.9989
55.200001	102.966	173.5219
56.000000	102.931	172.9830
57.000000	102.886	172.3391
58.000000	102.842	171.7289
59.000000	102.796	171.1216
60.000000	102.746	170.5420
60.799999	102.707	170.1049
61.500000	102.675	169.7289
62.200001	102.641	169.3514
63.000000	102.602	168.9158
64.000000	102.550	168.3753
65.000000	102.500	167.8557
66.000000	102.453	167.3490
67.000000	102.403	166.8538
68.000000	102.350	166.3913
69.000000	102.300	165.9503
70.000000	102.250	165.5071
71.000000	102.200	165.0697
72.000000	102.149	164.6598
73.000000	102.098	164.2783
74.000000	102.048	163.9015
75.000000	101.997	163.5226
76.199997	101.935	163.0657
77.500000	101.870	162.5704
78.800003	101.804	162.1137
80.000000	101.743	161.7294
81.199997	101.681	161.3512
82.500000	101.615	160.9339
83.800003	101.552	160.5218
85.000000	101.493	160.1631
86.199997	101.433	159.8185
87.500000	101.367	159.4637
88.500000	101.317	159.1920
90.000000	101.240	158.7862
91.199997	101.181	158.4802
92.500000	101.118	158.1653
93.800003	101.055	157.8649
95.000000	100.995	157.5907
96.199997	100.935	157.3250
97.500000	100.871	157.0480
98.800003	100.803	156.7809
100.000000	100.742	156.5455
101.500000	100.672	156.2579
103.000000	100.603	155.9827
104.400002	100.537	155.7366
106.000000	100.461	155.4644
107.500000	100.390	155.2273
109.000000	100.318	155.0047
110.599998	100.243	154.7758
112.000000	100.178	154.5793
113.800003	100.094	154.3347
115.000000	100.039	154.1840
117.199997	99.938	153.9325
118.000000	99.902	153.8468
120.599998	99.785	153.5796
122.000000	99.722	153.4381
124.099998	99.630	153.2452
125.000000	99.592	153.1660
126.500000	99.528	153.0416
128.000000	99.463	152.9319
131.500000	99.313	152.7220
