* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 18, 2026 11:43:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Foamax R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.383	-143.7759
20.600000	103.418	-144.4224
20.900000	103.452	-145.1275
21.200001	103.483	-145.8363
21.400000	103.502	-146.3044
21.799999	103.539	-147.2196
22.000000	103.558	-147.6644
22.400000	103.600	-148.5333
22.700001	103.634	-149.1773
23.000000	103.668	-149.8236
23.299999	103.699	-150.4736
23.600000	103.726	-151.1217
24.000000	103.756	-151.9678
24.299999	103.775	-152.5816
24.700001	103.799	-153.3770
25.000000	103.819	-153.9662
25.400000	103.847	-154.7533
25.799999	103.873	-155.5359
26.200001	103.896	-156.2915
26.500000	103.914	-156.8296
26.900000	103.939	-157.5146
27.200001	103.960	-158.0211
27.600000	103.988	-158.7153
28.000000	104.010	-159.4410
28.500000	104.021	-160.3523
29.000000	104.016	-161.1887
29.500000	104.013	-161.9191
30.000000	104.023	-162.6060
30.400000	104.040	-163.1838
30.700001	104.054	-163.6466
31.100000	104.068	-164.2892
31.500000	104.076	-164.9293
32.000000	104.078	-165.6854
32.500000	104.078	-166.3913
33.000000	104.079	-167.0796
33.500000	104.078	-167.7729
34.000000	104.073	-168.4643
34.500000	104.066	-169.1361
35.000000	104.060	-169.7811
35.500000	104.055	-170.4033
36.000000	104.053	-171.0089
36.500000	104.050	-171.6026
37.000000	104.046	-172.1889
37.500000	104.040	-172.7703
38.200001	104.027	-173.5728
38.700001	104.017	-174.1368
39.500000	104.002	-175.0363
40.000000	103.992	-175.5967
40.599998	103.976	-176.2499
41.200001	103.959	-176.8707
41.799999	103.941	-177.4728
42.500000	103.921	-178.1739
43.099998	103.901	-178.7628
43.700001	103.882	-179.3229
44.400002	103.861	-179.9522
45.000000	103.843	179.5034
45.500000	103.825	179.0451
46.200001	103.797	178.4145
46.799999	103.775	177.8890
47.500000	103.749	177.2943
48.200001	103.716	176.7578
48.700001	103.688	176.4278
49.400002	103.653	175.9892
50.000000	103.628	175.5524
50.799999	103.596	174.8458
51.500000	103.566	174.2031
52.200001	103.537	173.6189
53.000000	103.506	173.0286
53.799999	103.472	172.4912
54.500000	103.438	172.0393
55.200001	103.401	171.5878
56.000000	103.357	171.0645
57.000000	103.305	170.3994
58.000000	103.258	169.7654
59.000000	103.213	169.1860
60.000000	103.163	168.6181
60.799999	103.120	168.1579
61.500000	103.085	167.7520
62.200001	103.053	167.3558
63.000000	103.013	166.9331
64.000000	102.960	166.4310
65.000000	102.905	165.9105
66.000000	102.854	165.4049
67.000000	102.803	164.9560
68.000000	102.746	164.5156
69.000000	102.686	164.0425
70.000000	102.634	163.5623
71.000000	102.587	163.1223
72.000000	102.537	162.7249
73.000000	102.480	162.3341
74.000000	102.421	161.9379
75.000000	102.367	161.5426
76.199997	102.305	161.0891
77.500000	102.235	160.6375
78.800003	102.164	160.1796
80.000000	102.100	159.7540
81.199997	102.036	159.3661
82.500000	101.965	158.9675
83.800003	101.892	158.5582
85.000000	101.826	158.1995
86.199997	101.762	157.8813
87.500000	101.695	157.5372
88.500000	101.642	157.2688
90.000000	101.562	156.8948
91.199997	101.500	156.6044
92.500000	101.434	156.2880
93.800003	101.366	155.9886
95.000000	101.304	155.7224
96.199997	101.242	155.4578
97.500000	101.173	155.1606
98.800003	101.104	154.8073
100.000000	101.040	154.5131
101.500000	100.969	154.3341
103.000000	100.899	154.1317
104.400002	100.828	153.8938
106.000000	100.749	153.6678
107.500000	100.677	153.4438
109.000000	100.604	153.2005
110.599998	100.525	152.9594
112.000000	100.458	152.7725
113.800003	100.374	152.5750
115.000000	100.316	152.4331
117.199997	100.211	152.1711
118.000000	100.173	152.0858
120.599998	100.053	151.8369
122.000000	99.989	151.7170
124.099998	99.895	151.5457
125.000000	99.856	151.4678
126.500000	99.793	151.3376
128.000000	99.732	151.2195
131.500000	99.583	150.9411
132.000000	99.561	150.9020
134.000000	99.476	150.7606
136.000000	99.391	150.6584
138.000000	99.307	150.5746
140.000000	99.223	150.4527
143.000000	99.104	150.3223
145.000000	99.030	150.2985
147.500000	98.932	150.3104
150.000000	98.840	150.4173
152.500000	98.742	150.1884
155.000000	98.648	150.0823
157.500000	98.556	150.0774
160.000000	98.464	150.0434
162.500000	98.376	150.0336
165.000000	98.292	150.0114
167.500000	98.214	150.0020
170.000000	98.138	150.0051
172.500000	98.041	150.0028
175.000000	97.951	149.9985
177.500000	97.867	150.0102
180.000000	97.784	150.0384
182.500000	97.701	150.0875
185.000000	97.619	150.1507
187.500000	97.539	150.2155
190.000000	97.460	150.2878
192.500000	97.382	150.3721
195.000000	97.305	150.4630
197.500000	97.233	150.5564
200.000000	97.162	150.6886
203.000000	97.073	150.8522
206.000000	96.989	151.0100
209.000000	96.909	151.1644
212.000000	96.830	151.3212
214.000000	96.779	151.4255
218.000000	96.676	151.6175
220.000000	96.623	151.7212
224.000000	96.519	151.9345
227.000000	96.445	152.1027
230.000000	96.372	152.2880
233.000000	96.299	152.4855
236.000000	96.230	152.6950
240.000000	96.141	152.9799
243.000000	96.075	153.1801
247.000000	95.984	153.4168
250.000000	95.917	153.5893
254.000000	95.838	153.8759
258.000000	95.757	154.1562
262.000000	95.675	154.4382
265.000000	95.616	154.6567
269.000000	95.538	154.9578
272.000000	95.479	155.1907
276.000000	95.404	155.4970
280.000000	95.332	155.8115
285.000000	95.243	156.1939
290.000000	95.156	156.5998
295.000000	95.071	157.0004
300.000000	94.989	157.4156
304.000000	94.924	157.7590
307.000000	94.877	158.0176
311.000000	94.817	158.3608
315.000000	94.758	158.7083
320.000000	94.686	159.1422
325.000000	94.616	159.5721
330.000000	94.550	159.9960
335.000000	94.485	160.4210
340.000000	94.419	160.8481
345.000000	94.355	161.2659
350.000000	94.293	161.6813
355.000000	94.236	162.1613
360.000000	94.182	162.6295
365.000000	94.128	163.0727
370.000000	94.076	163.5154
375.000000	94.025	163.9631
382.000000	93.957	164.5865
387.000000	93.911	165.0385
395.000000	93.841	165.7505
400.000000	93.801	166.1851
406.000000	93.751	166.7198
412.000000	93.703	167.2491
418.000000	93.657	167.7742
425.000000	93.607	168.3809
431.000000	93.565	168.8952
437.000000	93.525	169.4086
444.000000	93.480	170.0214
450.000000	93.444	170.5503
455.000000	93.413	170.9642
462.000000	93.373	171.5451
468.000000	93.340	172.0522
475.000000	93.304	172.6490
482.000000	93.269	173.2418
487.000000	93.245	173.6639
494.000000	93.213	174.2598
500.000000	93.187	174.7691
508.000000	93.156	175.4292
515.000000	93.130	176.0106
522.000000	93.106	176.5920
530.000000	93.080	177.2529
538.000000	93.057	177.9102
545.000000	93.039	178.4851
552.000000	93.021	179.0526
560.000000	93.000	179.6954
570.000000	92.979	-179.4963
580.000000	92.961	-178.7001
590.000000	92.945	-177.9062
600.000000	92.932	-177.1175
608.000000	92.924	-176.4878
615.000000	92.919	-175.9389
622.000000	92.914	-175.3919
630.000000	92.909	-174.7682
640.000000	92.906	-173.9986
650.000000	92.906	-173.2311
660.000000	92.907	-172.4639
670.000000	92.911	-171.7024
680.000000	92.917	-170.9462
690.000000	92.924	-170.1918
700.000000	92.935	-169.4448
710.000000	92.948	-168.6953
720.000000	92.964	-167.9454
730.000000	92.982	-167.2060
740.000000	93.002	-166.4717
750.000000	93.025	-165.7352
762.000000	93.057	-164.8586
775.000000	93.094	-163.9170
788.000000	93.136	-162.9870
800.000000	93.180	-162.1325
812.000000	93.227	-161.2883
825.000000	93.282	-160.3901
838.000000	93.343	-159.5047
850.000000	93.404	-158.7000
862.000000	93.468	-157.9088
875.000000	93.543	-157.0708
885.000000	93.603	-156.4432
900.000000	93.700	-155.5317
912.000000	93.783	-154.8311
925.000000	93.876	-154.1028
938.000000	93.973	-153.4108
950.000000	94.066	-152.8058
962.000000	94.163	-152.2345
975.000000	94.269	-151.6609
988.000000	94.378	-151.1369
1000.000000	94.478	-150.7000
1015.000000	94.602	-150.2128
1030.000000	94.720	-149.7780
1044.000000	94.826	-149.3973
1060.000000	94.943	-148.9496
1075.000000	95.055	-148.5092
1090.000000	95.174	-148.0774
1106.000000	95.309	-147.6584
1120.000000	95.432	-147.3532
1138.000000	95.591	-147.0558
1150.000000	95.696	-146.9111
1172.000000	95.883	-146.7375
1180.000000	95.950	-146.6988
1206.000000	96.158	-146.6502
1220.000000	96.266	-146.6683
1241.000000	96.422	-146.7488
1250.000000	96.486	-146.7998
1265.000000	96.592	-146.9037
1280.000000	96.694	-147.0339
1315.000000	96.921	-147.4405
1320.000000	96.952	-147.5083
1340.000000	97.073	-147.8076
1360.000000	97.187	-148.1517
1380.000000	97.296	-148.5362
1400.000000	97.400	-148.9637
1430.000000	97.545	-149.6984
1450.000000	97.634	-150.2546
1475.000000	97.735	-151.0242
1500.000000	97.824	-151.8953
1525.000000	97.896	-152.8719
1550.000000	97.947	-153.9623
1575.000000	97.974	-155.1667
1600.000000	97.969	-156.4899
1625.000000	97.923	-157.9147
1650.000000	97.825	-159.4122
1675.000000	97.666	-160.9300
1700.000000	97.433	-162.3670
1725.000000	97.116	-163.5693
1750.000000	96.712	-164.3290
1775.000000	96.230	-164.3855
1800.000000	95.702	-163.4602
1825.000000	95.183	-161.3388
1850.000000	94.750	-157.9978
1875.000000	94.481	-153.7162
1900.000000	94.422	-149.0550
1925.000000	94.567	-144.6379
1950.000000	94.866	-140.9067
1975.000000	95.256	-138.0391
2000.000000	95.684	-136.0116
2030.000000	96.196	-134.5051
2060.000000	96.676	-133.7705
2090.000000	97.109	-133.5838
2120.000000	97.494	-133.7746
2140.000000	97.725	-134.0499
2180.000000	98.130	-134.8491
2200.000000	98.307	-135.3394
2240.000000	98.616	-136.4439
2270.000000	98.813	-137.3421
2300.000000	98.983	-138.2763
2330.000000	99.128	-139.2332
2360.000000	99.251	-140.2004
2400.000000	99.384	-141.4882
2430.000000	99.462	-142.4416
2470.000000	99.539	-143.6856
2500.000000	99.579	-144.5927
2540.000000	99.608	-145.7538
2580.000000	99.613	-146.8507
2620.000000	99.595	-147.8705
2650.000000	99.568	-148.5762
2690.000000	99.514	-149.4313
2720.000000	99.461	-149.9980
2760.000000	99.376	-150.6395
2800.000000	99.276	-151.1360
2850.000000	99.134	-151.5202
2900.000000	98.983	-151.6010
2950.000000	98.834	-151.3554
3000.000000	98.702	-150.7831
3040.000000	98.617	-150.1139
3070.000000	98.572	-149.5091
3110.000000	98.538	-148.6022
3150.000000	98.539	-147.6333
3200.000000	98.589	-146.4175
3250.000000	98.690	-145.2837
3300.000000	98.837	-144.3073
3350.000000	99.022	-143.5460
3400.000000	99.238	-143.0436
3450.000000	99.479	-142.8370
3500.000000	99.738	-142.9676
3550.000000	100.005	-143.4745
3600.000000	100.269	-144.3910
3650.000000	100.518	-145.7453
3700.000000	100.734	-147.5540
3750.000000	100.897	-149.8023
3820.000000	100.991	-153.5575
3870.000000	100.936	-156.4863
3950.000000	100.601	-161.0048
4000.000000	100.243	-163.3177
4060.000000	99.701	-165.1639
4120.000000	99.103	-165.7500
4180.000000	98.525	-165.0414
4250.000000	97.973	-162.8614
4310.000000	97.654	-160.2598
4370.000000	97.492	-157.4316
4440.000000	97.486	-154.3418
4500.000000	97.602	-152.1707
4550.000000	97.756	-150.8114
4620.000000	98.018	-149.6543
4680.000000	98.252	-149.3313
4750.000000	98.500	-149.6411
4820.000000	98.695	-150.5407
4870.000000	98.791	-151.4422
4940.000000	98.857	-152.9229
5000.000000	98.850	-154.2720
5080.000000	98.756	-156.0036
5150.000000	98.606	-157.3253
5220.000000	98.409	-158.3803
5300.000000	98.146	-159.2038
5380.000000	97.862	-159.6047
5450.000000	97.612	-159.6263
5520.000000	97.369	-159.3667
5600.000000	97.110	-158.7666
5700.000000	96.826	-157.6410
5800.000000	96.597	-156.1945
5900.000000	96.429	-154.5177
6000.000000	96.328	-152.7020
6080.000000	96.297	-151.2054
6150.000000	96.308	-149.8970
6220.000000	96.355	-148.6198
6300.000000	96.454	-147.2407
6400.000000	96.644	-145.7067
6500.000000	96.908	-144.4747
6600.000000	97.242	-143.6555
6700.000000	97.639	-143.3749
6800.000000	98.086	-143.7671
6900.000000	98.563	-144.9664
7000.000000	99.039	-147.0749
7100.000000	99.474	-150.1395
7200.000000	99.823	-154.1172
7300.000000	100.038	-158.8174
7400.000000	100.084	-163.8909
7500.000000	99.959	-168.9181
7620.000000	99.617	-174.3658
7750.000000	99.094	-179.1263
7880.000000	98.517	177.4065
8000.000000	98.012	175.1838
8120.000000	97.579	173.6130
8250.000000	97.218	172.2779
8380.000000	96.971	170.9442
8500.000000	96.830	169.4000
8620.000000	96.744	167.3155
8750.000000	96.664	164.2818
8850.000000	96.573	161.3850
9000.000000	96.319	156.3272
9120.000000	95.977	152.0092
9250.000000	95.457	147.5219
9380.000000	94.810	143.6399
9500.000000	94.146	140.8277
9620.000000	93.467	138.8206
9750.000000	92.763	137.4858
9880.000000	92.135	136.8618
10000.000000	91.649	136.7315
10150.000000	91.192	136.8832
10300.000000	90.917	137.0638
10440.000000	90.833	136.9534
10600.000000	90.943	136.0964
10750.000000	91.235	134.1440
10900.000000	91.679	130.5910
11060.000000	92.240	124.4990
11200.000000	92.692	116.9404
11380.000000	93.002	104.3887
11500.000000	92.928	94.8596
11720.000000	92.126	77.2883
11800.000000	91.654	71.4394
12060.000000	89.807	55.7750
12200.000000	88.797	49.3984
12410.000000	87.457	41.7899
12500.000000	86.969	39.0217
12650.000000	86.283	34.7973
12800.000000	85.755	30.8323
13150.000000	85.101	21.4645
13200.000000	85.068	20.0261
13400.000000	85.075	13.8210
13600.000000	85.284	6.6463
13800.000000	85.661	-1.8313
14000.000000	86.163	-11.9246
14300.000000	87.027	-30.6716
14500.000000	87.563	-45.8203
14750.000000	88.028	-67.5103
15000.000000	88.169	-91.4061
15250.000000	88.026	-116.4750
15500.000000	87.756	-142.2114
15750.000000	87.538	-168.8364
16000.000000	87.469	162.9470
16250.000000	87.508	132.3813
16500.000000	87.480	99.1637
16750.000000	87.162	63.7263
17000.000000	86.408	27.1165
17250.000000	85.229	-9.6696
17500.000000	83.735	-46.3219
17750.000000	82.025	-83.2685
18000.000000	80.115	-121.2969
18250.000000	77.933	-161.1233
18500.000000	75.355	156.8442
18750.000000	72.249	112.5610
19000.000000	68.517	66.3136
19250.000000	64.098	18.4706
19500.000000	58.997	-31.0342
19750.000000	53.422	-84.0737
20000.000000	48.660	-137.6945
