* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:20:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.569	-143.4310
20.600000	103.595	-144.0383
20.900000	103.622	-144.7024
21.200001	103.648	-145.3846
21.400000	103.667	-145.8498
21.799999	103.710	-146.8066
22.000000	103.736	-147.2981
22.400000	103.796	-148.3029
22.700001	103.843	-149.0599
23.000000	103.885	-149.7871
23.299999	103.917	-150.4377
23.600000	103.936	-150.9629
24.000000	103.953	-151.4227
24.299999	103.968	-151.6153
24.700001	104.006	-151.8187
25.000000	104.048	-152.0694
25.400000	104.108	-152.6953
25.799999	104.149	-153.6851
26.200001	104.154	-154.9033
26.500000	104.138	-155.8333
26.900000	104.108	-156.9447
27.200001	104.095	-157.6386
27.600000	104.101	-158.4063
28.000000	104.133	-159.0808
28.500000	104.182	-159.8977
29.000000	104.214	-160.6966
29.500000	104.224	-161.4434
30.000000	104.224	-162.1565
30.400000	104.225	-162.7393
30.700001	104.227	-163.1924
31.100000	104.229	-163.8077
31.500000	104.233	-164.4135
32.000000	104.238	-165.1330
32.500000	104.245	-165.8132
33.000000	104.249	-166.4734
33.500000	104.251	-167.1290
34.000000	104.248	-167.7851
34.500000	104.244	-168.4391
35.000000	104.241	-169.0838
35.500000	104.240	-169.7206
36.000000	104.241	-170.3633
36.500000	104.239	-171.0163
37.000000	104.229	-171.6523
37.500000	104.213	-172.2316
38.200001	104.195	-172.9503
38.700001	104.191	-173.4583
39.500000	104.189	-174.3095
40.000000	104.186	-174.8257
40.599998	104.180	-175.4174
41.200001	104.167	-176.0194
41.799999	104.142	-176.6458
42.500000	104.111	-177.3994
43.099998	104.094	-178.0600
43.700001	104.081	-178.6344
44.400002	104.075	-179.0049
45.000000	104.094	-179.1709
45.500000	104.115	-179.4429
46.200001	104.098	179.8118
46.799999	104.028	179.0619
47.500000	103.947	178.3381
48.200001	103.917	177.6432
48.700001	103.905	177.0970
49.400002	103.870	176.4337
50.000000	103.834	176.0659
50.799999	103.810	175.6282
51.500000	103.791	175.1026
52.200001	103.760	174.5438
53.000000	103.722	173.9774
53.799999	103.688	173.4570
54.500000	103.661	173.0403
55.200001	103.638	172.6371
56.000000	103.610	172.1337
57.000000	103.557	171.4671
58.000000	103.498	170.8101
59.000000	103.439	170.1971
60.000000	103.384	169.6671
60.799999	103.349	169.2366
61.500000	103.320	168.8320
62.200001	103.289	168.4284
63.000000	103.251	167.9858
64.000000	103.202	167.4399
65.000000	103.159	166.9379
66.000000	103.128	166.5095
67.000000	103.089	166.0543
68.000000	103.023	165.5811
69.000000	102.953	165.1439
70.000000	102.899	164.7076
71.000000	102.850	164.2852
72.000000	102.799	163.8750
73.000000	102.750	163.4129
74.000000	102.702	162.8876
75.000000	102.656	162.3876
76.199997	102.598	161.9478
77.500000	102.526	161.6056
78.800003	102.447	161.2593
80.000000	102.384	160.8334
81.199997	102.316	160.4178
82.500000	102.246	160.0714
83.800003	102.183	159.6969
85.000000	102.126	159.3673
86.199997	102.067	159.0096
87.500000	102.003	158.6475
88.500000	101.949	158.4280
90.000000	101.853	157.9463
91.199997	101.765	157.4171
92.500000	101.697	157.1727
93.800003	101.650	157.0294
95.000000	101.594	156.8402
96.199997	101.531	156.6048
97.500000	101.458	156.2579
98.800003	101.397	155.9037
100.000000	101.355	155.6370
101.500000	101.276	155.3195
103.000000	101.180	155.0974
104.400002	101.092	154.9593
106.000000	100.986	154.6639
107.500000	100.872	154.3304
109.000000	100.760	154.1846
110.599998	100.647	154.1037
112.000000	100.529	154.5091
113.800003	100.561	155.5746
115.000000	100.703	155.6212
117.199997	100.752	154.5288
118.000000	100.692	154.2141
120.599998	100.528	153.6641
122.000000	100.452	153.3757
124.099998	100.341	152.8771
125.000000	100.290	152.7762
126.500000	100.212	152.7149
128.000000	100.138	152.6255
131.500000	99.958	152.2943
132.000000	99.940	152.3008
134.000000	99.868	152.4028
136.000000	99.723	152.7911
138.000000	99.594	153.1062
140.000000	99.565	152.8557
143.000000	99.551	152.7227
145.000000	99.519	152.4664
147.500000	99.450	152.1412
150.000000	99.384	152.0735
152.500000	99.282	151.8763
155.000000	99.171	151.5475
157.500000	99.072	151.3918
160.000000	98.966	151.3181
162.500000	98.871	151.2339
165.000000	98.788	151.1606
167.500000	98.702	151.1202
170.000000	98.617	151.1346
172.500000	98.534	151.2053
175.000000	98.455	151.2963
177.500000	98.374	151.2910
180.000000	98.288	151.2532
182.500000	98.204	151.2679
185.000000	98.129	151.3792
187.500000	98.053	151.4642
190.000000	97.972	151.4804
192.500000	97.896	151.5286
195.000000	97.825	151.6041
197.500000	97.753	151.7073
200.000000	97.679	151.8008
203.000000	97.593	151.8504
206.000000	97.512	151.9348
209.000000	97.433	152.1133
212.000000	97.350	152.2822
214.000000	97.295	152.3823
218.000000	97.192	152.5957
220.000000	97.140	152.7034
224.000000	97.036	152.9172
227.000000	96.964	153.0805
230.000000	96.901	153.2490
233.000000	96.834	153.4193
