* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:25:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.056	-141.1974
20.600000	103.089	-141.8237
20.900000	103.114	-142.4963
21.200001	103.133	-143.1560
21.400000	103.146	-143.5883
21.799999	103.187	-144.4678
22.000000	103.218	-144.9365
22.400000	103.295	-145.9668
22.700001	103.353	-146.7980
23.000000	103.400	-147.6001
23.299999	103.429	-148.2655
23.600000	103.446	-148.6983
24.000000	103.476	-148.8724
24.299999	103.523	-148.8104
24.700001	103.630	-148.8036
25.000000	103.727	-149.0791
25.400000	103.831	-149.9663
25.799999	103.867	-151.3160
26.200001	103.825	-152.7840
26.500000	103.764	-153.7535
26.900000	103.686	-154.7358
27.200001	103.657	-155.2710
27.600000	103.668	-155.8772
28.000000	103.715	-156.5229
28.500000	103.771	-157.4392
29.000000	103.794	-158.3362
29.500000	103.799	-159.1109
30.000000	103.808	-159.8294
30.400000	103.821	-160.4293
30.700001	103.832	-160.8956
31.100000	103.844	-161.5101
31.500000	103.856	-162.0891
32.000000	103.874	-162.7726
32.500000	103.892	-163.4646
33.000000	103.902	-164.1902
33.500000	103.903	-164.9169
34.000000	103.900	-165.6054
34.500000	103.900	-166.2528
35.000000	103.904	-166.8838
35.500000	103.907	-167.5236
36.000000	103.908	-168.1811
36.500000	103.903	-168.8388
37.000000	103.894	-169.4573
37.500000	103.886	-170.0045
38.200001	103.885	-170.6829
38.700001	103.887	-171.1767
39.500000	103.874	-172.0442
40.000000	103.858	-172.5946
40.599998	103.845	-173.2309
41.200001	103.844	-173.8645
41.799999	103.841	-174.5100
42.500000	103.825	-175.2375
43.099998	103.810	-175.8385
43.700001	103.807	-176.4809
44.400002	103.813	-177.2950
45.000000	103.813	-177.9312
45.500000	103.806	-178.3523
46.200001	103.784	-178.8299
46.799999	103.751	-179.2466
47.500000	103.705	-179.8130
48.200001	103.676	179.5065
48.700001	103.665	178.9545
49.400002	103.640	178.2177
50.000000	103.605	177.7706
50.799999	103.567	177.3946
51.500000	103.548	176.9930
52.200001	103.525	176.4457
53.000000	103.490	175.8327
53.799999	103.462	175.2870
54.500000	103.436	174.7981
55.200001	103.404	174.3016
56.000000	103.368	173.7447
57.000000	103.327	173.0576
58.000000	103.281	172.4449
59.000000	103.238	171.8395
60.000000	103.190	171.1510
60.799999	103.148	170.6789
61.500000	103.122	170.3460
62.200001	103.098	170.0130
63.000000	103.063	169.6066
64.000000	103.011	169.0880
65.000000	102.966	168.5631
66.000000	102.930	168.0970
67.000000	102.893	167.6193
68.000000	102.834	167.1081
69.000000	102.773	166.6497
70.000000	102.726	166.1912
71.000000	102.679	165.7097
72.000000	102.628	165.2661
73.000000	102.580	164.8486
74.000000	102.519	164.4720
75.000000	102.456	164.1963
76.199997	102.407	163.7414
77.500000	102.349	163.1086
78.800003	102.284	162.6053
80.000000	102.227	162.1535
81.199997	102.171	161.7072
82.500000	102.106	161.2852
83.800003	102.036	160.8745
85.000000	101.975	160.5184
86.199997	101.917	160.1765
87.500000	101.853	159.7864
88.500000	101.810	159.4498
90.000000	101.756	159.1328
91.199997	101.706	158.9560
92.500000	101.620	158.5803
93.800003	101.536	158.1651
95.000000	101.475	157.8599
96.199997	101.407	157.5641
97.500000	101.333	157.2208
98.800003	101.278	157.0259
100.000000	101.240	156.9105
101.500000	101.164	156.5715
103.000000	101.074	156.1892
104.400002	100.995	155.8347
106.000000	100.900	155.5739
107.500000	100.821	155.4525
109.000000	100.756	155.2868
110.599998	100.681	155.2169
112.000000	100.597	155.3299
113.800003	100.493	155.7952
115.000000	100.480	156.0028
117.199997	100.458	155.1577
118.000000	100.415	154.8165
120.599998	100.337	154.0909
122.000000	100.311	153.8914
124.099998	100.230	153.7114
125.000000	100.188	153.5693
126.500000	100.113	153.3344
128.000000	100.029	153.1150
131.500000	99.836	152.5642
132.000000	99.814	152.4999
134.000000	99.742	152.1604
136.000000	99.668	151.6721
138.000000	99.552	151.9906
140.000000	99.442	152.6974
143.000000	99.388	152.9700
145.000000	99.370	152.8051
147.500000	99.345	152.2846
150.000000	99.285	151.9795
152.500000	99.134	152.0088
155.000000	99.011	151.7327
157.500000	98.915	151.5720
160.000000	98.822	151.5280
162.500000	98.723	151.5030
165.000000	98.626	151.5023
167.500000	98.535	151.4565
170.000000	98.461	151.3447
172.500000	98.380	151.2792
175.000000	98.288	151.3672
177.500000	98.196	151.3581
180.000000	98.114	151.3920
182.500000	98.047	151.4767
185.000000	97.976	151.5673
187.500000	97.897	151.5429
190.000000	97.821	151.7502
192.500000	97.741	151.7503
195.000000	97.642	151.7392
197.500000	97.529	151.7934
200.000000	97.452	151.7235
203.000000	97.382	152.0157
206.000000	97.266	152.2630
209.000000	97.207	152.3503
212.000000	97.166	152.6457
214.000000	97.121	152.7932
218.000000	97.018	153.0332
220.000000	96.968	153.1285
224.000000	96.887	153.4978
227.000000	96.823	153.6007
230.000000	96.756	153.6652
233.000000	96.697	153.8004
236.000000	96.637	153.9623
240.000000	96.551	154.1738
243.000000	96.491	154.3275
247.000000	96.422	154.6466
250.000000	96.365	154.9042
254.000000	96.284	155.2099
258.000000	96.208	155.5941
262.000000	96.175	155.9153
265.000000	96.162	155.7645
269.000000	96.031	155.1522
272.000000	95.913	155.2902
276.000000	95.836	155.9526
280.000000	95.800	156.5526
285.000000	95.727	156.9074
290.000000	95.650	157.2572
295.000000	95.558	157.5219
300.000000	95.472	157.8474
304.000000	95.410	158.1838
307.000000	95.358	158.4462
311.000000	95.291	158.7797
315.000000	95.223	159.0731
320.000000	95.141	159.3996
325.000000	95.072	159.8105
330.000000	95.014	160.1200
335.000000	94.954	160.4657
340.000000	94.900	160.8858
345.000000	94.842	161.2091
350.000000	94.775	161.5249
355.000000	94.708	161.9793
360.000000	94.646	162.6319
365.000000	94.582	163.1685
370.000000	94.529	163.4322
375.000000	94.465	163.6827
382.000000	94.418	164.2429
387.000000	94.382	164.6008
395.000000	94.300	165.2929
400.000000	94.243	165.7704
406.000000	94.189	166.3034
412.000000	94.147	166.7637
418.000000	94.104	167.2488
425.000000	94.052	167.8256
431.000000	94.009	168.3196
437.000000	93.966	168.7863
444.000000	93.920	169.2974
450.000000	93.885	169.7938
455.000000	93.851	170.2438
462.000000	93.802	170.8733
468.000000	93.764	171.3738
475.000000	93.723	171.9245
482.000000	93.693	172.4215
487.000000	93.671	172.8281
494.000000	93.640	173.3829
500.000000	93.620	173.9137
508.000000	93.582	174.5834
515.000000	93.552	175.0746
522.000000	93.526	175.6107
530.000000	93.497	176.2285
538.000000	93.469	176.8553
545.000000	93.446	177.4112
552.000000	93.429	177.9692
560.000000	93.408	178.5477
570.000000	93.380	179.3119
580.000000	93.359	-179.9119
590.000000	93.339	-179.1410
600.000000	93.321	-178.3742
608.000000	93.314	-177.7681
615.000000	93.307	-177.2350
622.000000	93.298	-176.6904
630.000000	93.287	-176.0917
640.000000	93.275	-175.3654
650.000000	93.267	-174.6179
660.000000	93.268	-173.8939
670.000000	93.271	-173.1767
680.000000	93.273	-172.4452
690.000000	93.277	-171.7150
700.000000	93.283	-170.9877
710.000000	93.292	-170.2630
720.000000	93.302	-169.5374
730.000000	93.314	-168.8120
740.000000	93.331	-168.0767
750.000000	93.352	-167.3399
762.000000	93.376	-166.5190
775.000000	93.407	-165.6247
788.000000	93.443	-164.7266
800.000000	93.479	-163.9053
812.000000	93.519	-163.0870
825.000000	93.568	-162.1951
838.000000	93.623	-161.3364
850.000000	93.677	-160.5485
862.000000	93.734	-159.7580
875.000000	93.800	-158.9249
885.000000	93.855	-158.2967
900.000000	93.944	-157.3808
912.000000	94.020	-156.6803
925.000000	94.107	-155.9462
938.000000	94.199	-155.2539
950.000000	94.288	-154.6377
962.000000	94.378	-154.0595
975.000000	94.478	-153.4852
988.000000	94.580	-152.9599
1000.000000	94.673	-152.5313
